"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2026","5.94","6.04","6.04","5.94","4.66M","-1.66%"
"08/06/2026","6.04","6.06","6.10","6.02","9.48M","-0.33%"
"08/05/2026","6.06","6.07","6.14","6.02","11.58M","-0.33%"
"08/04/2026","6.08","5.90","6.09","5.90","20.88M","3.23%"
"08/03/2026","5.89","5.83","5.93","5.82","12.67M","1.20%"
"07/31/2026","5.82","5.76","5.82","5.74","19.32M","1.22%"
"07/30/2026","5.75","5.76","5.84","5.71","9.67M","0.00%"
"07/29/2026","5.75","5.79","5.81","5.71","6.88M","-0.69%"
"07/28/2026","5.79","5.85","5.86","5.77","8.80M","-1.03%"
"07/27/2026","5.85","5.73","5.89","5.72","15.26M","2.27%"
"07/24/2026","5.72","5.69","5.85","5.69","11.53M","0.35%"
"07/23/2026","5.70","5.68","5.71","5.64","5.16M","0.53%"
"07/22/2026","5.67","5.68","5.73","5.67","4.06M","0.00%"
"07/21/2026","5.67","5.55","5.74","5.55","9.97M","2.16%"
"07/20/2026","5.55","5.62","5.63","5.50","5.41M","-1.25%"
"07/17/2026","5.62","5.56","5.62","5.54","5.52M","0.72%"
"07/16/2026","5.58","5.67","5.70","5.57","8.56M","-1.41%"
"07/15/2026","5.66","5.74","5.75","5.62","8.41M","-1.22%"
"07/14/2026","5.73","5.78","5.82","5.70","6.22M","-1.04%"
"07/13/2026","5.79","5.78","5.84","5.74","7.23M","0.00%"
"07/10/2026","5.79","5.79","5.83","5.78","7.47M","0.00%"
"07/09/2026","5.79","5.66","5.85","5.65","17.91M","2.12%"
"07/08/2026","5.67","5.70","5.70","5.62","7.71M","-0.70%"
"07/07/2026","5.71","5.68","5.71","5.67","5.48M","0.53%"
"07/06/2026","5.68","5.68","5.73","5.67","7.37M","0.00%"
"07/03/2026","5.68","5.69","5.76","5.66","5.51M","-0.35%"
"07/02/2026","5.70","5.75","5.76","5.66","7.13M","-0.70%"
"07/01/2026","5.74","5.75","5.82","5.69","5.58M","0.17%"
"06/30/2026","5.73","5.82","5.87","5.73","6.58M","-1.21%"
"06/29/2026","5.80","5.84","5.88","5.80","5.02M","-0.68%"
"06/26/2026","5.84","5.87","5.97","5.79","7.74M","0.17%"
"06/25/2026","5.83","5.93","5.95","5.80","6.16M","-1.19%"
"06/24/2026","5.90","5.94","6.02","5.90","13.73M","-0.67%"
"06/23/2026","5.94","5.94","6.02","5.84","13.86M","0.00%"
"06/22/2026","5.94","5.98","6.08","5.94","8.78M","-0.67%"
"06/19/2026","5.98","6.13","6.14","5.98","9.76M","-2.61%"
"06/18/2026","6.14","6.15","6.15","6.10","7.31M","0.16%"
"06/17/2026","6.13","6.13","6.22","6.05","15.02M","0.00%"
"06/16/2026","6.13","6.12","6.29","6.10","18.80M","0.66%"
"06/12/2026","6.09","5.90","6.12","5.89","13.62M","4.10%"
"06/11/2026","5.85","5.69","5.94","5.69","18.06M","2.81%"
"06/10/2026","5.69","5.73","5.77","5.69","7.41M","-0.70%"
"06/09/2026","5.73","5.61","5.76","5.61","10.63M","2.32%"
"06/08/2026","5.60","5.72","5.73","5.59","6.38M","-2.27%"
"06/05/2026","5.73","5.70","5.75","5.70","5.18M","0.53%"
"06/04/2026","5.70","5.74","5.77","5.70","7.04M","-0.52%"
"06/03/2026","5.73","5.80","5.90","5.64","10.35M","-1.21%"
"06/02/2026","5.80","5.95","6.02","5.80","9.69M","-2.36%"
"06/01/2026","5.94","5.96","6.04","5.87","13.37M","-0.34%"
"05/25/2026","5.96","6.00","6.03","5.94","50.24M","0.00%"
"05/22/2026","5.96","6.02","6.05","5.96","5.24M","-0.83%"
"05/21/2026","6.01","6.07","6.12","6.00","4.61M","-0.66%"
"05/20/2026","6.05","5.91","6.08","5.89","16.49M","2.37%"
"05/19/2026","5.91","5.97","6.01","5.89","9.91M","-0.67%"
"05/18/2026","5.95","5.95","5.96","5.86","11.21M","-0.17%"
"05/15/2026","5.96","6.22","6.22","5.94","25.09M","-4.64%"
"05/14/2026","6.25","6.21","6.33","6.20","9.84M","0.81%"
"05/13/2026","6.20","6.16","6.29","6.15","12.23M","0.81%"
"05/12/2026","6.15","6.29","6.31","6.14","8.63M","-2.07%"
"05/11/2026","6.28","6.30","6.44","6.28","14.86M","-0.32%"
"05/08/2026","6.30","6.28","6.33","6.25","11.03M","0.00%"
"05/07/2026","6.30","6.29","6.40","6.29","10.74M","0.16%"
"05/06/2026","6.29","6.25","6.44","6.24","20.86M","1.62%"
"05/05/2026","6.19","6.29","6.38","6.17","19.55M","-3.73%"
"05/04/2026","6.43","5.92","6.67","5.91","65.21M","9.17%"
"05/01/2026","5.89","5.70","6.00","5.70","32.78M","4.06%"
"04/30/2026","5.66","5.51","5.70","5.44","29.26M","3.10%"
"04/29/2026","5.49","5.29","5.60","5.28","64.07M","8.07%"
"04/28/2026","5.08","5.10","5.12","5.07","10.18M","0.00%"
"04/27/2026","5.08","5.15","5.20","5.08","9.40M","-1.36%"
"04/24/2026","5.15","5.19","5.22","5.15","4.72M","-0.77%"
"04/23/2026","5.19","5.20","5.21","5.14","5.19M","-0.19%"
"04/22/2026","5.20","5.22","5.25","5.19","4.86M","-0.38%"
"04/21/2026","5.22","5.26","5.31","5.19","7.51M","-0.57%"
"04/20/2026","5.25","5.35","5.36","5.24","10.04M","-1.87%"
"04/17/2026","5.35","5.36","5.40","5.34","14.14M","0.00%"
"04/16/2026","5.35","5.36","5.40","5.32","10.09M","0.00%"
"04/15/2026","5.35","5.29","5.39","5.29","9.71M","1.33%"
"04/14/2026","5.28","5.24","5.34","5.24","4.59M","0.96%"
"04/13/2026","5.23","5.23","5.26","5.18","9.82M","0.19%"
"04/10/2026","5.22","5.26","5.26","5.21","4.11M","-0.76%"
"04/09/2026","5.26","5.29","5.34","5.26","9.51M","-0.57%"
"04/08/2026","5.29","5.20","5.43","5.19","18.81M","3.73%"
"04/07/2026","5.10","5.15","5.17","5.10","2.93M","-0.97%"
"04/06/2026","5.15","5.15","5.19","5.14","2.72M","0.00%"
"04/03/2026","5.15","5.17","5.20","5.15","2.03M","-0.39%"
"04/02/2026","5.17","5.20","5.20","5.12","6.78M","-0.58%"
"04/01/2026","5.20","5.13","5.23","5.12","19.71M","1.56%"
"03/31/2026","5.12","5.14","5.15","5.05","5.55M","1.39%"
"03/30/2026","5.05","5.10","5.13","5.04","3.80M","-1.56%"
"03/27/2026","5.13","5.11","5.18","5.05","8.60M","0.79%"
"03/26/2026","5.09","5.23","5.23","5.05","9.18M","-2.68%"
"03/25/2026","5.23","5.01","5.26","5.01","17.65M","3.56%"
"03/24/2026","5.05","4.90","5.09","4.90","23.69M","2.85%"
"03/23/2026","4.91","4.83","5.01","4.65","17.02M","1.66%"
"03/18/2026","4.83","4.95","5.02","4.83","21.48M","-2.42%"
"03/17/2026","4.95","4.87","4.95","4.76","8.26M","1.02%"
"03/16/2026","4.90","4.78","4.90","4.56","8.13M","2.08%"
"03/13/2026","4.80","4.72","4.80","4.51","8.35M","1.48%"
"03/12/2026","4.73","4.96","4.96","4.72","6.60M","-4.64%"
"03/11/2026","4.96","5.01","5.04","4.81","8.91M","-1.59%"
"03/10/2026","5.04","4.90","5.10","4.87","13.38M","3.07%"
"03/09/2026","4.89","4.92","5.13","4.89","14.90M","-4.86%"
"03/06/2026","5.14","5.15","5.22","5.04","18.43M","-0.19%"
"03/05/2026","5.15","4.80","5.15","4.80","20.62M","3.21%"
"03/04/2026","4.99","4.87","5.11","4.87","15.90M","-2.54%"
"02/27/2026","5.12","5.26","5.26","5.12","16.57M","-2.66%"
"02/26/2026","5.26","5.23","5.27","5.21","10.25M","0.57%"
"02/25/2026","5.23","5.25","5.27","5.20","7.54M","-0.19%"
"02/24/2026","5.24","5.21","5.28","5.20","10.57M","0.58%"
"02/23/2026","5.21","5.21","5.25","5.19","8.97M","0.58%"
"02/20/2026","5.18","5.15","5.24","5.15","7.79M","0.58%"
"02/19/2026","5.15","5.26","5.27","5.14","10.76M","-1.90%"
"02/18/2026","5.25","5.22","5.29","5.22","16.37M","1.16%"
"02/17/2026","5.19","5.23","5.26","5.17","5.07M","-0.76%"
"02/16/2026","5.23","5.32","5.34","5.18","6.65M","-1.69%"
"02/13/2026","5.32","5.45","5.47","5.29","11.16M","-2.39%"
"02/12/2026","5.45","5.50","5.55","5.43","11.01M","-0.73%"
"02/11/2026","5.49","5.48","5.52","5.46","4.33M","0.37%"
"02/10/2026","5.47","5.52","5.58","5.47","16.62M","-0.91%"
"02/09/2026","5.52","5.46","5.54","5.45","15.37M","1.10%"
"02/06/2026","5.46","5.42","5.46","5.41","6.90M","0.74%"
"02/05/2026","5.42","5.40","5.45","5.38","10.55M","0.18%"
"02/04/2026","5.41","5.37","5.44","5.37","10.40M","0.74%"
"02/03/2026","5.37","5.33","5.43","5.33","15.34M","0.94%"
"02/02/2026","5.32","5.32","5.35","5.30","9.15M","-0.19%"
"01/30/2026","5.33","5.42","5.44","5.33","8.68M","-1.66%"
"01/29/2026","5.42","5.43","5.47","5.39","12.04M","0.00%"
"01/28/2026","5.42","5.40","5.50","5.39","19.68M","0.37%"
"01/27/2026","5.40","5.23","5.43","5.23","33.64M","3.25%"
"01/26/2026","5.23","5.28","5.28","5.20","6.05M","-0.95%"
"01/23/2026","5.28","5.29","5.30","5.24","6.96M","-0.19%"
"01/22/2026","5.29","5.20","5.30","5.19","21.82M","2.12%"
"01/21/2026","5.18","5.23","5.26","5.16","23.03M","-0.96%"
"01/20/2026","5.23","5.28","5.29","5.22","9.02M","-0.76%"
"01/19/2026","5.27","5.28","5.38","5.27","13.14M","-0.19%"
"01/16/2026","5.28","5.30","5.34","5.26","6.84M","-0.38%"
"01/15/2026","5.30","5.20","5.31","5.20","13.58M","1.73%"
"01/14/2026","5.21","5.22","5.32","5.19","11.52M","-0.19%"
"01/13/2026","5.22","5.18","5.23","5.18","15.99M","0.77%"
"01/12/2026","5.18","5.21","5.22","5.16","7.60M","-0.38%"
"01/09/2026","5.20","5.29","5.29","5.18","7.38M","-1.89%"
"01/08/2026","5.30","5.33","5.33","5.26","5.20M","-0.56%"
"01/07/2026","5.33","5.33","5.35","5.31","7.70M","-0.19%"
"01/06/2026","5.34","5.35","5.39","5.31","8.45M","0.00%"
"01/05/2026","5.34","5.40","5.40","5.31","8.54M","-1.11%"
"01/02/2026","5.40","5.36","5.42","5.36","4.08M","1.12%"
"12/31/2025","5.34","5.35","5.44","5.34","7.84M","-0.19%"
"12/30/2025","5.35","5.48","5.48","5.35","5.46M","-2.01%"
"12/29/2025","5.46","5.41","5.51","5.41","13.83M","0.74%"
"12/26/2025","5.42","5.46","5.47","5.42","1.84M","-0.73%"
"12/25/2025","5.46","5.48","5.50","5.45","1.15M","-0.36%"
"12/24/2025","5.48","5.48","5.51","5.45","5.28M","0.00%"
"12/23/2025","5.48","5.48","5.54","5.46","9.46M","0.00%"
"12/22/2025","5.48","5.38","5.49","5.36","18.20M","1.86%"
"12/19/2025","5.38","5.25","5.40","5.23","30.02M","2.48%"
"12/18/2025","5.25","5.28","5.29","5.21","5.48M","-0.38%"
"12/17/2025","5.27","5.41","5.44","5.26","14.37M","-2.41%"
"12/16/2025","5.40","5.47","5.50","5.39","8.25M","-1.28%"
"12/15/2025","5.47","5.47","5.51","5.43","8.18M","0.18%"
