"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2026","6.16","6.15","6.20","6.15","4.20M","0.16%"
"08/06/2026","6.15","6.24","6.25","6.13","8.07M","-1.44%"
"08/05/2026","6.24","6.26","6.33","6.21","15.54M","-0.32%"
"08/04/2026","6.26","6.23","6.27","6.18","11.17M","0.48%"
"08/03/2026","6.23","6.21","6.29","6.20","8.09M","0.48%"
"07/31/2026","6.20","6.20","6.25","6.16","7.38M","0.00%"
"07/30/2026","6.20","6.14","6.20","6.14","4.77M","0.98%"
"07/29/2026","6.14","6.21","6.22","6.12","6.49M","-1.13%"
"07/28/2026","6.21","6.23","6.23","6.18","3.04M","-0.32%"
"07/27/2026","6.23","6.22","6.29","6.19","7.71M","0.16%"
"07/24/2026","6.22","6.20","6.24","6.18","6.85M","0.48%"
"07/23/2026","6.19","6.30","6.31","6.14","7.06M","-1.75%"
"07/22/2026","6.30","6.23","6.37","6.22","9.27M","1.29%"
"07/21/2026","6.22","6.14","6.44","6.14","10.21M","1.30%"
"07/20/2026","6.14","6.02","6.15","5.95","5.84M","1.82%"
"07/17/2026","6.03","6.13","6.14","6.03","4.69M","-1.79%"
"07/16/2026","6.14","6.26","6.32","6.13","9.60M","-1.92%"
"07/15/2026","6.26","6.15","6.26","6.13","11.00M","2.12%"
"07/14/2026","6.13","6.08","6.15","6.01","11.97M","-0.16%"
"07/13/2026","6.14","6.03","6.14","5.97","13.57M","1.15%"
"07/10/2026","6.07","6.02","6.11","6.02","35.04M","0.83%"
"07/09/2026","6.02","5.87","6.04","5.85","17.64M","2.38%"
"07/08/2026","5.88","5.95","5.95","5.86","8.46M","-1.34%"
"07/07/2026","5.96","5.94","5.98","5.92","6.87M","0.68%"
"07/06/2026","5.92","5.92","5.96","5.91","4.53M","0.00%"
"07/03/2026","5.92","5.89","5.96","5.89","4.54M","0.34%"
"07/02/2026","5.90","5.92","5.94","5.83","6.60M","-0.34%"
"07/01/2026","5.92","6.02","6.04","5.92","5.60M","-1.66%"
"06/30/2026","6.02","6.01","6.06","5.97","8.96M","0.50%"
"06/29/2026","5.99","5.96","6.10","5.96","28.58M","1.01%"
"06/26/2026","5.93","5.94","5.97","5.88","4.96M","0.51%"
"06/25/2026","5.90","5.98","6.05","5.90","8.80M","-1.17%"
"06/24/2026","5.97","5.93","6.07","5.92","18.62M","0.67%"
"06/23/2026","5.93","5.96","5.99","5.89","6.39M","-0.50%"
"06/22/2026","5.96","6.06","6.09","5.96","7.53M","-1.00%"
"06/19/2026","6.02","6.15","6.15","5.99","9.24M","-2.11%"
"06/18/2026","6.15","6.11","6.17","6.09","7.75M","0.99%"
"06/17/2026","6.09","6.07","6.09","6.02","4.97M","0.50%"
"06/16/2026","6.06","6.27","6.42","6.05","23.29M","-1.46%"
"06/12/2026","6.15","5.88","6.28","5.88","25.59M","4.95%"
"06/11/2026","5.86","5.66","5.88","5.65","10.43M","3.53%"
"06/10/2026","5.66","5.77","5.79","5.64","5.62M","-1.91%"
"06/09/2026","5.77","5.73","5.81","5.73","7.74M","0.70%"
"06/08/2026","5.73","5.69","5.73","5.63","3.51M","0.35%"
"06/05/2026","5.71","5.69","5.78","5.69","5.50M","0.53%"
"06/04/2026","5.68","5.70","5.73","5.68","5.02M","-0.18%"
"06/03/2026","5.69","5.87","5.91","5.69","3.96M","-3.40%"
"06/02/2026","5.89","6.00","6.08","5.89","6.22M","-1.83%"
"06/01/2026","6.00","5.96","6.07","5.83","18.21M","0.17%"
"05/25/2026","5.99","5.81","5.99","5.81","22.22M","3.28%"
"05/22/2026","5.80","5.78","5.83","5.76","2.34M","0.00%"
"05/21/2026","5.80","5.76","5.82","5.75","4.43M","1.05%"
"05/20/2026","5.74","5.72","5.80","5.69","3.69M","0.70%"
"05/19/2026","5.70","5.79","5.81","5.70","3.59M","-1.38%"
"05/18/2026","5.78","5.85","5.85","5.72","5.63M","-1.20%"
"05/15/2026","5.85","5.82","5.88","5.81","4.33M","0.52%"
"05/14/2026","5.82","5.79","5.86","5.79","3.16M","0.52%"
"05/13/2026","5.79","5.80","5.91","5.76","8.03M","0.00%"
"05/12/2026","5.79","5.95","5.95","5.78","5.67M","-2.69%"
"05/11/2026","5.95","5.96","6.02","5.93","5.22M","0.00%"
"05/08/2026","5.95","5.99","5.99","5.92","4.21M","-0.83%"
"05/07/2026","6.00","6.07","6.08","5.98","9.72M","-0.33%"
"05/06/2026","6.02","5.94","6.09","5.94","18.23M","2.21%"
"05/05/2026","5.89","5.79","5.89","5.75","7.10M","-0.51%"
"05/04/2026","5.92","5.86","6.14","5.86","31.56M","1.20%"
"05/01/2026","5.85","5.88","5.93","5.84","9.98M","-0.34%"
"04/30/2026","5.87","5.92","5.94","5.84","9.11M","-0.68%"
"04/29/2026","5.91","5.65","5.98","5.60","30.44M","7.85%"
"04/28/2026","5.48","5.30","5.48","5.30","8.76M","3.59%"
