origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,crps_n,crps_b_n
2023-12-25,260,62,64,2024-03-25,2.98,3.44,-1.4320335863017408,0.0,0.013100669698262088,0.13332042409758657,0.25008616881127077,0.24738018779813264,0.20829476846674377,0.21017831665013675,1.307310724999844,1.5410062382386407,0.847,False,True,True,0.43869487416102143,0.5171161873284029,0.014567269485406875,0.9784509916818748,0.08392153315814456,0.08301348583829954
2024-03-25,324,63,58,2024-06-25,3.44,3.05,0.6884575864530925,0.0,0.013100669698262088,0.13830360762265884,0.2680917265375942,0.2644881150383533,0.21931313513630912,0.21712684727936438,1.5687473589967955,1.923746028100577,0.1532,False,True,True,0.4560312090106964,0.5592284965408654,0.014135543683900575,-0.9647655094312121,0.07793364143534716,0.07688607995300968
2024-06-25,382,62,66,2024-09-25,3.05,2.59,-0.6931814552355472,0.0,0.013100669698262088,0.13828889735724495,0.32364965440646554,0.3128541793183432,0.25044465337929345,0.24943285874721965,1.3985334363336568,1.6112415572425571,0.0948,False,False,True,0.45853555289628095,0.5282759204073958,0.013406330084782647,-1.2769238021325848,0.1061146407890051,0.10257514076011252
2024-09-25,448,62,63,2024-12-25,2.59,2.26,-1.0062882694125657,0.0,0.011911663366838259,0.13462432465222465,0.22733653246014587,0.22244438513547832,0.18079424778429654,0.18236194787782734,1.1558764480470218,1.317584517550494,0.12495,False,True,True,0.446284342875298,0.5087198909461368,0.012196330335364047,-1.1008762805454946,0.08777472295758529,0.08588586298667117
2024-12-25,511,61,63,2025-03-25,2.26,2.08,-0.05026893091654184,0.0,0.010716975056793952,0.13209957241723033,0.12566946866064224,0.13103665167031836,0.10184434884912896,0.10519000561875425,0.9850927984225255,1.1406405190821007,0.22185,False,True,True,0.4358817692135069,0.5047081942841154,0.010481724645247104,-0.7094186068352348,0.05560595958435498,0.057980819323149725
2025-03-25,574,63,62,2025-06-25,2.08,2.29,-1.9362471146787101,0.0,0.010716975056793952,0.14938622561295106,0.11293165317236345,0.11208938044617289,0.09190438571967174,0.09107903631278624,1.0285694683393298,0.9863982698252298,0.7293,True,True,True,0.49450455208621624,0.47422993741597586,0.012591936808007853,0.5721206787670404,0.05429406402517473,0.053889125214506194
2025-06-25,636,64,64,2025-09-25,2.29,1.89,0.5035809522331157,0.0,0.010716975056793952,0.16705024211759675,0.2769664187923215,0.26719659192139733,0.21438828295460588,0.2126394525892613,1.2602481071332714,1.3017368958146287,0.0988,False,False,True,0.5503266843376731,0.5684440593076981,0.012566185986555345,-1.2133592922822836,0.12094603440712728,0.11667973446349228
2025-09-25,700,63,63,2025-12-25,1.89,1.65,-0.6808022971736969,0.0,0.010117483138428305,0.16226790991884166,0.15802467575351636,0.15779801637394383,0.1284831100138366,0.1294346949901808,1.0143511541311612,1.0889492663804201,0.17095,False,True,True,0.5366937323445298,0.5761636330055133,0.008976835993477872,-0.8992475737838215,0.08361093955212506,0.08349101395446765
2025-12-25,763,62,59,2026-03-25,1.65,1.87,-0.7514883100765561,0.0,0.008914169302008671,0.16032668568051886,0.12149581504434293,0.12231642026094769,0.10320971359411701,0.10200578032524377,0.8750477746923271,0.9726679850657072,0.7817,False,True,True,0.5303319846620165,0.589495748524671,0.008230650188949085,0.7250756364018246,0.07363382729960177,0.07413116379451376
2026-03-25,822,62,61,2026-06-25,1.87,2.01,-0.5856598252411335,0.0,0.008914169302008671,0.18648384035699517,0.0955018269162832,0.10485530203020196,0.06162836984396858,0.06538749962064339,1.1579803260348862,1.2450319393853206,0.6444,True,True,True,0.6192408160614364,0.6657924809547169,0.00895361514014037,0.33934372963006476,0.05107049567715679,0.05607235402684597
