"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2026","13.98","14.08","14.20","13.92","7.06M","-0.64%"
"08/05/2026","14.07","14.51","14.62","14.07","11.57M","-2.29%"
"08/04/2026","14.40","14.40","14.44","13.90","15.51M","1.19%"
"08/03/2026","14.23","13.81","14.39","13.81","23.12M","3.87%"
"08/02/2026","13.70","12.97","13.70","12.96","14.84M","6.20%"
"07/30/2026","12.90","12.90","13.08","12.69","4.81M","0.31%"
"07/29/2026","12.86","13.07","13.07","12.83","2.50M","-0.39%"
"07/28/2026","12.91","13.10","13.30","12.91","4.07M","-1.30%"
"07/27/2026","13.08","12.95","13.17","12.84","6.31M","1.40%"
"07/26/2026","12.90","13.00","13.19","12.90","6.59M","-0.15%"
"07/22/2026","12.92","13.18","13.22","12.92","4.10M","-1.00%"
"07/21/2026","13.05","13.13","13.28","13.00","3.97M","-0.31%"
"07/20/2026","13.09","13.32","13.39","13.04","3.41M","-1.36%"
"07/19/2026","13.27","13.49","13.52","13.20","4.14M","-0.23%"
"07/16/2026","13.30","13.44","13.55","13.30","2.41M","0.00%"
"07/15/2026","13.30","13.60","13.70","13.29","5.41M","-2.06%"
"07/14/2026","13.58","13.49","13.80","13.33","10.02M","3.43%"
"07/13/2026","13.13","13.23","13.35","13.13","5.53M","0.38%"
"07/12/2026","13.08","13.12","13.25","12.99","5.49M","0.62%"
"07/09/2026","13.00","13.11","13.21","12.94","7.63M","-0.23%"
"07/08/2026","13.03","12.97","13.11","12.65","6.00M","2.92%"
"07/07/2026","12.66","12.70","13.19","12.65","6.34M","0.24%"
"07/06/2026","12.63","12.81","12.86","12.58","3.52M","-0.55%"
"07/05/2026","12.70","12.40","12.75","12.40","2.20M","3.42%"
"07/01/2026","12.28","12.26","12.50","12.24","1.71M","0.66%"
"06/30/2026","12.20","12.24","12.53","12.19","2.71M","0.33%"
"06/29/2026","12.16","12.29","12.40","12.13","2.03M","0.08%"
"06/28/2026","12.15","12.90","12.99","12.15","1.81M","-5.52%"
"06/25/2026","12.86","13.20","13.40","12.80","2.96M","-1.83%"
"06/24/2026","13.10","12.86","13.22","12.69","1.52M","2.10%"
"06/23/2026","12.83","13.30","13.30","12.80","2.29M","-2.88%"
"06/22/2026","13.21","13.70","13.70","13.11","3.30M","-3.29%"
"06/21/2026","13.66","13.55","13.85","13.55","1.39M","0.22%"
"06/17/2026","13.63","13.89","13.89","13.53","3.19M","-0.87%"
"06/16/2026","13.75","13.25","13.80","13.23","3.66M","4.17%"
"06/15/2026","13.20","13.31","13.40","12.90","3.94M","-0.75%"
"06/14/2026","13.30","13.88","14.08","13.20","5.17M","-3.06%"
"06/11/2026","13.72","13.91","14.20","13.65","2.65M","-2.00%"
"06/10/2026","14.00","14.80","14.84","13.98","2.96M","-5.34%"
"06/09/2026","14.79","14.66","14.85","14.59","2.29M","0.89%"
"06/08/2026","14.66","14.52","14.94","14.46","3.98M","1.10%"
