"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2026","1.50","1.55","1.55","1.50","12.72M","-3.23%"
"08/06/2026","1.55","1.60","1.61","1.55","17.10M","-3.13%"
"08/04/2026","1.60","1.60","1.62","1.59","3.47M","0.63%"
"08/03/2026","1.59","1.58","1.61","1.58","1.71M","0.63%"
"07/31/2026","1.58","1.59","1.59","1.58","1.18M","-1.25%"
"07/30/2026","1.60","1.59","1.60","1.58","1.07M","0.63%"
"07/29/2026","1.59","1.61","1.61","1.59","1.55M","-0.62%"
"07/28/2026","1.60","1.60","1.62","1.60","1.78M","-1.23%"
"07/27/2026","1.62","1.61","1.63","1.60","1.51M","0.62%"
"07/24/2026","1.61","1.59","1.61","1.59","296.06K","1.26%"
"07/23/2026","1.59","1.58","1.62","1.58","1.34M","0.00%"
"07/22/2026","1.59","1.61","1.63","1.59","2.68M","-1.85%"
"07/21/2026","1.62","1.61","1.65","1.60","2.16M","0.62%"
"07/20/2026","1.61","1.60","1.61","1.58","807.82K","0.00%"
"07/17/2026","1.61","1.59","1.61","1.59","449.64K","0.00%"
"07/16/2026","1.61","1.61","1.62","1.60","4.89M","0.00%"
"07/15/2026","1.61","1.59","1.61","1.58","1.18M","1.26%"
"07/14/2026","1.59","1.62","1.63","1.59","3.30M","-1.85%"
"07/13/2026","1.62","1.61","1.62","1.60","2.12M","0.62%"
"07/10/2026","1.61","1.63","1.64","1.61","1.70M","-1.23%"
"07/09/2026","1.63","1.61","1.63","1.60","3.32M","0.00%"
"07/08/2026","1.63","1.65","1.66","1.60","3.21M","-1.81%"
"07/07/2026","1.66","1.68","1.68","1.65","1.97M","-1.19%"
"07/06/2026","1.68","1.65","1.68","1.63","3.80M","2.44%"
"07/03/2026","1.64","1.65","1.65","1.63","809.82K","0.00%"
"07/02/2026","1.64","1.64","1.65","1.63","4.11M","0.61%"
"07/01/2026","1.63","1.64","1.66","1.62","2.12M","0.00%"
"06/30/2026","1.63","1.67","1.67","1.62","2.27M","-0.61%"
"06/29/2026","1.64","1.65","1.65","1.63","2.06M","-0.61%"
"06/26/2026","1.65","1.67","1.68","1.63","3.75M","-1.79%"
"06/25/2026","1.68","1.68","1.69","1.66","6.07M","0.00%"
"06/24/2026","1.68","1.67","1.68","1.65","4.89M","1.20%"
"06/23/2026","1.66","1.67","1.67","1.64","2.91M","-0.60%"
"06/22/2026","1.67","1.67","1.68","1.65","7.27M","-0.60%"
"06/19/2026","1.68","1.70","1.70","1.68","23.65M","-1.18%"
"06/18/2026","1.70","1.66","1.72","1.65","10.71M","3.03%"
"06/17/2026","1.65","1.65","1.66","1.64","5.53M","0.00%"
"06/16/2026","1.65","1.66","1.68","1.63","10.28M","0.00%"
"06/12/2026","1.65","1.68","1.68","1.62","5.69M","-1.79%"
"06/11/2026","1.68","1.65","1.68","1.63","5.55M","1.20%"
"06/10/2026","1.66","1.62","1.66","1.61","4.36M","0.61%"
"06/09/2026","1.65","1.60","1.65","1.59","7.63M","3.12%"
"06/08/2026","1.60","1.59","1.61","1.57","8.80M","-1.23%"
"06/05/2026","1.62","1.58","1.62","1.56","4.14M","2.53%"
"06/04/2026","1.58","1.57","1.58","1.54","8.66M","-0.63%"
"06/03/2026","1.59","1.61","1.61","1.56","1.21M","-1.24%"
"06/02/2026","1.61","1.62","1.62","1.58","1.51M","0.00%"
"06/01/2026","1.61","1.62","1.62","1.59","2.79M","1.26%"
"05/25/2026","1.59","1.59","1.62","1.58","3.88M","0.00%"
"05/22/2026","1.59","1.59","1.59","1.57","1.68M","0.63%"
"05/21/2026","1.58","1.56","1.59","1.56","1.75M","0.00%"
"05/20/2026","1.58","1.56","1.58","1.55","1.71M","1.28%"
"05/19/2026","1.56","1.56","1.59","1.54","9.02M","0.65%"
"05/18/2026","1.55","1.59","1.59","1.55","3.22M","-2.52%"
"05/15/2026","1.59","1.58","1.60","1.57","977.25K","0.63%"
"05/14/2026","1.58","1.60","1.62","1.55","2.98M","-0.63%"
"05/13/2026","1.59","1.63","1.63","1.59","11.77M","-1.85%"
"05/12/2026","1.62","1.65","1.65","1.61","3.71M","-1.22%"
"05/11/2026","1.64","1.65","1.69","1.64","4.51M","0.00%"
"05/08/2026","1.64","1.64","1.66","1.62","2.78M","0.00%"
"05/07/2026","1.64","1.60","1.67","1.60","14.29M","7.19%"
"05/05/2026","1.53","1.54","1.55","1.52","2.67M","-1.29%"
"05/04/2026","1.55","1.54","1.56","1.53","3.17M","1.97%"
"05/01/2026","1.52","1.55","1.55","1.52","2.18M","-1.94%"
"04/30/2026","1.55","1.53","1.55","1.52","2.30M","0.65%"
"04/29/2026","1.54","1.54","1.55","1.52","3.68M","0.00%"
"04/28/2026","1.54","1.55","1.55","1.53","2.91M","0.00%"
"04/27/2026","1.54","1.56","1.57","1.54","1.44M","0.00%"
"04/24/2026","1.54","1.55","1.56","1.54","1.17M","-0.65%"
"04/23/2026","1.55","1.57","1.57","1.55","655.82K","-1.27%"
"04/22/2026","1.57","1.59","1.59","1.55","2.29M","-1.26%"
"04/21/2026","1.59","1.59","1.60","1.57","593.32K","0.00%"
"04/20/2026","1.59","1.60","1.60","1.55","1.26M","-0.62%"
"04/17/2026","1.60","1.62","1.62","1.58","660.66K","0.63%"
"04/16/2026","1.59","1.59","1.59","1.57","1.87M","1.27%"
"04/15/2026","1.57","1.62","1.62","1.57","1.35M","-1.26%"
"04/14/2026","1.59","1.58","1.59","1.57","403.58K","0.63%"
"04/13/2026","1.58","1.57","1.59","1.55","3.23M","0.00%"
"04/10/2026","1.58","1.58","1.60","1.57","180.31K","0.64%"
"04/09/2026","1.57","1.57","1.60","1.55","2.97M","0.00%"
"04/08/2026","1.57","1.57","1.60","1.55","7.48M","3.29%"
"04/07/2026","1.52","1.54","1.54","1.50","2.51M","0.00%"
"04/06/2026","1.52","1.52","1.53","1.51","951.23K","0.00%"
"04/03/2026","1.52","1.54","1.54","1.51","1.30M","-3.80%"
"04/02/2026","1.58","1.57","1.58","1.55","2.74M","0.64%"
"04/01/2026","1.57","1.50","1.61","1.50","9.75M","4.67%"
"03/31/2026","1.50","1.51","1.51","1.48","2.86M","0.00%"
"03/30/2026","1.50","1.51","1.52","1.49","796.48K","0.00%"
"03/27/2026","1.50","1.53","1.54","1.49","7.86M","0.00%"
"03/26/2026","1.50","1.55","1.55","1.49","2.34M","-1.96%"
"03/25/2026","1.53","1.52","1.58","1.51","8.10M","0.66%"
"03/24/2026","1.52","1.52","1.55","1.51","4.69M","0.00%"
"03/23/2026","1.52","1.53","1.54","1.50","2.77M","-1.94%"
"03/18/2026","1.55","1.54","1.57","1.53","8.21M","1.31%"
"03/17/2026","1.53","1.52","1.59","1.52","5.14M","0.00%"
"03/16/2026","1.53","1.57","1.57","1.51","3.01M","-2.55%"
"03/13/2026","1.57","1.60","1.60","1.57","2.54M","-1.87%"
"03/12/2026","1.60","1.63","1.64","1.56","10.00M","-1.84%"
"03/11/2026","1.63","1.68","1.68","1.62","8.00M","-1.21%"
"03/10/2026","1.65","1.68","1.68","1.60","20.77M","1.23%"
"03/09/2026","1.63","1.68","1.68","1.62","5.56M","-4.12%"
"03/06/2026","1.70","1.76","1.76","1.68","8.08M","-3.41%"
"03/05/2026","1.76","1.62","1.77","1.62","7.77M","3.53%"
"03/04/2026","1.70","1.70","1.70","1.70","2.14M","-4.49%"
"02/27/2026","1.78","1.80","1.81","1.77","1.54M","-1.11%"
"02/26/2026","1.80","1.80","1.83","1.79","3.79M","0.00%"
"02/25/2026","1.80","1.79","1.80","1.77","1.11M","1.69%"
"02/24/2026","1.77","1.77","1.79","1.76","2.56M","0.00%"
"02/23/2026","1.77","1.73","1.78","1.73","975.40K","2.31%"
"02/20/2026","1.73","1.76","1.76","1.73","723.23K","-1.70%"
"02/19/2026","1.76","1.80","1.82","1.73","1.93M","-2.22%"
"02/18/2026","1.80","1.78","1.80","1.78","660.74K","1.69%"
"02/17/2026","1.77","1.82","1.82","1.74","4.89M","-2.21%"
"02/16/2026","1.81","1.83","1.83","1.80","4.04M","-1.09%"
"02/13/2026","1.83","1.82","1.85","1.80","3.06M","0.55%"
"02/12/2026","1.82","1.82","1.84","1.80","1.64M","0.00%"
"02/11/2026","1.82","1.95","1.96","1.80","24.19M","-4.21%"
"02/10/2026","1.90","1.80","1.93","1.79","15.51M","6.15%"
"02/09/2026","1.79","1.78","1.80","1.77","235.03K","0.56%"
"02/06/2026","1.78","1.78","1.79","1.77","832.56K","0.56%"
"02/05/2026","1.77","1.77","1.78","1.76","2.27M","0.57%"
"02/04/2026","1.76","1.76","1.78","1.75","7.88M","0.00%"
"02/03/2026","1.76","1.77","1.78","1.76","4.61M","0.00%"
"02/02/2026","1.76","1.76","1.81","1.75","8.78M","0.00%"
"01/30/2026","1.76","1.75","1.76","1.74","7.23M","0.57%"
"01/29/2026","1.75","1.72","1.76","1.72","14.60M","1.74%"
"01/28/2026","1.72","1.67","1.72","1.67","16.06M","2.99%"
"01/27/2026","1.67","1.67","1.69","1.64","4.48M","0.60%"
"01/26/2026","1.66","1.65","1.68","1.62","3.53M","0.61%"
"01/23/2026","1.65","1.64","1.67","1.63","2.24M","1.23%"
"01/22/2026","1.63","1.66","1.68","1.63","2.06M","-1.81%"
"01/21/2026","1.66","1.65","1.67","1.65","1.08M","0.00%"
"01/20/2026","1.66","1.63","1.68","1.63","6.40M","1.22%"
"01/19/2026","1.64","1.61","1.64","1.61","1.32M","0.61%"
