"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2026","9,828.14","9,840.64","9,859.25","9,826.85","103.38M","-0.13%"
"07/23/2026","9,840.64","9,771.47","9,857.48","9,771.47","113.60M","0.71%"
"07/22/2026","9,771.47","9,784.62","9,810.71","9,751.02","134.10M","-0.13%"
"07/21/2026","9,784.62","9,750.75","9,815.32","9,750.75","197.27M","0.35%"
"07/20/2026","9,750.75","9,781.59","9,781.59","9,690.43","150.94M","-0.32%"
"07/17/2026","9,781.59","9,781.31","9,786.90","9,754.98","98.30M","0.00%"
"07/16/2026","9,781.31","9,831.46","9,855.85","9,781.31","100.49M","-0.51%"
"07/15/2026","9,831.46","9,852.27","9,895.93","9,823.68","130.96M","-0.21%"
"07/14/2026","9,852.27","9,903.73","9,903.73","9,845.41","178.00M","-0.52%"
"07/13/2026","9,903.73","9,936.08","9,946.46","9,870.13","142.06M","-0.33%"
"07/10/2026","9,936.08","9,881.79","9,946.84","9,881.79","195.65M","0.55%"
"07/09/2026","9,881.79","9,885.05","9,888.09","9,812.13","286.85M","-0.03%"
"07/08/2026","9,885.05","9,941.08","9,941.08","9,830.57","203.32M","-0.56%"
"07/07/2026","9,941.08","9,922.31","9,941.08","9,902.16","126.84M","0.19%"
"07/06/2026","9,922.31","9,900.80","9,933.28","9,888.77","129.06M","0.22%"
"07/03/2026","9,900.80","9,809.64","9,900.80","9,809.64","98.48M","0.93%"
"07/02/2026","9,809.64","9,788.52","9,835.98","9,788.52","130.27M","0.22%"
"07/01/2026","9,788.52","9,804.16","9,859.88","9,788.52","126.05M","-0.16%"
"06/30/2026","9,804.16","9,839.47","9,868.28","9,761.22","134.74M","-0.36%"
"06/29/2026","9,839.47","9,880.00","9,880.00","9,825.46","125.02M","-0.41%"
"06/26/2026","9,880.00","9,876.06","9,917.46","9,815.56","160.07M","0.04%"
"06/25/2026","9,876.06","9,993.42","10,038.51","9,876.06","291.50M","-1.17%"
"06/24/2026","9,993.42","10,024.70","10,060.04","9,993.42","191.48M","-0.31%"
"06/23/2026","10,024.70","10,035.76","10,039.45","9,975.99","192.52M","-0.11%"
"06/22/2026","10,035.76","10,016.82","10,081.39","10,016.82","266.55M","0.19%"
"06/19/2026","10,016.82","10,113.48","10,115.12","10,016.82","287.87M","-0.96%"
"06/18/2026","10,113.48","9,996.20","10,113.48","9,996.20","435.11M","1.17%"
"06/17/2026","9,996.20","9,963.26","9,996.20","9,934.89","225.80M","0.33%"
"06/16/2026","9,963.26","9,804.97","10,003.10","9,804.97","457.59M","1.61%"
"06/12/2026","9,804.97","9,545.51","9,804.97","9,545.51","340.07M","2.72%"
"06/11/2026","9,545.51","9,576.74","9,579.85","9,523.14","710.73M","-0.33%"
"06/10/2026","9,576.74","9,561.41","9,586.67","9,521.66","150.20M","0.16%"
"06/09/2026","9,561.41","9,483.97","9,603.67","9,483.97","202.85M","0.82%"
"06/08/2026","9,483.97","9,614.11","9,614.11","9,482.49","138.97M","-1.35%"
"06/05/2026","9,614.11","9,584.97","9,646.90","9,584.97","117.61M","0.30%"
"06/04/2026","9,584.97","9,582.12","9,624.87","9,575.04","149.77M","0.03%"
"06/03/2026","9,582.12","9,621.19","9,628.46","9,547.07","139.48M","-0.41%"
"06/02/2026","9,621.19","9,650.53","9,696.94","9,616.48","230.21M","-0.30%"
"06/01/2026","9,650.53","9,701.92","9,732.37","9,642.33","288.78M","-0.53%"
"05/25/2026","9,701.92","9,658.20","9,768.85","9,658.20","270.95M","0.45%"
"05/22/2026","9,658.20","9,636.68","9,670.28","9,625.17","201.65M","0.22%"
"05/21/2026","9,636.68","9,598.37","9,654.71","9,598.37","159.32M","0.40%"
"05/20/2026","9,598.37","9,648.64","9,648.64","9,571.04","175.09M","-0.52%"
"05/19/2026","9,648.64","9,561.37","9,656.36","9,561.37","448.48M","0.91%"
"05/18/2026","9,561.37","9,677.72","9,677.72","9,508.57","149.54M","-1.20%"
"05/15/2026","9,677.72","9,704.53","9,710.39","9,635.75","160.86M","-0.28%"
"05/14/2026","9,704.53","9,705.10","9,742.30","9,691.97","153.98M","-0.01%"
"05/13/2026","9,705.10","9,699.32","9,744.40","9,668.96","201.30M","0.06%"
"05/12/2026","9,699.32","9,787.94","9,788.43","9,666.12","172.88M","-0.91%"
"05/11/2026","9,787.94","9,839.74","9,839.74","9,707.85","155.38M","-0.53%"
"05/08/2026","9,839.74","9,876.33","9,876.33","9,819.28","174.63M","-0.37%"
"05/07/2026","9,876.33","9,874.76","9,927.79","9,868.37","301.04M","0.02%"
"05/06/2026","9,874.76","9,791.05","9,902.82","9,791.05","375.44M","0.85%"
"05/05/2026","9,791.05","9,820.78","9,820.78","9,707.33","232.32M","-0.30%"
"05/04/2026","9,820.78","9,789.49","9,876.88","9,789.49","388.42M","0.32%"
"05/01/2026","9,789.49","9,778.76","9,803.71","9,752.99","248.40M","0.11%"
"04/30/2026","9,778.76","9,901.24","9,901.24","9,778.76","281.85M","-1.24%"
"04/29/2026","9,901.24","9,835.52","9,925.68","9,835.52","412.66M","0.67%"
"04/28/2026","9,835.52","9,827.66","9,874.37","9,825.80","179.19M","0.08%"
"04/27/2026","9,827.66","9,788.84","9,847.85","9,777.21","190.55M","0.40%"
"04/24/2026","9,788.84","9,746.70","9,788.84","9,714.07","156.93M","0.43%"
"04/23/2026","9,746.70","9,785.78","9,789.18","9,720.56","147.21M","-0.40%"
"04/22/2026","9,785.78","9,861.11","9,887.64","9,758.29","153.75M","-0.76%"
"04/21/2026","9,861.11","9,841.72","9,889.60","9,841.72","570.26M","0.20%"
"04/20/2026","9,841.72","9,920.94","9,926.63","9,841.72","193.22M","-0.80%"
"04/17/2026","9,920.94","9,918.14","9,956.74","9,888.59","229.06M","0.03%"
"04/16/2026","9,918.14","9,892.31","9,937.71","9,892.31","303.83M","0.26%"
"04/15/2026","9,892.31","9,840.00","9,910.30","9,840.00","264.08M","0.53%"
"04/14/2026","9,840.00","9,785.62","9,866.53","9,785.62","215.29M","0.56%"
"04/13/2026","9,785.62","9,838.39","9,838.39","9,736.85","185.05M","-0.54%"
"04/10/2026","9,838.39","9,836.37","9,857.21","9,824.63","148.09M","0.02%"
"04/09/2026","9,836.37","9,868.93","9,869.51","9,784.07","180.43M","-0.33%"
"04/08/2026","9,868.93","9,595.84","10,067.05","9,595.84","406.75M","2.85%"
"04/07/2026","9,595.84","9,625.19","9,640.55","9,584.58","93.69M","-0.30%"
"04/06/2026","9,625.19","9,600.55","9,650.87","9,559.98","118.68M","0.26%"
"04/03/2026","9,600.55","9,582.64","9,615.80","9,574.06","80.92M","0.19%"
"04/02/2026","9,582.64","9,649.72","9,649.72","9,551.22","129.47M","-0.70%"
"04/01/2026","9,649.72","9,520.84","9,676.14","9,520.84","313.00M","1.35%"
"03/31/2026","9,520.84","9,525.78","9,606.91","9,514.60","129.86M","-0.05%"
