Date,Price,Open,High,Low,Vol.,Change %
07/07/2026,31.25,31.26,31.66,31.02,2.11M,0.06%
07/06/2026,31.23,31.07,31.48,30.52,2.87M,0.19%
07/05/2026,31.17,31.93,32.39,31.17,3.23M,-2.32%
07/01/2026,31.91,32.41,32.49,31.87,1.04M,-1.66%
06/30/2026,32.45,31.4,32.45,31.01,3.84M,3.18%
06/29/2026,31.45,30.65,32.1,30.17,3.60M,1.45%
06/28/2026,31,31.45,31.45,29.5,2.00M,-1.59%
06/25/2026,31.5,31.5,31.5,30.7,2.26M,0.10%
06/24/2026,31.47,31.2,31.7,30.2,1.59M,0.70%
06/23/2026,31.25,31.2,31.5,30.27,2.23M,-0.16%
06/22/2026,31.3,29.02,31.7,29.02,7.79M,7.89%
06/21/2026,29.01,28.8,29.27,28.6,2.48M,0.73%
06/17/2026,28.8,28.25,28.8,27.4,3.13M,1.66%
06/16/2026,28.33,28.5,28.55,27.77,1.67M,-0.60%
06/15/2026,28.5,28.4,28.81,28.05,3.65M,0.35%
06/14/2026,28.4,28.3,28.6,28.11,3.50M,1.46%
06/11/2026,27.99,27.5,27.99,26.62,3.24M,1.08%
06/10/2026,27.69,27.8,28.49,27.5,6.49M,-0.75%
06/09/2026,27.9,27.3,28.13,27.13,8.79M,5.28%
06/08/2026,26.5,25.53,26.61,25.25,3.36M,3.11%
06/07/2026,25.7,26.19,26.29,25.61,2.26M,-2.39%
06/04/2026,26.33,26.01,26.41,25.91,2.35M,1.35%
06/03/2026,25.98,26.42,26.44,25.9,4.55M,-1.33%
06/02/2026,26.33,26.75,26.75,26.25,2.27M,-1.35%
06/01/2026,26.69,26.8,26.99,26.45,2.08M,0.34%
05/25/2026,26.6,26,26.6,25.9,3.80M,2.78%
05/24/2026,25.88,25.7,26.14,25.6,2.94M,1.41%
05/21/2026,25.52,25.79,26.18,25.3,3.03M,0.08%
05/20/2026,25.5,26.28,26.33,25.25,3.93M,-2.49%
05/19/2026,26.15,26.7,26.71,26.06,5.76M,-1.32%
05/18/2026,26.5,27.61,27.79,25.8,6.87M,-3.64%
05/17/2026,27.5,29.17,29.17,27.42,6.20M,-5.79%
05/14/2026,29.19,28.8,29.19,28.23,3.13M,1.35%
05/13/2026,28.8,29.3,29.5,28.75,5.88M,-1.71%
05/12/2026,29.3,29,29.3,28.64,5.13M,2.09%
05/11/2026,28.7,28.51,28.85,28.11,4.60M,0.70%
05/10/2026,28.5,28.02,28.7,27.6,10.91M,3.30%
05/06/2026,27.59,26.71,27.65,26.7,3.48M,3.72%
05/05/2026,26.6,26.54,26.88,26.3,1.32M,-1.04%
05/04/2026,26.88,26.7,27.41,26.26,4.98M,1.05%
05/03/2026,26.6,26.6,26.8,26.45,2.25M,0.57%
04/30/2026,26.45,27,27.04,26.45,1.38M,-2.00%
04/29/2026,26.99,26.4,27,26.12,1.82M,2.16%
04/28/2026,26.42,27.1,27.2,26.4,2.34M,-2.33%
04/27/2026,27.05,27.1,27.19,26.75,1.89M,-0.18%
04/26/2026,27.1,28.02,28.1,26.85,3.73M,-2.52%
04/23/2026,27.8,27.4,28.55,27.27,8.23M,2.02%
04/22/2026,27.25,27.99,27.99,27.02,3.19M,-1.98%
04/21/2026,27.8,27.2,28.08,27.01,3.41M,2.13%
04/20/2026,27.22,27.45,27.8,27.01,1.54M,-2.26%
04/19/2026,27.85,27.75,28.7,27.4,3.49M,0.54%
04/16/2026,27.7,27.02,28.73,26.75,6.97M,2.63%
04/15/2026,26.99,26.25,27.25,26.2,5.40M,3.17%
04/14/2026,26.16,25.59,26.5,25.25,2.92M,1.99%
04/12/2026,25.65,26.05,25.65,25.65,4.05M,0.00%
04/09/2026,25.65,26.05,26.05,25.52,4.05M,-1.54%
04/08/2026,26.05,24.98,26.19,24.91,8.44M,7.07%
04/07/2026,24.33,24.5,24.68,24.31,1.55M,-0.73%
04/06/2026,24.51,24.55,24.93,24.5,2.32M,-0.16%
04/05/2026,24.55,24.7,24.84,24.3,1.83M,-0.20%
04/02/2026,24.6,25,25,24.56,3.41M,-1.60%
04/01/2026,25,24.15,25.09,24.15,4.93M,3.73%
03/31/2026,24.1,24.38,24.55,24.1,2.01M,-1.43%
03/30/2026,24.45,24.25,24.87,24.03,3.51M,0.87%
03/29/2026,24.24,24.6,24.79,24.1,2.07M,-2.26%
03/26/2026,24.8,24.76,24.84,24.56,1.28M,0.16%
03/25/2026,24.76,24.8,24.99,24.42,4.41M,-0.20%
03/24/2026,24.81,25.35,25.87,24.65,3.52M,-0.44%
03/18/2026,24.92,24.55,25.14,24.38,5.38M,2.05%
03/17/2026,24.42,24.09,24.5,24.01,5.71M,1.54%
03/16/2026,24.05,24.65,24.79,23.92,3.03M,-2.24%
03/15/2026,24.6,25.36,25.38,24.55,2.93M,-2.61%
03/12/2026,25.26,25.81,26,24.81,5.05M,-2.81%
03/11/2026,25.99,26,26.46,25.61,2.21M,0.35%
03/10/2026,25.9,25,25.9,24.82,12.56M,5.11%
03/09/2026,24.64,25.8,25.83,23.95,11.47M,-4.09%
03/08/2026,25.69,27.1,27.24,25.51,4.07M,-4.85%
03/05/2026,27,27,27.85,26.85,3.43M,0.60%
03/04/2026,26.84,27.98,27.98,25.99,3.62M,-3.52%
03/03/2026,27.82,28,28.17,27.25,1.18M,-1.24%
03/02/2026,28.17,27.9,28.2,27.52,876.98K,1.33%
03/01/2026,27.8,27.1,28.27,26.1,2.59M,-2.63%
02/26/2026,28.55,28.91,29.28,28.55,970.29K,-1.28%
02/25/2026,28.92,29.99,30,28.7,950.63K,-3.63%
02/24/2026,30.01,30.2,30.35,29.56,638.28K,-0.63%
02/23/2026,30.2,29.2,30.3,29.2,2.30M,3.60%
02/22/2026,29.15,30.57,30.93,28.63,3.61M,-4.65%
02/19/2026,30.57,31.12,31.61,30.2,2.93M,-1.48%
02/18/2026,31.03,30.74,31.6,30.45,6.03M,1.21%
02/17/2026,30.66,30.51,30.85,30.4,358.54K,0.52%
02/16/2026,30.5,31.01,31.3,30.2,1.94M,-0.72%
02/15/2026,30.72,30.68,31.13,30.32,3.31M,0.99%
02/12/2026,30.42,30.55,31.2,30.01,2.23M,-0.59%
02/11/2026,30.6,31.45,31.45,30.52,1.78M,-2.55%
02/10/2026,31.4,31.14,31.58,30.2,5.57M,0.83%
02/09/2026,31.14,29.9,31.2,29.8,6.51M,4.85%
02/08/2026,29.7,30.92,31.05,29.37,3.11M,-3.45%
02/05/2026,30.76,31.51,31.9,30.1,2.13M,-2.35%
02/04/2026,31.5,31.8,32.5,31.11,1.32M,-0.91%
02/03/2026,31.79,31.03,33.4,31,4.25M,2.55%
02/02/2026,31,30.5,31,29.8,2.06M,1.97%
02/01/2026,30.4,30.62,31.38,30.12,1.45M,-2.03%
01/28/2026,31.03,31.44,31.75,30.6,3.06M,-1.18%
01/27/2026,31.4,31.63,31.9,30.89,1.87M,-0.63%
01/26/2026,31.6,30,31.8,30,9.39M,5.33%
01/25/2026,30,30.18,30.18,29.5,2.28M,2.18%
01/22/2026,29.36,29.01,30.25,28.5,6.29M,1.56%
01/21/2026,28.91,29.49,30.25,28.6,4.11M,-1.36%
01/20/2026,29.31,28,30.44,28,8.20M,4.68%
