origin,h1_fy,rev_gap,rev_gap_pc_rev,rev_gap_m3w_rev,rev_gap_cv_rev,rev_gap_fin_rev,rev_gap_resid_rev,np_gap,np_gap_gp,np_gap_sga,np_gap_fin,np_gap_tax
2016,2016,-802.1505743460202,16.391708347785425,673.078205773272,691.2406289103649,-51.41577186027689,-2131.445345517165,1181.1710851214407,-513.5759230150061,178.28443346576614,1260.9715001549184,
2017,2017,1981.3382215965175,,-176.3341088906625,380.45580377596025,,,-748.0658592408599,569.8741374119556,-156.01058769136466,-1238.0235017371242,
2018,2018,-6634.205423799445,-3567.2999999999993,-587.0240306245164,-311.01440097492673,-1737.0000000000005,-431.86699220000173,-2206.3395632903494,-2128.6286673687705,249.6642672867888,-529.4177955210082,
2019,2019,3085.1633834126733,2809.999999999999,2556.9916694158155,575.3475203968594,-229.79999999999927,-2627.375806400004,-576.7509903291632,-843.2936285459778,229.82848831870024,-395.5034603417889,
2020,2020,10727.257569811638,1800.7262973599463,-321.42629062328024,1237.6607817622462,326.03035387314503,7684.266427439581,-638.4108674769961,-202.8807528688194,-135.73315187763592,-614.2645467662892,
2021,2021,-3152.155265414629,-2844.1110552123137,-172.10379165894892,-312.3743440674974,-33.251729535796585,209.68565505992683,6.82529075895377,-521.4812394384971,409.750803718714,-255.02948860442905,
2022,2022,6095.335573917171,6376.390993402847,2136.9771086109804,-517.210303965593,-151.9712491944356,-1748.8509749366258,-8313.555559167828,-918.8535225536025,433.8422014209873,350.6222803795936,
2023,2023,4284.196510253107,,1364.1496164722962,227.93187226733744,,,1193.9797146300923,1874.461294536116,-1151.0083926849939,1684.5078504463509,
2024,2024,-24644.928798031688,-19989.100000000002,-1044.7642658441089,-2235.826347854243,-2432.7000000000007,1057.461815666663,-1991.9414775131672,-4115.572520346705,1049.0072261101323,-233.43718320428252,
2025,2025,-20594.351559295385,-16293.900000000001,-1133.9047265416004,492.2254691386697,-5038.576488392464,1379.8041865000096,-1610.661417742717,-3430.875464906221,835.4601888570542,445.4293662278196,
