origin,fy,h,line,forecast,actual,log_err,scaled_err,freeze_err,trend_err,crosses_B4,log_err_realized_macro
2016,2016,1,sga,1021.269566534234,1199.554,-0.16090329463653083,,-0.2922000496630146,-0.07303631761300942,0,-0.1252002944135295
2016,2017,2,sga,1176.4936679810849,1282.791,-0.08649962582026753,,-0.35928840153043884,0.07903906256957151,0,0.17229253324066485
2016,2018,3,sga,1371.3416359881521,1702.502,-0.21630937679995166,,-0.6423491624047658,0.01514203374524977,0,-0.08709113653018005
2016,2019,4,sga,1619.646889674203,2184.206,-0.29904421963029587,,-0.8915026043998089,-0.014847676199788119,0,-0.2049727602660552
2016,2020,5,sga,1940.3486777460644,2613.1440000000002,-0.29768640636752847,,-1.0708043227109616,0.025014337539064572,0,-0.2609036314455051
2016,2016,1,pc_rev,8032.491708347786,8016.1,0.0020427604297886537,,-0.06789657300944199,0.0020427604297886537,0,0.0020427604297886537
2016,2016,1,fin_rev,1688.184228139723,1739.6,-0.030001671629704886,,-0.5084906497869724,-0.030001671629704886,0,-0.030001671629704886
2016,2016,1,resid_rev,577.0266544828344,2708.4719999999998,-1.5462514568337535,,,,0,-1.5462514568337535
2016,2016,1,m3w_u,150883.64471446138,94985,0.46278999057536,,0.36533450419485225,0.46278999057536,0,0.46278999057536
2016,2017,2,m3w_u,166328.4522317755,84427,0.6780772056964611,,0.48316623293544547,0.6780772056964613,0,0.6780772056964611
2016,2018,3,m3w_u,183354.22685588448,128160,0.35814046441333913,,0.0657740052718156,0.3581404644133393,0,0.35814046441333913
2016,2019,4,m3w_u,202122.80012725687,84999,0.8662359423986667,,0.47641399687663527,0.8662359423986667,0,0.8662359423986667
2016,2020,5,m3w_u,222812.56904643803,112366,0.684569519897678,,0.19729208799513878,0.684569519897678,0,0.684569519897678
2016,2016,1,cv_u,3079.9796946222273,,,,,,0,
2016,2017,2,cv_u,3666.901785576045,1699,0.7693072627235739,,0.42045906051409704,0.7693072627235739,0,0.7693072627235739
2016,2018,3,cv_u,4365.667971298109,2238,0.6681885966283737,,0.14491629331415865,0.6681885966283737,0,0.6681885966283737
2016,2019,4,cv_u,5197.59130462342,2096,0.9081645411640499,,0.21046813674509635,0.9081645411640499,0,0.9081645411640499
2016,2020,5,cv_u,6188.0462617646635,1152,1.6811198464538843,,0.8089993409301927,1.6811198464538841,0,1.6811198464538843
2016,2016,1,inv,3251.495265642922,5820.482,-0.5822681039107727,,-0.6792454187389019,-0.5055033727710545,0,-0.5117249825217293
2016,2017,2,inv,3970.961818602368,3012.824,0.27613049214360075,,-0.02074018745605597,0.32674390447963864,0,0.7477028549147019
2016,2018,3,inv,4950.881559941491,4820.828,0.026619956099758337,,-0.49080804009700246,0.030418097806539604,0,-0.012754257412064662
2016,2019,4,inv,6314.116680208863,3788.21,0.5108942575541779,,-0.249755954568517,0.44521222930287246,0,0.40145701746890683
2016,2020,5,inv,8248.79126144701,3367.987,0.8957514393332519,,-0.13217757907049893,0.736532650768738,0,0.7114786916068423
2016,2016,1,rec,1625.323247477458,2363.801,-0.3745641991195216,,-0.3597235334872545,-0.11068455238985399,0,-0.33757761748932197
2016,2017,2,rec,1957.3485457138981,2972.213,-0.4177160185905459,,-0.5887594100409499,-0.09068144784614865,0,-0.10620472648292181
2016,2018,3,rec,2410.5433342480555,4610.991,-0.6485906293803883,,-1.0278954182121076,-0.280778474919906,0,-0.6463559961065316
2016,2019,4,rec,3043.1537539042247,6435.527,-0.7489393368583879,,-1.361286350420407,-0.3651304260308044,0,-0.8065877389623447
2016,2020,5,rec,3944.884192151603,7106.385,-0.5885740774324072,,-1.4604462925414448,-0.21525138705444175,0,-0.7133043824434654
2016,2016,1,pay,1969.8091697667292,2807.9500000000003,-0.3545180098180652,,-0.44664608102984515,-0.33035810684599537,0,-0.2839748884290218
2016,2017,2,pay,2405.6738097479133,1519.834,0.4592289163227218,,0.16720748033941435,0.3997834287071137,0,0.9308012790938227
2016,2018,3,pay,2999.325263748593,2732.906,0.09302183937170892,,-0.4195569132087027,-0.07069299065715343,0,0.05364762585988598
2016,2019,4,pay,3825.1954622462517,2752.183,0.3292151522604386,,-0.4265858162459069,0.03856608048949209,0,0.21977791217516773
2016,2020,5,pay,4997.253060147742,3144.092,0.46336323726943396,,-0.5597165375179677,0.02172333340128105,0,0.27909048954302434
2016,2016,1,capex,1298.6859905924234,1385.345,-0.06459622927149826,,,,0,-0.027609647641298578
2016,2017,2,capex,1563.9849728171373,1429.438,0.0899556738724538,,,,0,0.4014669659800779
2016,2018,3,capex,1926.1023078101994,3288.502,-0.534933710654015,,,,0,-0.5326990773801581
2016,2019,4,capex,2431.578551249986,1736.04,0.3369339985680275,,,,0,0.2792855964640707
2016,2020,5,capex,3152.090418203319,707.765,1.493709018852716,,,,0,1.3689787138416578
2017,2017,1,sga,1438.8015876913646,1282.791,0.11477236341220146,,-0.06708835186742422,0.16752321712092244,0,0.20886247626247648
2017,2018,2,sga,1770.437010040041,1702.502,0.039127480655203196,,-0.35014911274175115,0.1190740252349422,0,0.11928438868376973
2017,2019,3,sga,2239.1166763227816,2184.206,0.024829071387880278,,-0.5993025547367943,0.10453215222824595,0,0.08998727651612727
2017,2020,4,sga,2909.620673995354,2613.1440000000002,0.10746862601778827,,-0.7786042730479468,0.15984200290543996,0,0.14376713990152062
2017,2021,5,sga,3875.1811614576673,3426.239,0.12312925493382376,,-1.0495133370804766,0.12354450786125705,0,0.13729386169850138
2017,2017,1,m3w_u,95303.4568456611,84427,0.12117882764767243,,0.1178317287405932,0.12117882764767243,0,0.12117882764767243
2017,2018,2,m3w_u,95622.9813837215,128160,-0.2928663011088786,,-0.29956049892303666,-0.29286630110887846,0,-0.2928663011088786
2017,2019,3,m3w_u,95943.57719384068,84999,0.1211207894030201,,0.11107949268178313,0.1211207894030201,0,0.1211207894030201
2017,2020,4,m3w_u,96265.24786767963,112366,-0.1546540205713974,,-0.1680424161997135,-0.1546540205713974,0,-0.1546540205713974
2017,2021,5,m3w_u,96587.99700894115,137252,-0.3513641733000608,,-0.368099667835456,-0.3513641733000608,0,-0.3513641733000608
2017,2017,1,inv,5361.796904621522,3012.824,0.57642131740003,,0.658505231282846,0.9939697854347311,0,0.670842816577174
2017,2018,2,inv,7310.478838217548,4820.828,0.41636307861882993,,0.1884373786418993,0.8593664869456696,0,0.3799132870890757
2017,2019,3,inv,10412.219034348222,3788.21,1.011086411619764,,0.4294894641703849,1.4358831266260406,0,0.9576486146727305
2017,2020,4,inv,15478.620895094662,3367.987,1.525144538213561,,0.547067839668403,1.8889260562759438,0,1.4635926942018318
2017,2021,5,inv,23927.60336326334,4203.342,1.7391528217685237,,0.325503153021289,2.002825923780715,0,1.6824042597670554
2017,2017,1,rec,2588.0941895561473,2972.213,-0.13838502249282997,,-0.22903587655369542,0.10204456471054092,0,-0.09591429836980621
2017,2018,2,rec,3485.701507570542,4610.991,-0.27977348399218854,,-0.6681718847248533,-0.006011002196380826,0,-0.28589854252627533
2017,2019,3,rec,4933.258118415526,6435.527,-0.26583408785809015,,-1.0015628169331525,-0.008321493140443621,0,-0.28260623267940527
2017,2020,4,rec,7324.575012992506,7106.385,0.03024145881814696,,-1.1007227590541904,0.22359900600275456,0,0.006599529230640318
2017,2021,5,rec,11349.687568676549,10239.476,0.10293977013265011,,-1.465979529783488,0.18942267653769346,0,0.08171901071368014
2017,2017,1,pay,2874.5546220539763,1519.834,0.6372966298127425,,0.6138535613692595,0.852250962481083,0,0.7317181289898865
2017,2018,2,pay,3919.2776428575658,2732.906,0.36054185012437173,,0.027089167821142575,0.5038839700447895,0,0.3240920585946178
2017,2019,3,pay,5582.1756928588475,2752.183,0.7071841945596162,,0.02006026478393824,0.7352524681194087,0,0.6537463976125826
2017,2020,4,pay,8298.363781489847,3144.092,0.9705332243833342,,-0.11307045648812258,0.8405191479591716,0,0.9089813803716051
2017,2021,5,pay,12828.013456320576,5418.617,0.8617907139712603,,-0.6573859371022734,0.5346010684568443,0,0.8050421519697919
2017,2017,1,capex,1728.0628747962319,1429.438,0.18971969556604215,,,,0,0.2321904196890659
2017,2018,2,capex,2327.3926397890996,3288.502,-0.3456835396699426,,,,0,-0.3518085982040294
2017,2019,3,capex,3293.921929357216,1736.04,0.6404722731641977,,,,0,0.6237001283428826
2017,2020,4,capex,4890.5971833209,707.765,1.9329575806991428,,,,0,1.909315651111636
2017,2021,5,capex,7578.152992696854,467.981,2.784597083631857,,,,0,2.7633763242128873
2018,2018,1,sga,1452.8377327132112,1702.502,-0.15858023284902925,,-0.2830607608743269,-0.08689574115115599,0,-0.19530054155001758
2018,2019,2,sga,1653.7230477694752,2184.206,-0.2782232371097521,,-0.53221420286937,-0.13988416342302812,0,-0.39339479236188607
2018,2020,3,sga,1892.4376733381634,2613.1440000000002,-0.32268832180982887,,-0.7115159211805225,-0.12302086201101005,0,-0.5504693540294254
2018,2021,4,sga,2177.6547746829065,3426.239,-0.4532146518304021,,-0.9824249852130522,-0.19776490632036853,0,-0.7905068293023716
2018,2022,5,sga,2520.1197049088496,4213.186,-0.5139127287416578,,-1.1891809581752257,-0.20835585955937128,0,-0.8254264942584284
2018,2018,1,pc_rev,6840.5,10407.8,-0.41969469665984116,,-0.41969469665984116,-0.5077954265588902,0,-0.41969469665984116
2018,2019,2,pc_rev,6840.5,7597.8,-0.10499790332444897,,-0.10499790332444897,-0.2811993631225472,0,-0.10499790332444897
2018,2020,3,pc_rev,6840.5,7699.0,-0.11822962191788083,,-0.11822962191788083,-0.3825318116150279,0,-0.11822962191788083
2018,2021,4,pc_rev,6840.5,12880.4,-0.6328459477165725,,-0.6328459477165725,-0.9852488673127687,0,-0.6328459477165725
2018,2022,5,pc_rev,6840.5,9231.1,-0.29971738963381234,,-0.29971738963381234,-0.7402210391290578,0,-0.29971738963381234
2018,2018,1,fin_rev,3381.1,5118.1,-0.4145821760925243,,-0.4145821760925243,0.0997385509173987,0,-0.4145821760925243
2018,2019,2,fin_rev,3381.1,5347.9,-0.45850286014940084,,-0.45850286014940084,0.570138593870445,0,-0.45850286014940084
2018,2020,3,fin_rev,3381.1,6399.8,-0.6380656395407677,,-0.6380656395407677,0.9048965414890013,0,-0.6380656395407677
2018,2021,4,fin_rev,3381.1,7949.8,-0.8549456707805204,,-0.8549456707805204,1.2023372372591714,0,-0.8549456707805204
2018,2022,5,fin_rev,3381.1,9358.7,-1.0181052916180897,,-1.0181052916180897,1.5534983434315248,0,-1.0181052916180897
2018,2018,1,resid_rev,4876.8970077999975,5308.763999999999,-0.08484988123393489,,,,0,-0.11495733688453007
2018,2019,2,resid_rev,5749.699008962604,8957.546000000002,-0.4433487983734428,,,,0,-0.5505417056243779
2018,2020,3,resid_rev,6778.703474933279,5497.163999999997,0.2095535328913321,,,,0,-0.013106678961354984
2018,2021,4,resid_rev,7991.865440163839,5834.032999999999,0.314715676462243,,,,0,-0.021794717166540425
2018,2022,5,resid_rev,9422.142958438493,7769.278999999999,0.19288518571513083,,,,0,-0.1781128720568087
2018,2018,1,m3w_u,80369.89970371168,128160,-0.4666397590281196,,-0.4173922276636298,-0.4666397590281196,0,-0.4666397590281196
2018,2019,2,m3w_u,76507.76147896613,84999,-0.10524729878778975,,-0.006752236058810242,-0.10524729878778975,0,-0.10524729878778975
2018,2020,3,m3w_u,72831.21651391147,112366,-0.433616739033776,,-0.2858741449403068,-0.433616739033776,0,-0.433616739033776
2018,2021,4,m3w_u,69331.34621060056,137252,-0.6829215220340082,,-0.4859313965760493,-0.6829215220340082,0,-0.6829215220340082
2018,2022,5,m3w_u,65999.66055017088,59100,0.11041867442191777,,0.35665633124436663,0.11041867442191797,0,0.11041867442191777
2018,2018,1,cv_u,1355.3119503699986,2238,-0.5015509603797367,,-0.2755427671999385,-0.5015509603797367,0,-0.5015509603797367
2018,2019,2,cv_u,1081.148018137569,2096,-0.6620073101285973,,-0.20999092376900072,-0.6620073101285973,0,-0.6620073101285973
2018,2020,3,cv_u,862.4442784583208,1152,-0.2894842991232992,,0.38854028041609545,-0.2894842991232992,0,-0.2894842991232992
2018,2021,4,cv_u,687.9817758227151,1576,-0.8288829214650852,,0.07514985125410753,-0.8288829214650851,0,-0.8288829214650852
2018,2022,5,cv_u,548.8110196640961,2005,-1.2956451839677285,,-0.16560421806873757,-1.2956451839677285,0,-1.2956451839677285
2018,2018,1,inv,5401.276267696718,4820.828,0.11368957397305361,,-0.47006785264094647,-0.3866378048796634,0,0.030326477265709462
2018,2019,2,inv,6170.950617450081,3788.21,0.4879592849359543,,-0.229015767112461,-0.06215567158989471,0,0.2845616495158658
2018,2020,3,inv,7136.246662101419,3367.987,0.7508717240426143,,-0.111437391614443,0.1388527516694066,0,0.39667717138993536
2018,2021,4,inv,8360.345934777719,4203.342,0.6876198828363291,,-0.33300207826155703,0.0007181127835754502,0,0.18566275056425138
2018,2022,5,inv,9929.348458376262,3920.044,0.9293919842186815,,-0.263225033328467,0.15392520547794866,0,0.5989567188032606
2018,2018,1,rec,2924.4678073693763,4610.991,-0.45533028343730375,,-0.43913600817115794,-0.1657765254324207,0,-0.4992783664855496
2018,2019,2,rec,3209.823683874413,6435.527,-0.6956177250852549,,-0.772526940379457,-0.22580797490198254,0,-0.8194862119721781
2018,2020,3,rec,3562.047185602264,7106.385,-0.6906582439774521,,-0.8716868825004949,-0.05160843428428337,0,-0.9241090077171644
2018,2021,4,rec,3998.2611738915107,10239.476,-0.9403908863465419,,-1.2369436532297924,-0.14350572227484376,0,-1.278815512625032
2018,2022,5,rec,4540.264289103735,3060.579,0.3943811100663577,,-0.02929732055428962,1.3375000931393963,0,0.14068437576945422
2018,2018,1,pay,2837.346091354339,2732.906,0.037503628487954424,,-0.5867643935481169,-0.5342602994487152,0,-0.045859468219389875
2018,2019,2,pay,3241.6639598827815,2752.183,0.16369235088516526,,-0.5937932965853212,-0.488785108386518,0,-0.03970528453492315
2018,2020,3,pay,3748.7439209045165,3144.092,0.1758956932217462,,-0.7269240178573821,-0.569411735559177,0,-0.17829885943093277
2018,2021,4,pay,4391.775884947873,5418.617,-0.21010694195157556,,-1.271239498471533,-1.061223122073926,0,-0.7120640742236535
2018,2022,5,pay,5215.989081425567,5812.3820000000005,-0.10826173829495107,,-1.3413893512641708,-1.078868880767162,0,-0.4386970037103722
2018,2018,1,capex,1753.3056389383285,3288.502,-0.6289291992646651,,,,0,-0.672877282312911
2018,2019,2,capex,1924.38499434095,1736.04,0.10299977578742597,,,,0,-0.0208687110994974
2018,2020,3,capex,2135.553484618007,707.765,1.1043690177539365,,,,0,0.8709182540142241
2018,2021,4,capex,2397.07677563323,467.981,1.633577567003058,,,,0,1.2951529407245679
2018,2022,5,capex,2722.023802175658,1160.574,0.8524609382435507,,,,0,0.5987642039466476
2019,2019,1,sga,1954.3775116813,2184.206,-0.11118064139144132,,-0.24915344199504313,-0.035037054526787924,0,-0.19004756349185714
2019,2020,2,sga,2259.5805497687343,2613.1440000000002,-0.14537489547866675,,-0.4284551603061956,-0.00022238536968510086,0,-0.34092291264795543
2019,2021,3,sga,2632.1146773813434,3426.239,-0.2636755751750426,,-0.6993642243387254,-0.0570150619339594,0,-0.5780472579587563
2019,2022,4,sga,3089.714982400626,4213.186,-0.3101402831346599,,-0.9061201973008988,-0.0496546474278776,0,-0.6128339349844679
2019,2023,5,sga,3654.7698620995398,3430.639,0.06328658479076402,,-0.7006476074188754,0.3699343299224012,1,0.17886592045114622
2019,2019,1,pc_rev,10407.8,7597.8,0.3146967933353921,,0.3146967933353921,0.4243634862462982,0,0.3146967933353921
2019,2020,2,pc_rev,10407.8,7699.0,0.3014650747419604,,0.3014650747419604,0.5207984605637725,0,0.3014650747419604
2019,2021,3,pc_rev,10407.8,12880.4,-0.2131512510567313,,-0.2131512510567313,0.11584882767598714,0,-0.2131512510567313
2019,2022,4,pc_rev,10407.8,9231.1,0.11997730702602885,,0.11997730702602885,0.5586440786696535,0,0.11997730702602885
2019,2019,1,fin_rev,5118.1,5347.9,-0.04392068405687644,,-0.04392068405687644,0.4852855574346961,0,-0.04392068405687644
2019,2020,2,fin_rev,5118.1,6399.8,-0.22348346344824324,,-0.22348346344824324,0.8349290195349023,0,-0.22348346344824324
2019,2021,3,fin_rev,5118.1,7949.8,-0.440363494687996,,-0.440363494687996,1.147255229786722,0,-0.440363494687996
2019,2022,4,fin_rev,5118.1,9358.7,-0.6035231155255654,,-0.6035231155255654,1.5133018504407252,0,-0.6035231155255654
2019,2019,1,resid_rev,6330.170193599998,8957.546000000002,-0.34716918292593024,,,,0,-0.43558436873984796
2019,2020,2,resid_rev,7548.094938848637,5497.163999999997,0.31706288255242254,,,,0,0.10185065792317494
2019,2021,3,resid_rev,9000.348405083114,5834.032999999999,0.4335547603369112,,,,0,0.09316261971798949
2019,2022,4,resid_rev,10732.015438221104,7769.278999999999,0.32305400380337707,,,,0,-0.06315553517227891
2019,2019,1,m3w_u,125380.7132951541,84999,0.38871532318088114,,0.4106399916048197,0.38871532318088114,0,0.38871532318088114
