"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2026","2.83","2.86","2.86","2.82","1.29M","-0.70%"
"08/06/2026","2.85","2.88","2.89","2.83","1.57M","-0.70%"
"08/05/2026","2.87","2.85","2.89","2.85","1.09M","0.70%"
"08/04/2026","2.85","2.86","2.89","2.84","3.26M","0.00%"
"08/03/2026","2.85","2.86","2.87","2.82","1.20M","0.00%"
"07/31/2026","2.85","2.81","2.85","2.76","2.52M","2.15%"
"07/30/2026","2.79","2.82","2.82","2.79","1.28M","-0.71%"
"07/29/2026","2.81","2.84","2.84","2.80","914.29K","-0.71%"
"07/28/2026","2.83","2.86","2.86","2.82","1.21M","-1.05%"
"07/27/2026","2.86","2.87","2.90","2.85","1.60M","0.00%"
"07/24/2026","2.86","2.87","2.87","2.85","1.13M","-0.35%"
"07/23/2026","2.87","2.86","2.88","2.86","909.55K","0.35%"
"07/22/2026","2.86","2.88","2.89","2.86","1.01M","-0.69%"
"07/21/2026","2.88","2.92","2.94","2.88","1.27M","-1.03%"
"07/20/2026","2.91","2.93","2.93","2.86","1.38M","-0.68%"
"07/17/2026","2.93","2.96","2.96","2.92","336.00K","-0.68%"
"07/16/2026","2.95","2.98","2.98","2.93","634.88K","-1.01%"
"07/15/2026","2.98","2.94","2.98","2.93","385.35K","1.36%"
"07/14/2026","2.94","2.96","2.97","2.93","554.62K","-1.01%"
"07/13/2026","2.97","2.99","2.99","2.94","567.84K","-1.00%"
"07/10/2026","3.00","3.00","3.01","2.99","1.17M","0.67%"
"07/09/2026","2.98","2.96","3.00","2.94","727.98K","0.68%"
"07/08/2026","2.96","3.01","3.01","2.95","1.27M","-1.66%"
"07/07/2026","3.01","3.00","3.02","2.98","682.46K","0.33%"
"07/06/2026","3.00","3.01","3.03","2.99","403.72K","0.00%"
"07/03/2026","3.00","3.00","3.04","3.00","573.41K","0.33%"
"07/02/2026","2.99","3.03","3.03","2.98","559.63K","-0.33%"
"07/01/2026","3.00","2.99","3.05","2.99","803.02K","0.33%"
"06/30/2026","2.99","2.99","3.01","2.96","726.13K","0.34%"
"06/29/2026","2.98","2.99","3.00","2.97","825.42K","-0.33%"
"06/26/2026","2.99","3.00","3.01","2.95","1.42M","-0.33%"
"06/25/2026","3.00","3.04","3.06","2.98","4.21M","-0.99%"
"06/24/2026","3.03","3.04","3.05","3.02","2.01M","-0.33%"
"06/23/2026","3.04","3.09","3.11","3.03","3.93M","-1.62%"
"06/22/2026","3.09","3.10","3.14","3.06","3.92M","-0.32%"
"06/19/2026","3.10","3.18","3.19","3.10","5.93M","-1.90%"
"06/18/2026","3.16","3.11","3.20","3.11","10.49M","1.61%"
"06/17/2026","3.11","3.10","3.11","3.06","3.73M","0.32%"
"06/16/2026","3.10","3.11","3.12","3.01","7.84M","2.31%"
"06/12/2026","3.03","2.97","3.04","2.97","2.86M","3.06%"
"06/11/2026","2.94","2.95","2.95","2.92","747.57K","-0.34%"
"06/10/2026","2.95","2.96","2.98","2.93","918.74K","-0.67%"
"06/09/2026","2.97","2.89","3.01","2.89","2.70M","3.48%"
"06/08/2026","2.87","2.90","2.92","2.82","2.48M","-1.71%"
"06/05/2026","2.92","2.96","2.98","2.92","1.95M","-1.02%"
"06/04/2026","2.95","2.95","2.97","2.94","379.26K","0.34%"
"06/03/2026","2.94","2.98","3.00","2.94","767.36K","-2.00%"
"06/02/2026","3.00","3.01","3.04","2.98","1.01M","-0.33%"
"06/01/2026","3.01","3.04","3.04","2.99","1.54M","-0.99%"
"05/25/2026","3.04","2.99","3.04","2.99","1.78M","3.05%"
"05/22/2026","2.95","2.95","2.97","2.92","1.38M","0.68%"
"05/21/2026","2.93","2.97","2.99","2.93","2.50M","-0.34%"
"05/20/2026","2.94","2.94","2.96","2.91","841.86K","0.00%"
"05/19/2026","2.94","2.93","2.97","2.92","1.09M","1.03%"
"05/18/2026","2.91","2.94","2.95","2.91","382.23K","-2.02%"
"05/15/2026","2.97","3.01","3.01","2.93","1.08M","-1.33%"
"05/14/2026","3.01","2.96","3.05","2.96","2.18M","1.69%"
"05/13/2026","2.96","3.02","3.06","2.93","2.05M","-1.99%"
"05/12/2026","3.02","3.03","3.03","3.00","741.86K","-0.33%"
"05/11/2026","3.03","3.08","3.10","3.03","1.23M","-1.94%"
"05/08/2026","3.09","3.08","3.14","3.04","3.85M","0.00%"
"05/07/2026","3.09","3.15","3.17","3.09","2.51M","-0.64%"
"05/06/2026","3.11","3.04","3.12","3.04","1.96M","3.67%"
"05/05/2026","3.00","3.04","3.04","2.98","680.29K","-1.96%"
"05/04/2026","3.06","3.00","3.12","2.99","4.11M","4.08%"
"05/01/2026","2.94","2.95","2.98","2.90","1.65M","0.34%"
"04/30/2026","2.93","3.00","3.01","2.92","1.97M","-2.66%"
"04/29/2026","3.01","2.99","3.05","2.99","779.03K","0.67%"
"04/28/2026","2.99","3.00","3.04","2.98","1.31M","-0.99%"
"04/27/2026","3.02","3.04","3.08","3.01","1.07M","-0.33%"
"04/24/2026","3.03","3.06","3.06","3.00","842.51K","-0.98%"
"04/23/2026","3.06","3.04","3.09","3.04","885.04K","1.32%"
"04/22/2026","3.02","3.11","3.14","3.02","1.50M","-2.58%"
"04/21/2026","3.10","3.07","3.11","3.07","812.06K","1.64%"
"04/20/2026","3.05","3.14","3.17","3.05","1.74M","-4.09%"
"04/17/2026","3.18","3.20","3.20","3.16","1.76M","0.00%"
"04/16/2026","3.18","3.20","3.22","3.15","4.97M","0.63%"
"04/15/2026","3.16","3.09","3.19","3.08","7.08M","3.61%"
"04/14/2026","3.05","3.03","3.11","3.03","2.56M","2.35%"
"04/13/2026","2.98","2.99","3.01","2.97","688.26K","-1.32%"
"04/10/2026","3.02","3.00","3.07","3.00","2.38M","1.34%"
"04/09/2026","2.98","3.11","3.11","2.97","3.69M","-3.56%"
"04/08/2026","3.09","3.02","3.15","2.98","8.36M","6.19%"
"04/07/2026","2.91","2.91","2.92","2.89","3.07M","-1.02%"
"04/06/2026","2.94","2.86","2.96","2.84","2.94M","2.80%"
"04/03/2026","2.86","2.90","2.90","2.85","1.01M","-0.35%"
"04/02/2026","2.87","2.92","2.92","2.87","4.53M","-2.05%"
"04/01/2026","2.93","2.94","2.99","2.90","1.83M","1.03%"
"03/31/2026","2.90","2.93","2.97","2.90","1.80M","-1.02%"
"03/30/2026","2.93","2.94","2.95","2.90","555.79K","-0.68%"
"03/27/2026","2.95","2.95","2.97","2.91","514.50K","1.03%"
"03/26/2026","2.92","3.00","3.00","2.90","18.53M","-2.67%"
"03/25/2026","3.00","2.94","3.05","2.94","8.85M","3.45%"
"03/24/2026","2.90","3.00","3.04","2.90","7.01M","-2.36%"
"03/23/2026","2.97","2.95","2.98","2.87","2.79M","1.37%"
"03/18/2026","2.93","3.10","3.23","2.93","32.32M","-4.87%"
"03/17/2026","3.08","3.09","3.19","3.07","1.92M","-0.32%"
"03/16/2026","3.09","3.10","3.10","2.98","948.02K","-1.28%"
"03/13/2026","3.13","3.14","3.17","3.13","694.91K","0.00%"
"03/12/2026","3.13","3.14","3.14","3.01","1.28M","-0.32%"
"03/11/2026","3.14","3.30","3.30","3.14","4.03M","-4.85%"
"03/10/2026","3.30","3.15","3.34","3.15","2.97M","5.10%"
"03/09/2026","3.14","3.30","3.30","3.14","3.87M","-4.85%"
"03/06/2026","3.30","3.27","3.34","3.25","4.87M","0.92%"
"03/05/2026","3.27","3.18","3.34","3.12","4.39M","2.19%"
"03/04/2026","3.20","3.20","3.28","3.20","15.63M","-4.76%"
"02/27/2026","3.36","3.42","3.42","3.36","1.20M","-1.47%"
"02/26/2026","3.41","3.41","3.42","3.37","1.28M","-0.29%"
"02/25/2026","3.42","3.42","3.44","3.39","1.23M","0.00%"
"02/24/2026","3.42","3.49","3.49","3.41","1.74M","-1.72%"
"02/23/2026","3.48","3.45","3.50","3.45","3.93M","0.87%"
"02/20/2026","3.45","3.45","3.51","3.44","5.96M","0.00%"
"02/19/2026","3.45","3.61","3.62","3.44","11.31M","-4.43%"
"02/18/2026","3.61","3.47","3.61","3.47","15.66M","4.03%"
"02/17/2026","3.47","3.54","3.54","3.45","2.12M","-1.70%"
"02/16/2026","3.53","3.58","3.58","3.51","4.52M","-1.12%"
"02/13/2026","3.57","3.57","3.64","3.52","10.50M","0.28%"
"02/12/2026","3.56","3.52","3.60","3.52","3.08M","0.85%"
"02/11/2026","3.53","3.58","3.60","3.53","2.97M","-1.67%"
"02/10/2026","3.59","3.55","3.62","3.55","23.13M","1.13%"
"02/09/2026","3.55","3.47","3.57","3.45","21.05M","2.01%"
"02/06/2026","3.48","3.45","3.48","3.41","1.94M","0.58%"
"02/05/2026","3.46","3.47","3.48","3.44","1.92M","-0.29%"
"02/04/2026","3.47","3.45","3.51","3.45","9.77M","0.87%"
"02/03/2026","3.44","3.49","3.50","3.44","6.03M","-1.15%"
"02/02/2026","3.48","3.36","3.48","3.36","15.64M","2.96%"
"01/30/2026","3.38","3.33","3.41","3.32","7.12M","1.50%"
"01/29/2026","3.33","3.34","3.35","3.30","3.27M","-0.30%"
"01/28/2026","3.34","3.36","3.38","3.32","4.61M","-0.60%"
"01/27/2026","3.36","3.32","3.38","3.32","3.23M","1.20%"
"01/26/2026","3.32","3.40","3.40","3.31","9.97M","-2.35%"
"01/23/2026","3.40","3.46","3.47","3.39","10.29M","-1.73%"
"01/22/2026","3.46","3.48","3.51","3.44","6.37M","-0.29%"
"01/21/2026","3.47","3.56","3.56","3.44","10.26M","-2.80%"
"01/20/2026","3.57","3.49","3.59","3.47","14.68M","2.29%"
"01/19/2026","3.49","3.46","3.55","3.46","6.96M","1.16%"
"01/16/2026","3.45","3.45","3.48","3.43","2.85M","1.17%"
"01/15/2026","3.41","3.45","3.50","3.41","3.77M","-1.16%"
"01/14/2026","3.45","3.44","3.56","3.43","33.84M","0.00%"
"01/13/2026","3.45","3.30","3.47","3.30","18.96M","4.55%"
"01/12/2026","3.30","3.33","3.34","3.29","6.29M","-1.20%"
"01/09/2026","3.34","3.36","3.37","3.32","2.51M","-0.60%"
"01/08/2026","3.36","3.39","3.40","3.33","7.63M","-0.88%"
