origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2022-01-20,260,61,63,2022-04-20,8.48,9.69,1.1074550611156941,0.0,0.0003247889329050125,0.09222276703823538,0.8022674652312014,0.7782819696227563,0.5995254110011556,0.6033111971034684,2.5542945023967167,2.7544986243751124,0.93285,False,False,True,0.30121397433923547,0.32482295098763114,0.001291176650670689,1.4428019396858032
2022-04-20,323,62,58,2022-07-20,9.69,8.5,-0.6211672616542536,0.0,0.0009481995596740592,0.10830399354489362,0.7795026962441217,0.7507968314986766,0.6016117112862149,0.6034666236845432,3.3720288901522792,3.5708186658630137,0.09655,False,False,True,0.3479905975389349,0.36850553827275684,0.0013646462923044833,-1.2185742893346947
2022-07-20,381,61,65,2022-10-20,8.5,8.76,-0.44917463908474803,0.0,0.0040421452903959265,0.11598633436337591,0.235999615385041,0.2890827494592776,0.11087742770386999,0.1116158692324829,3.2521513674222344,3.8442270459838532,0.59755,True,True,True,0.3826060432261452,0.4522620054098651,0.004499428775559977,0.22491956750614223
2022-10-20,446,62,63,2023-01-20,8.76,8.35,-0.06518737905572666,0.0,0.007705035584971566,0.12007239382670701,0.32565857272163545,0.3799822269409563,0.23774866085059987,0.23226472499668294,3.457901937190182,4.392036641849918,0.30545,True,True,True,0.3947376640628062,0.5013740458732784,0.00747686320789942,-0.4633821305404175
2023-01-20,509,62,62,2023-04-24,8.35,8.75,-0.26532926912063065,0.0,0.010716975056793952,0.11653509340620895,0.2562114472980258,0.3287928004026237,0.1610903902969376,0.1558636956312327,3.2086520484587995,4.270337036384993,0.6427,True,True,True,0.38426970640225144,0.5114176091479035,0.009319666994745512,0.3095650022282736
2023-04-24,571,61,59,2023-07-24,8.75,8.75,1.258650180119901,0.0,0.011911663366838259,0.13079037272130034,0.2509356671220079,0.30065909849111006,0.05452066729948868,0.05692655407614389,3.720856836103475,4.157231107619107,0.45645,True,True,True,0.4252407812689685,0.47511212658504076,0.012461866811311673,-0.09107446610172663
2023-07-24,630,62,65,2023-10-24,8.75,7.82,1.0394251759845832,0.0,0.012506873399912041,0.11163936743508925,0.6467452522361895,0.640993549016999,0.5126381434089335,0.5227752043845699,3.2562753868339227,3.6264627358641883,0.11945,False,True,True,0.37214575849530546,0.4144528840987644,0.010888718493470506,-1.1185661660508983
2023-10-24,695,62,63,2024-01-24,7.82,9.18,-1.6445328061111473,0.0,0.013100669698262088,0.12113897741432784,0.79688908576813,0.8213869726784843,0.6262803400918249,0.6361121453262011,3.1351109704827698,2.7937427480167996,0.89945,False,True,True,0.4009093312637813,0.3572561058845012,0.013739043454776168,1.2154798027831295
2024-01-24,758,62,59,2024-04-24,9.18,8.29,0.7450555055796092,0.0,0.013100669698262088,0.10687320907906012,0.6361346177812445,0.6363729465461775,0.5109669023173069,0.5067399293120722,3.197779749793124,3.0456009758129756,0.12615,False,True,True,0.34834202067463227,0.3317648121800627,0.014371874143203955,-1.0767703728099716
2024-04-24,817,61,61,2024-07-24,8.29,8.6,0.044776578553423846,0.0,0.013100669698262088,0.10452313887867742,0.2102953656309272,0.20384788565942785,0.10350626675932961,0.10070704016888499,2.837815262817875,2.5836337656209,0.59985,True,True,True,0.3423178845377413,0.3116566665405187,0.01242309607736325,0.22589796543904841
2024-07-24,878,62,65,2024-10-24,8.6,8.56,1.5380795825579332,0.0,0.013100669698262088,0.11188193858769754,0.22138622132556396,0.1990105342277294,0.07497124234413377,0.07600862092752969,3.1552029207016723,2.62233087879416,0.4327,True,True,True,0.3668840605467061,0.30492219520862324,0.012784009847472966,-0.15876273711641292
2024-10-24,943,62,63,2025-01-24,8.56,10.8,-0.1286650548013272,0.0,0.011911663366838259,0.10328498167216356,1.6162482799662357,1.646099291914916,1.0693886766228005,1.06852806779857,13.908660387559296,16.633457252078845,0.98065,False,False,False,0.33891547792494825,0.3126839536035024,0.011825075555420561,2.1352018177210117
2025-01-24,1006,61,61,2025-04-24,10.8,11.32,0.6779215859090645,0.0,0.010716975056793952,0.10850972709723483,0.31579495355339593,0.3199022253164323,0.2074111795679654,0.19374609773965634,3.811340796353269,3.778782041630066,0.6506,True,True,True,0.3529019255882656,0.34988722607685796,0.009738670450376796,0.3346056114907884
2025-04-24,1067,62,61,2025-07-24,11.32,15.68,0.36598839611395567,0.0,0.010716975056793952,0.14606626968886263,3.2469860657054617,3.2719911280628176,2.118257004152105,2.1066467046213244,30.196710058826156,33.86204509691713,0.9826,False,False,False,0.4796279408220844,0.4465437065257005,0.010908656510228765,2.1572260848560347
2025-07-24,1128,63,65,2025-10-24,15.68,15.46,3.257819982712362,0.0,0.010716975056793952,0.13134516751526967,0.4783748414152702,0.5874750173921892,0.18065266478981634,0.19207549703019122,6.747320440302499,8.046095966300776,0.4244,True,True,True,0.4303138035907206,0.5131438754018351,0.009011819488497164,-0.1891729044153158
2025-10-24,1193,63,62,2026-01-26,15.46,15.6,0.8452419394819091,0.0,0.010117483138428305,0.1316490769000719,0.4382680975933073,0.6033586685719292,0.009816352608513768,0.002146011621106503,6.631099623876045,8.593055304304936,0.49595,True,True,True,0.4289197686853845,0.5558250520248988,0.010325530738488187,-0.008375387569560267
2026-01-26,1255,61,60,2026-04-27,15.6,13.76,0.6337588368735595,0.0,0.008914169302008671,0.13383350382919734,1.2356567476880131,1.220629782407867,0.992248623769103,1.0059775923837524,6.845738970995038,8.546217463474175,0.1396,False,True,True,0.43882942121763063,0.5478344527868061,0.009262644072961956,-1.0043766860042211
