origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-16,260,62,64,2012-04-16,2.121,2.288,-1.1922970047218717,0.0,0.0003247889329050125,0.14196675227095487,0.10186828827502886,0.09853304787951483,0.08157753087143127,0.08307728889832044,0.9886155311824234,0.6917231180113697,0.717,True,True,True,0.4661082183792661,0.3261306544136585,0.0018127950292963213,0.5315724125185941
2012-04-16,324,62,63,2012-07-16,2.288,2.237,-1.2237402222456082,0.0,0.0003247889329050125,0.14843171154825824,0.07651898366079621,0.05815707483402863,0.026959368404613215,0.025647245002354158,1.09932657267992,0.7715467854503655,0.42995,True,True,True,0.4804749006468182,0.33721450413040455,0.001275671682354318,-0.15405858831607702
2012-07-16,387,63,61,2012-10-16,2.237,2.382,0.057927609302741954,0.0,0.0003247889329050125,0.14344446534939675,0.09810669016560983,0.08673647611381452,0.07304318800623766,0.07264632431816254,1.0517059821693295,0.6986767251666133,0.68715,True,True,True,0.4701412526461017,0.31232754812991204,-0.00048563970159820613,0.4355692590859075
2012-10-16,448,62,58,2013-01-16,2.382,2.353,0.19042488159540835,0.0,0.0003247889329050125,0.12632175069231602,0.06626537149483142,0.04835859509446437,0.015043707463016531,0.015813426665542307,0.98125613123037,0.6573916410085214,0.45525,True,True,True,0.41194631873651133,0.27598305667864037,0.0004565134030365403,-0.09954065750256252
2013-01-16,506,61,62,2013-04-16,2.353,2.649,0.6434695156492921,0.0,0.0003247889329050125,0.12047297762529373,0.18005645442077206,0.19410882844432525,0.1476080392378636,0.14923905411714156,0.9280529528929462,0.6505111269002684,0.8555,False,True,True,0.3944126446633855,0.2764603174246784,0.0003331583188579401,0.9808532497580833
2013-04-16,568,61,64,2013-07-16,2.649,3.33,-0.32239105505935056,0.0,0.0003247889329050125,0.12792577251982443,0.49179966909883943,0.5401108095245508,0.3421157255450382,0.34139098604661244,2.518794508037598,6.1704344188763,0.96275,False,False,False,0.41720281906684764,0.28838544285176676,-0.0012198758361934292,1.7859208529235966
2013-07-16,632,62,61,2013-10-20,3.33,3.475,0.18643533251426708,0.0,0.0003247889329050125,0.13582077314096583,0.11889707438646749,0.10083864858718405,0.07467165371161077,0.07136775567313158,1.4467018941033736,1.0867554094919556,0.6376,True,True,True,0.43444501324425633,0.3263529758234101,-0.0013042965234899562,0.3114205957846993
2013-10-20,693,61,61,2014-01-20,3.475,4.923,0.08115250479162514,0.0,0.0003247889329050125,0.1465117692957139,1.1366473628657825,1.1504148370466933,0.7234660717424126,0.7200323085293017,11.688828196894317,13.351766574196123,0.98535,False,False,False,0.4809765714342749,0.44171444862870946,0.0003072968388992958,2.3752278366389477
2014-01-20,754,60,64,2014-04-20,4.923,6.264,2.5642048203037917,0.0,0.0003247889329050125,0.1637564452472788,0.9059407827925272,0.9314280404231516,0.6676380711921426,0.6696392326553142,2.6101780259811043,3.4196059297357024,0.9382,False,False,True,0.5302006959132854,0.4683136556896229,0.0011626767450163555,1.4691090089080396
2014-04-20,818,62,64,2014-07-20,6.264,5.841,0.48267341987428924,0.0,0.0003247889329050125,0.15813015964147553,0.29402205497586653,0.3017537632567816,0.2120482292606991,0.22056816428425874,3.2532101629192853,3.067195844887862,0.311,True,True,True,0.5193502814366675,0.4896545090817148,0.00017504127097667244,-0.4442019961435054
