origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2018-12-30,260,61,64,2019-03-31,2.29,2.22,-0.3633651912314339,-0.004694142991356509,0.001186155768979947,0.1196159896596191,0.0685666255547849,0.06571425531780084,0.03779550384471708,0.041838283472869664,0.8977713110334715,0.7562360736698861,0.37885,True,True,True,0.392039873813743,0.3302340933056271,0.0024414880739886957,-0.26945208197212134
2019-03-31,324,62,60,2019-06-30,2.22,2.65,-0.7700799968603351,-0.008991333888238695,-0.003111035127902239,0.10810966639465228,0.30751093998751045,0.29010088426416386,0.21768190641931073,0.2086685300959512,1.2329642764650859,1.0048985648217947,0.95785,False,False,False,0.3475196803017171,0.3327855994908045,-0.002416131909289132,1.6664881619758354
2019-06-30,384,62,62,2019-09-30,2.65,2.67,0.8156943573037296,0.013376642147455058,0.019256940907791516,0.15184339152600215,0.08759888049474632,0.07052847681733118,0.012315916836164176,0.0009139084259395247,1.312230710929207,0.9969938935739386,0.4707,True,True,True,0.4951814003506442,0.37622411078261836,0.016842201385784294,-0.07730404580533967
2019-09-30,446,62,62,2019-12-30,2.67,3.05,0.9377513006554403,0.012344624146998637,0.01700099017778986,0.12188954081458618,0.20056974171997602,0.22775728438449885,0.16746246513315421,0.18521627679576258,1.0800984224504702,0.9564240561989337,0.8431,False,True,True,0.404531244363472,0.35821125700334594,0.016882048589397458,0.9521910350447668
2019-12-30,508,62,64,2020-03-30,3.05,2.71,0.4140173970378523,0.00555851211048188,0.009600657400877807,0.12431290350337271,0.22953579142981,0.21913471620668448,0.1826710442872792,0.17411423469315324,1.2372019697195196,1.0404687223133489,0.1325,False,True,True,0.40563999007197366,0.3411372860043767,0.008308881499855314,-1.0279995843321392
2020-03-30,572,62,63,2020-06-30,2.71,2.97,0.863877975358049,0.013253493851985303,0.013578282784890316,0.14205424743658757,0.13565011898116963,0.15406095829418165,0.11014452139373287,0.12968797102296392,1.267431691758767,1.2386004836186073,0.72615,True,True,True,0.4676869711286963,0.4570481489367555,0.014653489746322634,0.5493326426085425
2020-06-30,635,63,63,2020-09-30,2.97,3.52,0.14554079368800124,0.0,0.0003247889329050125,0.1292586089386166,0.35922294476928673,0.34320975882919125,0.27503986844370654,0.27246133349160595,1.239643631090586,1.2943961743119745,0.91815,False,False,True,0.4173884279766283,0.43582362771446953,-2.6847436839450012e-05,1.311899062313298
2020-09-30,698,63,61,2020-12-30,3.52,3.81,0.7719865805776052,0.011914993978670123,0.012239782911575136,0.14290924362762178,0.16047936629796944,0.18119037012439548,0.12508210155322952,0.1448278731562218,1.6453945126084162,1.6468188793077476,0.70385,True,True,True,0.46744162290011826,0.4678462725306101,0.011316987753846819,0.4683281145299728
2020-12-30,759,62,64,2021-03-30,3.81,4.53,0.7034825784702885,0.010647051671370306,0.010971840604275319,0.1401368204260526,0.4219620783762439,0.4591521006412023,0.33839098908143606,0.3661896560652631,1.7913468321399222,1.738433433407959,0.88405,False,True,True,0.4701697722152027,0.45628174105195773,0.011343312818143936,1.1568758964215675
2021-03-30,823,63,63,2021-06-30,4.53,4.33,1.9618551164208875,0.029191216402031435,0.029516005334936448,0.13777217211261372,0.211401726224188,0.14418223998063012,0.16163489450145097,0.09748835245781429,2.093516404188284,1.5757354605748075,0.2787,True,True,True,0.4621449015868176,0.34784447253307005,0.02721187395207547,-0.5419846524191091
2021-06-30,886,63,61,2021-09-30,4.33,4.16,1.3171848739775567,0.017119809060416113,0.017444597993321126,0.12034510393421766,0.1652002383963227,0.14728569422466786,0.12375115320332242,0.0833827853496496,1.7150546007899314,1.7775703287021982,0.29725,True,True,True,0.39608651288451074,0.41052432533538064,0.017898916029248202,-0.4777682170267301
2021-09-30,947,62,62,2021-12-30,4.16,4.27,0.6940709983376327,0.008629042240037634,0.008953831172942647,0.11511580148280573,0.10714425048102921,0.11614874396707386,0.03296264889785938,0.0558445100364402,1.5471502006389914,1.507696519011752,0.5602,True,True,True,0.3719111059228345,0.3624270478393634,0.010594880337567503,0.14893630217202874
2021-12-30,1009,62,63,2022-03-30,4.27,4.24,0.1988789901589627,0.0,0.0003247889329050125,0.11219675485872835,0.10408097929887955,0.109474555818099,0.016001147652836778,0.01398469076042641,1.5470436265765821,1.523148996801237,0.4731,True,True,True,0.36230529896407077,0.35670936693237404,0.0004689216172539812,-0.06573583111969958
2022-03-30,1072,63,60,2022-06-30,4.24,4.22,-0.16314299551894637,0.0,0.0009481995596740592,0.11185842602365521,0.10201924671122459,0.10437670593518655,0.012193184824491166,0.012112366412712294,1.5430433832505388,1.4613552347870296,0.47735,True,True,True,0.3639253262383346,0.344659253487507,0.0010345211436277868,-0.05074575923694536
2022-06-30,1132,62,64,2022-09-30,4.22,4.44,-0.29280153520597924,-0.0035320385759522142,0.0005101067144437123,0.11169361139257641,0.14461559485185388,0.12238048894676418,0.10816313306876646,0.10113787506482685,1.515219490115097,1.0240901239607196,0.69345,True,True,True,0.35905675121210834,0.2426753848248151,0.0008705530479782286,0.45042094220541223
2022-09-30,1196,62,63,2022-12-30,4.44,4.41,0.22090896515530847,0.0,0.007705035584971566,0.12650194874414453,0.12495122186614116,0.10133673359967349,0.03283527395498975,0.031715314643143255,1.842137546213913,1.3786572312117227,0.4476,True,True,True,0.4148958437418722,0.3105083854080456,0.008033907186932199,-0.11450197182057903
2022-12-30,1259,62,64,2023-03-30,4.41,4.22,0.19649970301654784,0.0,0.010716975056793952,0.11534082036969569,0.1589984821535843,0.15434587820815038,0.11932107115744683,0.11527613429532035,1.6596251578077825,1.5244413882809482,0.30085,True,True,True,0.3763322353305629,0.34567831933808346,0.01102996424373992,-0.47473683897964364
2023-03-30,1323,63,61,2023-07-03,4.22,3.89,-0.07204460810538563,0.0,0.011911663366838259,0.1267778482886889,0.23299401558003963,0.22898222302216042,0.19105417876208475,0.19091358017756144,1.7652715666286518,1.599812869510553,0.21005,False,True,True,0.4183107977793014,0.37910257571340117,0.01234795201994543,-0.7362298307182358
2023-07-03,1384,63,64,2023-10-03,3.89,3.79,-0.6465318015448123,-0.007821792018889445,0.004685081381022596,0.11201923865439191,0.10652432616029489,0.12979130866018251,0.056453146897891715,0.07658401175614382,1.4238952846168744,1.5229907582212845,0.3822,True,True,True,0.3660399189246464,0.391514333732978,0.0033178133151114952,-0.2743119868172557
2023-10-03,1448,63,64,2024-01-03,3.79,3.68,-0.7853951932748571,-0.00929958459961859,0.003801085098643497,0.10963558925315339,0.10805075788473856,0.11604127364009814,0.0639386349577733,0.07877979014775383,1.3691296352767375,1.2594785656216492,0.3668,True,True,True,0.36124792487512863,0.33231624422734807,0.004716957761357943,-0.3033171275739041
2024-01-03,1512,63,65,2024-04-03,3.68,3.64,-0.5658752672646111,-0.007304972641406313,0.005795697056855774,0.11952923105393155,0.09947832636307882,0.10267556600249225,0.033125082616791035,0.044906657811836226,1.4440717070129292,1.3425102077824134,0.4336,True,True,True,0.3924107899491655,0.3648125564626123,0.007133197074342901,-0.13992198763079033
2024-04-03,1577,63,58,2024-07-03,3.64,3.4,-0.5297066550849252,-0.006446000940210515,0.006654668758051573,0.11267593736625618,0.1630507731483362,0.1751828692163571,0.13137251677298845,0.14563723214819446,1.3379207440679912,1.2428914679727967,0.23125,False,True,True,0.3675606439747228,0.34145369999252656,0.00624863558955413,-0.6644091057458108
2024-07-03,1635,62,66,2024-10-03,3.4,3.59,-0.9161229360323333,-0.0114775377340289,0.001623131964233188,0.11600353332225037,0.12261033954850964,0.1031702330342949,0.09340974096457377,0.07055100569070039,1.290774201382754,1.1374092327108798,0.69215,True,True,True,0.3796394709949276,0.3345321272679058,0.0009354464914270721,0.4547588974492045
2024-10-03,1701,64,63,2025-01-03,3.59,3.47,-0.04557859508701454,0.0,0.011911663366838259,0.1203656334672193,0.12119224347447066,0.12053251509792026,0.08172790088441162,0.08179984699278786,1.411475919162362,1.3276689041691863,0.334,True,True,True,0.39316877971096437,0.36982420728946697,0.01210468015844679,-0.3814151148114958
2025-01-03,1764,62,62,2025-04-03,3.47,3.25,-0.02370365782298453,0.0,0.010716975056793952,0.10466561868655866,0.15972702828013058,0.15337688787038423,0.13124539219841824,0.12718300247602388,1.197769353456395,1.0474400063642197,0.21,False,True,True,0.3451784880277795,0.3018559096150489,0.012245182823295675,-0.7281911064048726
2025-04-03,1826,62,62,2025-07-03,3.25,3.72,-0.1674202440534645,0.0,0.010716975056793952,0.11583561869758571,0.26756092077819804,0.27533469660785304,0.2157759715374492,0.2184152705064759,1.2156746104318712,1.0633592114363255,0.87645,False,True,True,0.3740537262867296,0.3271874496727155,0.01183017136156983,1.0735186489680906
2025-07-03,1888,64,65,2025-10-03,3.72,3.68,0.3068136593241366,0.003943242643900109,0.014660217700694061,0.11900221796665536,0.10716348619524807,0.09068070464666225,0.049189162798409125,0.038874902621486074,1.4651914050564234,1.1876151312518508,0.4049,True,True,True,0.39386865727323206,0.31925137936877707,0.01569309827871468,-0.21403915187569647
2025-10-03,1953,64,63,2026-01-05,3.68,3.9,0.69554066758657,0.008804715301956983,0.01892219844038529,0.11721117899211826,0.11783127755812359,0.11156219042509219,0.07661283079887848,0.08959321203619774,1.435202961217831,1.0223873900426348,0.6486,True,True,True,0.3900008046787584,0.2778226603376725,0.018145200652783355,0.33394086512010823
2026-01-05,2016,62,61,2026-04-06,3.9,3.77,0.6064243571164073,0.0073530216972762085,0.016267190999284878,0.11227044797108944,0.13338058130888572,0.1078603823302037,0.09587936724957014,0.08158112544191343,1.4629511817990117,1.0504047852769567,0.3113,True,True,True,0.37511568764077224,0.2693345603274248,0.015835572948497578,-0.44685617258679755
2026-04-06,2077,62,60,2026-07-06,3.77,3.92,0.45756455287394826,0.005778626453313297,0.014692795755321968,0.11693606980167809,0.10426690717225318,0.09391986677100048,0.0466138501054556,0.0594336957957462,1.4503825674126243,1.1014009964657872,0.59135,True,True,True,0.384716861382659,0.29214880542859073,0.015058965461296703,0.20800986922497625
