origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-12,260,63,65,2012-04-12,0.81,1.18,-1.819622459168753,-0.04668589802631421,-0.0463611090934092,0.2375640240088363,0.2919468361115155,0.27351473502033524,0.2023847560437394,0.1848118151195467,1.4437561120691191,2.0974043853317195,0.9629,False,False,False,0.7564470378571583,0.6247255633612748,-0.04292532356478873,1.7788744766796691
2012-04-12,325,63,64,2012-07-12,1.18,1.11,0.49127812651066594,0.012649652854222624,0.012974441787127637,0.23841162265613972,0.07198197226770695,0.06228498125021617,0.04243194329466782,0.03526340899434777,0.9416170162985623,0.7663846990155693,0.36205,True,True,True,0.7979805222869173,0.6494785584877706,0.012596514058759167,-0.3109280668223709
2012-07-12,389,64,63,2012-10-14,1.11,1.33,0.49047105864284585,0.012703181611060283,0.013027970543965296,0.23981445975574392,0.12351434837512373,0.12922036011057036,0.10642675195512419,0.11031753494233221,0.8854288042875129,0.7328154785944334,0.78525,False,True,True,0.7976836074662278,0.6601941248598499,0.0064382847655419795,0.6996698886979248
2012-10-14,452,63,60,2013-01-14,1.33,1.62,0.4000620400271174,0.009271538877970725,0.009596327810875738,0.21458567325611205,0.16550923654720195,0.17106037184753528,0.1388807033640258,0.14501818588270599,0.9445380431897559,0.8586019056362756,0.83455,False,True,True,0.7101789798419217,0.6455653425836658,0.00920194982853273,0.8744799983724436
2013-01-14,512,62,62,2013-04-14,1.62,1.42,0.9314932674220218,0.0262835382920112,0.02660832722491621,0.26126447050973767,0.15847848831337566,0.125549021374948,0.12524294104109313,0.10123154024562275,1.4436987309769005,1.0229071170577249,0.24855,False,True,True,0.8911720561585805,0.6314241463319289,0.031164124742090182,-0.6061964895075036
2013-04-14,574,62,64,2013-07-14,1.42,2.4,0.4067016311310032,0.008064525446354675,0.008389314379259688,0.18360273526082535,0.7987276602581413,0.8288060129238061,0.48236347336733765,0.48767223089353284,10.395012208772714,11.736353471827929,0.99405,False,False,False,0.6013461767796333,0.5378007223565344,0.010755671313608994,2.8127170906677557
2013-07-14,638,63,63,2013-10-20,2.4,2.76,1.8637429633383942,0.038195672631535865,0.038520461564440875,0.1897598769970354,0.1657253914772397,0.21404108293607976,0.1343553703674507,0.18355434561006545,1.5442341352147064,1.540500429102746,0.7271,True,True,True,0.6434308896727944,0.6418751787928109,0.0380371913604578,0.5335241696657479
2013-10-20,701,62,62,2014-01-20,2.76,3.23,1.722647727556236,0.03866582013286521,0.03899060906577022,0.20782940548731416,0.21822529358710185,0.27396338465810727,0.18044114701105385,0.23384539307217822,1.9676265282104723,2.0687945003754016,0.73275,True,True,True,0.7129081623950987,0.7495632247736963,0.039535400716627755,0.5690284691063845
2014-01-20,763,61,64,2014-04-20,3.23,4.41,0.794293215884763,0.017626252192949242,0.017951041125854255,0.20547328815065974,0.7550466484104849,0.771074707977455,0.562307067133764,0.5880023398375565,2.196670891729359,2.378635564071124,0.93175,False,False,True,0.6800838674084703,0.7364196792789858,0.017147326852158473,1.428124861092281
2014-04-20,827,62,64,2014-07-20,4.41,3.5,1.2728922971007601,0.02798229331992337,0.028307082252828384,0.20354849275774933,0.6759794548721795,0.5713225611680107,0.519564256809435,0.4597588682047107,2.9986178254146827,3.1704559210933185,0.09035,False,False,True,0.6799586905702228,0.7189242451458772,0.02928084209044668,-1.2744815729240455
