origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2022-07-21,260,61,66,2022-10-21,24.0,24.3,0.3222691653273569,0.0055433270419128645,0.009585472332308791,0.15926780394207593,0.8373838593990457,0.7963558977145262,0.014201652813918386,0.10013558118547117,12.696041573746417,11.192479258232364,0.503,True,True,True,0.529001732239434,0.4663533024263485,0.011316528932173497,0.017813064511645584
2022-10-21,326,63,64,2023-01-23,24.3,25.08,-0.19226477133562694,0.0,0.007705035584971566,0.15033982378991573,0.8279392789101672,0.7880701576869376,0.2948724798398068,0.3262688264101552,12.074152311937947,10.53664979452856,0.57195,True,True,True,0.49687869596452455,0.4336069874291589,0.007829425527587919,0.15890220721974818
2023-01-23,390,61,63,2023-04-24,25.08,21.56,0.47848540745894247,0.007594112578144263,0.018311087634938213,0.14695507137503055,2.5323555197948555,2.3835350464478555,1.9850688110381522,1.8805946801604296,12.245015347761989,11.086319497094944,0.10865,False,True,True,0.48823825150566147,0.44203825745992603,0.017948071055674086,-1.1536999422509824
2023-04-24,453,62,60,2023-07-24,21.56,20.3,-0.5124430422179499,-0.008449352610017448,0.0034623107568208106,0.15267013100702032,0.9591641396238593,1.0261123821100706,0.6648225418867231,0.7392643374246397,10.836482003290776,10.790189630833328,0.32525,True,True,True,0.5026197589652494,0.5004726173855905,0.0032302914551691764,-0.41711610732126275
2023-07-24,513,63,65,2023-10-24,20.3,18.3,-1.3005208224286802,-0.02317881068295041,-0.010671937283038368,0.16502512972759079,1.1488639921477781,1.3894659693245395,0.9031237470162061,1.1434329644434502,10.791702297875185,11.032497293315032,0.26505,True,True,True,0.5316109506342456,0.543472773069706,-0.009544458422048652,-0.5638407257786946
2023-10-24,578,63,64,2024-01-24,18.3,17.7,-0.42427393527639284,-0.007600026285083262,0.005500643413178826,0.16586127004226192,0.7291057996769634,0.8265484969989607,0.3450083306789491,0.42009296745779956,9.880614338494011,10.539871019434134,0.39985,True,True,True,0.5399242807920225,0.5759492360346521,0.004918943243600982,-0.23415390266139205
2024-01-24,642,63,60,2024-04-24,17.7,14.48,-0.520278355906173,-0.009152512722441093,0.003948156975820995,0.16288490037827724,2.143958175911422,2.241718505506442,1.6473347902821818,1.7368052597450205,9.418844629682944,9.307266565049106,0.0913,False,False,True,0.5321381146713527,0.525834269211814,0.004218620370868065,-1.2569882728389434
2024-04-24,702,61,63,2024-07-24,14.48,11.9,-0.7862309815863584,-0.012994402944280515,0.00010626675398157232,0.15303205876930906,1.6969438425668253,1.8279072332885336,1.293140578793758,1.3962881631882285,7.143724707637443,7.173090997060829,0.08455,False,False,True,0.49335115384236483,0.49537921250420086,0.00043378160134777133,-1.2829746601660685
2024-07-24,765,63,66,2024-10-24,11.9,11.2,-1.9425516631317616,-0.032760006130347255,-0.019659336432085166,0.1561520323257591,0.4459243424199726,0.573066215396703,0.23377526152834172,0.4241662740122978,5.969995300894141,5.894584984886725,0.3816,True,True,True,0.5016802773860622,0.4953432760409013,-0.01953356949103513,-0.2623423132840782
2024-10-24,831,64,63,2025-01-24,11.2,12.08,-1.2280390493811388,-0.020666101169025466,-0.008754437802187208,0.1558197914785515,0.5976181063065803,0.5201108196443854,0.48850932605151964,0.377635306877,5.591107030526038,5.5609184344943685,0.7249,True,True,True,0.49920598486839624,0.4965105745084258,-0.008662379652056962,0.5415990562368573
2025-01-24,894,62,62,2025-04-24,12.08,10.94,-0.837307034042457,-0.014618768002621367,-0.003901792945827416,0.16165988996142996,0.6853172310988076,0.7706559828840791,0.5382839053602657,0.6275264762718402,6.354061869378107,6.271549880756941,0.2651,True,True,True,0.5259984991207042,0.5191680364865018,-0.005251009046313704,-0.5890366657414254
2025-04-24,956,63,62,2025-07-24,10.94,12.12,-0.5318699227114546,-0.009606880597387357,0.001110094459406595,0.16724502425420057,0.7011022152230078,0.6685669559257967,0.5873831920409991,0.5343791375368019,5.881152391553812,6.104928105986419,0.74815,True,True,True,0.5375824855168019,0.5580373040206964,0.0004783926798903604,0.6058242368629506
2025-07-24,1018,64,65,2025-10-24,12.12,10.02,-0.10518027615766215,0.0,0.010716975056793952,0.17387610166520254,1.4003211042226331,1.411053817720278,1.1014628519194547,1.1218286286277612,6.923599899492322,6.636541546166567,0.1129,False,True,True,0.5712541171198285,0.5475694345021921,0.00849221978868897,-1.1559429853577596
2025-10-24,1083,64,63,2026-01-26,10.02,9.27,-0.22577527827115165,0.0,0.010117483138428305,0.1649391716154496,0.552498877071611,0.5503975555410088,0.4326248374576416,0.43342747484681254,5.4360455544756885,4.943974010689173,0.27675,True,True,True,0.5425195164147394,0.49341057990909915,0.011501963564399587,-0.5330280148511923
2026-01-26,1146,62,61,2026-04-27,9.27,7.97,-0.949337054767895,-0.01650688404001257,-0.007592714738003898,0.16099815984363292,0.7437734735886575,0.8592626750519915,0.6036433134929102,0.692681150703526,4.848987391641509,4.572175983809522,0.16755,False,True,True,0.5230838610185015,0.4932228677248676,-0.010001442612101341,-0.8913528712192393
2026-04-27,1207,62,60,2026-07-27,7.97,7.41,-1.6964073027148983,-0.029939090961730884,-0.021024921659722213,0.16341229182258538,0.3329176684530514,0.423818918629031,0.20005784062812548,0.31428190728549854,4.169169328622508,4.205419215700575,0.36085,True,True,True,0.5231078204043298,0.5276561123840119,-0.020060767721925776,-0.3171678902262509
