origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2023-06-13,260,64,61,2023-09-13,2.62,2.69,-0.3959683682959736,-0.004350090525565665,0.008156782874346376,0.10172180204897804,0.061486207457677855,0.05440037424433464,0.022863580250380044,0.018430267700542124,0.8780377248665481,0.7318464681929684,0.5727,True,True,True,0.33512890262081985,0.2793307130507513,0.009264442556961683,0.17901858401631324
2023-09-13,321,63,63,2023-12-13,2.69,2.41,-0.012671355009572283,0.0,0.013100669698262088,0.10264697470707175,0.20161019165800204,0.2077495601914927,0.1574463030979607,0.15719478697502365,0.9166717350233742,0.7458714714912338,0.10635,False,True,True,0.3407701617187265,0.27727563995956644,0.012971229069115742,-1.1984290444068109
2023-12-13,384,63,64,2024-03-13,2.41,2.47,0.014149449702081547,0.0,0.013100669698262088,0.10083450596895839,0.05403854845724171,0.045241320624100995,0.01617955557307904,0.013319263375587864,0.7836418571855788,0.6178989534925172,0.5595,True,True,True,0.3251625963425638,0.2563896072583059,0.011469248487071315,0.11395636174979044
2024-03-13,448,63,61,2024-06-13,2.47,2.41,-0.5801438448401348,-0.006109405403694264,0.006991264294567824,0.09750783199003478,0.06327312026490597,0.061837437440517465,0.03879082386424182,0.04713471990403528,0.7880635597361341,0.6019014708596586,0.3582,True,True,True,0.31905407276766556,0.2436848060160561,0.007118076003434615,-0.32389877599901673
2024-06-13,509,62,64,2024-09-13,2.41,2.46,-0.12720806871143922,0.0,0.013100669698262088,0.0946264022720751,0.05020297323869513,0.03885759435419568,0.01053702475129259,0.009217951710910555,0.7521119433566263,0.540460253577574,0.5391,True,True,True,0.312079644546318,0.22425736662969875,0.01200246908606406,0.07856087270518
2024-09-13,573,63,63,2024-12-13,2.46,2.44,-0.3450185163402592,-0.0034653063963667272,0.00963536330189536,0.09299840100490546,0.05337187249061365,0.04623374719659379,0.0218364512851712,0.027398867489206724,0.7452848169252189,0.553952802820691,0.4142,True,True,True,0.3029613076931784,0.22518406618727277,0.009623131126155426,-0.19138688137355717
2024-12-13,636,62,63,2025-03-13,2.44,2.37,0.5097684835401205,0.005018627893105498,0.01633366074432164,0.09115662950621901,0.07321650566531084,0.06102843768032318,0.05610771688621963,0.04900786422106007,0.7299052629962937,0.5330218908244211,0.28385,True,True,True,0.2991415012279892,0.21845159460017258,0.017301407283786707,-0.49850181109748143
2025-03-13,699,63,62,2025-06-13,2.37,2.46,0.169179002636475,0.0,0.010716975056793952,0.09292473597430596,0.05626619994208899,0.05246624970621483,0.03237130102108399,0.033031375399427576,0.7068630366169684,0.6092087343307662,0.62485,True,True,True,0.2982544458299444,0.257050098873741,0.010657129940013554,0.28576266009278783
2025-06-13,761,64,64,2025-09-15,2.46,2.55,0.31868746103768975,0.0034489785424187485,0.0141659535992127,0.10020785380100189,0.058758168944042344,0.056886574964575456,0.02840761203664166,0.03214299391413178,0.7933240420315424,0.7058806803693405,0.59985,True,True,True,0.32248944798030177,0.28694336600379694,0.013489746311673434,0.21720907894180494
2025-09-15,825,62,63,2025-12-15,2.55,2.54,0.7834913100021073,0.007889846883087219,0.01860682193988117,0.09324179716322145,0.05849011772060386,0.05088377824768575,0.030454220957010225,0.019382784324707858,0.7773863677498891,0.677029894740377,0.3928,True,True,True,0.3048573991176036,0.2655019195060302,0.019964094868243354,-0.24169525647731516
2025-12-15,888,62,62,2026-03-16,2.54,2.48,0.18122172686757693,0.0,0.008914169302008671,0.08986970004361793,0.06190718164605516,0.05934772730189285,0.04007423590996795,0.04007145417413738,0.7485293312885348,0.6535393632394881,0.3475,True,True,True,0.2946965871214704,0.25729896190531026,0.007932469220447214,-0.36519194054986537
2026-03-16,950,63,59,2026-06-16,2.48,2.56,0.5142614460823743,0.005189912003442705,0.014104081305451377,0.0934441831848313,0.05353686057655477,0.044883957935944074,0.021923302347723883,0.028454051509663625,0.7556834993190988,0.5215982135068558,0.58295,True,True,True,0.3047110884351205,0.21032186028502248,0.014577981977642152,0.1888252046061346
