origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2023-04-26,260,63,60,2023-07-26,2.44,2.66,-0.3512340435267057,0.0,0.011911663366838259,0.09594920158678011,0.11138722042714896,0.11378847667731404,0.09413999007655693,0.09530767124060957,0.7738151001131044,0.6465120077970763,0.79635,False,True,True,0.317137336111928,0.2649639376217526,0.013000008133969843,0.7755814419607641
2023-07-26,320,64,65,2023-10-26,2.66,2.4,0.48216442266765885,0.0,0.012506873399912041,0.09240224012034262,0.19006084318415625,0.19029266819201632,0.14717894103079754,0.14649623765476893,0.8070932103453856,0.7423361600538922,0.09245,False,False,True,0.3034185001298442,0.2790737443811625,0.01291649701563724,-1.248500671513721
2023-10-26,385,63,64,2024-01-26,2.4,2.51,-1.3802599285457449,0.0,0.013100669698262088,0.08878203498282938,0.05794364037785023,0.059882824592623854,0.03830204488311528,0.039024938593267056,0.6974919124015719,0.6928160078009027,0.65325,True,True,True,0.2906216301673217,0.2886733365837095,0.01391496259740399,0.35720454141047764
2024-01-26,449,63,60,2024-04-26,2.51,2.37,0.40461970044672024,0.0,0.013100669698262088,0.09368443303241554,0.10595310828045257,0.10411309531736047,0.08761847708595005,0.08729264704488648,0.7794703595115959,0.7199122989112832,0.2038,False,True,True,0.3105459599647793,0.28681764896863876,0.01403862716011961,-0.7524565759022455
2024-04-26,509,61,63,2024-07-26,2.37,2.35,-0.5134164483777683,0.0,0.013100669698262088,0.09305890442020369,0.05263074937297903,0.05146680130429018,0.024246161688540768,0.02549567717326995,0.727273146590699,0.6542041926909508,0.40005,True,True,True,0.306866306578354,0.2760355243421733,0.012022077374296058,-0.23184559095830257
2024-07-26,572,63,66,2024-10-28,2.35,2.48,1.420390355457588,0.0,0.013100669698262088,0.09554466824563818,0.06653960360156946,0.06256412955516263,0.04872938602750776,0.049566425634082645,0.7350775311618349,0.5859429673121048,0.68035,True,True,True,0.3127989494305681,0.249337432898768,0.013847331040418798,0.42642423769597504
2024-10-28,638,63,63,2025-01-28,2.48,2.59,-0.6090899091317731,0.0,0.011911663366838259,0.08950484148065876,0.06107503710005653,0.06036908083298827,0.040844680031247416,0.04184588078088325,0.7249760887549366,0.6568366140467643,0.65715,True,True,True,0.2923290680463454,0.26485347340595333,0.011415580619961618,0.35179831221221014
2025-01-28,701,62,61,2025-04-28,2.59,2.67,-1.429775831955006,0.0,0.010716975056793952,0.08967782579422108,0.056058276915018385,0.056616629767932025,0.026169286366166222,0.025792228727572475,0.7624365959026731,0.7314353655416501,0.59525,True,True,True,0.2943770640550862,0.28240747704310815,0.010680087748134115,0.21971564842718885
2025-04-28,762,63,62,2025-07-28,2.67,2.79,1.2829794904715262,0.0,0.010716975056793952,0.09993342301729083,0.07088596160504529,0.07226570293475196,0.04608684641927807,0.04625764026924717,0.8625776355400663,0.8398257184723854,0.6455,True,True,True,0.3230627848464668,0.3145414675926537,0.010421837888181296,0.3326829739292518
2025-07-28,824,63,65,2025-10-28,2.79,2.82,0.06206278800284373,0.0,0.010716975056793952,0.09667290200150053,0.05864608942644303,0.06589639886725937,0.001556498624542435,0.001986076013608118,0.8866864475139975,0.9310375798310031,0.50575,True,True,True,0.3178087625498199,0.33370522574587924,0.009636918548715068,-0.00022432284122043798
2025-10-28,889,63,63,2026-01-28,2.82,3.06,0.5848866562207254,0.0,0.010117483138428305,0.10042806621552693,0.12709418827112798,0.12472298643182261,0.10738360751284382,0.10556998176761812,0.9257644327809689,0.9078013035984687,0.78585,False,True,True,0.32828525985140744,0.3219153558859818,0.008947796090181814,0.7125552703789411
2026-01-28,952,62,60,2026-04-28,3.06,2.68,1.5290535193983208,0.0,0.008914169302008671,0.10662761414977454,0.2687053568343468,0.27113060397475985,0.20348873277904045,0.20317441312598672,1.0410075941678452,0.9300716367237252,0.0789,False,False,True,0.3401985601855703,0.3039449793214788,0.008816165215059124,-1.3271636233439252
