origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2022-01-19,260,61,64,2022-04-19,5.45,6.16,0.20243314843044677,0.0,0.0003247889329050125,0.08009339083718235,0.4790407241069832,0.48073592112665686,0.3518280223758721,0.35395843459185716,1.4243644377008318,1.3808207331385827,0.9412,False,False,True,0.26135127297262967,0.2533616024107491,0.0011640284859184558,1.5249245744340552
2022-04-19,324,62,59,2022-07-19,6.16,5.51,0.5589264227700971,0.0,0.0009481995596740592,0.09069192325644536,0.42371573641954124,0.42744945810030294,0.3297119755056661,0.3274445049238883,1.8011509563822914,1.6378646920809778,0.09425,False,False,True,0.292394635776346,0.26588712533782105,0.0015298621771642207,-1.240026122527807
2022-07-19,383,62,66,2022-10-19,5.51,6.09,-0.43531688465259716,0.0,0.0040421452903959265,0.10445206229488817,0.33391417843323634,0.3376316668426778,0.27967123016254947,0.2840770879578769,1.8563897392926467,1.772889509547988,0.83685,False,True,True,0.3369128383471228,0.32175853167840074,0.0037490997595102105,0.9194774249209526
2022-10-19,449,63,64,2023-01-19,6.09,5.6,-0.16314898329209457,0.0,0.007705035584971566,0.1100620139515437,0.32959721952563514,0.32384085248991035,0.2715833216677863,0.2707192501120508,2.212895823636938,2.1018460348663393,0.1814,False,True,True,0.3633654882819274,0.34513071180071253,0.008730154899108777,-0.8321355959013789
2023-01-19,513,62,64,2023-04-19,5.6,5.32,-0.09350045643208585,0.0,0.010716975056793952,0.10620232622308128,0.2151747989352955,0.21281256750952326,0.1721396424105719,0.1727974447502234,1.9427796630722733,1.8364307972392284,0.25745,True,True,True,0.34692493983433453,0.3279340709355765,0.011478443718061504,-0.5838880526410497
2023-04-19,577,63,59,2023-07-19,5.32,5.64,-0.6552927188621154,0.0,0.011911663366838259,0.10707072971738925,0.17299734662138994,0.1765194393418391,0.13087391673412885,0.12932362978028733,1.8416179595562605,1.8323855185607192,0.6895,True,True,True,0.3461687893902745,0.3444333681505111,0.010949655363109434,0.4342839440088749
2023-07-19,636,64,64,2023-10-19,5.64,5.36,0.8945752693052572,0.0,0.012506873399912041,0.09929499333698959,0.219878181485833,0.2124725829092699,0.17804186846513614,0.17587062510082196,1.8323432752033675,1.619687430735902,0.23305,False,True,True,0.3248835594332212,0.2871786224709046,0.013490024278417279,-0.6387730306996339
2023-10-19,700,63,64,2024-01-19,5.36,5.8,-1.1474010248678592,0.0,0.013100669698262088,0.09894540031230006,0.2216221987057162,0.21783560563984117,0.1866537002860822,0.18490878647714526,1.737302175058412,1.5384966348244236,0.76545,False,True,True,0.324123540122838,0.28703295425828795,0.01244264914698423,0.6649452381185827
2024-01-19,764,63,60,2024-04-19,5.8,5.68,0.43696895233044847,0.0,0.013100669698262088,0.09113749619797759,0.14714702408253588,0.1452807727624309,0.09923893484730018,0.09815049455637226,1.7408649928775795,1.6081180374261645,0.34055,True,True,True,0.30014913670303095,0.277261730590718,0.013530667188724088,-0.37314339252530887
2024-04-19,824,61,62,2024-07-19,5.68,5.96,-0.6394508383438523,0.0,0.013100669698262088,0.09310105747116254,0.15021482462418367,0.1489060583649225,0.10566846738846047,0.09905628401713029,1.7420840006088865,1.6613904605712708,0.6625,True,True,True,0.3067049296846631,0.2924983205231111,0.012088567820964569,0.3761351331243821
2024-07-19,886,63,66,2024-10-21,5.96,6.23,0.77767295494709,0.0,0.013100669698262088,0.09548405481032035,0.15152259078184432,0.15608144006881286,0.09499394340809042,0.09808466568261087,1.8601032719774606,1.8200239645626848,0.6392,True,True,True,0.31209786442574844,0.3053731484165578,0.013424851205338761,0.3268103987187242
2024-10-21,952,63,63,2025-01-21,6.23,7.34,-0.14598320424076983,0.0,0.011911663366838259,0.09441747741060116,0.7218030974297732,0.7043796794737577,0.5180546838474198,0.5187844050603339,2.311919525216619,1.9679491912251086,0.953,False,False,False,0.30181665911015165,0.31588269522072365,0.011860454623621175,1.6104099646613927
2025-01-21,1015,61,62,2025-04-21,7.34,7.5,0.7451105910543262,0.0,0.010716975056793952,0.09016232816091367,0.14684179027792277,0.1775967860797527,0.04217550916414314,0.04607033468389421,2.13417290838831,2.4092743491185304,0.55795,True,True,True,0.2907592518240204,0.32823901214148915,0.010306400772713165,0.12030748407125834
2025-04-21,1077,63,62,2025-07-21,7.5,9.7,-0.11885574896039858,0.0,0.010716975056793952,0.1085348379880947,1.6429709942234259,1.678268274811595,1.0658435643964665,1.0642831973039968,15.912798393071352,19.086207410989214,0.9844,False,False,False,0.3594218249162978,0.3189892768566406,0.00910838282760884,2.2712144273649524
2025-07-21,1139,64,65,2025-10-21,9.7,9.52,2.865664307049045,0.0,0.010716975056793952,0.10286309651113258,0.2503651671664424,0.2682794710838662,0.13830222065721287,0.1427522393635421,3.311884358867413,3.3081969762971557,0.37645,True,True,True,0.3414313772028261,0.3410512346698099,0.009959220754064635,-0.28628354348315777
2025-10-21,1204,64,63,2026-01-21,9.52,9.75,-0.09038680455477655,0.0,0.010117483138428305,0.0991251799378952,0.21324426070132996,0.23855232616423439,0.07228104120176848,0.06999049764640475,3.0723458588537014,3.2210216862928753,0.56795,True,True,True,0.32272540534177535,0.3383426141063945,0.008974571176099122,0.13876346127867376
2026-01-21,1267,62,60,2026-04-21,9.75,7.33,0.47328040786242914,0.0,0.008914169302008671,0.09358273346017894,2.042589071728761,2.0215048274975285,1.255626479313622,1.2523462288841376,25.714113576077875,24.88642597719446,0.00325,False,False,False,0.31011330139191945,0.3157774864103038,0.009359277807922561,-3.143805780565215
