origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-12,260,63,64,2012-04-12,8.27,7.82,-1.393879929690209,-0.012271228573534309,-0.011946439640629296,0.08151526137350801,0.22840920395485365,0.2726100155996535,0.1793839618962405,0.22651762822012866,2.1731419371688636,1.5385243771681765,0.2692,True,True,True,0.2627741157398868,0.1860368049780141,-0.011031689988817206,-0.5398193429831993
2012-04-12,324,63,63,2012-07-12,7.82,8.38,-1.0811975728819085,-0.010235984945296022,-0.009911196012391009,0.0876598697218149,0.3827801339130655,0.34757848847259964,0.31638854563530394,0.2791689974692195,2.1858517545155474,1.504074173954761,0.8383,False,True,True,0.2795206847206582,0.19233685088935562,-0.009306533410563644,0.9020610708195554
2012-07-12,387,63,62,2012-10-14,8.38,8.89,-0.7062818457847494,-0.006725857856285246,-0.006401068923380234,0.08817508478230167,0.3385416040370929,0.30163645509366416,0.28380861788365674,0.2549591241882876,2.3928569778010242,1.8062638654291492,0.7929,False,True,True,0.28554379210036085,0.21554461401302494,-0.006875565127364425,0.7426157186791252
2012-10-14,449,63,58,2013-01-14,8.89,8.5,0.4321308417353922,0.004514747901084372,0.004839536833989385,0.09673741670106079,0.2840117228035101,0.2385694138843491,0.22044125705330586,0.19838413970114033,2.8279343803921853,1.8772899768948488,0.2823,True,True,True,0.31810285493725365,0.21116872630988173,0.005723567391069828,-0.5137662815321679
2013-01-14,507,60,62,2013-04-14,8.5,9.0,-0.1384972585434394,0.0,0.0003247889329050125,0.09753660073831284,0.309428449096902,0.296708696763395,0.254919771111477,0.2527088941180864,2.720681581603042,2.1674416765584414,0.7438,True,True,True,0.3200801860709461,0.2549931384186402,-0.0011575932027004798,0.5826902360430436
2013-04-14,569,61,63,2013-07-14,9.0,10.59,0.6437885894705221,0.006509074749662091,0.0068338636825671034,0.09361646296742726,1.0739678756860758,1.1754187089596808,0.7688062908443438,0.7889209975274873,3.720116848321058,9.89974698346008,0.9546,False,False,False,0.30627877405137,0.25095608075509573,0.005820824256812518,1.6647896497516195
2013-07-14,632,62,63,2013-10-20,10.59,10.64,1.7435404218957389,0.018122966026931066,0.01844775495983608,0.09624396365164223,0.23170597835150153,0.20431719429722828,0.06736148380226581,0.021703932287545413,3.310872954713041,2.892920946677263,0.44435,True,True,True,0.3126414499256885,0.2731747825002137,0.01744315085972925,-0.14273550400912152
2013-10-20,695,61,61,2014-01-20,10.64,10.77,1.2417259177511086,0.013599498519644714,0.013924287452549727,0.10140827439388485,0.23351728886636902,0.2221881584974057,0.012056414133924775,0.07154884628470448,3.5672573753849086,3.0075549315923578,0.4892,True,True,True,0.33526855031813046,0.28266493717973284,0.014484288371038323,-0.01755557136132837
2014-01-20,756,60,63,2014-04-20,10.77,10.45,1.055538482269109,0.011374805620320325,0.011699594553225338,0.09978061059016262,0.31613200830928245,0.23202013651260622,0.2230927832631604,0.16295628330743384,3.5412161518723533,2.485314323816235,0.3197,True,True,True,0.3288037281218527,0.2307627041612103,0.011716394292137444,-0.41954150273389673
2014-04-20,819,61,63,2014-07-20,10.45,10.73,0.7303680966681743,0.00792085865456533,0.008245647587470343,0.10041687769925797,0.24089044257844427,0.21159999335979895,0.08842456471781723,0.13814981861810338,3.407826115069856,2.3935021659457405,0.57305,True,True,True,0.32610776220764176,0.22904326946849193,0.009870896704724075,0.18120390776152753
