origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2022-01-18,260,61,64,2022-04-18,4.86,6.1,0.16448957074094925,0.0,0.0003247889329050125,0.12225192320386392,0.8951873458871553,0.8745315163470113,0.616097343059689,0.6189789445589247,5.303224459798413,4.251824148967941,0.9681,False,False,False,0.40044824808974755,0.422722640439601,0.0016060316626793636,1.8562124700119713
2022-04-18,324,62,59,2022-07-18,6.1,5.31,1.6181175096992513,0.0,0.0009481995596740592,0.12322297768842186,0.5048231129837656,0.49143025256980544,0.40030219503616715,0.3971372040517105,2.4288722566594627,2.6087668316554513,0.1131,False,True,True,0.3981757797802398,0.42766669371400845,0.001738424602022004,-1.1332718791960616
2022-07-18,383,62,65,2022-10-18,5.31,6.17,-0.4735809914878993,0.0,0.0040421452903959265,0.1407284898562739,0.511506573250523,0.5071806384170565,0.4203238406420242,0.4267386507441051,2.421285671886129,2.5505624092651464,0.86385,False,True,True,0.45598600223844243,0.4803319038164118,0.003644504466280951,1.037919596253959
2022-10-18,448,63,64,2023-01-18,6.17,5.81,-0.3980287235004811,0.0,0.007705035584971566,0.14853295339732253,0.2801321320994552,0.3020397221721439,0.20434301938978816,0.20846263819627753,3.0198997406367196,3.2907129133914745,0.3027,True,True,True,0.489448904479209,0.5333408287506441,0.007890768035587747,-0.4566212485994428
2023-01-18,512,62,64,2023-04-18,5.81,6.09,-0.2778819469984791,0.0,0.010716975056793952,0.14204887112356512,0.20197187635313962,0.21198642271790769,0.10217889274715697,0.10615642642697143,2.7123096187118687,2.6666140724204324,0.608,True,True,True,0.4668347020158122,0.45896971986582313,0.013019314028517526,0.2559016169130375
2023-04-18,576,63,59,2023-07-18,6.09,6.77,1.6184488151455236,0.0,0.011911663366838259,0.13983802681665053,0.35876406302736447,0.36319160271229484,0.30023775887687654,0.3077838537340032,2.824472402941079,2.8673266626067715,0.76965,False,True,True,0.4637885719115072,0.47082539615874736,0.013058207265393529,0.671786809168234
2023-07-18,635,64,64,2023-10-18,6.77,6.84,1.54635008681146,0.0,0.012506873399912041,0.13654885798145333,0.20040825260127515,0.19437259006933233,0.006328605639172924,0.011993432572403151,3.024081503512421,2.761358842353556,0.49415,True,True,True,0.4466885529560445,0.4078816606135238,0.012209336968736606,-0.016259591786099575
2023-10-18,699,63,64,2024-01-18,6.84,7.52,-0.40699532679672834,0.0,0.013100669698262088,0.14214167380073314,0.35994545580661985,0.35718571609693484,0.2955169580056376,0.2987589883996993,3.140298976615701,2.9558064343065347,0.7361,True,True,True,0.4591080375169153,0.43213544361206646,0.013006737425252046,0.5746220263561153
2024-01-18,763,63,60,2024-04-18,7.52,8.38,-0.1170585836288581,0.0,0.013100669698262088,0.13277983133641894,0.45207674593341496,0.45302734584124926,0.38275312111178916,0.3782192693155695,3.2549737723387313,3.5027110018353804,0.7854,False,True,True,0.4328422569599377,0.46578603747810915,0.012565659278779728,0.7168340694214674
2024-04-18,823,61,63,2024-07-18,8.38,8.31,0.27672117510912403,0.0,0.013100669698262088,0.12944084063394584,0.24624115937967261,0.26405689895834317,0.0796256840304288,0.08285403114890943,3.5755347230445835,3.5981919759364454,0.43175,True,True,True,0.4266747879528142,0.4293785174148502,0.010650521248312339,-0.16601387336217177
2024-07-18,886,63,66,2024-10-18,8.31,8.4,0.8064693899392863,0.0,0.013100669698262088,0.12271958661503982,0.22426494693875731,0.2622810302797943,0.011062357067216588,0.0049586327429418375,3.3427852659955555,3.705015416772401,0.4901,True,True,True,0.40226056149164324,0.44585023065853197,0.013492745383204996,-0.018974743808871913
2024-10-18,952,64,63,2025-01-20,8.4,12.95,-0.4551075489365632,0.0,0.011911663366838259,0.12730018840135993,3.7951868280978243,3.784056001235213,2.2253651656403104,2.2266594146274628,54.5595554084478,53.98207964445197,0.9969,False,False,False,0.4082410701459619,0.4201526404410917,0.011817817704687927,3.3067698030598005
2025-01-20,1015,62,62,2025-04-21,12.95,12.25,0.3042572671458558,0.0,0.010716975056793952,0.13198087328103122,0.5428707748635788,0.6073517305018985,0.41532830573598645,0.4042487702131963,5.529738439930387,6.707141417811931,0.29135,True,True,True,0.42700682933825385,0.5179259782094155,0.010089313627179353,-0.5022457009392414
2025-04-21,1077,63,62,2025-07-21,12.25,14.85,-0.8413718750529905,0.0,0.010716975056793952,0.14349971834386416,1.6037737973041861,1.4918896257486627,1.2474953493928043,1.2473875499309903,5.8419525984864435,6.88661945792475,0.9079,False,False,True,0.47689408967236274,0.562173016973449,0.008572187854235969,1.2666014630470543
2025-07-21,1139,63,65,2025-10-21,14.85,13.85,1.9875336218068025,0.0,0.010716975056793952,0.14849732216629905,0.7411728786510807,0.8093342435337088,0.5712628698106448,0.581241413412152,7.362652910134127,8.345691045223774,0.27475,True,True,True,0.4958015427699749,0.5619993969847659,0.009597692903790644,-0.5416367547832373
2025-10-21,1204,63,63,2026-01-21,13.85,14.65,-0.23464677019426486,0.0,0.010117483138428305,0.14768964306494187,0.5403680346089803,0.6064700503854503,0.3418993972740836,0.3373133724448705,6.692157524869412,7.3946764785682575,0.6416,True,True,True,0.48318826894363986,0.5339116591024012,0.008389978732984416,0.311718673942878
2026-01-21,1267,62,60,2026-04-21,14.65,12.68,0.3811136483300651,0.0,0.008914169302008671,0.13891176260503865,1.3241586969539192,1.3201543472290556,1.0549950130035661,1.0479923107201294,6.783225601889239,6.145663044190568,0.1209,False,True,True,0.4630188124156477,0.41949918390379304,0.009555633174548328,-1.1037838184514086
