origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-02-09,260,60,60,2012-05-03,2.892,2.748,0.685420982467813,0.0,0.00030932279324286907,0.23093876947410674,0.16085993208149424,0.1311818692211661,0.07594892502148909,0.072628490295358,2.225194911839703,1.6140981850491127,0.3989,True,True,True,0.7694311590040467,0.5581252368772865,0.0027309301670050967,-0.22250163039610132
2012-05-03,320,60,60,2012-08-05,2.748,2.7,-0.10250930860440048,0.0,0.00030932279324286907,0.23276523746746094,0.1410298498613511,0.11527468167700028,0.02555740580399446,0.023906543311253525,2.117069473046736,1.6043424507446544,0.4654,True,True,True,0.7704037383721746,0.5838218525271668,0.0011334831178999583,-0.077034373079739
2012-08-05,380,60,60,2012-11-04,2.7,2.796,0.4140288611130852,0.0,0.00030932279324286907,0.22165077075560904,0.13846609113169406,0.10516477201632429,0.04845198685205099,0.04682525414016192,1.9838516828033939,1.3740760625433341,0.56995,True,True,True,0.7347598825197754,0.5089170602012348,-0.0003348050755934695,0.15623103159076676
2012-11-04,440,60,60,2013-02-05,2.796,3.606,-0.30048623333404634,0.0,0.00030932279324286907,0.18333462408599233,0.540804205208302,0.5779728002008713,0.40789234737681745,0.40224784641303235,1.6662375328567323,3.3683542858412636,0.92575,False,False,True,0.5959361705496181,0.4533880537337932,-0.002068918009168419,1.3859901198866522
2013-02-05,500,60,60,2013-04-30,3.606,4.869,3.5241294419711724,0.0,0.00030932279324286907,0.20196189466342263,0.8564471518572767,0.970408285235145,0.6309581117047305,0.6318215348892382,2.394325234444451,9.503871769393976,0.93575,False,False,True,0.6639837033955771,0.4313813558901124,0.00030054813936186697,1.485330339795653
2013-04-30,560,60,60,2013-07-24,4.869,4.917,3.0090812006048036,0.0,0.00030932279324286907,0.17213816386451805,0.1812022776807305,0.15124770391463038,0.02508835205786042,0.022392969635163684,2.7346761648705895,2.1221625269781765,0.52615,True,True,True,0.5616504754303943,0.43585182316249266,-0.0004470536282030757,0.05519222595794157
2013-07-24,620,60,60,2013-10-27,4.917,5.399,0.570308991650785,0.0,0.00030932279324286907,0.19854872727554976,0.3106446865275182,0.28846081359315856,0.24458756518320612,0.23847404203721378,3.195307603253722,2.449736381629472,0.7015,True,True,True,0.649849014287924,0.49821768997955507,-0.0014592496169233415,0.46943559544328856
2013-10-27,680,60,60,2014-01-26,5.399,6.894,0.6938094920490181,0.0,0.00030932279324286907,0.19570182935879812,0.9651955908751798,0.9950182953349603,0.7465913872043402,0.7542593821882226,3.4925512356837083,2.9893432070315473,0.90765,False,False,True,0.646888541523191,0.5536846095631686,0.00033658558831639596,1.247450751304414
2014-01-26,740,60,60,2014-04-21,6.894,9.063,1.5777146118035739,0.0,0.00030932279324286907,0.22591154987955012,1.381017975878969,1.470478757415012,1.0881506091735549,1.0905725449867036,5.115546201188882,3.9556475727169618,0.901,False,False,True,0.7420287498098175,0.5737811970868816,-0.0010590685156816049,1.2094972582429362
2014-04-21,800,60,60,2014-07-17,9.063,8.677,1.1884228609172847,0.0,0.00030932279324286907,0.23086815406278854,0.4889058955616463,0.4146687182754133,0.20103241108230918,0.19246550129221074,6.942714692137165,5.366003276926064,0.41495,True,True,True,0.7660503908349514,0.5920780400448046,0.00177257223486893,-0.18986450180830775
