origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2022-11-11,260,63,64,2023-02-13,4.79,4.12,0.6091459213475949,0.013073672082782256,0.02259022228439634,0.198724993540497,0.4882367903545436,0.43468438997188696,0.3948215400509829,0.3582312674623229,3.2231779834775725,2.9501329503136304,0.1709,False,True,True,0.6728972825631675,0.6158941441155804,0.024977678518155688,-0.8718957150725785
2023-02-13,324,61,61,2023-05-15,4.12,3.19,-0.6595149800034456,-0.012532519628785897,-0.0012174867775697554,0.1759502845774299,0.6229347825395914,0.6480368219900363,0.4648119752190707,0.48771389398829323,2.350477018043888,2.530575327515456,0.0669,False,False,True,0.5705041305931766,0.6142173125037514,-9.127416549969958e-05,-1.4470835349803857
2023-05-15,385,63,61,2023-08-15,3.19,3.64,-0.7853894547001954,-0.014449608982908372,-0.001942735582996331,0.17035201449036827,0.2674717658260672,0.24068832316690336,0.2258998902500846,0.20455519335323036,1.7690197155790637,1.720590717636461,0.8071,False,True,True,0.5545516349777629,0.5393701309205207,-0.0005641945141595661,0.7860517577998083
2023-08-15,446,63,65,2023-11-15,3.64,3.22,-1.781527860487973,-0.030709404725520487,-0.017608735027258397,0.15960813544236752,0.22147565628232418,0.2846842327037616,0.17762423127646554,0.231580330154876,1.8711820663427399,1.6032493995425092,0.2368,False,True,True,0.5140610072370164,0.4404531317424476,-0.017788883914029885,-0.6578210238098152
2023-11-15,511,63,64,2024-02-15,3.22,2.69,-0.4422304470029499,-0.007229981729407682,0.005870687968854406,0.15137871154277807,0.3561386433527934,0.38396721607950235,0.2740374695188532,0.28995148651198255,1.6011160142950298,1.4042473445500177,0.0972,False,False,True,0.4972409982282701,0.4361016597981421,0.005613335104877715,-1.2267963706306462
2024-02-15,575,61,59,2024-05-15,2.69,2.6,-1.2459994979280475,-0.018664306224886643,-0.005563636526624555,0.1386980095239264,0.08750769281938653,0.09581414799457791,0.04068800797039196,0.06394592021518553,1.2013380954053519,1.0785277295561806,0.4039,True,True,True,0.4465940875112832,0.40093967641493705,-0.00320594202944835,-0.20523807196220945
2024-05-15,634,62,64,2024-08-15,2.6,2.36,-1.0306242367410663,-0.015592678892809127,-0.00249200919454704,0.1400866108790846,0.14530170448966923,0.16667757762167584,0.11845643448913679,0.13668069934473603,1.1818429833007653,0.9963866011068827,0.23015,False,True,True,0.4545549935772174,0.3832256158103395,-0.0011873580852794774,-0.6735677036031334
2024-08-15,698,63,66,2024-11-15,2.36,2.54,-1.3102268935093926,-0.020066310282691093,-0.0069656405844290056,0.14180686582193472,0.12042575862754556,0.0948354047626552,0.09933723614113843,0.07465424206340865,1.073712522413389,0.881996776698498,0.739,True,True,True,0.45496293322601233,0.37372744775360084,-0.007912911984015558,0.5674485654199453
2024-11-15,764,64,63,2025-02-17,2.54,2.42,-0.0006708217810734718,0.0,0.011315032851216142,0.13730207744955364,0.10381961990924779,0.10181755205061302,0.07510838950885823,0.07439269048687436,1.151807478460558,1.0425258455820186,0.31715,True,True,True,0.4534675112049441,0.4104432462921333,0.011896369692014241,-0.43489199014490565
2025-02-17,827,61,63,2025-05-19,2.42,2.49,0.1388144214388662,0.0,0.010716975056793952,0.13188608848075634,0.07259275112068003,0.06746497246044436,0.021524212881057325,0.02078066294787595,1.0377195988860506,0.9123061326704178,0.5589,True,True,True,0.42880975160580603,0.37698600523570985,0.011137014147886592,0.13495127087512523
2025-05-19,890,64,63,2025-08-19,2.49,2.5,-0.5224293860474897,-0.008238259155950627,0.0024787159008433247,0.146010502868189,0.07830923382299818,0.07546849822419816,0.0017946135683652997,0.006989559021684855,1.1864603254048678,1.065769654837827,0.5048,True,True,True,0.47649009052404323,0.4280199417019385,0.0025746075756101217,0.010473941714151225
2025-08-19,953,64,65,2025-11-19,2.5,2.37,0.3356112596220592,0.005273017692934912,0.015989992749728864,0.14547854548303227,0.11443302744043665,0.10505589920139893,0.08449578188253071,0.08040675392287167,1.1849430111854131,1.0175818503168204,0.30205,True,True,True,0.47397720447416525,0.40703274012672813,0.015596625506024697,-0.4769828378916351
2025-11-19,1018,64,63,2026-02-19,2.37,2.68,0.044762687689184504,0.0,0.009516550201614082,0.14128312656808353,0.17202269313574434,0.173051416790556,0.14586453448706505,0.14284205896988933,1.094797097471655,0.8347608002562183,0.81135,False,True,True,0.46193970357453795,0.352219746943552,0.007709253597413479,0.8027164455442568
2026-02-19,1081,61,59,2026-05-19,2.68,3.38,0.24700451497107148,0.0,0.008914169302008671,0.14308676224433392,0.4694163915868446,0.5026824162691141,0.3399563166146191,0.33879653974523327,1.2513892306103531,4.269432112472158,0.94595,False,False,True,0.4669362800784899,0.35445659420268405,0.007495286108493149,1.5595065690920664
2026-05-19,1140,63,61,2026-08-19,3.38,2.61,1.3235100715211443,0.021604512978851333,0.030518682280860004,0.151144892015293,0.63559330995,0.5856098766522443,0.43761027252959095,0.39903281765725396,4.290859922563202,4.676769291318781,0.02885,False,False,False,0.4996298543944215,0.4236986515762517,0.031130338774905786,-1.912364795046727
