origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2014-07-21,260,19,37,2014-10-22,1.167,1.313,-0.8163002420037484,-0.034472014128460744,-0.034147225195555735,0.3910146041617864,0.1273158793985829,0.10879898488077488,0.09027525492121624,0.07267353686312339,1.5339722182429871,1.257157062456114,0.66055,True,True,True,1.3144577705595433,1.077255409131203,-0.02960626378957376,0.3887974147095892
2014-10-22,297,25,24,2015-01-22,1.313,1.26,-0.35341487310200886,-0.01651738862437118,-0.016192599691466168,0.4327457478419379,0.12297672262145865,0.11140745771273691,0.014826812731593919,0.02716645164632492,1.9478096180865168,1.6052767514970774,0.47645,True,True,True,1.48348028795622,1.2226022479033338,-0.017780940241288734,-0.05779438571154128
2015-01-22,321,47,11,2015-04-22,1.26,1.097,-0.5629636268242638,-0.03890759972860722,-0.03858281079570221,0.6399268724960054,0.18502243835493937,0.15838236030829306,0.05685197814983867,0.08031551225137912,3.010676829817885,2.0839930550207915,0.4375,True,True,True,2.38942605541102,1.6539627420799932,-0.03912384420660531,-0.15618929782514349
2015-04-22,332,41,18,2015-07-30,1.097,1.2,-0.8614731346817452,-0.056081094623839776,-0.05575630569093477,0.6027691099816099,0.15882616138922095,0.12171431348232753,0.08251611344159027,0.0523969840140851,2.318623821761029,1.6863347772377741,0.60555,True,True,True,2.1136042130911843,1.5372240448840238,-0.056547153038450815,0.2413837716339434
2015-07-30,350,37,23,2016-01-05,1.2,1.05,-0.7809411559094271,-0.04617568762037799,-0.04585089868747298,0.5474838403845568,0.14556054858255835,0.13614364319386513,0.04428308863439945,0.07509380709090163,2.274498367737554,1.7517947859616176,0.43125,True,True,True,1.8954153064479617,1.459828988301348,-0.051194852276000846,-0.16015174781316296
2016-01-05,373,31,34,2016-04-05,1.05,1.242,-0.47639426257048545,-0.025256446223913886,-0.024308246664239825,0.4908874894776,0.14935853335946625,0.12831302884357268,0.1076101166472514,0.09426386915753104,1.8075267294131871,1.3872463500363597,0.66405,True,True,True,1.7214540280125592,1.3211870000346282,-0.022114507899526514,0.3916194038896302
2016-04-05,407,29,53,2016-07-10,1.242,1.6,-0.15311659803924488,0.0,0.0009481995596740592,0.48718896070536877,0.21700620955997307,0.2064343632744658,0.1781239199071205,0.17616841118421367,2.1682065828938524,1.6754870925200551,0.718,True,True,True,1.7457379894475462,1.349023423929191,0.0014107569933647923,0.5179354758150494
2016-07-10,460,29,37,2016-10-11,1.6,1.79,0.36454210306953655,0.01498349564872042,0.01593169520839448,0.3805762617082982,0.1546386526447579,0.17304465831723154,0.08253336479150986,0.09625404232402068,2.1363017308364274,2.247198431165794,0.61295,True,True,True,1.3351885817727671,1.4044990194786213,0.015583294010612647,0.25298555134878553
2016-10-11,497,28,46,2017-01-11,1.79,3.74,0.45354301159225313,0.019799840411004105,0.020748039970678166,0.4042215423269833,1.4046294408969044,1.4481945167884023,0.9567536402176277,0.96991811807818,7.694889323811358,11.242119367435505,0.9635,False,False,False,1.4150045234254824,1.2973104134549271,0.020386994170248585,1.771607587959309
2017-01-11,543,27,63,2017-04-11,3.74,1.84,0.2775780053633093,0.012501082278520627,0.014071141767808248,0.417002642866653,1.376436862996575,1.3577313778779985,0.9715714335998057,0.9472304508025516,7.49120722535294,9.385128023694707,0.04035,False,False,False,1.4391574932287738,1.2453208508554847,0.011535525989200934,-1.734740040495803
