origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2023-10-13,260,63,64,2024-01-15,3.06,3.24,1.4438517067063033,0.023349127398063982,0.03644979709632607,0.14973533850600956,0.10642579855333384,0.09975454831386699,0.030713405095145863,0.06970235907309119,1.5612518166693587,1.0772501480949823,0.55555,True,True,True,0.5102130119834506,0.3520425320571838,0.03874940843454522,0.1383014654405808
2024-01-15,324,62,60,2024-04-15,3.24,3.7,0.3832367376412572,0.006254130970081161,0.019354800668343247,0.1511040419813603,0.23402966936785063,0.25298203296196375,0.1967416065113381,0.20899812354207414,1.6156708681114873,1.2425670909408337,0.796,False,True,True,0.49866384818255777,0.38350836140149186,0.0205298725238654,0.750507317280015
2024-04-15,384,61,63,2024-07-15,3.7,3.5,0.5989604837447404,0.009335630821255863,0.02243630051951795,0.14431841243065732,0.17902680419484573,0.15832736449377613,0.13738743279058685,0.12618580699296933,1.7453744021673345,1.4033920487531915,0.27825,True,True,True,0.4717228113965769,0.3792951483116733,0.020209423130046922,-0.5405142030079455
2024-07-15,447,63,66,2024-10-15,3.5,4.35,0.2560481875599889,0.004261980366292576,0.017362650064554664,0.15412247805944757,0.5122762386983135,0.5522751129543619,0.3967305785239037,0.40157346433876584,1.7768603997549417,1.6020995262890616,0.91325,False,False,True,0.5076743999299833,0.4106488300914399,0.016153955129197817,1.297995133866893
2024-10-15,513,64,63,2025-01-15,4.35,5.35,0.8373933121026446,0.012969413509621894,0.024881076876460153,0.1434059245405208,0.5700706639538725,0.6401936650844173,0.44310794841915513,0.47134222521347,2.0758896795650026,1.8170311820806404,0.9079,False,False,True,0.47721601829080523,0.41770831771968747,0.026157265094641335,1.2694011039929183
2025-01-15,576,62,62,2025-04-15,5.35,5.08,1.9316049642881716,0.03088392711827799,0.04160090217507194,0.1480438772001114,0.3106024515074573,0.22465628266995513,0.25176670662701284,0.16032405496956414,2.709007170142657,2.345534932506811,0.24175,False,True,True,0.5063564804004966,0.4384177443937965,0.04365110528112637,-0.630800835933026
2025-04-15,638,63,62,2025-07-15,5.08,6.02,1.0645926348165988,0.016630411548966974,0.027347386605760925,0.14464245485466107,0.4893243652277419,0.5512206952481207,0.40194357000653014,0.44866608055027424,2.4491790085070404,2.3377946408233097,0.8563,False,True,True,0.48212185206831504,0.46019579543765937,0.02679387007616918,0.9846943711491385
2025-07-15,700,64,65,2025-10-15,6.02,5.96,1.046536640363319,0.017491171858741626,0.028208146915535578,0.15475358314461257,0.23258447208421995,0.20484897318779222,0.11255925374072895,0.06197795557690844,3.117301119798695,2.8120984198717336,0.39595,True,True,True,0.517824106278853,0.46712598336739763,0.027428323501903273,-0.24700510568008474
2025-10-15,765,64,63,2026-01-15,5.96,6.75,1.3872248798617748,0.023193436200782076,0.03331091933921038,0.15480838183750623,0.3543285545705438,0.4345009053219069,0.29426789132746745,0.36672151698555666,3.124982635266295,2.775526725354773,0.73985,True,True,True,0.524325945514479,0.46569240358301556,0.0338027210310512,0.5888641389175971
2026-01-15,828,62,60,2026-04-15,6.75,5.8,0.44693845481904715,0.007235478294147829,0.016149647596156502,0.14989797514152625,0.6749241372724769,0.6437239159192832,0.5338730567283991,0.5017546184521922,3.2816668545455796,2.716506338936016,0.1147,False,True,True,0.48617286734008586,0.40244538354607645,0.01744386866026648,-1.1196564514614724
2026-04-15,888,62,60,2026-07-15,5.8,5.57,-0.2972734041502176,-0.004680087584260854,0.004234081717747817,0.1457720189351823,0.2144369962448971,0.2251265274967662,0.12252353543400396,0.13570370320344782,2.7773886583004623,2.6594875943456815,0.3699,True,True,True,0.47886011350007973,0.4585323438527037,0.0025943225634497136,-0.3066222561601708
