origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-04-29,260,49,60,2012-07-29,8.46,8.76,0.06782704814013377,0.0,0.019818295223626967,0.2238451196299507,0.42328139714418445,0.27324808570072023,0.05520861617236328,0.06490660945819737,6.424599457548001,3.7773539991782457,0.52405,True,True,True,0.7594089193319149,0.44649574458371694,0.022409310597550025,0.06713765362133145
2012-07-29,320,58,60,2012-10-29,8.76,8.61,-0.11969885304687296,0.0,0.019818295223626967,0.1426973405186491,0.3134855217506458,0.3029793967906611,0.16492611627532838,0.1614419581499167,4.156633618379317,3.776188333208305,0.3878,True,True,True,0.47450155460951104,0.4310717275351946,0.020531076775189172,-0.25991992280641285
2012-10-29,380,60,60,2013-01-29,8.61,8.4,-1.4388767268216673,0.0,0.019818295223626967,0.19957893808425636,0.41988047829842867,0.30882660626786995,0.18862250015588522,0.19315988282714436,5.782921041715919,3.5998657104317644,0.4065,True,True,True,0.6716516889333239,0.41810286996884605,0.019424506424131405,-0.22302407378882425
2013-01-29,440,59,57,2013-04-29,8.4,8.98,0.7815760692155692,0.0,0.019818295223626967,0.14384507080578582,0.32785119468745316,0.2605903537954431,0.21392658610630377,0.20132908287121865,3.984152619029129,2.504652111559426,0.6469,True,True,True,0.47430388321775346,0.29817287042374113,0.018112717593737226,0.32639200619257414
2013-04-29,497,59,54,2013-07-30,8.98,9.69,0.7999383356824338,0.0,0.019818295223626967,0.1580777254231845,0.3948747502786062,0.3132382701956491,0.2661419993248195,0.26010927107305015,4.696774572758121,2.605868028343874,0.65525,True,True,True,0.5230261216879868,0.29018574925878327,0.019790200595808383,0.35600365715210264
2013-07-30,551,58,51,2013-10-30,9.69,10.16,1.4827448750057999,0.0,0.019818295223626967,0.17882795974012256,0.39841542928300944,0.2543270422618129,0.14007672426517814,0.13220165465281397,5.721362798149372,3.1976162964879826,0.5697,True,True,True,0.5904399172496773,0.3299913618666649,0.0195920073756084,0.15403475532609182
2013-10-30,602,56,56,2014-01-30,10.16,10.84,-0.43148452944628835,0.0,0.019818295223626967,0.2012764404978357,0.4948372179746048,0.3489307178450112,0.2352570703823389,0.23665430733320925,6.861602385676892,3.875209521327017,0.59895,True,True,True,0.6753545655193791,0.3814182599731316,0.020618686932610375,0.22340547421406112
2014-01-30,658,54,49,2014-04-30,10.84,10.93,0.2500689323926463,0.0,0.019818295223626967,0.17712800155342864,0.42512042772759884,0.2713675391137109,0.06108296918282985,0.06187869822191416,6.332817810749358,3.758390092782159,0.47225,True,True,True,0.5842082851244795,0.3467149532086863,0.01957250353926754,-0.06520701947397035
2014-04-30,707,53,45,2014-07-31,10.93,11.33,-0.4267995178761883,0.0,0.019818295223626967,0.19729717877004707,0.4788504266993523,0.2972961182932201,0.07985115620982874,0.08689250132142146,7.194828414635737,4.08007161917101,0.53075,True,True,True,0.6582642648340107,0.37329109050054987,0.021985149824368166,0.08172685351286303
2014-07-31,752,52,43,2014-11-02,11.33,10.85,0.5737553396810047,0.0,0.019818295223626967,0.19146285681542155,0.5699899826665265,0.45097543154809594,0.3411115594736396,0.3486791734086614,7.259343396983505,4.204075674941873,0.3575,True,True,True,0.6407187464239634,0.3710569880796004,0.01784846592650302,-0.32960591587699734
