origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-03-21,260,54,61,2012-06-21,1.44,1.13,0.539223969594506,0.0,0.019818295223626967,0.2519073238304884,0.21707510782747436,0.2192569241932885,0.1713510161818016,0.16951579167960817,1.2378942505825639,0.9323995049848703,0.132,False,True,True,0.8596487851267804,0.6474996562394933,0.022709744696946643,-1.0410327579985494
2012-06-21,321,61,62,2012-09-23,1.13,1.87,-0.41438958823039845,0.0,0.019818295223626967,0.25263340142996327,0.5308397381418616,0.5838975494071136,0.35899279383955407,0.35918180770449126,3.5931617948355474,7.280753353629237,0.9704,False,False,False,0.8640401424018966,0.6041308105660779,0.01948178081494878,1.9154335894605368
2012-09-23,383,60,61,2012-12-23,1.87,2.35,2.049762250216102,0.0,0.019818295223626967,0.2650100773103371,0.2582975678997572,0.2709385653980708,0.22201083029869972,0.2247990239865889,1.670670524216098,1.204566629118394,0.80195,False,True,True,0.8934066974417636,0.6441532776034192,0.01923975369123032,0.787361009753595
2012-12-23,444,60,62,2013-03-24,2.35,2.3,1.151771265764728,0.0,0.019818295223626967,0.2715482574959517,0.14652437213186664,0.12008664564783461,0.0468106865232214,0.04776259767458724,2.169153561643286,1.6032608261145485,0.4366,True,True,True,0.9230440687843771,0.6822386494104461,0.01856228640274149,-0.15218105549878838
2013-03-24,506,62,62,2013-06-24,2.3,2.2,-0.36864327066750946,0.0,0.019818295223626967,0.26701153797360316,0.15074041065331312,0.12588618195744977,0.07303999370765779,0.06917800347483039,2.1031540662909216,1.5641001767759366,0.39555,True,True,True,0.9144148114308356,0.6800435551199725,0.020034777137093895,-0.24070142542235165
2013-06-24,568,62,61,2013-09-24,2.2,2.7,-1.971166804083293,0.0,0.019818295223626967,0.2870290174796503,0.2723603939212233,0.2670935646748475,0.23186623271559226,0.23068207794922957,2.1606766512144064,1.588454222278699,0.7654,False,True,True,0.9821257505520028,0.7220246464903177,0.01648524298582532,0.6444509305945021
2013-09-24,629,61,59,2013-12-24,2.7,2.89,0.15886828248150206,0.0,0.019818295223626967,0.28282430310526696,0.1765917244788206,0.14659950948136652,0.066478339045132,0.07260179772420305,2.5882908834082112,1.894571606134117,0.579,True,True,True,0.9586262531141523,0.7016931874570803,0.02112715626286521,0.17037586007060904
2013-12-24,688,60,61,2014-03-24,2.89,2.93,-0.25516984440419865,0.0,0.019818295223626967,0.2700286702635,0.17246023557424622,0.12454811366349466,0.007386466723806828,0.00279294445632039,2.638581860083527,1.7806864547953118,0.4926,True,True,True,0.9130041038351304,0.6161544826281355,0.018952572127201917,-0.022487887353095776
2014-03-24,749,61,60,2014-06-24,2.93,2.5,-0.6672874947204974,0.0,0.019818295223626967,0.2540954127658628,0.30750009688674,0.30623131280365357,0.24675830923704156,0.24715760388175934,2.526133832647526,1.682304637156891,0.21975,False,True,True,0.8621617176271419,0.5741654051730003,0.02167802678296349,-0.7026100331175796
2014-06-24,809,61,61,2014-09-24,2.5,2.69,-1.3247861233191562,0.0,0.019818295223626967,0.24900251042490032,0.15062498009978498,0.11631293437288376,0.06825797414128698,0.06940174461986204,2.1186278434990107,1.383907293805649,0.5908,True,True,True,0.8474511373996043,0.5535629175222596,0.021393620686970483,0.2145848506699334
2014-09-24,870,60,62,2014-12-24,2.69,2.61,-0.5460741354077582,0.0,0.019818295223626967,0.23610221708513043,0.15351956866395072,0.10605844776490883,0.06951542790410703,0.06675113352362172,2.132842153252045,1.2216266786339784,0.4056,True,True,True,0.7928781238855186,0.4541363117598433,0.021944556062533094,-0.21181193518712707
2014-12-24,932,60,61,2015-03-24,2.61,2.84,0.7289814195805541,0.0,0.019818295223626967,0.24183448895886145,0.16094614427415094,0.12289049394076945,0.0886563327979557,0.09167700869004713,2.1136258076589707,1.2729622078300191,0.6142,True,True,True,0.8098183171107167,0.48772498384291924,0.02018671816248596,0.2672717853154556
2015-03-24,993,61,62,2015-06-24,2.84,2.16,0.25376816072671887,0.0,0.019818295223626967,0.22883037633592848,0.48321599563453954,0.5357712329442444,0.368137071408035,0.3692324262023414,2.1643863000378443,3.9134931440110012,0.08605,False,False,True,0.7621078521260015,0.4849709211157304,0.019814839019743014,-1.2826711663043466
2015-06-24,1055,62,59,2015-09-28,2.16,1.76,-1.908934546393241,0.0,0.019818295223626967,0.24386987006692912,0.278149102864835,0.2993725003417055,0.22248239097782718,0.22443181125531486,1.7662772397406543,1.0732633014327078,0.1551,False,True,True,0.8177209443243769,0.496881158070698,0.020817028683173255,-0.9210350905915363
2015-09-28,1114,61,62,2015-12-28,1.76,1.65,0.12206551536981475,0.0,0.019818295223626967,0.22109092817782794,0.1095919374457816,0.09730442493173963,0.07226250987786553,0.07294181299378222,1.3179019044935647,0.9518274962410673,0.33725,True,True,True,0.7488079002804345,0.5408110774096974,0.01961648849757447,-0.38154806737863184
2015-12-28,1176,61,63,2016-03-28,1.65,1.44,0.5169753202238363,0.0,0.019818295223626967,0.2376125313106817,0.15323838022480812,0.14732717095352552,0.12189984558135802,0.12078411574618242,1.3149853780086755,0.9185145673998176,0.23675,False,True,True,0.7969608351567731,0.5566754953938289,0.020484661310737007,-0.6563225798234499
2016-03-28,1239,61,63,2016-06-28,1.44,1.19,0.3470801511099867,0.0,0.019818295223626967,0.24949522414106146,0.17380464831770331,0.17629192092809956,0.13894078702691615,0.13973452968510514,1.217867328467115,0.8453797930275522,0.17525,False,True,True,0.8457412003243855,0.5870693007135779,0.019362204204050215,-0.8437359970028109
2016-06-28,1302,61,58,2016-09-28,1.19,1.24,-0.9512984936223833,0.0,0.019818295223626967,0.26790215167311515,0.07154724152330216,0.050260817182100834,0.01377607218772503,0.012664061896102141,1.0731430056876283,0.7027678348720019,0.538,True,True,True,0.9018008451156541,0.5905612057747915,0.018863744222310963,0.07965511712619104
2016-09-28,1360,61,62,2016-12-28,1.24,2.48,-1.1961961735795952,0.0,0.019818295223626967,0.24021011981306392,1.0130933682092158,1.0806517687826085,0.6084051130259007,0.6078103538485715,13.351303489451993,17.170941105898667,0.99415,False,False,False,0.8117712413598617,0.5539292396887884,0.018701430603385916,2.803082925316867
2016-12-28,1422,60,62,2017-03-28,2.48,3.14,3.370354970356916,0.0,0.019818295223626967,0.26917270991564696,0.3532049389539427,0.3746354033862666,0.30366133330530376,0.3042981817527124,2.2624579609800124,1.59029402549597,0.8079,False,True,True,0.9122814358790373,0.6412475909257944,0.021240860237658366,0.8030009601916175
2017-03-28,1484,62,59,2017-06-28,3.14,3.49,2.0450336019866544,0.0,0.019818295223626967,0.2806736182635332,0.23324347453818817,0.20773996815666534,0.14109337766536867,0.1420951024806354,3.029730184833156,2.3470104772940314,0.63265,True,True,True,0.964882224469158,0.7474555660172074,0.021596574735434082,0.3059091966026165
2017-06-28,1543,61,60,2017-09-28,3.49,5.19,-0.3553391806178857,0.0,0.019818295223626967,0.26518991116198254,1.088703030553468,1.1191396425432303,0.8137029750155014,0.8102930979459342,3.10957474589908,3.7044194502597527,0.93125,False,False,True,0.8909956291974441,0.7711110062256227,0.02080058738366697,1.4216742412555357
