origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-03-21,260,60,60,2012-06-20,1.44,1.14,0.539223969594506,0.0,0.01887456687964473,0.2657671070041916,0.20808116439382154,0.20777531515968914,0.165763187004077,0.1638285714399108,1.3088875893033542,0.9835775488690943,0.1525,False,True,True,0.908949714793996,0.6830399644924267,0.021893315283440185,-0.9500401344142553
2012-06-20,320,60,60,2012-09-18,1.14,1.95,-0.4106731775946443,0.0,0.01887456687964473,0.26408562075015185,0.5877779621078019,0.6519646415622777,0.39359635526288506,0.3943628544460106,4.403542717030369,8.55828548174675,0.97315,False,False,False,0.8965034907949303,0.6069958415863705,0.020006394275640327,1.9612069063753026
2012-09-18,380,60,60,2012-12-17,1.95,2.09,2.8461745491063386,0.0,0.01887456687964473,0.26298025993570473,0.12418915146858561,0.1008745804405819,0.05218162892691325,0.05071650627765312,1.7481256387034694,1.2899038531541367,0.5853,True,True,True,0.8964746865145997,0.6614891554636598,0.01827525238265304,0.19187800078133732
2012-12-17,440,60,60,2013-03-14,2.09,2.26,0.29042889758020407,0.0,0.01887456687964473,0.26526481458188195,0.13587806759682824,0.11401481886704698,0.06875016688782765,0.06250624597497056,1.8636341832668675,1.4241136473389133,0.60435,True,True,True,0.8916909967784056,0.6813940896358437,0.015550079533179328,0.22364888657148768
2013-03-14,500,60,60,2013-06-12,2.26,2.01,-1.1059549272610274,0.0,0.01887456687964473,0.26277470358234856,0.19522247936518844,0.18104732882142566,0.14651759941551568,0.14568615090143,2.0147000601508847,1.5096185390541423,0.2776,True,True,True,0.8914602036065862,0.6679728048912135,0.019042123376562525,-0.5179519041877726
2013-06-12,560,60,60,2013-09-11,2.01,2.67,-2.745733054612638,0.0,0.01887456687964473,0.29055623488160776,0.3710766286175435,0.3932419113738838,0.31215778920624726,0.3102850318985526,1.9903826596443193,1.42128234975408,0.83815,False,True,True,0.9902401291762783,0.707105646643821,0.017753443575873495,0.9122818636796287
2013-09-11,620,60,60,2013-12-12,2.67,2.97,0.06299700094012135,0.0,0.01887456687964473,0.28238344776522023,0.2006848765409912,0.17202007888258192,0.12798285797696152,0.12322807395945179,2.556688194555285,1.8682836573202772,0.639,True,True,True,0.9575611215562866,0.6997317068615271,0.016492241215759318,0.3102480482342059
2013-12-12,680,60,60,2014-03-11,2.97,2.98,0.03114745289247102,0.0,0.01887456687964473,0.27273809626017453,0.1767352696509542,0.13021755935938667,0.023352297624174456,0.018612047017088296,2.776738066107663,1.8482374069955196,0.47475,True,True,True,0.9349286417870918,0.6223021572375487,0.01909245631257539,-0.056879546310763335
2014-03-11,740,60,60,2014-06-11,2.98,2.7,-0.23151067766764535,0.0,0.01887456687964473,0.2588616999371704,0.23344711098453447,0.2059769219927931,0.1660102779402135,0.1653241027821264,2.6005536119166495,1.697871293684647,0.3052,True,True,True,0.8726689972874663,0.5697554676794118,0.017456562375982365,-0.4540883970676411
2014-06-11,800,60,60,2014-09-10,2.7,2.79,0.26323487747069235,0.0,0.01887456687964473,0.2561717950163874,0.15397986679663045,0.1100204975291536,0.017044274006980498,0.019835698765160004,2.3504570001317457,1.5451322508814367,0.5209,True,True,True,0.8705396296784242,0.5722712040301617,0.020707945180014287,0.0543200157630775
2014-09-10,860,60,60,2014-12-08,2.79,2.54,-0.31213711441443937,0.0,0.01887456687964473,0.2491191175619666,0.21107025870037982,0.1817013551522491,0.15149797884406557,0.14949994949445244,2.35770139137521,1.2694989339250493,0.3102,True,True,True,0.8450542621416524,0.4550175390412363,0.01899496691330871,-0.45260308717345804
2014-12-08,920,60,60,2015-03-05,2.54,2.82,0.5402168288113041,0.0,0.01887456687964473,0.22860728525750873,0.1668902671975026,0.14114107416734425,0.11743448533135425,0.11678821964041819,1.935420589577733,1.1762274254114429,0.6614,True,True,True,0.7619766100699736,0.46308166354781216,0.017768121786335245,0.37487097991387175
2015-03-05,980,60,60,2015-06-03,2.82,2.43,-0.32775525643684666,0.0,0.01887456687964473,0.23014234875126963,0.2770736384355206,0.27807661038462195,0.22425964741113757,0.22393099528506144,2.1724198622073883,1.366515386801228,0.2129,False,True,True,0.7703616532650314,0.4845799243975986,0.020751522986622417,-0.7287671972900402
2015-06-03,1040,60,60,2015-09-03,2.43,1.85,-0.6784744328979678,0.0,0.01887456687964473,0.2365054475923806,0.4109156146762096,0.44781507047912533,0.3140235943370475,0.3107122491546266,1.9329050005631128,2.9705216656760562,0.096,False,False,True,0.7954341566103345,0.5039601635467672,0.019772505627199566,-1.2328687905929745
2015-09-03,1100,60,60,2015-12-03,1.85,1.59,-1.8824532099879647,0.0,0.01887456687964473,0.245966390143259,0.18434730487023365,0.18232884217350515,0.1481967049446834,0.14694524175428858,1.5295858053423732,0.998076620186789,0.227,False,True,True,0.8268031380229044,0.5395008757766426,0.01967211345371167,-0.6924774951510018
2015-12-03,1160,60,60,2016-03-01,1.59,1.34,-1.428369400792922,0.0,0.01887456687964473,0.24397252165864414,0.17499668340714145,0.1748251696958175,0.14291503763440117,0.13818552870037182,1.3162127255940559,0.8624983230468937,0.19795,False,True,True,0.8278067456566389,0.542451775501191,0.02253463853383786,-0.7785260727628962
2016-03-01,1220,60,60,2016-05-29,1.34,1.33,-0.9279498358074273,0.0,0.01887456687964473,0.24724732437087704,0.07425507872487438,0.05568158023186104,0.01762961349171621,0.015665717239268684,1.1236430044153738,0.7654780319453265,0.45225,True,True,True,0.838539555533861,0.571252262645766,0.01885016939062112,-0.10663508159649021
2016-05-29,1280,60,60,2016-08-28,1.33,1.34,-1.0086279102467204,0.0,0.01887456687964473,0.23174232033450604,0.06709103842705796,0.05357561723111576,0.005012383276562837,0.006710979935663608,1.013519504924103,0.7605745654130365,0.485,True,True,True,0.7620447405444384,0.5718605754985236,0.015056215453477906,-0.04912307399897916
2016-08-28,1340,60,60,2016-11-27,1.34,1.71,0.30683275449596187,0.0,0.01887456687964473,0.25057882713923724,0.20352245681944295,0.22273743442961397,0.1736382373902413,0.17454465563575572,1.1218126523784218,0.7569548183847161,0.83055,False,True,True,0.8371736211779266,0.5648916555109822,0.016957854641430847,0.8977182639102536
2016-11-27,1400,60,60,2017-02-22,1.71,2.7,3.9821651413985055,0.0,0.01887456687964473,0.25749546284066016,0.6822606955700081,0.7631250865135378,0.47974474228451225,0.4804838039754077,2.595961027822353,8.768245268131505,0.95795,False,False,False,0.8710000199629199,0.5859093605329387,0.017842406684781098,1.7005497137129584
2017-02-22,1460,60,60,2017-05-23,2.7,3.4,-0.6358569623646042,0.0,0.01887456687964473,0.2665557946545539,0.3841509402742085,0.3869222003131824,0.32607535218277084,0.32516667287301426,2.4311393315613126,1.9305282677259563,0.8084,False,True,True,0.900421974652338,0.715010469528132,0.017721961346095494,0.7940142213245693
2017-05-23,1520,60,60,2017-08-22,3.4,3.53,-0.38731596536806234,0.0,0.01887456687964473,0.2738958611961507,0.20628575696457707,0.18887979372863228,0.0351330717677103,0.039191070149581675,3.1455146600391863,2.6423361545372797,0.5331,True,True,True,0.9251513705997607,0.7771576925109647,0.01756878131311157,0.06808380514406584
2017-08-22,1580,60,60,2017-11-21,3.53,4.82,-0.04244713397225206,0.0,0.01887456687964473,0.24905104512117698,0.7601962635936093,0.7725117740103911,0.6071066797428215,0.6064833467873845,2.9548968113269636,2.6847378371332726,0.8916,False,True,True,0.8370812496676951,0.7605489623607005,0.021469303261857586,1.1748655384894782
2017-11-21,1640,60,60,2018-02-19,4.82,5.23,0.24706436063272205,0.0,0.01887456687964473,0.27432077262549304,0.32755955941780335,0.2994996581595575,0.1584318852422193,0.15074144089312602,4.448506203441381,3.848996973311823,0.5967,True,True,True,0.9229265982243529,0.7985470898987185,0.019322869194099868,0.22879340318993094
