origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-03-20,260,54,61,2012-06-20,3.24,2.43,-0.9292931620052999,0.0,0.019818295223626967,0.3127282266825674,0.5610640709244519,0.5586309837072867,0.4428451385853285,0.4377229849828226,3.5101182428966293,2.6809401367272936,0.14425,False,True,True,1.0833698280545152,0.8274506594837325,0.02336119665761016,-0.9832830599827306
2012-06-20,321,61,62,2012-09-20,2.43,4.33,-1.6815716982366,0.0,0.019818295223626967,0.31444965984241274,1.3393051119776596,1.5002329658915936,0.9264883998732953,0.9269353626054135,6.533005521176004,18.39002254580819,0.96135,False,False,False,1.0918768265991192,0.7220525815295591,0.01935111121539479,1.774077255220713
2012-09-20,383,61,61,2012-12-20,4.33,3.79,2.544029799857658,0.0,0.019818295223626967,0.3090904652731088,0.42769184819875794,0.38287504750736423,0.31137465982768076,0.3040699341579667,4.564199573846296,3.191415416237038,0.28675,True,True,True,1.0540876613963732,0.7370474402395006,0.01911069737999105,-0.495064828377944
2012-12-20,444,60,61,2013-03-20,3.79,3.4,0.24170478196606765,0.0,0.019818295223626967,0.3201387890565283,0.34556389962116096,0.30546794472034455,0.22968301487728993,0.2315551875533377,4.178948778532419,2.9288094433808944,0.32755,True,True,True,1.1026250075283428,0.7727729402060407,0.018302382520997362,-0.40110379337123225
2013-03-20,505,62,61,2013-06-20,3.4,2.29,-1.0990478156957484,0.0,0.019818295223626967,0.3257872105152154,0.7749425728899794,0.8423987455376223,0.5906588291778467,0.5890510749027167,3.771705937001225,5.888218610479646,0.09275,False,False,True,1.1093252755885956,0.7192552177222526,0.020975781869321697,-1.273966245093622
2013-06-20,566,62,61,2013-09-22,2.29,3.17,-3.339459595255965,0.0,0.019818295223626967,0.3177887094633317,0.49683944166534033,0.545295124838448,0.4169014285951884,0.413626068795806,2.5047500510882212,1.6117025703347896,0.84955,False,True,True,1.0937773148856862,0.7038002490544932,0.020173424807695683,0.9608946636747909
2013-09-22,627,61,59,2013-12-22,3.17,3.57,-0.26114821027202356,0.0,0.019818295223626967,0.29882515272437404,0.2626655964817184,0.217088274947614,0.17509870694361918,0.16451132092585197,3.176349635239913,2.198559810034232,0.6494,True,True,True,1.0020030395078592,0.6935519905470764,0.01571059498825278,0.3313499943897295
2013-12-22,686,60,62,2014-03-23,3.57,4.53,-0.38517873272422787,0.0,0.019818295223626967,0.29059521618993145,0.518127540603958,0.5607955814520051,0.44150610077609254,0.4425709863224365,3.501561788722771,2.0477329414308687,0.7973,False,True,True,0.9808296326954541,0.5735946614652293,0.02156520964924802,0.7513477040071559
2014-03-23,748,61,60,2014-06-23,4.53,3.98,0.8496222132153568,0.0,0.019818295223626967,0.2994749335246135,0.42908162187844123,0.39350244581563554,0.3128970051361455,0.32290591046840045,4.668876100383521,2.5549826685131753,0.29295,True,True,True,1.0306569758021018,0.5640138341088687,0.016731569596532214,-0.4984003624796062
2014-06-23,808,61,61,2014-09-23,3.98,4.44,-1.0866025683060885,0.0,0.019818295223626967,0.3025657690828203,0.3199256322324857,0.24623616241299023,0.19350400171729687,0.18784419898268245,4.070539591633046,2.483173878627836,0.62775,True,True,True,1.0227486411138307,0.6239130348311146,0.018339697629499163,0.2959827947346114
