origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2017-07-16,260,58,58,2017-10-16,3.49,4.48,0.1660128431422504,0.0,0.019818295223626967,0.37891766554266276,0.5337809557318849,0.5639961161395742,0.45299676374204423,0.4598051437049948,4.673191212645072,2.3911497195504583,0.74285,True,True,True,1.3390232700988745,0.6851431861176098,0.024070622497395888,0.6067360693243954
2017-10-16,318,59,63,2018-01-16,4.48,4.58,1.0316805873977115,0.0,0.019818295223626967,0.3849802646265685,0.3859685800400632,0.23148622764784588,0.005290125446836491,0.00483181112560338,6.001503221375467,3.3166897674838403,0.50265,True,True,True,1.3396212547713093,0.7403325373847857,0.01995976542551925,0.0058643434041029995
2018-01-16,381,59,61,2018-04-16,4.58,4.11,-1.1784316764102751,0.0,0.019818295223626967,0.36584496312381337,0.4613110386511121,0.3738353041987005,0.2841337011171219,0.2819178483461582,5.943898407079061,3.6036967920111445,0.34825,True,True,True,1.2977944120259959,0.7868333607011232,0.021455764679966016,-0.3501326456645138
2018-04-16,442,60,60,2018-07-16,4.11,3.69,-0.2958602497187552,0.0,0.019818295223626967,0.35861411002631627,0.4006856973816376,0.3293743705724229,0.24490096347938706,0.2519884810718491,5.160416819386733,3.2095474412026106,0.3478,True,True,True,1.2555758684639253,0.7809117861806838,0.016983437216246733,-0.35585567358174974
2018-07-16,502,61,59,2018-10-16,3.69,3.88,-0.2910707438364182,0.0,0.019818295223626967,0.3253905567422971,0.2674633055864286,0.19860877941922045,0.059687879022054746,0.05806126613033591,4.107038776651741,2.7132555617137615,0.5452,True,True,True,1.1130186386590084,0.7352996102205316,0.01913936096365587,0.09339668816261264
2018-10-16,561,61,63,2019-01-16,3.88,4.76,0.9065005018028043,0.0,0.019818295223626967,0.321166764916125,0.48071849470325545,0.46415124528956786,0.39956879416159485,0.39613570909638707,4.25985752910317,2.782906274310369,0.73725,True,True,True,1.0979014250265904,0.7172438851315385,0.02084082775175511,0.5747612752917562
2019-01-16,624,60,63,2019-04-16,4.76,6.38,0.15466926922193766,0.0,0.019818295223626967,0.266893291223465,0.9316511719341443,1.0536863768921243,0.768392977452391,0.7562784078782534,4.3303927310923545,3.5374139997743135,0.86445,False,True,True,0.9097463720782257,0.5451692793836457,0.01748194224689459,1.0232633897907888
2019-04-16,687,61,56,2019-07-16,6.38,5.76,0.5420284626627554,0.0,0.019818295223626967,0.28524317283572564,0.5381752872576044,0.4532659465518937,0.3787307958549295,0.3718627455821002,6.127905276321942,3.0453962499994898,0.31455,True,True,True,0.9604867204266367,0.47733483542311755,0.021545704029758417,-0.4278767363971752
2019-07-16,743,61,61,2019-10-16,5.76,6.2,-1.108763042948413,0.0,0.019818295223626967,0.27983775678869854,0.3843063531555557,0.25131701483944696,0.16045378656760212,0.16562698646136242,5.45110552845332,2.8897029427467817,0.5842,True,True,True,0.9463724875787015,0.5016845386713163,0.020675768552915974,0.19223110825691014
2019-10-16,804,61,63,2020-01-16,6.2,6.0,0.23630244127300198,0.0,0.019818295223626967,0.2765388932494734,0.4090075561809552,0.2786943561583025,0.16460923188467014,0.1708095570649366,5.906538599993505,3.284230199264127,0.4133,True,True,True,0.9526675161279846,0.5297145482684076,0.02084168770473238,-0.190237682043367
2020-01-16,867,61,64,2020-04-16,6.0,4.4,0.7874863534941653,0.0,0.019818295223626967,0.2751605264910626,1.1252201476277897,1.2564672096790659,0.8680524573337189,0.8550044254891747,5.70811990998313,10.33842163533123,0.1018,False,True,True,0.9513533183305216,0.5202798103674735,0.022684152444573114,-1.199202617233632
2020-04-16,931,61,56,2020-07-16,4.4,4.74,0.8776300225358245,0.0,0.019818295223626967,0.3228293137549113,0.3350978937078556,0.22460965606442634,0.12633545542008573,0.12557640734526476,4.893205518963095,2.752926226796091,0.5767,True,True,True,1.1120921634007033,0.6256650515445661,0.019847520263597263,0.16917391708921822
2020-07-16,987,61,60,2020-10-18,4.74,4.8,-0.2865238702641777,0.0,0.019818295223626967,0.2762810359430778,0.2871407755482711,0.22790951933444992,0.012462400630483206,0.01707086372463662,4.383051994396281,3.229798025819555,0.49075,True,True,True,0.9246945135857132,0.6813919885695263,0.01791662473860045,-0.026203438075491216
2020-10-18,1047,61,64,2021-01-18,4.8,4.91,-0.22930756977666447,0.0,0.019818295223626967,0.24316062339632213,0.2544944342133726,0.2120976049151727,0.006090830011068249,0.011352884517630724,3.9326262320069314,3.0329312718910924,0.5054,True,True,True,0.8192971316681107,0.6318606816439776,0.020378820828721667,0.011678406763781886
2021-01-18,1111,60,63,2021-04-18,4.91,4.48,0.6563159592044107,0.0,0.019818295223626967,0.288451709306801,0.39733047458973636,0.3307254671399572,0.2608442741469963,0.26112875069999086,4.803391522531838,3.007838174521945,0.33415,True,True,True,0.9782874791307204,0.6125943328965264,0.01867383875641404,-0.3864396951262377
