origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2016-05-22,260,58,61,2016-08-22,8.76,5.64,0.5448886936261238,0.0,0.019818295223626967,0.26578941932219335,2.337446718840256,2.5071941818836296,1.660119788142572,1.6482741908970486,11.218791356024127,25.01545945058028,0.0404,False,False,False,0.9098890382890692,0.6157959063373483,0.02285839911930876,-1.7311830389462715
2016-08-22,321,57,61,2016-11-22,5.64,7.03,-1.9019534453116962,0.0,0.019818295223626967,0.25960142493925964,0.7484151676689892,0.751373466052655,0.6401029170299384,0.6415049319231714,5.015338467296119,4.1270410055279605,0.79845,False,True,True,0.8892444090950566,0.7317448591361633,0.01946705069860344,0.7722775217273461
2016-11-22,382,59,61,2017-02-22,7.03,8.65,4.160245827577805,0.0,0.019818295223626967,0.2808798752777026,0.8653220846510747,0.8556201502099825,0.737928061105821,0.7419374039669631,6.690489240839164,5.531988707183732,0.7662,False,True,True,0.951705439664177,0.7869116226434896,0.02050410779350753,0.6677385473493062
2017-02-22,443,58,53,2017-05-22,8.65,9.63,1.2781066838511794,0.0,0.019818295223626967,0.28958702719943846,0.6520479745198935,0.6021128135830969,0.4016375702132846,0.4093826827048792,8.297113240249518,6.800366088677194,0.63835,True,True,True,0.9592038428034124,0.7861694900204849,0.02043061960386483,0.302173790341631
2017-05-22,496,59,45,2017-08-22,9.63,8.0,0.8878158750510486,0.0,0.019818295223626967,0.2941058115330474,1.1410064129928037,1.1155303577430378,0.9084693399203649,0.9097318716430491,9.7550496962018,7.401005160772996,0.22235,False,True,True,1.0129854305505503,0.768536361450986,0.019412116286680048,-0.6979120143321655
2017-08-22,541,56,55,2017-11-22,8.0,7.84,-1.6671733528692385,0.0,0.019818295223626967,0.272734207472482,0.5049846446093076,0.39147108009375864,0.16521789609675963,0.15241010568803848,7.39720151926314,5.230386628636819,0.4338,True,True,True,0.9246501899078925,0.6537983285796024,0.02130447402418989,-0.14673994476906393
2017-11-22,596,55,50,2018-02-22,7.84,8.61,0.11014312850936417,0.0,0.019818295223626967,0.2725080548746481,0.5469746580650579,0.42822141323098395,0.3031660333322126,0.3144087530450399,7.227073866733342,4.498917708652458,0.62005,True,True,True,0.9218206462670079,0.5738415444709768,0.02087601190504773,0.2710642402393364
2018-02-22,646,51,47,2018-05-27,8.61,10.0,-0.4678947647137279,0.0,0.019818295223626967,0.26401712769496655,0.7707632214673152,0.7104570609184769,0.6183338928716768,0.6034408287246045,7.665383078368419,4.109836158756406,0.71215,True,True,True,0.8902883947001649,0.477332887195866,0.01780861954200308,0.4917956666841457
2018-05-27,693,50,31,2018-09-02,10.0,9.25,0.0,0.0,0.019818295223626967,0.27407938889740224,0.7483142514436303,0.6053931044198904,0.47491257236891293,0.4865173435062333,9.418040795635077,5.171657463085304,0.34605,True,True,True,0.9418040795635078,0.5171657463085304,0.01998251447378263,-0.3567573508051759
2018-09-02,724,45,40,2018-12-03,9.25,7.0,-0.562557709810003,0.0,0.019818295223626967,0.2570745748491578,1.5708081882848512,1.7979048892509129,1.216823829554471,1.2113057511129917,8.071258063863437,15.020467562677084,0.1093,False,True,True,0.8725684393365878,0.45726177296086434,0.019853800984750425,-1.1612649670540747
