origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-03-22,260,53,61,2012-06-24,0.45,0.39,0.51732599044836,0.0,0.019818295223626967,0.32351029849937346,0.04780729610816298,0.042302705150271604,0.03528226348410324,0.03453967602088062,0.5058350687219864,0.32370229451043847,0.2826,True,True,True,1.124077930493303,0.7193384322454188,0.023476726596014297,-0.5035979986418139
2012-06-24,321,61,62,2012-09-24,0.39,0.63,-0.809160730464426,0.0,0.019818295223626967,0.3030422656772525,0.15867533411651727,0.17842182217895952,0.11622183144771975,0.11629261300216848,0.4091384025628757,1.75270297411124,0.93945,False,False,True,1.0490728270842966,0.701058623108704,0.019375223345026837,1.5171308992518868
2012-09-24,383,61,61,2012-12-24,0.63,0.62,1.8415935498185012,0.0,0.019818295223626967,0.32962187339641497,0.04695733150097617,0.03309801359440513,0.011000936527839122,0.00999300210442905,0.7123805055126731,0.4514513525948145,0.4516,True,True,True,1.1307627071629731,0.7165894485631976,0.019050592151870216,-0.10866583640519328
2012-12-24,444,60,61,2013-03-24,0.62,0.52,0.6349762679065144,0.0,0.019818295223626967,0.3210363170847864,0.07183721611189196,0.06878572401130106,0.05567225054226299,0.05598230451805092,0.6857232093239546,0.4740135111735226,0.2512,True,True,True,1.1060051763289591,0.7645379212476171,0.018297582394396716,-0.6096162685407457
2013-03-24,505,62,62,2013-06-24,0.52,0.54,-0.8964840726864584,0.0,0.019818295223626967,0.30942861374558406,0.035898151379406426,0.026418616260785593,0.00455883275827601,0.004792217855919545,0.5456650505827038,0.37089098911455887,0.52585,True,True,True,1.0493558665051994,0.7132519021433824,0.02092756631432313,0.057919765539058574
2013-06-24,567,62,61,2013-09-24,0.54,0.64,-1.0355373956240304,0.0,0.019818295223626967,0.2889619945910038,0.05443051963827007,0.052815847541041086,0.043605413847625896,0.04534838861023194,0.5353559197946963,0.3717208834758447,0.71275,True,True,True,0.9913998514716598,0.6883720064367495,0.023683652416200296,0.5193788262162102
2013-09-24,628,61,59,2013-12-24,0.64,0.68,-0.13628404307158729,0.0,0.019818295223626967,0.27302303738245176,0.03997001827161678,0.03175665766965949,0.01270416448920536,0.013347597611578332,0.5910015319820279,0.4216682729236912,0.5641,True,True,True,0.9234398937219185,0.6588566764432675,0.02279948597123327,0.14946111135539897
2013-12-24,687,60,61,2014-03-24,0.68,0.91,0.0,0.0,0.019818295223626967,0.22777992725218874,0.13733972989314358,0.15005771206110383,0.10777930049523282,0.10843395014230867,0.5151720217756869,0.5403427626038558,0.90005,False,False,True,0.7576059143760101,0.5405691798591573,0.021237351484609368,1.192087070150327
2014-03-24,748,61,60,2014-06-24,0.91,1.13,2.5960855692174523,0.0,0.019818295223626967,0.28376682098378864,0.11931905444925403,0.12375103027502274,0.1023088706418388,0.10038643623299004,0.8849819552319194,0.5031367323352041,0.7802,False,True,True,0.9725076431119992,0.5528975080606637,0.016903581006947554,0.6932100669482473
2014-06-24,808,61,61,2014-09-24,1.13,1.73,0.5086868473726754,0.0,0.019818295223626967,0.28844963719856825,0.38623481344521515,0.43756971687698365,0.28959391874137186,0.28802485658373767,1.0981658716758704,4.05625762821665,0.93135,False,False,True,0.9718282050228942,0.6300364400111187,0.018417842935625206,1.4078210827572055
2014-09-24,869,60,62,2014-12-24,1.73,1.62,-0.729300056052511,0.0,0.019818295223626967,0.27901703353785884,0.12740735564248573,0.10183350492573282,0.07350750565883502,0.07376355684813563,1.6402994573180594,1.0622482088139462,0.36335,True,True,True,0.948149975328358,0.6140163056728013,0.021395960299231298,-0.3064814839607945
2014-12-24,931,60,61,2015-03-24,1.62,1.79,1.028981132198976,0.0,0.019818295223626967,0.27926925714058776,0.1183247589653526,0.10087656893199268,0.06890509794778554,0.06862881329745973,1.5410103443697927,1.1257164639672923,0.62915,True,True,True,0.9512409533146867,0.6948867061526495,0.0198702494471783,0.2863586783721255
2015-03-24,992,61,64,2015-06-24,1.79,1.58,-0.0904491244822027,0.0,0.019818295223626967,0.2597103381891213,0.1604654553327884,0.1521453544793546,0.12254664671550564,0.1226894828600843,1.599381196312601,1.2704398053871773,0.2722,True,True,True,0.8935090482193302,0.7097429080375292,0.01960519186090015,-0.5568090552179352
2015-06-24,1056,62,59,2015-09-28,1.58,1.14,-0.8933606113973674,0.0,0.019818295223626967,0.2280067711356279,0.324107177628233,0.33500246937850653,0.23879307303527275,0.2368745166061459,1.2249006372893554,1.9871610636985728,0.06015,False,False,True,0.7752535679046553,0.632245270555355,0.023788700044648836,-1.5184412205467153
2015-09-28,1115,61,62,2015-12-28,1.14,1.22,0.4765153705936353,0.0,0.019818295223626967,0.25021644499071816,0.06721414817992494,0.05900836705034446,0.028288433790324086,0.02877372823458202,0.9606605064648912,0.7478357066903236,0.58435,True,True,True,0.8426846547937643,0.6559962339388804,0.020546607385396376,0.19185110361916802
2015-12-28,1177,61,63,2016-03-28,1.22,1.43,1.234148081906691,0.0,0.019818295223626967,0.2359025880094,0.11189018870107761,0.10894138379852245,0.09338049703906848,0.093888235586149,0.9690372028981332,0.764166006028182,0.74585,True,True,True,0.794292789260765,0.6263655787116246,0.019048365509723775,0.5892486872483352
2016-03-28,1240,62,63,2016-06-28,1.43,1.22,1.9141181430017127,0.0,0.019818295223626967,0.269858242196537,0.1497672179319685,0.14674489136536592,0.11979343630884964,0.11987417759286922,1.2975903838038034,0.949282113942649,0.2354,False,True,True,0.9074058627998626,0.6638336461137406,0.020690120711677862,-0.6619841561858738
2016-06-28,1303,61,59,2016-09-28,1.22,1.41,-0.4963207241172415,0.0,0.019818295223626967,0.2781872122759535,0.10831461921755212,0.09927316872935912,0.0822029471421194,0.08254297635327557,1.163125107147218,0.7953693304135633,0.69115,True,True,True,0.9533812353665722,0.6519420741094781,0.020978775176853315,0.44905209480789254
2016-09-28,1362,61,62,2016-12-28,1.41,2.8,-0.7480106175583615,0.0,0.019818295223626967,0.22786450605520212,1.1451822326071348,1.1994389426686043,0.6798293189955371,0.680521077113973,15.751718300503306,18.71228216277098,0.99565,False,False,False,0.7597032252974993,0.579241007537812,0.02151869646023097,2.9237173840758635
