origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,origin_idx
2012-03-21,0.655,0.48,-0.688029041803796,0.0,0.01887456687964473,0.270671826685271,0.12334460313446279,0.12273246951177477,0.09468724700265618,0.09379747772767377,0.6070495803531166,0.5164394778091503,0.10015,False,True,True,0.9267932524475062,0.7884572180292371,0.021945792374522544,-1.2181677814453622,260
2012-06-20,0.48,0.784,-1.233779415665488,0.0,0.01887456687964473,0.2874935083493002,0.20668559328286418,0.2314993068475261,0.14717819089530715,0.14753040600788783,0.5750318551962127,2.511157333190542,0.95245,False,False,False,0.9814521376934516,0.6682432512459372,0.020090871269553556,1.6409008755622392,320
2012-09-18,0.784,0.738,2.0560026128135904,0.0,0.01887456687964473,0.2811998353937608,0.056631885858712705,0.04654194937935316,0.030142763141016382,0.030757260052582946,0.7549895880628953,0.5267568293502648,0.38055,True,True,True,0.9629969235496113,0.67188371090595,0.018221334543409018,-0.2821472584380487,380
2012-12-17,0.738,0.636,0.0,0.0,0.01887456687964473,0.2782455238795022,0.07338713999014045,0.07187221077799218,0.05667482662761808,0.058996276747852294,0.6922681097117095,0.5334732427192953,0.2549,True,True,True,0.9380326689860562,0.7228634725193703,0.015378933950184637,-0.6024169798058817,440
2013-03-14,0.636,0.406,-1.0290569939418484,0.0,0.01887456687964473,0.30419000940608554,0.16720101257895165,0.18006468902689848,0.1210548091388729,0.12081272259735026,0.6632555114083736,1.6238265029046686,0.05515,False,False,True,1.042854577686122,0.693325907719723,0.019040280310921087,-1.5375914926700978,500
2013-06-13,0.406,0.655,-3.362237891133927,0.0,0.01887456687964473,0.30059955042532993,0.16618663848608328,0.18362831561727058,0.12090516947152363,0.12051494435620747,0.41704092487719374,1.6867035445143126,0.94135,False,False,True,1.0271943962492456,0.7252513191768307,0.017708524770819523,1.5283040460434523,560
2013-10-07,0.655,0.775,0.9146122510911008,0.0,0.01887456687964473,0.285743970387854,0.0663956653499008,0.06307158474024034,0.05460876187022862,0.05340392929852711,0.6351732242326473,0.49974426036537983,0.72295,True,True,True,0.969730113332286,0.7629683364356944,0.016461795816095748,0.5226819891797756,620
2014-01-08,0.775,0.922,1.5321004332452721,0.0,0.01887456687964473,0.29029562916546797,0.08105880664380169,0.07865556125338385,0.06610070929950879,0.06746185504594049,0.7748923719805834,0.5326673566910278,0.72625,True,True,True,0.9998611251362366,0.6873127183110036,0.019094943743203086,0.5332757774157256,680
2014-04-03,0.922,1.015,-0.9084968073550888,0.0,0.01887456687964473,0.2822171122952704,0.06637565724011096,0.05832766258880759,0.038518902649783526,0.03890001590543446,0.8823188665262868,0.6599115841149731,0.6227,True,True,True,0.9569618942801374,0.7157392452440055,0.017312575596998725,0.2736336588932744,740
2014-07-07,1.015,0.987,-0.06685131815670241,0.0,0.01887456687964473,0.28203067194015574,0.06727254116481099,0.058069341856064105,0.024594096880509342,0.023392096790286587,0.9786208085089384,0.7758878281658441,0.42455,True,True,True,0.9641584320285108,0.7644215055821125,0.020875067744846154,-0.16611107791847404,800
