origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-03-22,260,53,60,2012-06-24,5.339,4.337,-0.6489091751933307,0.0,0.019818295223626967,0.23653171092297282,0.7028856689760085,0.7183117121426658,0.5611842041800492,0.5547648131040352,4.295314082280083,2.9579344862392336,0.1495,False,True,True,0.8045165915489946,0.554024065600156,0.02254512237499484,-0.9625508520613949
2012-06-24,320,61,61,2012-09-24,4.337,6.834,-0.04468492517563901,0.0,0.019818295223626967,0.25200479877393395,1.7170552985460459,1.9547851740930955,1.2031223581497446,1.2058562960955554,7.374455535281357,24.09550117495132,0.95845,False,False,False,0.8539801629740671,0.5416553582786369,0.02092582054427261,1.7257964758297635
2012-09-24,381,60,60,2012-12-24,6.834,6.428,2.1954563165725087,0.0,0.019818295223626967,0.2368443976673309,0.44090226402165256,0.3695548001606632,0.2745788060950809,0.2725177068501323,5.538390784972413,3.700244396657487,0.35165,True,True,True,0.8104171473474412,0.5414463559639284,0.020947850774094556,-0.34227113598576187
2012-12-24,441,59,58,2013-03-24,6.428,7.214,-0.44327572961247075,0.0,0.019818295223626967,0.2313388856588216,0.4424380101005063,0.4034966735100609,0.32070493483835527,0.33343809028943383,4.9749859760821575,3.516389972931174,0.6753,True,True,True,0.7739555034353076,0.5470426218001204,0.02249379749895608,0.4129951569117493
2013-03-24,499,60,54,2013-06-25,7.214,6.912,0.0629527233376636,0.0,0.019818295223626967,0.22295439715791954,0.40781645644597,0.34222980779682555,0.21964351785381053,0.22316548047075857,5.417229099171998,3.9239709359990664,0.3781,True,True,True,0.7509327833617961,0.5439383055169207,0.019030639826395968,-0.28069796783999773
2013-06-25,553,58,48,2013-09-25,6.912,7.24,0.39075482537782347,0.0,0.019818295223626967,0.2162101751848444,0.3383231958111642,0.26476510569116507,0.09077651133128573,0.09545512663515066,4.986077154133475,3.5551828492884043,0.55185,True,True,True,0.7213653290123662,0.5143493705567714,0.02118735204534561,0.12276887361823009
2013-09-25,601,55,56,2013-12-25,7.24,7.543,0.4792080117301,0.0,0.019818295223626967,0.2188543642447532,0.3590232399778486,0.27816798767145356,0.07882619477660535,0.0770571821479451,5.354400368742313,3.830676629880511,0.54285,True,True,True,0.7395580619809825,0.5290989820276949,0.020075636802042718,0.09677887541029319
2013-12-25,657,54,61,2014-03-25,7.543,9.124,0.03840620650136437,0.0,0.019818295223626967,0.21139075604726193,0.8409373423775196,0.8845568854976302,0.7137252995460974,0.7167098646738892,5.433330656820464,3.6624826356855076,0.80725,False,True,True,0.720314285671545,0.4855472140641002,0.020356542610076245,0.8064213947411578
2014-03-25,718,56,54,2014-06-25,9.124,8.804,0.5340261584087046,0.0,0.019818295223626967,0.21075839947655506,0.47320169444523974,0.3815429178348493,0.24058530762978236,0.2564543701206068,6.3887482105600215,4.20050124643701,0.3916,True,True,True,0.7002135259272272,0.4603793562513163,0.01766446901135077,-0.2634316645004202
2014-06-25,772,54,50,2014-09-25,8.804,9.072,0.2503178144674624,0.0,0.019818295223626967,0.21347566353593334,0.4145729864292995,0.3264017383803388,0.04840577114011069,0.05234878375651153,6.319039466532957,4.609043894542152,0.52215,True,True,True,0.7177464182795271,0.5235170257317301,0.01944439547021548,0.04763207163350625
2014-09-25,822,54,48,2014-12-25,9.072,8.208,-0.7707800064370304,0.0,0.019818295223626967,0.2249420730810446,0.685217451649671,0.6247495624191136,0.522786934050619,0.5081856663228619,6.775335026736618,4.803383840337656,0.2768,True,True,True,0.7468402807249359,0.5294735273740803,0.02001475618399895,-0.5330339146354797
2014-12-25,870,54,41,2015-03-25,8.208,7.56,-0.4155384324403758,0.0,0.019818295223626967,0.2401103329564239,0.5874699409218236,0.5037244373999255,0.4141949515232066,0.4055495152038868,6.623805700073773,4.283176400946702,0.31575,True,True,True,0.8069938718413466,0.5218294835461381,0.021977327369202326,-0.42503957328284014
2015-03-25,911,51,46,2015-06-28,7.56,5.167,-0.29006941924925844,0.0,0.019818295223626967,0.24101477453055548,1.7924449436206717,1.9198524956875238,1.2869720523829216,1.276307018153715,6.941490944456126,17.49038547671835,0.04705,False,False,False,0.8169225276792775,0.5764725921741776,0.0239344053923074,-1.6612974739407909
2015-06-28,957,48,28,2015-10-04,5.167,4.622,-0.7489873339298121,0.0,0.019818295223626967,0.24768181913044351,0.4231228149029994,0.39287245684692207,0.32200875387120753,0.31479595575118324,4.235215481087434,3.1717557124994036,0.28135,True,True,True,0.819666243678621,0.6138485992838018,0.019163442566753508,-0.5300471109966468
2015-10-04,985,44,37,2016-01-04,4.622,3.646,-0.18132088640151484,0.0,0.019818295223626967,0.276835755829223,0.6670596560593303,0.7143685422134445,0.5287183656276073,0.5435447827332021,4.302367017763937,2.80711801855505,0.15545,False,True,True,0.9308453089060877,0.6073383856674708,0.017619370673997103,-0.9284029443721662
2016-01-04,1022,41,47,2016-04-04,3.646,3.059,-0.6934372371986434,0.0,0.019818295223626967,0.2732767896852044,0.40928531879263697,0.4180005613692493,0.32498928211025446,0.3321850953513237,3.3435957895043185,2.0385454675310735,0.21695,False,True,True,0.9170586367263628,0.5591183399701244,0.017273330833930123,-0.7148829087767526
2016-04-04,1069,41,45,2016-07-04,3.059,2.661,-0.4046415864078719,0.0,0.019818295223626967,0.2191782732847811,0.28757779486531465,0.2838976305520095,0.2322196978409119,0.22788359950621917,2.239695705216118,1.573480319549017,0.2121,False,True,True,0.7321659709761745,0.5143773519284135,0.02171931862759835,-0.7263692975169352
2016-07-04,1114,41,52,2016-10-04,2.661,1.771,-0.7289654443648307,0.0,0.019818295223626967,0.2747873011764229,0.647034238391345,0.7385873698056776,0.4709706777721201,0.4721141804874167,2.5084014132778982,8.0746199777666,0.05305,False,False,True,0.9426536690258919,0.5267304180140244,0.019519487239473943,-1.5538415588730186
2016-10-04,1166,42,61,2017-01-04,1.771,3.3,-2.2649821659287936,0.0,0.019818295223626967,0.2287364913826504,1.2206087650046986,1.3353039094045038,0.7463829231286869,0.7450575848966325,15.272247047965283,21.66825908394928,0.99275,False,False,False,0.7633807521914845,0.45747584135515024,0.020459714140387497,2.6342968312830166
2017-01-04,1227,45,59,2017-04-04,3.3,3.473,0.5783466514442547,0.0,0.019818295223626967,0.2712239187164492,0.20450892864516457,0.14268497910857025,0.052980837107003076,0.05660316581707825,3.058282633198393,1.9229223339193133,0.55195,True,True,True,0.9267523130904222,0.5827037375513071,0.020314644177573893,0.11532172462479269
2017-04-04,1286,54,50,2017-07-05,3.473,3.715,1.5599754466486029,0.0,0.019818295223626967,0.2950825150797798,0.2379150644650032,0.18366886444484676,0.08863412860351327,0.08404712405557513,3.4764620643123294,2.36787645344553,0.5733,True,True,True,1.000996851227276,0.6817956963563289,0.018638566885394114,0.1611129319922765
2017-07-05,1336,54,54,2017-10-08,3.715,5.167,0.3426524110330824,0.0,0.019818295223626967,0.255446457146489,0.8665366263953576,0.9047219350615543,0.6838921019488331,0.6891508118692173,3.1880001681232804,2.70289587243255,0.9008,False,False,True,0.8581427101273972,0.7275628189589637,0.022669124119066852,1.2139345339750398
2017-10-08,1390,55,57,2018-01-09,5.167,5.054,0.2504000078321475,0.0,0.019818295223626967,0.27357433697932765,0.32836885526533355,0.3022199462620816,0.11235423019547319,0.10444490345304658,4.8531304577725,4.084648324908267,0.4284,True,True,True,0.9392549753769112,0.7905260934600865,0.0216195975209883,-0.1532692577295375
2018-01-09,1447,54,49,2018-04-10,5.054,5.625,-0.14594631899104366,0.0,0.019818295223626967,0.2676200141983978,0.36698999818664924,0.34657110599264773,0.23173173404573966,0.229783699988519,4.5702998072446785,3.944607317941267,0.64085,True,True,True,0.9042935906697028,0.7804921483856879,0.021277509281464324,0.32591973422508164
2018-04-10,1496,53,40,2018-07-12,5.625,5.27,-0.10942489462268265,0.0,0.019818295223626967,0.2928178816221577,0.423875376321475,0.34326862341955144,0.23473632224119534,0.23700265241114415,5.64226658856559,3.7617056108635607,0.36895,True,True,True,1.0030696157449939,0.6687476641535219,0.020350692352425037,-0.2903131471681519
2018-07-12,1536,50,32,2018-10-15,5.27,4.128,-0.27977821580942064,0.0,0.019818295223626967,0.27336578991781424,0.788690448085249,0.8176717388973838,0.6330567578079771,0.6202198307248921,4.829978150092515,3.1491909429909395,0.1483,False,True,True,0.9165043928069289,0.5975694388977115,0.02355095172978272,-0.9659424819653655
2018-10-15,1568,45,45,2019-01-15,4.128,3.36,-1.2277608851858675,0.0,0.019818295223626967,0.3203058252316711,0.5326856402188365,0.5528308589492633,0.4238838413855077,0.42878617161151955,4.481351724587974,2.3609568830996177,0.22215,False,True,True,1.0855987704912726,0.5719372294330469,0.01932356656274603,-0.7045465041559972
2019-01-15,1613,44,62,2019-04-15,3.36,3.782,0.24376160814918488,0.0,0.019818295223626967,0.3207003389555706,0.2881690627250132,0.21441804954002391,0.17982499746156044,0.18056714041933342,3.6875425761571727,1.769077912485455,0.63595,True,True,True,1.0974829095705871,0.526511283477814,0.018556549130023692,0.30712066397650767
