origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-03-22,260,60,60,2012-06-24,5.339,4.337,-0.6489091751933307,0.0,0.01887456687964473,0.2549962523082878,0.6973060568624837,0.7042113655884193,0.5591365954573719,0.5522172390045599,4.644756031447086,3.148897603976055,0.16675,False,True,True,0.8699674155173414,0.5897916471204447,0.021778084082177074,-0.8891506031639652
2012-06-24,320,60,60,2012-09-23,4.337,6.281,-0.04468492517563901,0.0,0.01887456687964473,0.25019164378868275,1.2342174187021118,1.4178399307892142,0.928724860048884,0.9314357746457902,3.672139059653489,13.368956011749768,0.926,False,False,True,0.8467002673860938,0.5365948408721138,0.01995625545359281,1.404810194365366
2012-09-23,380,60,60,2012-12-23,6.281,6.558,1.6214047858164324,0.0,0.01887456687964473,0.23567177901262987,0.3393909265995304,0.2423554305057749,0.0808527537061865,0.07683950259551375,5.0140411812773245,3.307908816288723,0.5476,True,True,True,0.7982870850624622,0.5266532106812168,0.018356072693460845,0.10303273549467631
2012-12-23,440,60,60,2013-03-25,6.558,7.214,-0.24567688925445297,0.0,0.01887456687964473,0.23378597422375066,0.4187006703153603,0.3484135739122335,0.2756499925951612,0.25899790603711015,5.120741485380356,3.57652305321957,0.6473,True,True,True,0.7808388968253059,0.5453679556601967,0.015965235561097524,0.32706554545511307
2013-03-25,500,60,60,2013-07-10,7.214,6.946,-0.16370839434899254,0.0,0.01887456687964473,0.22298640284262164,0.39522672101858014,0.3305206520306174,0.20269132580851412,0.20052627791373023,5.409750563790103,3.90957303580294,0.38345,True,True,True,0.7498961136387723,0.5419424779322068,0.01904389404172835,-0.25441997501143604
2013-07-10,560,60,60,2013-11-03,6.946,7.119,0.10206237755083672,0.0,0.01887456687964473,0.23242871726562722,0.35459681444112845,0.27607201053080044,0.0239392593348553,0.018758197510337027,5.427103463184165,3.9130886950358885,0.51265,True,True,True,0.781327881253119,0.563358579763301,0.01801345829690315,0.0246387149900431
2013-11-03,620,60,60,2014-01-30,7.119,8.407,0.10906627384832612,0.0,0.01887456687964473,0.22801971763462636,0.6846207422328553,0.6734483284233364,0.5835422904082104,0.5732348929073874,5.44102159367003,4.094895258354723,0.76425,False,True,True,0.7642957709889071,0.5752065259663889,0.01698488821233024,0.6465355745594155
2014-01-30,680,60,60,2014-05-05,8.407,7.931,1.6671012179971438,0.0,0.01887456687964473,0.22309102016826635,0.5033994506670691,0.41195400681546734,0.31822557428437337,0.30759594653943845,6.352149923165841,4.118952942174999,0.34495,True,True,True,0.7555786752903344,0.48994325468954425,0.019085422691655474,-0.3458683719023024
2014-05-05,740,60,60,2014-08-21,7.931,9.78,-1.688057904007618,0.0,0.01887456687964473,0.2206799320030668,1.0073669459134735,1.0765835353255593,0.8543423821218736,0.8561394678562513,5.85002750424758,3.975229397978125,0.82735,False,True,True,0.7376153706023931,0.5012267555135701,0.01769199795186638,0.8640830379775927
2014-08-21,800,60,60,2014-12-09,9.78,8.467,0.977244496964157,0.0,0.01887456687964473,0.2359047086766405,0.9362117056129711,0.9158947873695299,0.7571214359043816,0.7476166886229647,7.806758552863306,5.693363378133462,0.22415,False,True,True,0.7982370708449188,0.582143494696673,0.02057698075754244,-0.6911171768500377
2014-12-09,860,60,60,2015-04-09,8.467,6.722,-0.5359020852557539,0.0,0.01887456687964473,0.23878844721550274,1.1999234317609706,1.2624528137613642,0.9529255238323286,0.9453662291127025,6.843244638125728,4.780243379913391,0.13035,False,True,True,0.8082254208250534,0.5645734474918378,0.01899740730656152,-1.0455492933104602
2015-04-09,920,60,60,2015-09-07,6.722,4.501,-1.3151066053863425,0.0,0.01887456687964473,0.265812825162353,1.6145674888720394,1.7306096276772076,1.16951589985266,1.170931791798424,6.001545125900987,14.65359890998247,0.05245,False,False,True,0.8928213516663175,0.6449553572555262,0.017559030006742082,-1.5799113591124119
2015-09-07,980,60,60,2016-02-14,4.501,3.266,-0.8027711356923298,0.0,0.01887456687964473,0.31511827994986463,0.8486684480765185,0.9023613972862814,0.6656136307245419,0.6651177025213002,4.840860525460379,3.1627889164971283,0.12565,False,True,True,1.0755077817063716,0.7026858290373535,0.02137908496980301,-1.0777164901261798
2016-02-14,1040,60,60,2016-05-30,3.266,2.609,-0.6808147393383036,0.0,0.01887456687964473,0.3331009002068631,0.4569615213936893,0.4566599546447653,0.3612680781023063,0.35531424960700586,3.7430316880668277,2.176020993180179,0.20655,False,True,True,1.146059916738159,0.666264847881255,0.02006618377361069,-0.7309303430946124
2016-05-30,1100,60,60,2016-09-25,2.609,1.737,-1.536619134719722,0.0,0.01887456687964473,0.26456554187821474,0.6366477339934233,0.6893058470476175,0.46172328179857436,0.45975136816533535,2.3293627711942646,6.12718080247185,0.05085,False,False,True,0.8928182334972268,0.6239048739939365,0.019718882175986607,-1.608985368061344
2016-09-25,1160,60,60,2016-12-22,1.737,3.447,-2.8795973010464473,0.0,0.01887456687964473,0.27377947926837004,1.346326136841968,1.4780394991619987,0.835058617663172,0.840757642082909,15.318240750660891,22.987902601529637,0.989,False,False,False,0.9353143444454302,0.5845882686907882,0.022960716565144423,2.4343323143763227
2016-12-22,1220,60,60,2017-03-27,3.447,3.586,-0.2126434619190502,0.0,0.01887456687964473,0.33215197427456217,0.2545328342222205,0.16833758255173065,0.03713224586060693,0.04303304540319952,3.965687002456013,2.333572986832512,0.5276,True,True,True,1.150474906427622,0.6769866512423881,0.018780246091901986,0.06219598969323439
2017-03-27,1280,60,60,2017-07-11,3.586,3.853,0.7515721463005315,0.0,0.01887456687964473,0.3171092784990547,0.26654729850551484,0.2010998125145062,0.1091374802368954,0.10257582166446677,3.8059365502656792,2.5867751298144483,0.58315,True,True,True,1.0613319995163635,0.7213539123855127,0.013587573766371985,0.16694599360829646
2017-07-11,1340,60,60,2017-10-22,3.853,5.383,0.6123189728116804,0.0,0.01887456687964473,0.28595162000651353,0.8963180304093198,0.9532117764650634,0.7329000268822057,0.737249916091792,3.7100870786438014,2.9638042028466156,0.87835,False,True,True,0.9629086630271999,0.7692198813513147,0.01666232707905224,1.103400662839287
2017-10-22,1400,60,60,2018-01-30,5.383,5.218,0.7455075934190154,0.0,0.01887456687964473,0.29446833879937445,0.3653666050690558,0.3325779233211026,0.13005499034274415,0.1259486321102532,5.410955991263252,4.479503330830768,0.4247,True,True,True,1.005193384964379,0.8321574086625986,0.017668582702115687,-0.16981866352021718
2018-01-30,1460,60,60,2018-05-31,5.218,5.443,0.3899728737780508,0.0,0.01887456687964473,0.27583382277907503,0.3230184166423826,0.27563432889260653,0.06638426909579209,0.06455728423885487,4.872503122512622,3.843781316058629,0.54205,True,True,True,0.9337874899410928,0.7366388110499481,0.01767563468923261,0.08462205839265997
2018-05-31,1520,60,60,2018-11-15,5.443,3.552,-0.30806741032596474,0.0,0.01887456687964473,0.2670833644437073,1.3824633106587874,1.4547127505574144,0.9934138900339817,0.9877513577432475,5.559369006806006,11.571363004831346,0.0469,False,False,False,0.9008435582491905,0.7055143143147345,0.017605691726614747,-1.6687453452224361
2018-11-15,1580,60,60,2019-02-25,3.552,4.33,-2.1576764021943786,0.0,0.01887456687964473,0.35327851827504814,0.43431921809937357,0.4133313036167783,0.3490721830134005,0.35081286629173203,4.335327658878394,2.377863648940544,0.7074,True,True,True,1.2205314354950434,0.6694435948593874,0.022481878933896082,0.5071979776175527
2019-02-25,1640,60,60,2019-05-29,4.33,3.36,2.3413401835846614,0.0,0.01887456687964473,0.34521551248091764,0.6649496601245999,0.7151359867193793,0.5269845767777805,0.5320638444711914,5.119559104892961,2.6549649075524546,0.1943,False,True,True,1.1823462136011456,0.6131558677950242,0.019392414216064857,-0.7893652662378355
2019-05-29,1700,60,60,2019-10-01,3.36,2.774,-1.0676686913868108,0.0,0.01887456687964473,0.34790806530330626,0.42779613024686847,0.40546375412083,0.33315620609400254,0.3253682109382132,4.047469417329587,2.117989444836133,0.24635,False,True,True,1.2046039932528534,0.6303540014393253,0.023902503627382554,-0.6051173857627641
2019-10-01,1760,60,60,2020-01-06,2.774,2.333,0.0,0.0,0.01887456687964473,0.38282110530105445,0.3417201868324967,0.30663207219543825,0.24826603839538874,0.24792301199961342,3.754483493170083,1.7941627962354443,0.2895,True,True,True,1.3534547560094026,0.6467782250308018,0.0200187731761996,-0.5015655957160279
2020-01-06,1820,60,60,2020-04-12,2.333,2.131,0.1279212944609505,0.0,0.01887456687964473,0.40629659410614505,0.24095519540428578,0.16894323812896633,0.12369257690892455,0.11999924278303609,3.3402258286899236,1.7680005441772426,0.3825,True,True,True,1.4317298879939662,0.7578227793301511,0.01945355928754755,-0.26935546197039256
2020-04-12,1880,60,60,2020-07-16,2.131,2.237,0.375741302127117,0.0,0.01887456687964473,0.4227648282089332,0.20182235296240814,0.1300493248993776,0.030436610476519466,0.035232076333915785,3.166784422288411,1.8252428821452484,0.5292,True,True,True,1.4860555712287242,0.8565194191202481,0.021176339299371794,0.07018030009157943
2020-07-16,1940,60,60,2020-10-18,2.237,4.57,0.030303912651652633,0.0,0.01887456687964473,0.42231958822941174,1.625585958969094,1.8890922936766585,1.1460687103546991,1.1449824788230178,4.572420194616728,24.43990587987539,0.95225,False,False,False,1.5026313916853984,0.8682236382121057,0.01826668721081881,1.6468640690676801
2020-10-18,2000,60,60,2021-01-12,4.57,4.291,2.5300723525902975,0.0,0.01887456687964473,0.4296902256765346,0.4707613923019325,0.34528495430124084,0.18458022007620922,0.18615867907687278,7.058947638029801,4.31124539916207,0.4149,True,True,True,1.544627491910241,0.9433797372345886,0.019728761521316862,-0.19052787539551697
