origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2013-02-18,260,60,60,2013-05-20,0.128,0.157,0.9193884833540563,0.0,0.01887456687964473,0.928648964840607,0.03154088583418829,0.015561083111184256,0.012643348661217566,0.01327028413786982,0.5626765618279849,0.09215984394663934,0.5814,True,True,True,4.395910639281132,0.7199987808331199,0.029010177168475426,0.1995813074328447
2013-05-20,320,60,60,2013-08-19,0.157,0.176,-0.34114707653151105,0.0,0.01887456687964473,0.592690511540123,0.02258479355505863,0.010287910218381977,0.007836354120849043,0.008036657153125848,0.35583150642989975,0.10039043402044372,0.5696,True,True,True,2.2664427161140113,0.6394295160537816,0.02119294113568082,0.1608995267401766
2013-08-19,380,60,60,2013-11-19,0.176,0.234,0.7325652110214144,0.0,0.01887456687964473,0.5636204986832607,0.03457045719180124,0.036173588555896995,0.027470038844684838,0.0272646289528186,0.3775415213292252,0.10683954632513162,0.697,True,True,True,2.1451222802796885,0.6070428768473388,0.017385922219490535,0.47188232873227837
2013-11-19,440,60,60,2014-02-16,0.234,0.381,1.037686741340852,0.0,0.01887456687964473,0.5100756939714549,0.08487808650752968,0.11627581895605524,0.07205771801006991,0.07102676439694007,0.4334817674283358,1.463147011883416,0.8427,False,True,True,1.8524861855911785,0.5720547829692727,0.012327196495129034,0.9186944181574334
2014-02-16,500,60,60,2014-05-15,0.381,0.422,1.1443846323973748,0.0,0.01887456687964473,0.5462098957149615,0.04902663180697581,0.022296696283591676,0.016874878339466742,0.01699524165584923,0.7798457715212391,0.22246352560466176,0.5696,True,True,True,2.046839295331336,0.5838937679912382,0.01902951002904585,0.15256291159022206
2014-05-15,560,60,60,2014-08-18,0.422,0.413,1.076963725956593,0.0,0.01887456687964473,0.5435512616764699,0.05231074770888544,0.02063130482380867,0.008007352859301736,0.00862952005573564,0.8566421390538893,0.27342066861571535,0.46785,True,True,True,2.02995767548315,0.6479162763405577,0.016622525399534238,-0.07438541827668456
2014-08-18,620,60,60,2014-11-13,0.413,0.406,0.23307275611303602,0.0,0.01887456687964473,0.5012838606196187,0.046537882702602756,0.01880987283902328,0.006496514950576682,0.00761495279080171,0.7537432166079215,0.251279799312257,0.4712,True,True,True,1.8250441080094955,0.608425664194327,0.014510968283664383,-0.07175375683247555
2014-11-13,680,60,60,2015-02-10,0.406,0.41,1.9085731439542148,0.0,0.01887456687964473,0.5147773390694079,0.04640665268974714,0.017703420626133108,0.0018827297122444298,0.001227337663666922,0.78210455933746,0.2528325377171534,0.49135,True,True,True,1.9263659096981773,0.6227402406826439,0.019126747350957762,-0.017620369224918667
2015-02-10,740,60,60,2015-05-07,0.41,0.307,0.1623683750713189,0.0,0.01887456687964473,0.4041748937297209,0.07033638572708208,0.07617873158794751,0.0548950118420205,0.05495988012645184,0.5834329497095649,0.32407838728348337,0.19895,False,True,True,1.4230071944135732,0.6034326288512066,0.0165610333757098,-0.7625015402289914
2015-05-07,800,60,60,2015-08-09,0.307,0.269,-0.6301317106620439,0.0,0.01887456687964473,0.368480461353871,0.03299884298357311,0.02672010395361122,0.022290115961184215,0.02186401932104598,0.39613277887754894,0.16790992514131056,0.32635,True,True,True,1.2903347846174233,0.5469378669098064,0.021433980203154457,-0.40982073869034547
2015-08-09,860,60,60,2015-11-08,0.269,0.246,-0.3294036580530328,0.0,0.01887456687964473,0.35719220829982445,0.025005689152573056,0.01748896946607948,0.014051389328835706,0.013811013399192218,0.33534108776020155,0.15437132743496332,0.369,True,True,True,1.2466211440899686,0.5738711057061833,0.018969437389112942,-0.30307047027815665
