origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-05-23,260,47,44,2012-08-23,20.69,20.88,-0.18373098868297166,0.0,0.019818295223626967,0.19203295675392865,0.8885679028459568,0.6346283361340537,0.13330211007473025,0.11306359030969837,13.400662793016691,8.850869281084083,0.47015,True,True,True,0.6476879068640257,0.4277848855043056,0.022068836159954586,-0.055599956107129415
2012-08-23,304,50,46,2012-11-25,20.88,22.38,-0.3942618414672523,-0.004128705853135237,0.01568958937049173,0.1689030560032252,0.9391054929148686,0.8167747687353186,0.5997186125909035,0.5498748503452369,11.732538148080188,9.134049415927155,0.64015,True,True,True,0.5619031680115033,0.4374544739428714,0.014394768908917221,0.3178530440433498
2012-11-25,350,48,52,2013-02-25,22.38,25.84,0.3850024128951185,0.003947998075052867,0.023766293298679835,0.16539477721312662,1.730569452729485,1.7638917081724286,1.4840435448772968,1.506671160970189,12.23212859969091,10.51725466357195,0.78345,False,True,True,0.5465651742489236,0.46993988666541336,0.02198002279916933,0.7254744360961539
2013-02-25,402,46,45,2013-05-26,25.84,25.86,0.8830858158856253,0.010345701807428645,0.030163997031055614,0.18895803237082567,1.109070441032459,0.872137495620084,0.3486749699795837,0.2831884799297466,16.383562521198503,11.950673928886896,0.4365,True,True,True,0.634038797260004,0.4624873811488737,0.02776122058665509,-0.15553878410454397
2013-05-26,447,48,38,2013-08-26,25.86,25.66,0.8753571309954837,0.010019110249492006,0.029837405473118972,0.18460871190640377,1.1496898484304992,0.8823248283391918,0.4702814448200172,0.36164871645330443,15.99202848454804,11.703319732655409,0.41365,True,True,True,0.6184079073684471,0.45256456816146207,0.028637389390566037,-0.20368171816508746
2013-08-26,485,45,44,2013-11-26,25.66,26.53,0.6237730174280145,0.006148136370806588,0.025966431594433556,0.1589736764514072,0.9093772741704051,0.8269305533748659,0.09523204551782705,0.16761494289288947,13.765213089937486,11.54203144588822,0.5193,True,True,True,0.5364463402158023,0.4498063696760803,0.026482303544986152,0.046399992328158016
2013-11-26,529,45,48,2014-02-26,26.53,28.45,0.4256951710367721,0.0049846701260302185,0.024802965349657185,0.18886261984777608,1.2473494824556166,1.0121759640247745,0.6697097662406044,0.684251556381593,16.848508638224942,11.321626605970433,0.61075,True,True,True,0.6350738272983393,0.42674808164230804,0.02188392263546124,0.2386339187148852
2014-02-26,577,44,48,2014-05-26,28.45,28.26,0.3797660494119183,0.004226176115043584,0.02404447133867055,0.17948979639795185,1.1739370012280723,0.8992216291892734,0.4162467786860393,0.3720009912107418,16.843078487580808,11.83908842080471,0.42345,True,True,True,0.592023848421118,0.4161366755994626,0.02258325333469524,-0.17129249278584527
2014-05-26,625,46,48,2014-08-26,28.26,37.69,1.1872479279986086,0.013831873240977748,0.03365016846460472,0.18790913374704238,5.56935136824705,6.769746997005696,4.193263532165652,4.4287116294991336,17.867188033904466,66.27415825245821,0.92345,False,False,True,0.6322430302160108,0.3938571431641823,0.036924024616726614,1.3532990998744376
2014-08-26,673,45,48,2014-11-27,37.69,44.58,0.8784236568133168,0.010183284704484498,0.030001579928111463,0.18697871604178715,3.3731140798927965,3.750745223980392,2.855222523786786,3.123380133416873,23.646753503043684,17.77296270335886,0.78975,False,True,True,0.6274012603619975,0.47155645272907565,0.03129623116015989,0.7374579506672354
2014-11-27,721,46,46,2015-03-02,44.58,51.07,1.5588332686711444,0.016627944285459124,0.03644623950908609,0.17204704002378357,2.9378335365047388,3.313053974505829,2.4051030307983403,2.826213234332471,26.07314842610232,19.70423374598878,0.73705,True,True,True,0.5848620104554132,0.4419971679225837,0.03768043827732881,0.5781306855322456
2015-03-02,767,47,49,2015-06-02,51.07,50.64,2.330495206038898,0.028647856728931654,0.04846615195255862,0.1982678205507697,2.6797807811391303,1.6898126667014708,1.4672219149974524,0.6652738777808835,35.23005157973947,22.277712291757993,0.37505,True,True,True,0.6898384879526036,0.4362191558989229,0.04903943273927758,-0.28709457045559605
2015-06-02,816,48,33,2015-09-02,50.64,50.47,1.8578384176212939,0.02321517459370649,0.043033469817333456,0.2015451378047766,2.5209698528615334,1.6424367840875864,1.1970199850793009,0.5663514909385654,34.432832504373444,21.88887326379531,0.39785,True,True,True,0.6799532485065846,0.4322447326973798,0.04391864080092023,-0.23020226539041622
2015-09-02,849,44,43,2015-12-02,50.47,43.07,1.2543823605163333,0.014867031904204978,0.03468532712783194,0.19116247542407472,5.782046073525886,5.487360029026953,4.631112495679499,4.193453664229931,32.67651651695563,21.771511531920865,0.1342,False,True,True,0.6474443534169929,0.4313753027921709,0.0368976618062018,-1.0108559642016834
2015-12-02,892,44,38,2016-03-02,43.07,38.46,0.838519791494311,0.009792260829867908,0.029610556053494875,0.18835535237976866,3.664214520880935,3.441996743597819,2.983516736561537,2.750642306070276,27.438693036274124,17.259072866638192,0.2001,False,True,True,0.6370720463495269,0.4007214503514788,0.03150762649461525,-0.7582397481910931
2016-03-02,930,43,50,2016-06-06,38.46,46.15,-0.10166870007172668,0.0,0.019818295223626967,0.18488957698787428,4.141895769359429,4.604554002256367,3.4736589968995624,3.4613698877311165,23.737101711542525,14.119913755053695,0.83415,False,True,True,0.6171893320733886,0.36713244292911323,0.01931050458140593,0.878686231053767
2016-06-06,980,43,41,2016-09-07,46.15,44.81,-0.8821312891759702,-0.010153804542626965,0.009664490681000002,0.18565381709008033,2.0452902879615458,1.7319363157391603,0.9253962449303508,1.160804340626207,28.196660095698647,19.10511917764402,0.40325,True,True,True,0.6109785502859946,0.41397874707787696,0.011068092954728215,-0.21076928794210162
2016-09-07,1021,41,49,2016-12-07,44.81,53.54,-0.26179827904168285,-0.0030173013129209153,0.016800993910706052,0.1858917880841125,4.750423089959595,4.891933397491185,4.007954377450215,3.9478597018897936,28.089901512480544,19.23902193785203,0.82905,False,True,True,0.6268668045632793,0.42934661767132404,0.015935979582672788,0.867153503900399
