origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2021-01-06,260,60,62,2021-04-06,1.4,0.98,-0.3809588225341547,-0.006551666930952596,0.013266628292674372,0.2773844337571549,0.2938364879677172,0.32201795914911163,0.2214115719518639,0.2241098550586963,1.3243864040101723,2.306647482729167,0.08355,False,False,True,0.9459902885786945,0.6296200855571763,0.016302245645519964,-1.3336781996760636
2021-04-06,322,61,58,2021-07-06,0.98,1.0,-0.7209898746863044,-0.011382096028765668,0.008436199194861299,0.25462520412262973,0.055085953414412664,0.04171464015450062,0.0063763221160485495,0.00017027271517688902,0.8364948576560335,0.5956925592807044,0.52165,True,True,True,0.8535661812816668,0.6078495502864331,0.007395260987655972,0.04621108960207771
2021-07-06,380,61,61,2021-10-06,1.0,0.98,-1.6772611796045651,-0.026889523259558477,-0.00707122803593151,0.258577491288295,0.05675507745303285,0.042952581614937535,0.006103892909261943,0.02031265056259901,0.8579728240661952,0.5537592791879512,0.4796,True,True,True,0.8579728240661952,0.5537592791879512,-0.007792214181476131,-0.05078353578327248
2021-10-06,441,62,64,2022-01-09,0.98,1.26,-0.4284146694888513,-0.0069156087791761855,0.012902686444450782,0.26036007874466477,0.15834246067516491,0.172706073541594,0.1322794897001831,0.13089542888607542,0.8529217976395944,0.5180448911214404,0.843,False,True,True,0.8703283649383616,0.5286172358382044,0.015756143469014106,0.9157000680978664
2022-01-09,505,60,64,2022-04-10,1.26,1.07,0.11353660965357593,0.0,0.019818295223626967,0.2488860620451392,0.1335163611205182,0.13207758887333268,0.10807195957903681,0.10761745736716122,1.0496432871599373,0.7510474843636751,0.20975,False,True,True,0.8330502279047121,0.5960694320346628,0.02074914218894741,-0.7363665373915543
2022-04-10,569,61,57,2022-07-17,1.07,1.09,0.007743346270233868,0.0,0.02211716199690204,0.2604075871946153,0.06154614115979601,0.0519621424771656,0.00039977236546551165,0.0034539794897702203,0.9492109583826218,0.7401900515147933,0.4986,True,True,True,0.8871130452174035,0.6917664032848535,0.019438826851337465,-0.013817240382383583
2022-07-17,626,60,65,2022-10-17,1.09,1.31,-0.17965000421046964,0.0,0.026652433764564557,0.26582669516998914,0.11287856533625457,0.11303554040617153,0.09501671341473128,0.09707334021402259,0.9785835608855706,0.7296032684946057,0.7436,True,True,True,0.8977830833812575,0.6693607967840418,0.027492268963795752,0.5913514709533588
2022-10-17,691,61,64,2023-01-17,1.31,1.39,0.9843304383449641,0.016311767177011667,0.04296420094157623,0.2672811981984618,0.08001429319681189,0.06804065922019342,0.011756607412738984,0.02220584550262561,1.224022233197886,0.9254727620499915,0.526,True,True,True,0.9343681169449511,0.7064677572900698,0.043119683339329695,0.06103088843477711
2023-01-17,755,60,62,2023-04-18,1.39,1.08,0.6196813099396542,0.010343883735265914,0.047987098355109496,0.269230057069205,0.2405693637601196,0.24446957647154188,0.1891981043454405,0.18156975857578472,1.3113824210388225,0.8993415795802753,0.12025,False,True,True,0.943440590675412,0.6470083306332917,0.049205905533008076,-1.1155136526393945
2023-04-18,817,61,55,2023-07-18,1.08,1.13,-0.6655320683980852,-0.010704792683923565,0.03120291766206418,0.25942844036122625,0.06320217923386773,0.04587384065420659,0.008926572697290025,0.001980326921185327,0.956786428598846,0.6503496496029955,0.52605,True,True,True,0.8859133598137462,0.602175601484255,0.02976560611612933,0.05417167796440604
2023-07-18,872,60,62,2023-10-18,1.13,1.14,-0.1665506922492508,0.0,0.041907710345987746,0.25892716739525834,0.0681628538327646,0.050482674698651545,0.018363264784578726,0.018443904362237862,1.0081903992628003,0.6770443653084331,0.44645,True,True,True,0.8922038931529207,0.5991543055826842,0.04135091112314826,-0.1278239012027246
2023-10-18,934,61,64,2024-01-18,1.14,1.42,-0.08664822516546047,0.0,0.04401298594508981,0.24380938413481362,0.13383009332535775,0.14013743704422615,0.11478471375808175,0.11537198761427037,0.9532975170584046,0.6388544731284145,0.78455,False,True,True,0.8362258921564953,0.5603986606389602,0.044237344284067115,0.7202988674323112
2024-01-18,998,60,60,2024-04-18,1.42,1.88,0.3586445252345873,0.005523120299474513,0.049536106244564324,0.2483868544128116,0.23331799229027275,0.2544266046752741,0.1958579123492845,0.1964636024814186,1.2338204259859435,0.8464402199550107,0.8441,False,True,True,0.8688876239337631,0.5960846619401484,0.04808744739537385,0.9303181504125738
2024-04-18,1058,60,55,2024-07-18,1.88,1.76,1.7700670651103774,0.029117546673727897,0.08936341403436308,0.2653220653800317,0.18965524998550493,0.1638074388179629,0.14666866788218902,0.12010136266420746,1.814050413683267,1.697707087905635,0.25875,True,True,True,0.9649204328102484,0.9030356850561889,0.09220071051296719,-0.5854069528807838
2024-07-18,1113,60,63,2024-10-20,1.76,2.52,0.576473707079133,0.009409607647555156,0.06965547500819035,0.2632693623654103,0.3918797568810555,0.39745599168774626,0.31849109749113524,0.3258819603403482,1.6615750706365937,1.6346848647097534,0.87575,False,True,True,0.9440767446798828,0.9287982185850872,0.06989648012370986,1.098835105102566
2024-10-20,1176,61,64,2025-01-20,2.52,2.46,0.49826052003791893,0.00895646673509931,0.0692023340957345,0.2899269259336558,0.20476877996913118,0.20196718939557795,0.12103987279652606,0.10624257157747552,2.607743697287696,2.580114136682462,0.3578,True,True,True,1.0348189274951176,1.0238548161438341,0.07225386729883021,-0.3218048319394277
2025-01-20,1240,59,60,2025-04-22,2.46,3.23,1.1495393325749619,0.019029646494901145,0.07927551385553633,0.26700241868914903,0.3319659401707713,0.355719183319758,0.282651221495442,0.3071827485612031,2.342431074566713,2.467167588807201,0.78805,False,True,True,0.9522077538889078,1.0029136539866672,0.08321038902809597,0.7230094558038652
2025-04-22,1300,59,57,2025-07-22,3.23,3.36,0.9806358594659845,0.01598887717503788,0.07177476500359031,0.26297744798650485,0.20200150959663687,0.1855382170999917,0.05008434267298201,0.030996443791459383,2.9951928796645673,2.631111332971288,0.4505,True,True,True,0.9273042971097731,0.8145855520034948,0.07125965490587127,-0.12288478921090204
2025-07-22,1357,61,63,2025-10-22,3.36,3.36,0.9458362867530317,0.014544650643117378,0.06832249554735376,0.24802509978809192,0.22407567345755974,0.19925540173595396,0.12192777365221397,0.09494084289164229,2.969561734988063,2.5752715551239045,0.3742,True,True,True,0.883798135413114,0.7664498675964002,0.07257605574536541,-0.2754660540635897
2025-10-22,1420,61,64,2026-01-22,3.36,3.2,0.20033945775104975,0.0,0.047655089902162426,0.22409607963339745,0.2275547763674704,0.22597654896409292,0.15900525960244716,0.1642999239916465,2.600508573586163,2.316785082146886,0.32235,True,True,True,0.7739608849958819,0.6895193696865732,0.047026940239552006,-0.43037457071703705
2026-01-22,1484,60,59,2026-04-22,3.2,4.65,0.13496558954670376,0.0,0.047655089902162426,0.1955240179528163,0.9084722497253033,0.9625686867311916,0.6450948115261452,0.6457985427099302,2.8271837953192653,8.033067044414803,0.95335,False,False,False,0.6786704772776866,0.5432398323586998,0.04994074279615934,1.6676279635891407
2026-04-22,1543,60,58,2026-07-22,4.65,4.98,1.283349191816471,0.017772397194715205,0.0623089435405837,0.22336209777088503,0.23930751461756783,0.1734038434180581,0.013920116777867975,0.05490677886537121,3.6098683373052927,2.3409068100321444,0.5115,True,True,True,0.7763157714635037,0.5034208193617514,0.06498059493425035,0.027998160650907628
