origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-03-20,260,54,61,2012-06-20,4.3,3.53,-0.7304741054110784,0.0,0.019818295223626967,0.3150544490109622,0.550455642529896,0.5246509878240202,0.4352801602249732,0.42841099132039395,4.696132452672233,3.3913392381153873,0.22195,False,True,True,1.0921238262028448,0.7886835437477645,0.023386121034871143,-0.6891997483596339
2012-06-20,321,61,62,2012-09-20,3.53,5.46,-1.4317153548689683,0.0,0.019818295223626967,0.32994822998306444,1.1932596683171524,1.3774979633300908,0.9309031080722203,0.9314533029405789,4.0617460909135,10.843596400013052,0.90585,False,False,True,1.1506362863777622,0.7051175456099525,0.019318352367013958,1.2618119624686297
2012-09-20,383,61,61,2012-12-20,5.46,4.51,1.5157785334461351,0.0,0.019818295223626967,0.3273346954947968,0.6789528625153376,0.640925142190682,0.527026395250004,0.5180929309849871,6.1269900522318945,3.9769877798776987,0.23515,False,True,True,1.1221593502256217,0.7283860402706408,0.01905728763736403,-0.6445083102081588
2012-12-20,444,60,61,2013-03-20,4.51,3.78,0.06631644939307557,0.0,0.019818295223626967,0.3179779555878308,0.5225720141102159,0.5022958294619834,0.40629793268043524,0.4084891111483604,4.936181487101205,3.508753764989982,0.24845,False,True,True,1.0944970037918416,0.777994182924608,0.01831393910440582,-0.6176259569430154
2013-03-20,505,62,61,2013-06-20,3.78,3.91,-0.7496530140279156,0.0,0.019818295223626967,0.3266062288930672,0.2749198587558511,0.19584698889571955,0.02535120971993665,0.027142774370718437,4.204669628797038,2.765965303661383,0.51955,True,True,True,1.1123464626447193,0.7317368528204717,0.020978195915377418,0.04284997622238616
2013-06-20,566,62,61,2013-09-22,3.91,4.97,-0.592053136014582,0.0,0.019818295223626967,0.2716674308348228,0.5719244816145009,0.5847182890408322,0.49060562931343066,0.48511555185009403,3.6098596158360183,2.680777529075037,0.81275,False,True,True,0.9232377534107463,0.6856208514258406,0.020150573241211944,0.810049884196231
2013-09-22,627,61,59,2013-12-22,4.97,6.21,-0.07446741301668164,0.0,0.019818295223626967,0.24680792277688893,0.6816431363783977,0.683916211233749,0.5791000418370622,0.5649173656196651,4.069153096068268,3.1105986937727095,0.8207,False,True,True,0.8187430776797321,0.6258749886866619,0.016458735679250713,0.8221890056449388
2013-12-22,686,60,62,2014-03-23,6.21,8.48,0.5501045189620278,0.0,0.019818295223626967,0.2195005956852317,1.4088396700635828,1.571111686904841,1.0692175600070302,1.0702918961876913,4.536156901924714,11.562332372760473,0.9207,False,False,True,0.7304600486191165,0.49453554966831204,0.021185971012228633,1.3290681864624454
2014-03-23,748,61,60,2014-06-23,8.48,8.78,1.3901126795236718,0.0,0.019818295223626967,0.2467053905469413,0.4637753273548133,0.2896171683526637,0.07660756353431797,0.06109885669803372,7.104953353593176,3.9944451402946575,0.53105,True,True,True,0.8378482728293839,0.4710430589970115,0.017309536902283318,0.060589120434084494
2014-06-23,808,61,61,2014-09-23,8.78,11.25,-1.102461721662278,0.0,0.019818295223626967,0.2717370880069912,1.3459012916490558,1.4919526417911233,1.1537394780403307,1.1427024356970676,8.008701086930465,4.712701387025184,0.81705,False,True,True,0.9121527433861578,0.5367541443081076,0.018510369466895105,0.8393165152852048
2014-09-23,869,60,62,2014-12-23,11.25,9.47,0.694657958959378,0.0,0.019818295223626967,0.22596913523302103,1.2508697040476755,1.3131732062305155,1.0088756518559938,1.0097948341948682,8.545765859108087,5.248371978986073,0.179,False,True,True,0.7596236319207189,0.4665219536876509,0.021133449218843303,-0.8499280951711304
2014-12-23,931,60,61,2015-03-23,9.47,10.72,-0.6564272744192802,0.0,0.019818295223626967,0.26390248061772065,0.7447722518368902,0.6310473599964271,0.5308764019986683,0.5295214804751174,8.481948543418442,4.9564765915884195,0.67375,True,True,True,0.8956651049016305,0.5233871796819872,0.01987826779331181,0.39470623003324484
2015-03-23,992,61,64,2015-06-23,10.72,8.79,-0.20476528934108273,0.0,0.019818295223626967,0.2387271799485996,1.330080531120064,1.3867521905860687,1.070261691086893,1.0712472573282934,8.763928716703358,5.821438279178556,0.16425,False,True,True,0.8175306638715818,0.5430446155950146,0.019638375202778446,-0.914494693131309
2015-06-23,1056,62,60,2015-09-28,8.79,6.93,-1.5181627992500917,0.0,0.019818295223626967,0.2429272591517952,1.305789372547085,1.3898068800728574,1.0356385192880166,1.0230469099028578,7.282377308675242,4.756288686382759,0.1277,False,True,True,0.8284843354579343,0.5411022396339886,0.02403606809738723,-1.0602893829957296
2015-09-28,1116,61,62,2015-12-28,6.93,6.3,0.04312765483638459,0.0,0.019818295223626967,0.2442488523903721,0.5276792256053265,0.4731082912595904,0.38319489300109355,0.37746615721653676,5.694111120090953,3.99939867741932,0.30155,True,True,True,0.8216610562901808,0.5771138062654142,0.019681065801181452,-0.47135728131875565
2015-12-28,1178,61,63,2016-03-28,6.3,6.47,0.39547149888777605,0.0,0.019818295223626967,0.2476227758609261,0.34505315209590204,0.2591242596387403,0.02848232670399442,0.028708192608324357,5.236906961896954,3.6658405531370413,0.5152,True,True,True,0.8312550733169769,0.5818794528788954,0.01794211850666838,0.027494158677547707
2016-03-28,1241,62,63,2016-06-28,6.47,4.91,2.703293652073953,0.0,0.019818295223626967,0.26707985906566606,1.083426653203029,1.1420388895607978,0.8478257436485803,0.8381583836600988,5.852956105211384,4.052036474112584,0.118,False,True,True,0.9046300008054691,0.6262807533404303,0.020966226784723485,-1.1072361014586993
2016-06-28,1304,61,59,2016-09-28,4.91,5.4,-1.8918779422198193,0.0,0.019818295223626967,0.2598892426190552,0.3324777865579993,0.2747446701595281,0.19476777245670363,0.20080975462065265,4.320902085541186,2.915981000421411,0.6299,True,True,True,0.8800207913525837,0.593886150798658,0.020461192481994406,0.2897646542860452
2016-09-28,1363,61,62,2016-12-28,5.4,9.23,-0.9881222140495213,0.0,0.019818295223626967,0.22911093322605683,2.900385471477505,3.110319028711004,1.8592373692498416,1.8594353453751582,29.406824277531157,42.62173538838747,0.98325,False,False,False,0.7687693789282173,0.5702413857201734,0.02065282620376241,2.2532394785871914
2016-12-28,1425,61,62,2017-03-28,9.23,9.07,0.5827660898577992,0.0,0.019818295223626967,0.2493679942437891,0.5263270832313922,0.43067476837432195,0.160278268470206,0.17822250348266966,7.823630840406275,5.628467872245179,0.4357,True,True,True,0.8476306435976462,0.609801502951807,0.017395074424746637,-0.14959850691533427
2017-03-28,1487,62,59,2017-06-28,9.07,7.89,0.9431430114541384,0.0,0.019818295223626967,0.2543048131827657,0.8538408711975389,0.8293405970256243,0.6642460119772493,0.675455603122646,7.820912296691153,5.310493119307014,0.2492,False,True,True,0.8622836049273598,0.5855008951826918,0.01637177772375953,-0.6259984720716959
2017-06-28,1546,61,60,2017-09-28,7.89,9.13,0.25990704701842837,0.0,0.019818295223626967,0.25920259482322794,0.6721925188307667,0.6313615908628475,0.5212671123673305,0.539300999528959,6.8637148315088226,4.727571443128987,0.69955,True,True,True,0.8699258341582792,0.5991852272660313,0.025027347942375266,0.48668982118601306
