origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-03-20,260,60,60,2012-06-19,4.3,3.55,-0.7304741054110784,0.0,0.01887456687964473,0.32819027921474403,0.5419746438270395,0.5098675925846093,0.4235070121203717,0.41636233921678567,4.905343604982667,3.580360547588879,0.23785,False,True,True,1.1407775825541087,0.8326419878113672,0.022561400986219393,-0.6415241383614337
2012-06-19,320,60,60,2012-09-17,3.55,5.4,-1.105082783070863,0.0,0.01887456687964473,0.32732145218592734,1.1298735795681583,1.2979314383470157,0.8890835443834886,0.8919890346557373,4.009035862952337,8.828146112142962,0.89985,False,True,True,1.1293058768879822,0.7093943324458258,0.020234622882541853,1.2238024135849224
2012-09-17,380,60,60,2012-12-16,5.4,4.27,1.66703789780236,0.0,0.01887456687964473,0.3196720563101474,0.7653412478628876,0.7779212455060086,0.6138902276226377,0.6186228634585125,5.9746921781979925,3.9950927433751113,0.1985,False,True,True,1.1064244774440726,0.7398319895139095,0.01810749171208781,-0.7934997388800181
2012-12-16,440,60,60,2013-03-13,4.27,4.04,-0.7453068942552351,0.0,0.01887456687964473,0.31752817745686507,0.3265678311884257,0.2728085748914195,0.14672862612157145,0.16167947596397925,4.61492361981786,3.3250327284856187,0.39825,True,True,True,1.080778365296923,0.7786961893408944,0.014861183195115535,-0.23381768113226697
2013-03-13,500,60,60,2013-06-12,4.04,3.75,-0.4791842550014421,0.0,0.01887456687964473,0.3190587074257463,0.32956801946194303,0.26536400282376393,0.1834600296218838,0.18186141271311485,4.43729530332337,2.9168826358935767,0.3664,True,True,True,1.0983404216146955,0.7220006524489051,0.019039618624694832,-0.2926214414383665
2013-06-12,560,60,60,2013-09-11,3.75,4.9,-0.6150794771561992,0.0,0.01887456687964473,0.27472744897930906,0.643556470573366,0.6775031054454723,0.5415795463120681,0.5382607450518706,3.4970207116714382,2.5415761864615356,0.8361,False,True,True,0.9325388564457169,0.6777536497230762,0.017824241966897025,0.9049143038973889
2013-09-11,620,60,60,2013-12-12,4.9,5.99,-0.35030919564151314,0.0,0.01887456687964473,0.26462333316497083,0.5867595378324506,0.59103486543106,0.5041997627579438,0.49611049512304817,4.379128598932164,3.078822707280407,0.77665,False,True,True,0.8936997140677885,0.6283311647511034,0.016653158057982065,0.6877006572118181
2013-12-12,680,60,60,2014-03-11,5.99,8.19,0.8989349670245144,0.0,0.01887456687964473,0.226748108338644,1.363843442051265,1.5322456074502773,1.042837607308941,1.050682798553281,4.603868206639927,10.662297405581263,0.915,False,False,True,0.7685923550317073,0.5079966068296475,0.01908594079835013,1.2963632685260138
2014-03-11,740,60,60,2014-06-11,8.19,9.47,1.4819453506520095,0.0,0.01887456687964473,0.2217807655478082,0.681723129157759,0.6681472259259452,0.567579068106328,0.5688881124426581,6.072599633273549,3.813772722711936,0.73645,True,True,True,0.7414651566878571,0.46566211510524247,0.01768520925364414,0.5696636592506016
2014-06-11,800,60,60,2014-09-10,9.47,11.23,0.7357468817851411,0.0,0.01887456687964473,0.27184118383604505,0.9549518247318127,0.9347022902550602,0.7814683852560833,0.7915896358793937,8.779415051276564,4.998021034589752,0.7296,True,True,True,0.9270765629647901,0.5277741324804384,0.02080921113915868,0.5576244648939783
2014-09-10,860,60,60,2014-12-08,11.23,10.77,1.5355210046471768,0.0,0.01887456687964473,0.2378024638546632,0.6627568033047551,0.4831252992284284,0.3366717498562011,0.3282906828033578,9.037033408275505,5.310994063009179,0.38935,True,True,True,0.8047224762489319,0.47292912404356,0.01899764022372219,-0.2552490141514955
2014-12-08,920,60,60,2015-03-05,10.77,11.42,0.4632893845944822,0.0,0.01887456687964473,0.2272810740516619,0.573957390433393,0.4186115056955818,0.2292785244961557,0.22677704831299916,8.156818469818587,5.228604376198895,0.58085,True,True,True,0.7573647604288382,0.48547858646229297,0.01777557576673061,0.1747930237732515
2015-03-05,980,60,60,2015-06-01,11.42,9.49,-0.5047620741928884,0.0,0.01887456687964473,0.2420393200968771,1.3387844573602274,1.3740167687147862,1.0839927511022784,1.0830780981297536,9.274174173671348,6.153048611129909,0.1812,False,True,True,0.8120993146822546,0.5387958503616384,0.02083936096362149,-0.8428471803838307
2015-06-01,1040,60,60,2015-09-01,9.49,7.4,-0.340945909633587,0.0,0.01887456687964473,0.25711080646296075,1.4498531009867373,1.541834219230321,1.139117762023628,1.1249134651839094,8.240827840910208,5.283932198103715,0.1305,False,True,True,0.8683696355016025,0.5567894834671986,0.019835144788962644,-1.040925439786648
2015-09-01,1100,60,60,2015-12-01,7.4,5.89,-1.2423152103973127,0.0,0.01887456687964473,0.2606870435927668,1.0306541356543644,1.0959359093801364,0.8279237783139615,0.8226701819899129,6.50452173944313,4.158756749055682,0.1555,False,True,True,0.8789894242490717,0.5619941552777948,0.019709129274043447,-0.947874378491474
2015-12-01,1160,60,60,2016-02-28,5.89,4.85,-1.1184344280184575,0.0,0.01887456687964473,0.24379332245411459,0.7202248837744999,0.7301425774118453,0.5863569682159264,0.5685132534994581,4.872011295702057,3.344343694843369,0.17075,False,True,True,0.8271666036845599,0.5678002877492987,0.022532077492674496,-0.8743137730274236
2016-02-28,1220,60,60,2016-05-25,4.85,6.07,-0.7283284676980779,0.0,0.01887456687964473,0.2328373468058173,0.6700720312881656,0.7082435131459948,0.5642595597487774,0.5715162224924328,3.8185252637875697,2.815310026858503,0.83395,False,True,True,0.787324796657231,0.5804762941976296,0.018862037216999195,0.882613275153658
2016-05-25,1280,60,60,2016-08-23,6.07,6.05,-0.9011296700008761,0.0,0.01887456687964473,0.2414911539796206,0.32242443887894556,0.2625931007286838,0.05518626442293195,0.0632083080577499,4.828487707354287,3.6666569846837014,0.4643,True,True,True,0.7954674970929633,0.604062106208188,0.014888390254672812,-0.09182489520992111
2016-08-23,1340,60,60,2016-11-22,6.05,8.95,1.1478274270809348,0.0,0.01887456687964473,0.23745676103917188,1.9224492263059196,2.10470341330279,1.3983707917388726,1.403324532428491,4.78691266109388,18.469068652730527,0.9475,False,False,True,0.7912252332386579,0.5943273157884297,0.01706750686318248,1.5696360538788092
2016-11-22,1400,60,60,2017-02-19,8.95,8.03,4.79704055751146,0.0,0.01887456687964473,0.2903536742157252,0.7757835023571724,0.6701388071229961,0.5391534683359298,0.5354974425281886,8.861272512210345,5.522062561063275,0.30645,True,True,True,0.9900863142134464,0.6169902302863994,0.017687925885123912,-0.4385808843359959
2017-02-19,1460,60,60,2017-05-18,8.03,7.69,-1.994727856072153,0.0,0.01887456687964473,0.2643417631892656,0.5154304236983129,0.40552576924451456,0.24119806191345328,0.24427739273445725,7.166695232547775,4.800116372071459,0.40085,True,True,True,0.8924900663197728,0.5977728981409041,0.017733016665866463,-0.23506808220943864
2017-05-18,1520,60,60,2017-08-17,7.69,7.56,-1.3171844437095621,0.0,0.01887456687964473,0.266692741714722,0.46454769882526237,0.3437504931148565,0.132702022447154,0.1267165927972531,6.916792717875655,4.592399269251202,0.44215,True,True,True,0.8994528891905923,0.5971910623213527,0.017607808178713658,-0.13470242937538732
2017-08-17,1580,60,60,2017-11-16,7.56,9.23,0.21260797587600783,0.0,0.01887456687964473,0.21958856417503242,0.8858813873424187,0.9278875475616822,0.7549272943507042,0.755566054583273,5.5454420429082525,4.0300976781483255,0.80975,False,True,True,0.7335240797497689,0.5330817034587733,0.021183255462776884,0.8229631270762772
2017-11-16,1640,60,60,2018-02-14,9.23,9.74,-0.2750829135665499,0.0,0.01887456687964473,0.22892923029729467,0.49412719958795304,0.3603826929741587,0.16603044049497928,0.15666303846550989,7.043593111649615,4.729544145783808,0.56405,True,True,True,0.7631195137215184,0.5124099832918535,0.01927834442145615,0.1524816303042921
2018-02-14,1700,60,60,2018-05-15,9.74,11.96,-0.2563596606185473,0.0,0.01887456687964473,0.21809380842898166,1.1898825493031486,1.318772401108654,1.0024186291875221,1.0164643688926223,7.1182815939327355,4.373329244066372,0.8221,False,True,True,0.7308297324366259,0.4490071092470607,0.02209063055697702,0.8549168146105903
2018-05-15,1760,60,60,2018-08-13,11.96,10.81,-1.197750635492838,0.0,0.01887456687964473,0.24337510364056775,0.9333518923703119,0.8435204431775651,0.6926096939887483,0.6922181497367506,9.892595994243557,5.862946884677596,0.293,True,True,True,0.8271401332979562,0.49021295022387923,0.0196671729078175,-0.49294558874926675
2018-08-13,1820,60,60,2018-11-13,10.81,9.54,-0.42360974337743323,0.0,0.01887456687964473,0.2449924452246476,0.9456537559930205,0.8895265047599253,0.7392886031852406,0.7275336801259185,8.943847233922536,5.655640185378074,0.259,True,True,True,0.8273679217319645,0.5231859560941788,0.01929483870217208,-0.587172036830196
2018-11-13,1880,60,60,2019-02-11,9.54,11.51,-0.6693443300267509,0.0,0.01887456687964473,0.25569378024162764,1.0486357628184046,1.0755309082520035,0.8879924195143358,0.9017982481270144,8.188898927372826,5.453324400343621,0.77005,False,True,True,0.8583751496197931,0.5716272956335032,0.02033701896974094,0.6603530607369168
2019-02-11,1940,60,60,2019-05-12,11.51,11.0,0.5754636316543567,0.0,0.01887456687964473,0.2398711623826939,0.6954393009080522,0.5857417056706944,0.3620813547792743,0.36539086426663836,9.335423207938454,6.849091708109828,0.3829,True,True,True,0.8110706522969987,0.5950557522250068,0.018606664601090284,-0.267624987419901
