origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2022-01-19,260,61,59,2022-04-19,314.34,256.46,1.3646572977880305,0.0,0.01574369979034711,0.21516542341088926,40.00475453146402,38.5393944329992,31.794105471850344,31.461835355682837,228.1395533860699,250.63963707522453,0.1366,False,True,True,0.7257732181270914,0.7973520298887337,0.018159352750845237,-1.0189657424133551
2022-04-19,319,62,64,2022-07-19,256.46,271.01,0.9442374138217023,0.0,0.01574369979034711,0.217895417587599,13.047427842620834,14.14932332051169,5.224135413981912,5.145131688006984,187.28170223755708,191.75833030007342,0.58225,True,True,True,0.7302569688745111,0.7477124319584865,0.015993641004586223,0.18100111596303045
2022-07-19,383,63,62,2022-10-19,271.01,240.83,0.49687361175402067,0.0,0.01574369979034711,0.2173255558190198,21.8349027915592,21.756602981181793,17.154320081355664,16.65534440338702,195.64919411618362,201.58762912598195,0.24445,False,True,True,0.7219261064764534,0.7438383422234676,0.0152342723984773,-0.6157036132346871
2022-10-19,445,62,64,2023-01-19,240.83,241.86,-0.47346984700699624,0.0,0.01574369979034711,0.20007603445288782,10.567964121498342,11.164450218418644,1.3230412522389372,1.3489316628875656,161.04698204884437,157.90086577869843,0.474,True,True,True,0.6687164474892844,0.6556528081165072,0.015264221668720213,-0.057357913239541834
2023-01-19,509,61,58,2023-04-19,241.86,283.29,-0.6879001277152984,0.0,0.01574369979034711,0.17762739888609158,22.484911087343733,21.97136905282163,19.06548187173827,18.824565467312752,143.5728042182198,144.1357561071846,0.8122,False,True,True,0.5936194667089216,0.5959470607259761,0.013640272291918665,0.8015000089423622
2023-04-19,567,61,63,2023-07-19,283.29,374.54,-0.31387690121209066,0.0,0.01574369979034711,0.16296275315754485,59.79758449392763,60.454279527132016,43.08577566428485,43.679358117867366,153.49476287850527,221.31208217345034,0.9478,False,False,True,0.5418290899025919,0.5225746255521113,0.017926678214657432,1.616834482074586
2023-07-19,630,62,63,2023-10-19,374.54,403.63,1.0529391573103115,0.0,0.01574369979034711,0.14769552165589023,16.587536526668494,15.923699503534444,11.994955025351004,11.446243633075255,185.83373543225258,170.01508610343421,0.67525,True,True,True,0.4961652572015074,0.45393038421379345,0.01361694331526131,0.3998517351984214
2023-10-19,693,62,63,2024-01-19,403.63,497.02,2.021561248617466,0.0,0.01574369979034711,0.13247475823092733,58.7778645040448,58.37115465171602,43.495793430787955,43.12757436401836,177.90346771475976,164.3756154005299,0.93135,False,False,True,0.440758783328196,0.4072433055038771,0.015852174363709448,1.452261191313808
2024-01-19,756,62,60,2024-04-19,497.02,581.3,2.424679231914321,0.0,0.01574369979034711,0.14013390657964805,46.361561583183686,47.39542365620964,38.21476238534106,38.104857002464826,231.28684559609644,189.5523744202394,0.85915,False,True,True,0.46534716026738654,0.3813777602918181,0.015795089190209444,1.0054169730951068
2024-04-19,816,62,62,2024-07-19,581.3,599.32,3.199909139474591,0.0,0.01574369979034711,0.15333068012106868,19.655889134282305,16.204582047718546,4.40954407795067,4.653178828352566,290.4888914626534,219.17656670586604,0.54515,True,True,True,0.49972284786281335,0.3770455302010426,0.01582816419077715,0.09642561205374822
2024-07-19,878,62,64,2024-10-21,599.32,546.83,1.9146526019904568,0.0,0.01574369979034711,0.13236846311537678,37.683375313135045,37.261289225403175,30.856895073868884,30.934823366548187,261.36259191042785,247.1022136728074,0.19045,False,True,True,0.43609856489092275,0.41230430099580756,0.015390426062433793,-0.8113821708403293
2024-10-21,942,62,63,2025-01-21,546.83,460.54,1.3738117427455527,0.0,0.01574369979034711,0.15508941506405602,61.243438675978275,61.32622601159433,47.34946028465728,47.42264380967728,282.54295983019153,260.0766160610937,0.099,False,False,True,0.5166925001009299,0.4756078050968193,0.015377577253103514,-1.208863633249096
2025-01-21,1005,61,59,2025-04-21,460.54,381.42,-0.4241295102985884,0.0,0.01574369979034711,0.16231636722068135,56.28651019435605,56.043983241837914,43.23301690186915,42.85282088428764,248.65865512330737,226.514980397028,0.09085,False,False,True,0.5399284646790884,0.4918464854236939,0.01595091371810975,-1.2582975280968753
2025-04-21,1064,61,64,2025-07-21,381.42,416.16,-1.3809067863615785,0.0,0.01574369979034711,0.19300196914615103,20.771165281957472,19.82132231500615,13.96424796634571,14.568939037638387,246.6696975322592,205.76190194440375,0.6568,True,True,True,0.646714114446697,0.5394628020145869,0.017858277141493906,0.37007379794936374
2025-07-21,1128,63,63,2025-10-21,416.16,401.85,-1.3540923054289586,0.0,0.01574369979034711,0.14095381554386563,15.879793427183074,18.327381372005036,10.061279758198566,10.389652490874,193.35931312492113,225.8860963914571,0.35195,True,True,True,0.46462733834323605,0.5427866599179573,0.013967126865621626,-0.35993787494296126
2025-10-21,1191,63,62,2026-01-21,401.85,339.25,-0.868375760311522,0.0,0.01574369979034711,0.16882893821746103,43.94601715078672,43.174323883812725,34.77330817709617,33.96516197126272,226.5923667707488,204.87084125227108,0.12125,False,True,True,0.5638730042820674,0.5098191893797961,0.01728659040485825,-1.0962888690071368
2026-01-21,1253,61,59,2026-04-21,339.25,355.9,-0.9831112504582314,0.0,0.01574369979034711,0.15106304039041413,12.377834199605939,12.28994305189362,5.9260747219249765,5.305591325666967,171.39683231472173,160.8538574125053,0.5977,True,True,True,0.5052227923794304,0.47414548979367815,0.014142521904642713,0.2129494675049751
