origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-18,260,62,61,2012-04-18,26516.63821676295,24816.33469752013,0.0,0.0,0.0073897005603861,0.24792625881664582,1704.0940748608923,1518.5953702101838,983.2051225279029,950.4703928534454,22138.271636281555,17733.94217670369,0.3676,True,True,True,0.8348822899535758,0.6687854633658981,0.010035462400537876,-0.29710447215638464
2012-04-18,321,62,62,2012-07-18,24816.33469752013,20160.741728164805,0.0,0.0,0.0073897005603861,0.2513463714662446,2999.018922182017,2986.128186520445,2413.3155171852977,2407.5434615334652,21063.657916754215,17160.47689641754,0.17685,False,True,True,0.8487819886979153,0.6914992526326769,0.006892156601690402,-0.8560082177308832
2012-07-18,383,63,63,2012-10-18,20160.741728164805,19249.864842856154,0.0,0.0,0.0073897005603861,0.24846748041888653,1185.9545825884652,1112.4713709512707,522.959491309166,488.2540890002765,16613.649561951403,14441.636256181828,0.4047,True,True,True,0.8240594411634136,0.7163246497030753,0.006698270288390429,-0.21581454244713322
2012-10-18,446,63,62,2013-01-18,19249.864842856154,20848.959819286894,0.0,0.0,0.0073897005603861,0.24104524863038737,1217.6380654540462,1111.1735077314543,733.1402441060563,746.8644395312331,15541.289288166327,12502.920875127176,0.62995,True,True,True,0.8073453717745908,0.6495069434093795,0.006899502375878663,0.3004013500757159
2013-01-18,508,61,62,2013-04-18,20848.959819286894,17104.243735240223,0.0,0.0,0.0073897005603861,0.20515590036000494,2431.0143008541886,2417.748025004791,1926.7191528245403,1924.7347739380366,14097.747092713109,12712.058619857995,0.1377,False,True,True,0.6761846737155495,0.609721479154963,0.005214755198570176,-1.0010297245485886
2013-04-18,570,62,62,2013-07-18,17104.243735240223,16962.551775303324,0.0,0.0,0.0073897005603861,0.19200391886828375,738.1431226143941,701.7765982608623,154.6204328618678,141.45492725515942,11010.75015720676,9878.446328286916,0.4557,True,True,True,0.6437437590135064,0.5775435898363721,0.009795750597358044,-0.08181201471337009
2013-07-18,632,63,60,2013-10-18,16962.551775303324,17792.461826362316,0.0,0.0,0.0073897005603861,0.15822367216030492,671.2975448861991,675.5728537221848,368.2569742153446,347.4075299648266,8663.881663717155,8574.36205883571,0.6137,True,True,True,0.5107652302840047,0.5054877457364391,0.005506017247020711,0.255189985742459
2013-10-18,692,62,63,2014-01-20,17792.461826362316,16375.542226993299,0.0,0.0,0.0073897005603861,0.1703242233337518,1008.8733583528362,963.8559276243673,775.4079288875209,774.2725032831358,9892.4998487877,8368.175745116627,0.27815,True,True,True,0.5559938779315189,0.47032141065031624,0.00752544868229732,-0.5306096773444827
2014-01-20,755,61,63,2014-04-21,16375.542226993299,15181.281421810847,0.0,0.0,0.0073897005603861,0.1391599145340329,823.537959090839,806.6311985029417,658.0579402258772,657.215264106253,7497.447341084404,6315.294559769871,0.2583,True,True,True,0.4578442189673376,0.38565407314328776,0.0074412849101532785,-0.5972654651795933
2014-04-21,818,61,59,2014-07-21,15181.281421810847,26111.804045514655,0.0,0.0,0.0073897005603861,0.14409403773778937,9427.524885462859,9638.74025081356,5410.004488298458,5393.084878326219,142438.98930279253,155437.48101867377,0.99885,False,False,False,0.47564429413281956,0.39692528304465685,0.007279599398514414,3.7123991989065233
2014-07-21,877,61,60,2014-10-21,26111.804045514655,30747.15530630757,0.0,0.0,0.0073897005603861,0.22602867208353183,2644.5241170532927,2595.5628758477296,2255.656838829349,2230.4156664137445,19439.513950025637,15666.848841099258,0.78115,False,True,True,0.7444722668775102,0.5999910543825647,0.004750249462580625,0.6902677578091059
2014-10-21,937,61,63,2015-01-21,30747.15530630757,30969.81410049413,0.0,0.0,0.0073897005603861,0.25180945677331956,1661.4666381839752,1650.2713625349197,40.882489581459595,7.572819588242055,25544.702250282677,23904.61066998405,0.4945,True,True,True,0.8307988819063972,0.7774576357338716,0.009900876042572726,-0.0006917483239501041
2015-01-21,1000,60,61,2015-04-21,30969.81410049413,23055.306052590073,0.0,0.0,0.0073897005603861,0.21206560252224652,5452.134366100564,5286.862755013087,4025.1076161474666,4136.221777140901,21642.08325918662,25803.340567652755,0.0677,False,False,True,0.6988121784961349,0.8331771215649969,0.004381917952446024,-1.4264772216793202
2015-04-21,1061,61,62,2015-07-21,23055.306052590073,26557.12163388778,0.0,0.0,0.0073897005603861,0.2196149193340983,1997.2208866452002,2075.7359816031026,1665.355364700321,1641.7536770685201,16637.28263867311,20167.16355023989,0.7551,False,True,True,0.7216248875951942,0.8747298129219272,0.007421495577060178,0.6102149430594673
2015-07-21,1123,62,62,2015-10-21,26557.12163388778,23358.931681026294,0.0,0.0,0.0073897005603861,0.24314044913380023,2196.345107511939,2252.9587140443796,1697.9287934398799,1686.8037003389236,21405.423864373824,22152.087309228213,0.2656,True,True,True,0.8060144529013937,0.834129828323014,0.0074431121242464204,-0.558147455430977
