origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,origin_idx
2022-01-24,90000,89700,0.0,0.0,0.007037810057510572,0.18613207372732318,3697.8084790107514,3899.482874080415,556.2185144811447,473.9828707991037,55728.09127820804,55045.70987630532,0.4701,True,True,True,0.6192010142023116,0.6116189986256146,0.00902707809958092,-0.05574918451844404,260
2022-04-25,89700,73700,0.0,0.0,0.007037810057510572,0.18446088139323125,10558.301444934556,10363.065063003545,8346.24540690743,8298.964958780838,54649.39199257335,55121.23008574685,0.1187,False,True,True,0.6092462875426238,0.6145064669536996,0.007720075962261541,-1.103246273084531,320
2022-07-21,73700,47750,0.0,0.0,0.007037810057510572,0.17981932631944142,20229.124136105907,20019.11606523827,13215.86895577069,13260.132838607358,202743.86231125862,191187.1199091046,0.0106,False,False,False,0.5953191349490072,0.6154523623851303,0.00653647098427923,-2.452803885732144,380
2022-10-20,47750,62000,0.0,0.0,0.007037810057510572,0.17179616816098933,9490.62426887822,8913.314828004264,7009.950848017252,6901.710352180933,26800.49957831044,30085.018033886765,0.9376,False,False,True,0.5612670068756113,0.6300527336939636,0.0048188126484920435,1.4791803029198505,440
2023-01-13,62000,58700,0.0,0.0,0.007037810057510572,0.18746394574421396,3039.434718974424,3463.9424960526394,1868.6860646347159,1844.7643368748468,38370.04882370695,43300.49901836337,0.35175,True,True,True,0.6188717552210798,0.6983951454574737,0.007054389181764931,-0.3293031522593817,500
2023-04-12,58700,50700,0.0,0.0,0.007037810057510572,0.19016339319612216,5135.214496471879,5164.62832270001,4182.597890271292,4223.580679636572,36778.93861402912,40916.859684282645,0.18885,False,True,True,0.6265577276665948,0.6970504205158883,0.006221393194933311,-0.8074720571275288,560
2023-07-11,50700,42650,0.0,0.0,0.007037810057510572,0.18617760540378114,5211.877627973895,5137.944673793597,4161.710617998695,4227.848848257414,31041.34138346401,33262.35026227984,0.14685,False,True,True,0.6122552541117161,0.6560621353506871,0.005392923786930792,-0.9664773930608606,620
2023-10-11,42650,57200,0.0,0.0,0.007037810057510572,0.17301572299306625,10060.442261245018,9618.530716899291,7123.8727919621815,7192.555819311972,26584.079801076576,26925.6621575291,0.95125,False,False,False,0.5732997077025003,0.6313168149479274,0.00708685617996796,1.65585421622077,680
2024-01-08,57200,51000,0.0,0.0,0.007037810057510572,0.1746963730521769,4057.805253521705,4016.623523463689,3271.517529851444,3244.0712359972094,32721.380210814677,32070.63587650303,0.21905,False,True,True,0.5720521015876692,0.5606754523864166,0.005997116428372085,-0.6970154765752862,740
2024-04-03,51000,40100,0.0,0.0,0.007037810057510572,0.16826077048096072,7625.8335487129925,7526.461076644527,5657.468698211778,5620.062682514981,28359.328739343146,27742.65676213143,0.0653,False,False,True,0.5560652693988852,0.5439736620025771,0.00813602738085395,-1.4708544823721517,800
2024-07-03,40100,36000,0.0,0.0,0.007037810057510572,0.16809295189937198,2692.0820726703237,2686.2108282863464,2190.81899213171,2154.9838918778078,22262.512195705905,22451.20688350907,0.2267,False,True,True,0.5551748677233392,0.5598804709104506,0.007023391128763601,-0.6835218527348219,860
2024-10-02,36000,38200,0.0,0.0,0.007037810057510572,0.17184933193029747,1610.0676177772666,1681.4613411574123,990.0673455594588,989.9236278133321,20185.26746900184,20420.38182992432,0.6336,True,True,True,0.56070187413894,0.5672328286090089,0.006107369691141118,0.30421280380719395,920
2024-12-30,38200,40900,0.0,0.0,0.007037810057510572,0.17757835362629978,1827.829419706416,1935.9857165640242,1190.3827000817255,1181.1769659367492,22238.198696509455,22544.75412456173,0.6466,True,True,True,0.5821517983379438,0.5901768095435007,0.008356926697291822,0.34495610601068116,980
2025-04-02,40900,58700,0.0,0.0,0.007037810057510572,0.17973953466757178,13023.526770356726,12572.132561681901,8744.531943397626,8808.119380794556,98853.4808305855,69750.767390886,0.9736,False,False,False,0.5916373758651499,0.6498179232814223,0.0076023499561064245,1.9710291026568514,1040
2025-07-02,58700,63200,0.0,0.0,0.007037810057510572,0.20449184678453514,3213.630145431741,3765.6409428554034,2027.8029303457952,2074.2821206070694,39569.01145339786,46976.18871407156,0.6387,True,True,True,0.6740887811481748,0.8002757872925309,0.007570598625356251,0.32679427230007385,1100
2025-09-25,63200,59800,0.0,0.0,0.007037810057510572,0.1956529819161288,3244.2743005002567,3987.1531031781924,2010.3211122243883,1806.935551728784,41070.95524927476,51867.98659336184,0.35755,True,True,True,0.6498568868556133,0.8206959904012949,0.00982028836153126,-0.3186072077371056,1160
2025-12-24,59800,48800,0.0,0.0,0.007037810057510572,0.18480057588575283,7263.548384387815,6871.245970455326,5706.675013425083,5578.826758125251,36611.60237312784,48855.89304066058,0.11445,False,True,True,0.6122341533967867,0.8169881779374679,0.006912207806859083,-1.1380546686446187,1220
2026-03-27,48800,34250,0.0,0.0,0.007037810057510572,0.21424295677472283,10329.024369516228,9763.1887499064,7358.200220239931,7393.545530655469,45749.36942873692,43423.317791099245,0.04295,False,False,False,0.6942026272550501,0.8898220858831812,0.003409845091800534,-1.6853835647351347,1280
