origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,origin_idx
2023-02-20,516000,562000,0.0,0.0,0.007037810057510572,0.17856434907080665,27816.099703716158,29331.576436092182,20691.639587507118,21142.994024301122,306142.6046303372,311047.0854164226,0.68195,True,True,True,0.5932996213766225,0.6028044291015942,0.008947133381755457,0.43881813342005055,260
2023-05-18,562000,542000,0.0,0.0,0.007037810057510572,0.17637954475994322,24255.395355079345,25178.466959422723,12161.24519666587,11879.467240054742,326976.1247494463,325151.6219152217,0.39375,True,True,True,0.5818080511555984,0.5785616048313553,0.007691264045074364,-0.24534397438462557,320
2023-08-14,542000,437000,0.0,0.0,0.007037810057510572,0.1721206531992867,70587.40601563829,69640.81980673989,54277.48687245324,54587.44206160249,308443.1041139827,315820.0084877523,0.08845,False,False,True,0.5690832179224773,0.582693742597329,0.006558992149273912,-1.291946156770036,380
2023-11-14,437000,393500,0.0,0.0,0.007037810057510572,0.18722100692862834,29055.883413146534,31491.598240821324,22758.944370076293,23858.378907851264,267896.69457193377,312321.50581591314,0.25605,True,True,True,0.6130359143522511,0.714694521317879,0.004617594371058464,-0.5976355919199655,440
2024-02-13,393500,383500,0.0,0.0,0.007037810057510572,0.17669848418783438,15923.147374096436,19923.469659050563,6388.044222933997,6237.406318422523,229125.5938707228,272432.96481762093,0.4154,True,True,True,0.5822759691759156,0.6923328203751485,0.007054862632447145,-0.1855095546423168,500
2024-05-10,383500,337000,0.0,0.0,0.007037810057510572,0.17159934589394327,29948.031179618156,30733.481531774552,24458.69333126722,24709.913480815885,216149.57924620382,265269.678981199,0.1925,False,True,True,0.5636234139405576,0.691707115987481,0.00630348543033743,-0.7942600235591593,560
2024-08-06,337000,386000,0.0,0.0,0.007037810057510572,0.1776642629565411,27596.118529560204,27927.490020811456,23578.437414097658,23137.927242063975,196641.11619774497,241013.1116701607,0.7879,False,True,True,0.5835047958390058,0.7151724381903878,0.0054692141596577315,0.7244936427448229,620
2024-11-07,386000,346500,0.0,0.0,0.007037810057510572,0.18237010749529714,26306.072184373974,27692.978931412057,21118.01600518744,20403.964292703546,233658.2605395292,281565.69256511173,0.2441,False,True,True,0.6053322811904902,0.7294447993914812,0.007088165829986837,-0.6305439113444011,680
2025-02-10,346500,318000,0.0,0.0,0.007037810057510572,0.1864659044433785,20450.267957121578,21777.471252869444,15276.570636520657,15052.198728349817,212005.65172510425,234551.43284971264,0.28735,True,True,True,0.6118489227275736,0.6769161121203828,0.005925371639368793,-0.4980494755033994,740
2025-05-09,318000,386500,0.0,0.0,0.007037810057510572,0.18434515940824667,40233.01071357575,38510.7948436874,32940.047468916484,33212.56753238037,194205.99598003083,238888.7663640196,0.86065,False,True,True,0.6107106791824869,0.7512225357359107,0.008238695164047183,1.020057569145898,800
2025-08-05,386500,473000,0.0,0.0,0.007037810057510572,0.1939949933945989,50962.78444022026,49128.09611032225,41893.89822357157,42368.761862382264,248667.6309397543,299825.4840753885,0.8579,False,True,True,0.6433832624573204,0.7757451075689225,0.007017344250599855,1.0047976341866398,860
2025-11-04,473000,398000,0.0,0.0,0.007037810057510572,0.20636590392149254,48152.02706669789,48049.58637687929,38899.04193267587,38855.4152749725,320223.73328749,381927.7985714366,0.17375,False,True,True,0.6770057786204862,0.8074583479311557,0.005915610708988828,-0.8706922502729022,920
2026-01-30,398000,460500,0.0,0.0,0.007037810057510572,0.1997251980011148,34850.46708973527,36040.2183114813,29554.826013186947,29371.40206939759,261509.13185400417,317606.36246777745,0.77615,False,True,True,0.6570581202361914,0.7980059358486871,0.008518462245291625,0.695070235217083,980
