origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-09-06,260,62,63,2012-12-06,1219464.9044117648,1482526.731617647,0.0,0.0,0.0073897005603861,0.14454070021306065,163303.55080919777,154533.9301374437,126078.2201903254,126930.22804543888,583002.5952735834,697608.9831766895,0.914,False,False,True,0.47808066731925125,0.5720615498263939,0.008942763982610735,1.3002982740879139
2012-12-06,323,62,58,2013-03-06,1482526.731617647,1590606.3970588236,0.0,0.0,0.0073897005603861,0.14308882023678557,64044.13957768379,69107.81944239668,48131.7661972309,47723.228763288585,688621.1436867348,758386.10511899,0.68485,True,True,True,0.4644915528338241,0.5115497002145001,0.007970266434131457,0.44013041330213987
2013-03-06,381,62,64,2013-06-07,1590606.3970588236,1454997.0055147058,0.0,0.0,0.0073897005603861,0.1371824298411195,90500.95072436471,92503.92423216414,74127.39571793971,73942.80298356141,724180.424356133,787179.8959560443,0.22385,False,True,True,0.4552857486900648,0.49489295240583203,0.007950049688687288,-0.7034514801851613
2013-06-07,445,62,65,2013-09-09,1454997.0055147058,1399937.5533088236,0.0,0.0,0.0073897005603861,0.12774398689998284,50391.60717966758,57303.93937240391,32647.35699363961,32719.28633603605,610392.4997074299,690490.9857328015,0.3442,True,True,True,0.41951460889192915,0.4745652280490708,0.007034558657236678,-0.3598283831961532
2013-09-09,510,62,60,2013-12-09,1399937.5533088236,1482526.731617647,0.0,0.0,0.0073897005603861,0.12739477567427163,50917.89428863005,53296.571431393895,36193.24608218612,36314.25555094308,581896.7011621799,597771.809358269,0.67215,True,True,True,0.41565904120997216,0.42699891001952545,0.007287958038082909,0.39193563080461064
2013-12-09,570,60,61,2014-03-10,1482526.731617647,1345897.7205882354,0.0,0.0,0.0073897005603861,0.11681301867329952,91696.6789807428,90041.37436291264,74884.74139830342,74250.92619996099,573897.2737828684,599304.0970125431,0.1671,False,True,True,0.38710753846351564,0.4042450528757868,0.008863564809288293,-0.8909652730104755
2014-03-10,631,62,61,2014-06-10,1345897.7205882354,1464173.5808823528,0.0,0.0,0.0073897005603861,0.12269371464688894,64829.50284970878,65841.60740943228,53806.75251606526,55303.19765308907,543330.6137867279,525207.7785585967,0.7534,False,True,True,0.4036938360734134,0.39022859651552905,0.007922114064749852,0.6262752227244188
2014-06-10,692,62,63,2014-09-11,1464173.5808823528,1215386.4264705882,0.0,0.0,0.0073897005603861,0.12293650276108754,178679.7870968294,175634.60094513555,129880.78353115974,129811.41149091243,584253.1349569084,590114.4784040456,0.0533,False,False,True,0.39903269843512734,0.4030358736895292,0.0074952948160296184,-1.574948027597102
2014-09-11,755,61,63,2014-12-11,1215386.4264705882,1330603.4283088234,0.0,0.0,0.0073897005603861,0.11637387575205506,63160.673401981665,62198.90709145661,53088.8919013351,53144.60306383914,464210.829396861,424948.9895713605,0.7809,False,True,True,0.3819450499746837,0.3496410526859246,0.007437320212481113,0.7147718595222924
2014-12-11,818,61,61,2015-03-11,1330603.4283088234,1502919.1213235294,0.0,0.0,0.0073897005603861,0.1283308619346116,97064.95058530844,94647.79758494909,81304.71181879984,79847.49733318633,562495.1113936331,522090.0774740358,0.8322,False,True,True,0.42273685714800524,0.3923709095937054,0.007294637283058014,0.8913448464983099
