origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-17,260,62,65,2012-04-17,4.67,7.7,-0.8131240925060788,-0.006950409869541798,-0.004462827156249778,0.09191166598536667,2.7911075379239874,2.7654131790962357,1.5231594467635565,1.5090280584867024,47.40305421950376,47.012816051693676,0.99995,False,False,False,0.29875637337138605,0.2956035991952718,-0.0034944097488464054,5.489227933431298
2012-04-17,325,62,65,2012-07-17,7.7,6.47,2.1317829493157827,0.0168460040744423,0.019333586787734322,0.08497104680173129,1.0527166351403436,0.8359367037975614,0.689519797974874,0.6248671153527456,9.729487694264336,2.9376919772566765,0.01355,False,False,False,0.28000222915715955,0.3815184386047632,0.019355791681785472,-2.2758082242506066
2012-07-17,390,63,60,2012-10-17,6.47,6.57,0.8464607850225055,0.012381655537487428,0.01486923825077945,0.15728558653158647,0.2216271542073105,0.215242915105873,0.003373194268475821,0.04586122528645653,3.374029385413351,2.9950142754943716,0.50295,True,True,True,0.5214883130468858,0.46290792511504975,0.01441323206538625,0.0029785674788231835
2012-10-17,450,63,61,2013-01-19,6.57,6.9,1.4954483262432285,0.0173103301512609,0.01979791286455292,0.1244660741566465,0.19774741657441153,0.25465232611584165,0.09694027190541554,0.1519522829260267,2.6987685838732425,3.0345122831174436,0.6054,True,True,True,0.4107714739533093,0.46187401569519687,0.02071833427536829,0.23467974257290325
2013-01-19,511,61,65,2013-04-20,6.9,6.57,1.2210766932788735,0.011560055183055803,0.014047637896347824,0.10179677437068256,0.26595643379652967,0.2812361908942802,0.21316397854603597,0.1821555713269154,2.31370607123446,3.2359699911813893,0.2442,False,True,True,0.3353197204687623,0.4689811581422303,0.013960573491604622,-0.619422544504537
2013-04-20,576,62,65,2013-07-21,6.57,7.35,-0.49142932798761424,-0.004357942516179444,-0.001870359802887423,0.09535368420125527,0.5019582216643312,0.4635524870370011,0.3937630516422752,0.38516847567767876,2.0392369517666014,2.240609427255393,0.8962,False,True,True,0.3103861418214005,0.341036442504626,-0.001145525614086873,1.1961450832920413
2013-07-21,641,63,54,2013-10-21,7.35,7.17,0.21290319242626518,0.0,0.002487582713292021,0.10642906530834963,0.1901849089768451,0.16564021568525322,0.09376093518662643,0.09965993389136685,2.5613178378311305,1.955571185623607,0.3916,True,True,True,0.34847861739199054,0.2660641068875656,0.001023383724252147,-0.2563420175444117
2013-10-21,695,61,66,2014-01-21,7.17,7.8,0.4242147055168831,0.003797594832941681,0.006285177546233702,0.09625869285372646,0.3451864586101286,0.37049038262540057,0.2908344505646414,0.3115890259985665,2.263478027046789,2.004882396655111,0.8089,False,True,True,0.31568731200094685,0.2796209758235859,0.006740739033572751,0.8096193624425091
2014-01-21,761,61,64,2014-04-21,7.8,9.26,0.7004501304188258,0.006259907138197498,0.008747489851489518,0.09609653352871265,0.9926030173189534,1.079159224631622,0.698625531474999,0.7214217381659926,4.68895338094868,9.28648021278193,0.96095,False,False,False,0.3075060844408591,0.2594760651155678,0.008044735519231017,1.6944713730220007
2014-04-21,825,62,65,2014-07-21,9.26,9.44,2.1072416723000167,0.017749056917855114,0.020236639631147135,0.09056866941001096,0.18390399224330917,0.200522109305659,0.009979357249474852,0.07591903645418796,2.745875839307425,2.676443155945968,0.48965,True,True,True,0.29653086817574786,0.2890327382231067,0.021593813660793604,-0.010872503021635256
2014-07-21,890,63,55,2014-10-21,9.44,12.02,1.630416759216571,0.013903251861754494,0.016390834575046514,0.09169271046910561,1.9107544863400783,2.086941634216111,1.2117187775513596,1.2817061983035805,20.719197020351103,25.910862741702907,0.98965,False,False,False,0.301709057834885,0.2728836551607701,0.016585004756067834,2.4563033770333544
2014-10-21,945,62,66,2015-01-21,12.02,9.92,2.2284005849526713,0.029957279500779886,0.032444862214071904,0.14455268371842755,1.701533766270071,1.4206074971273464,1.2545645289630025,1.0685068684982761,5.894283230201642,5.226432365198713,0.0571,False,False,True,0.4903729808820002,0.434811344858462,0.03403735922845308,-1.5528170370159464
2015-01-21,1011,62,63,2015-04-21,9.92,11.95,0.8614791488144742,0.01263082022196703,0.015118402935259052,0.15765357918511314,1.1544410008714867,1.2007403904389422,0.9285545089757168,0.9996505554420416,5.180662745787109,5.792604664948899,0.87795,False,True,True,0.5222442284059586,0.5839319218698488,0.017428526416185974,1.085036921011635
2015-04-21,1074,62,62,2015-07-22,11.95,11.53,0.7343030193203605,0.012494748940025748,0.01498233165331777,0.18296552731651902,0.5514760968070853,0.5669445277802054,0.30593246958034115,0.2339740578660212,7.244815087123845,7.559823230496491,0.3772,True,True,True,0.6062606767467653,0.6326211908365265,0.016055643444408574,-0.27743628263949377
2015-07-22,1136,62,61,2015-10-22,11.53,8.05,0.6630121873998845,0.0078990386620858,0.010386621375377821,0.12810609096857037,2.8739895150006305,2.508109196324947,1.8003192352909183,1.7533105009697145,33.399496871636984,16.29902844205526,0.0056,False,False,False,0.4188525609211012,0.6249848832310434,0.010463006988884471,-2.885630663077275
2015-10-22,1197,63,66,2016-01-24,8.05,6.59,-0.756126426265206,-0.010759588119793695,-0.008272005406501673,0.1530094596524274,0.910510386317024,0.9145106826105858,0.695506406541619,0.7348487635662142,3.959621945723553,4.784426006085071,0.09,False,False,True,0.4918785025743544,0.5943386342962821,-0.00856983688406987,-1.2538227240678392
2016-01-24,1263,62,65,2016-04-24,6.59,6.91,-1.0270473733851715,-0.021264325183960167,-0.018776742470668146,0.22262717749660724,0.37121257242001593,0.29695928155401397,0.22398966339654347,0.1432983505501575,4.734552697807021,3.8062688646560963,0.6306,True,True,True,0.7184450224289864,0.5775825287793773,-0.019420231683321187,0.2973268245151225
2016-04-24,1328,62,60,2016-07-24,6.91,6.72,-1.8657909539257593,-0.024718190580743673,-0.02223060786745165,0.14245271954643812,0.2079512336100241,0.27197204738776415,0.023514449022084438,0.09772735745405514,3.1233754892295913,3.6615917041590276,0.4787,True,True,True,0.4520080302792462,0.5298974969839403,-0.020690463380004576,-0.0396684274969327
2016-07-24,1388,63,60,2016-10-24,6.72,6.44,-1.73911601048122,-0.021270272919755098,-0.018782690206463077,0.13151084267063456,0.19801396283547962,0.2908488433214481,0.07412373331160671,0.1531165272540922,2.8255075317438116,3.643061811265654,0.421,True,True,True,0.4204624303190196,0.5421222933431034,-0.019606031752497866,-0.1807982043874616
2016-10-24,1448,63,66,2017-01-24,6.44,7.54,-0.9909274505499723,-0.01551560855840685,-0.01302802584511483,0.16836197295315233,0.713568050428126,0.643736029824696,0.5872590356999914,0.5451395266052463,3.5401869272396462,3.3139113019969706,0.8583,False,True,True,0.5497184669626779,0.5145825003100886,-0.011571129099376298,1.0140156043207067
2017-01-24,1514,61,64,2017-04-24,7.54,7.21,0.8528759541160096,0.010068624219747578,0.012556206933039599,0.12694082420067762,0.28996107945664995,0.2628673845217902,0.21163762435821853,0.17757911098675505,3.1847902850292886,2.8925079698344343,0.3126,True,True,True,0.42238597944685524,0.3836217466623918,0.012370722641437348,-0.45146577562351003
2017-04-24,1578,62,60,2017-07-24,7.21,8.05,0.5631295993074903,0.005476617074941406,0.007964199788233426,0.10457336236090113,0.4743070621624065,0.49916750231441426,0.38843194458284813,0.4160278946634155,2.450556373120927,2.540414383770523,0.85575,False,True,True,0.3398829921110855,0.35234596168800597,0.00875674214068023,0.9776767050153402
2017-07-24,1638,63,60,2017-10-24,8.05,8.63,0.142629911693973,0.0,0.002487582713292021,0.15888434323246906,0.3782276719802753,0.34363426067209996,0.2746326399909931,0.28113395068900626,4.143663672902641,2.8916716852053685,0.68465,True,True,True,0.5147408289320051,0.3592138739385551,0.003817977641989323,0.4222243021983516
2017-10-24,1698,63,66,2018-01-24,8.63,10.1,2.0241006984628065,0.024616447527383588,0.02710403024067561,0.13077065996095685,0.758537994062909,0.9947355344471951,0.6261428123810902,0.7210957343672755,3.7608660841956993,3.366169272217851,0.86065,False,True,True,0.43578981276891066,0.3032862800717281,0.02522762169615511,0.9955359141727234
2018-01-24,1764,62,64,2018-04-24,10.1,10.46,1.6208330899832024,0.016960484468476977,0.019448067181769,0.11251670629342939,0.2580333771981732,0.2681368003713708,0.07277209820407293,0.17185606356097693,3.783636420280107,3.074247909459613,0.5537,True,True,True,0.37461746735446605,0.30438098113461515,0.02123324788038161,0.13842360055560596
2018-04-24,1828,62,60,2018-07-24,10.46,11.15,1.9299166247589945,0.019143976683856617,0.02163155939714864,0.10666223038525222,0.3265855983615953,0.40138342948920713,0.2329485357318264,0.33611178084538285,3.695753310540269,3.2652531198901507,0.67055,True,True,True,0.3533224962275591,0.31216569023806406,0.021424754162174597,0.3961053478780791
2018-07-24,1888,63,59,2018-10-24,11.15,10.25,1.912955430773074,0.016573427897546532,0.019061010610838553,0.09315894100686783,0.7053232082914723,0.5629782357402563,0.5613382677402994,0.46075720113553587,3.4437743883637335,3.184254407520216,0.12105,False,True,True,0.3088586895393483,0.2855833549345485,0.01997098972920175,-1.1080289429754184
2018-10-24,1947,63,66,2019-01-24,10.25,12.02,0.9113571307677651,0.01289426133870968,0.015381844052001702,0.15213352340500397,0.9666781154831897,1.2014871098824775,0.8051805200467967,0.870772825184785,5.109410692070282,3.8310081772121816,0.84495,False,True,True,0.49847909190929585,0.3104709518623196,0.015574532673795716,0.9459609969561055
2019-01-24,2013,62,64,2019-04-24,12.02,13.87,0.5186431560498269,0.004538378379627565,0.007025961092919586,0.09409122043478534,1.1772432402355317,1.2109843209090463,0.87676884043118,0.9128708940157404,3.676487208416697,3.7326518451415733,0.93205,False,False,True,0.30586416043400144,0.31053675916319246,0.008025151342565762,1.4467911405306002
2019-04-24,2077,62,60,2019-07-24,13.87,12.65,0.9334182508221976,0.010485678035167301,0.012973260748459323,0.120791752341761,0.854571574021826,0.7651258696166975,0.7023986069420376,0.6221519727517224,5.504115916386846,4.30128582585963,0.1725,False,True,True,0.39683604299833064,0.31011433495743546,0.01332351938601839,-0.8696312278380078
2019-07-24,2137,63,60,2019-10-24,12.65,10.85,0.4593881204296847,0.005139668160382732,0.007627250873674753,0.12030186802541083,1.256203473321691,1.2205181036220567,0.94705334947884,0.9126819278512182,4.9246193415075314,4.327181778013895,0.079,False,False,True,0.3892979716606744,0.34206970577184936,0.007439264739737439,-1.3392924707262481
2019-10-24,2197,63,66,2020-01-26,10.85,12.92,0.5128965974019897,0.0057225163137360245,0.008210099027028045,0.1199704458807428,1.3126203759774953,1.4150572867252484,0.9883009932200304,1.0214127060399143,4.276561334015687,5.478582494458017,0.9258,False,False,True,0.39415311834245964,0.33362602831112864,0.00860811184884236,1.3870192622804056
2020-01-26,2263,62,65,2020-04-26,12.92,10.17,0.3342483156246383,0.0032513634693923615,0.005738946182684382,0.10459558324179904,2.167664954273509,2.0891214706589,1.4148652178382024,1.394293177260555,20.968346701339794,19.313045621773433,0.01225,False,False,False,0.3394114996626271,0.34417368815858085,0.006171086352662947,-2.343055288578707
2020-04-26,2328,62,60,2020-07-26,10.17,9.76,-1.149321225990275,-0.015706096941059948,-0.013218514227767927,0.14694130673657743,0.34196561145230797,0.39815661323574825,0.13891076059461405,0.2136385668627705,4.805138806484476,4.952645995636782,0.4178,True,True,True,0.4724816918863792,0.4869858402789363,-0.012996900571364045,-0.19008470816019207
2020-07-26,2388,63,60,2020-10-26,9.76,10.61,-0.8917976724083163,-0.00902165328324781,-0.006534070569955789,0.10877694296855746,0.5382153568272062,0.5212532742062383,0.45443419222234205,0.41284062182038106,3.4179100773157245,4.946821332647338,0.81465,False,True,True,0.3501957046430046,0.5068464480171453,-0.0060315967668733705,0.8277362859597232
2020-10-26,2448,63,66,2021-01-26,10.61,10.91,-0.006590530910069762,0.0,0.002487582713292021,0.12217655696463814,0.29952656877911954,0.3789769703588206,0.13184773831243746,0.13561709230455676,4.23330830251234,5.1703340486942935,0.5896,True,True,True,0.3989922999540377,0.4873076388967289,0.0034217269910581383,0.20785709743928987
