origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-17,260,62,65,2012-04-17,92.0,102.25,-0.48668460703106414,-0.006105283859100945,-0.0036177011458089245,0.13488861696118867,6.1666171099903915,5.9061088053734485,5.226338584810705,5.005941401756445,40.54820869096038,39.80125617432587,0.8076,False,True,True,0.44074139881478674,0.4326223497209334,-0.0022030127132761645,0.8099268973238428
2012-04-17,325,62,65,2012-07-17,102.25,86.25,-0.18186104411913392,0.0,0.002487582713292021,0.11846837887976176,10.986374764973728,11.27619273931478,8.115708677325742,8.130522620925298,39.37100375482271,49.220499268152466,0.0643,False,False,True,0.38504649148970865,0.3288487063522816,0.0022632504122395147,-1.457421156239268
2012-07-17,390,63,60,2012-10-17,86.25,90.0,-0.7048403836850602,-0.007288447704951582,-0.004800864991659562,0.11118886948538509,2.8425219069176064,2.6491710475175108,2.098494509765821,1.8063260249607964,31.006308087665744,29.47942475467582,0.6849,True,True,True,0.35949342710337095,0.34179043193827036,-0.0051824813858740715,0.4259462267190389
2012-10-17,450,63,61,2013-01-19,90.0,93.25,0.11790980368169612,0.0,0.002487582713292021,0.10837348299424975,2.487211521982857,2.4087799643364045,1.4850729030845855,1.4673059287429595,31.586354122818918,28.316138659641652,0.637,True,True,True,0.3509594902535435,0.31462376288490723,0.0031094910425648603,0.30438078180174566
2013-01-19,511,61,65,2013-04-20,93.25,90.5,-0.11093118432726953,0.0,0.002487582713292021,0.10227251389512679,2.4665465780152394,2.3820417307108643,1.4825062069010855,1.5633573974898667,31.054914137213714,27.153764443589935,0.3598,True,True,True,0.333028569836072,0.29119318438166153,0.0023057631506935294,-0.3170137243774292
2013-04-20,576,62,65,2013-07-21,90.5,93.5,-0.23704094280241592,0.0,0.002487582713292021,0.09941476609273135,2.303777245720375,2.1437091896284777,1.3530340771647715,1.423983594323488,29.425349691229442,24.497621520333894,0.6298,True,True,True,0.32514198553844686,0.270691950500927,0.0032478656980161613,0.3030133657144044
2013-07-21,641,63,54,2013-10-21,93.5,102.5,0.5413716871126892,0.004739096096590486,0.007226678809882507,0.09412760910301642,5.032113620387688,5.522104443979811,4.221889900355741,4.3780012170643445,28.92453155308057,21.442755443311967,0.834,False,True,True,0.30935327864257295,0.22933428281617077,0.005948879136775664,0.8995732950283287
2013-10-21,695,61,66,2014-01-21,102.5,111.75,0.6245145252994454,0.005369297395158295,0.007856880108450317,0.09244681789493554,5.000017352138993,5.750254944721102,4.199266617348904,4.558956471427912,31.11611699462884,22.34953990264671,0.8197,False,True,True,0.3035718731183301,0.21804429173313863,0.008306992832216586,0.8496188034944571
2014-01-21,761,61,63,2014-04-21,111.75,115.25,1.2741792030148575,0.010417873255141555,0.012905455968433576,0.08791553202512724,2.312089020970502,2.335443420867837,1.062278582808247,1.625384138023584,31.55405142118221,25.923105177381174,0.5938,True,True,True,0.2823628762521898,0.2319740955470351,0.012308213283073854,0.2039911719981448
2014-04-21,824,62,65,2014-07-21,115.25,115.5,1.5476681872084737,0.011443511171250404,0.013931093884542426,0.07950574175701618,2.0782529957504448,1.877802132428867,0.6293008440301264,0.07426697627304435,30.17969065043812,26.480063398493655,0.4368,True,True,True,0.26186282560033075,0.22976193838172368,0.013089819419177973,-0.14796724789268403
2014-07-21,889,62,55,2014-10-21,115.5,114.75,1.4064192458312275,0.010380953531288095,0.012868536244580116,0.07936691465313223,2.217047497023569,1.952848549384794,1.0670724552813766,0.521572784431747,29.99599778049462,26.955056456772425,0.3973,True,True,True,0.2597056084891309,0.23337711217984783,0.011983938619591017,-0.24422288998491132
2014-10-21,944,61,66,2015-01-21,114.75,78.0,1.6149206975259276,0.016613282134422855,0.019100864847714876,0.11061685108085877,32.51210332313525,31.191392344259725,19.483857223830057,18.56181870183653,438.2275085218373,433.44933004847906,0.00125,False,False,False,0.3650909966324911,0.3278062446666579,0.01932648756130817,-3.6626235798614664
2015-01-21,1010,61,63,2015-04-21,78.0,95.5,-0.8991339538364927,-0.011447999401950534,-0.008960416688658513,0.13690592735116983,12.532184420740556,10.97489645598663,9.133598773586158,8.565384303950324,34.524753182308345,38.55220260325569,0.9451,False,False,True,0.4426250407988249,0.49425900773404724,-0.009835865989388681,1.5439641042243395
2015-04-21,1073,62,62,2015-07-22,95.5,100.0,-0.8457439125059862,-0.013463073827468563,-0.010975491114176542,0.17116792987018797,4.297280337476371,4.355739423601934,2.7679619081841906,2.080415056655376,52.380336545567275,56.524371971528154,0.64275,True,True,True,0.5484851994300238,0.5918782405395618,-0.010847369804904528,0.3331198178235041
2015-07-22,1135,62,61,2015-10-22,100.0,84.75,-0.38773345471378173,-0.005301311410122821,-0.0028137286968308,0.14701684315072377,9.435720561124343,9.440989792776865,7.4095589068364305,7.751943398538366,47.77956700406949,63.55282888761458,0.11625,False,True,True,0.4777956700406949,0.6355282888761458,-0.004308821863271417,-1.1063406582873572
2015-10-22,1196,63,66,2016-01-24,84.75,63.75,-0.9827779980520874,-0.014487266960594693,-0.011999684247302671,0.1585068697113423,14.095711062309832,13.900752610559477,10.010124335403844,10.5863135492679,66.06858098921292,59.10604985805133,0.04025,False,False,False,0.5118289822112783,0.6974165174991307,-0.011560487660086216,-1.7206628234561951
2016-01-24,1262,62,65,2016-04-24,63.75,82.0,0.1365344473226211,0.0,0.002487582713292021,0.24115615838534415,11.007415642987981,11.462821447721954,9.056347048778683,9.070378004816988,50.64027897922835,40.536642358177616,0.8672,False,True,True,0.794357317321229,0.6358688997361195,0.0021538180775315663,1.0336144106016498
2016-04-24,1327,62,60,2016-07-24,82.0,83.25,-0.6784037923693215,-0.009447420483467375,-0.006959837770175354,0.1497414484286871,2.736929996330886,3.4583602763976806,0.8008547255051255,0.4456818089491037,40.0311922287439,48.800634833489724,0.55865,True,True,True,0.48818527108224263,0.5951296930913381,-0.004289139646466489,0.14751239284956488
2016-07-24,1387,63,60,2016-10-24,83.25,84.0,-0.6264017259416672,-0.007123483542813317,-0.0046359008295212955,0.12228031000298481,2.198901161222463,3.329832004339627,0.5086933710450978,0.3298014523861852,32.47866212215128,47.5879265168661,0.54385,True,True,True,0.39013407954536067,0.5716267449473406,-0.0032118527578401945,0.11125724830064243
2016-10-24,1447,63,66,2017-01-24,84.0,94.5,-0.17896484421003328,0.0,0.002487582713292021,0.14459831080950097,6.062605272070182,5.959456047624286,5.1172633481909315,5.094044920166837,39.52481273309441,38.89998103825813,0.80725,False,True,True,0.47053348491779057,0.4630950123602159,0.0031603964716444555,0.7973499295920947
2017-01-24,1513,61,64,2017-04-24,94.5,98.0,1.857850679815641,0.018522731008653866,0.021010313721945888,0.10720406800962647,2.3214270378436437,2.9112399049979727,0.7317423174508519,1.6435321493403805,33.641127335416556,35.844977631307785,0.56415,True,True,True,0.35599076545414343,0.3793119326064316,0.02155042714389732,0.1432532434081688
2017-04-24,1577,62,60,2017-07-24,98.0,100.2,1.1952157735707214,0.010960939188716108,0.01344852190200813,0.09860944255854619,2.1482715447989476,2.2988510734536085,0.45506051770559,0.9376920862313014,31.691467812287158,30.550829070761978,0.53915,True,True,True,0.3233823246151751,0.3117431537832855,0.013162030250906342,0.08875608512833942
2017-07-24,1637,63,60,2017-10-24,100.2,97.6,1.2018275661188391,0.011969098887765251,0.014456681601057272,0.10708689970900573,2.986281651422555,2.3999894424484207,1.95892713006414,1.4638849139976031,35.85842504278662,28.629645369461713,0.3413,True,True,True,0.35786851340106407,0.28572500368724263,0.013152238125032634,-0.38050757789702155
2017-10-24,1697,63,66,2018-01-24,97.6,106.6,1.234187823221277,0.012494583594694375,0.014982166307986397,0.10885730575643933,4.507510221457851,5.438737688162784,3.7575030370011575,4.445680529737928,34.97049012335016,24.3977338935061,0.77515,False,True,True,0.3583042020835058,0.24997678169575924,0.015215101700795985,0.6726590511852666
2018-01-24,1763,62,64,2018-04-24,106.6,122.4,0.6580133740513734,0.005448248148543414,0.007935830861835434,0.08903058164988634,10.041252521318963,11.460929189091452,7.450920176243471,7.7108130315258165,31.093253651131675,96.5878102948671,0.9349,False,False,True,0.2916815539505786,0.21063219247020795,0.008425512640835464,1.4632615565396856
2018-04-24,1827,62,60,2018-07-24,122.4,129.4,1.1914951549066788,0.01114553587511482,0.013633118588406842,0.10058326404593289,3.7031819652224014,3.9640286349918705,2.689145078677754,3.364212586987712,41.11765622380463,28.395470990659092,0.68125,True,True,True,0.33592856391997244,0.23198914208054813,0.013249263420298085,0.41737453838241356
2018-07-24,1887,63,59,2018-10-24,129.4,122.0,1.788863446895858,0.015932415396396414,0.018419998109688435,0.095768234787393,5.909050043059435,4.6869085302176385,4.879234013255484,3.9023641137285523,41.280805833209,31.356867844564405,0.1928,False,True,True,0.31901704662448993,0.24232509926247608,0.018226182585092454,-0.8072335844432716
2018-10-24,1946,63,66,2019-01-24,122.0,120.4,1.413172474453992,0.022068295563198562,0.024555878276490584,0.16791545615919076,5.026647979513255,2.7469491963626096,2.388192238169907,0.9550743249384652,68.9670513860515,36.66577850801882,0.39845,True,True,True,0.565303699885668,0.3005391680985149,0.026035938330654318,-0.22485952751860355
2019-01-24,2012,62,64,2019-04-24,120.4,123.2,0.4183082818624963,0.003929604091608058,0.006417186804900079,0.1010111663305179,2.7697954823165007,3.0078258933183513,1.0605265708354281,1.185260793389098,39.3371626459172,40.18003720760218,0.5778,True,True,True,0.326720619982701,0.33372123926579883,0.0056390935077170745,0.1640643507230923
2019-04-24,2076,62,60,2019-07-24,123.2,110.0,0.026449883327768042,0.0,0.002487582713292021,0.09253507059057123,8.760504946227176,8.483707052193221,6.782007858855067,6.769801362803442,36.567480241412454,38.68991633296082,0.0901,False,False,True,0.29681396299847773,0.31404152867663004,0.002954673033361388,-1.2515932314217768
2019-07-24,2136,63,60,2019-10-24,110.0,90.0,-0.6912978187850201,-0.006288438104312211,-0.0038008553910201903,0.09781256672225988,14.446016953980884,14.674941494043008,9.812642983442778,10.126660276358507,107.65169167365889,102.54394449518084,0.0252,False,False,False,0.3163899501131358,0.3370501527261892,-0.0034064912101312572,-2.012725426479662
2019-10-24,2196,63,66,2020-01-26,90.0,89.8,-1.714586167975864,-0.016755379563914954,-0.014267796850622932,0.10507805033076392,2.0773405406955483,2.053449977661911,0.5895841958864096,0.22626437067383876,30.077616608499824,29.0106306367514,0.55675,True,True,True,0.3341957400944425,0.3223403404083489,-0.0153240932419203,0.11461101334296346
