origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-17,260,60,60,2012-04-10,92.0,102.5,-0.48668460703106414,0.0,0.0023691263936114486,0.1335018663519206,5.985657370499753,6.0588257097570715,5.07639741853032,5.136477136901732,40.365622428236506,39.14057519977334,0.8017,False,True,True,0.43875676552430987,0.425441034780145,0.003773969162384372,0.7917873961189784
2012-04-10,320,60,60,2012-07-03,102.5,91.25,-0.10244587242775431,0.0,0.0023691263936114486,0.10552794243712292,7.2758931333309915,7.268667075061539,5.7657451065433705,5.736027868514789,35.20087496586943,32.29248796737279,0.11465,False,True,True,0.34342317039872616,0.31504866309631996,0.0027462459813341056,-1.124147119424379
2012-07-03,380,60,60,2012-10-03,91.25,91.5,-0.7230772424486921,0.0,0.0023691263936114486,0.10866286344593833,2.1734254382304954,2.150865925056097,0.031221058860253947,6.128545514627604e-05,32.34206326454962,30.37380556782327,0.5023,True,True,True,0.3544335700224616,0.33286362266107694,0.002055428846898577,0.0033760699251765332
2012-10-03,440,60,60,2013-01-02,91.5,91.5,-0.05957937629366251,0.0,0.0023691263936114486,0.10288270947222818,2.0132573457203176,2.02086549454369,0.04729862599501189,0.16121942934213962,30.381094828738185,28.685963656704544,0.49465,True,True,True,0.3320338232648982,0.3135077995268256,0.0010338497485249398,-0.023027449469057413
2013-01-02,500,60,60,2013-03-27,91.5,97.5,-0.44535583880859253,0.0,0.0023691263936114486,0.10120456249447146,3.4943263107907736,3.4594399201146206,2.8916866534271293,2.906353147554647,30.0731878616822,26.18119504536901,0.7465,True,True,True,0.32866871979980544,0.28613327918436077,0.0023675048431228696,0.6041652453371816
2013-03-27,560,60,60,2013-06-19,97.5,93.0,-0.9474651473893693,0.0,0.0023691263936114486,0.09570654645549916,3.0387981798569355,2.9715164214613967,2.3450837122151214,2.376485538367085,30.21007440961729,26.86691436361245,0.2845,True,True,True,0.3098469170217158,0.2755580960370508,0.0019504351223613714,-0.5184808467331937
2013-06-19,620,60,60,2013-09-19,93.0,97.75,0.28236065076301736,0.0,0.0023691263936114486,0.09387233911396235,2.885378535617078,2.7259526281639084,2.3036862233184223,2.2482684223728313,28.271692548741484,22.644972522289564,0.71655,True,True,True,0.3039966940724891,0.24349432819666197,0.00153362960605552,0.5054159698844761
2013-09-19,680,60,60,2013-12-23,97.75,111.25,0.38063089500850583,0.0,0.0023691263936114486,0.08879305057609858,8.934274475072286,9.827300385605195,6.6334669362542655,6.685614982789517,28.283774488293773,75.00667119672381,0.93085,False,False,True,0.2893480766065859,0.20524415564934603,0.002384308209631314,1.430265037221824
2013-12-23,740,60,60,2014-03-17,111.25,116.0,1.2811319093124736,0.0,0.0023691263936114486,0.07765882157160607,2.8547317641826,2.800691801289717,2.2692934840082586,2.2870704551082355,27.80887596002995,24.13597136554725,0.7158,True,True,True,0.24996742435981978,0.2169525516004247,0.0019003418605256783,0.5078771846935191
2014-03-17,800,60,60,2014-06-10,116.0,117.5,1.3942773962477402,0.0,0.0023691263936114486,0.07568401749909207,1.9666064915825636,2.00093471098051,0.5845631282540751,0.6223563623478725,28.599868103557256,27.18896750011359,0.55915,True,True,True,0.2465505870996315,0.2343876508630482,0.0028523598576883913,0.1384574502055645
2014-06-10,860,60,60,2014-09-09,117.5,135.0,1.6297287829811038,0.0,0.0023691263936114486,0.0753157164024594,12.402487040362516,12.512673877877662,8.611677020340274,8.655364272325315,67.21755891122852,85.00175591317935,0.96485,False,False,False,0.24510948241658664,0.23081153798281068,0.0023544336963357004,1.8119368038853065
