origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-17,260,60,60,2012-04-10,13.64,16.0,-1.5026902648032183,0.0,0.0023691263936114486,0.07926761641211445,1.7134156081943805,1.674059568436175,1.158147590001641,1.1633982993415826,12.42284215333108,10.411456449076354,0.9742,False,False,False,0.25917062511209055,0.2753170349430997,0.003204165688909022,1.9833186684143413
2012-04-10,320,60,60,2012-07-03,16.0,15.8,0.27905922788251064,0.0,0.0023691263936114486,0.07621797719967464,0.2851675873441012,0.281482701701377,0.12113814855854521,0.11776848762092129,3.9591346298205448,3.6937833890215668,0.41415,True,True,True,0.24744591436378405,0.23086146181384792,0.002642268569818196,-0.1961205105366576
2012-07-03,380,60,60,2012-10-03,15.8,16.12,0.6246798118487098,0.0,0.0023691263936114486,0.07526679668518743,0.2906882945212744,0.28911386066979927,0.14299373240465485,0.1392102544834426,3.866236609583588,3.6905471711993183,0.6028,True,True,True,0.24469851959389796,0.2335789348860328,0.002152692100676701,0.2349199305758357
2012-10-03,440,60,60,2013-01-02,16.12,17.48,0.9835461211467508,0.0,0.0023691263936114486,0.08326549687890049,0.8088492181921312,0.7809375851514704,0.6696118534410349,0.6526947590813261,4.325684576781686,4.452739047885968,0.8477,False,True,True,0.268342715681246,0.2762245066926779,0.0012888519303926316,0.944298775633919
2013-01-02,500,60,60,2013-03-27,17.48,15.84,1.1238469243421052,0.0,0.0023691263936114486,0.07968067424843209,1.0996523156069904,1.037202031259485,0.8407002270557893,0.8378237282525411,4.514535861558308,5.119448811730324,0.08755,False,False,True,0.25826864196557825,0.29287464597999563,0.00236844703155481,-1.2661553279552766
2013-03-27,560,60,60,2013-06-19,15.84,16.04,-0.06403406011159943,0.0,0.0023691263936114486,0.08519317573869882,0.29887013554310493,0.37566457786095175,0.08418591231950501,0.07911134171453682,4.364621227562253,5.211306325656327,0.55485,True,True,True,0.27554426941680893,0.32899661146820247,0.001996728242486645,0.11947071546780867
2013-06-19,620,60,60,2013-09-19,16.04,16.92,0.20246367765575424,0.0,0.0023691263936114486,0.08756225570194634,0.5165422465166959,0.5320078432010334,0.4272485338760692,0.41731109698850943,4.546222760190938,5.058304487817015,0.7441,True,True,True,0.28343034664532035,0.3153556413851007,0.0015899583695675457,0.5829181185080287
2013-09-19,680,60,60,2013-12-23,16.92,22.2,0.33520320380806096,0.0,0.0023691263936114486,0.08650006400504612,4.3763642714743645,4.317018719254656,2.619831455748015,2.6330078546521793,57.69439279837273,55.198992579562876,0.99565,False,False,False,0.2818077687195556,0.30141511025751416,0.002383988682267635,3.1124463479106685
2013-12-23,740,60,60,2014-03-17,22.2,25.8,1.224338911718137,0.0,0.0023691263936114486,0.10041350243865556,2.401125258281919,2.324152167671143,1.7804395446377281,1.7875117132234752,7.191192215370215,7.609176375630465,0.93575,False,False,True,0.3239275772689286,0.3427556925959669,0.0017622031857902343,1.4730397114281462
2014-03-17,800,60,60,2014-06-09,25.8,26.8,2.0091177478462035,0.0,0.0023691263936114486,0.10013744733916612,0.7027277736246762,0.7635508952213514,0.46120152315999796,0.47266588083859595,8.431724346157619,8.961788324045457,0.65455,True,True,True,0.32681102116889993,0.3473561365909092,0.0030076338635660615,0.3560932512574752
