origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2012-01-13,260,63,62,2012-04-13,0.34,0.35,-0.9509304628001019,0.0,0.0003247889329050125,0.3139923675804292,0.023715619923123432,0.022460116436286093,0.00438481053571993,0.004909884700559891,0.36282049812998807,0.3172209384238792,0.53435,True,True,True,1.0671191121470236,0.933002760070233,0.003618761554588401,0.09128485561995454
2012-04-13,322,63,63,2012-07-13,0.35,0.31,-0.4131376460760796,0.0,0.0003247889329050125,0.30173052044077375,0.0298765790902457,0.02847104337017179,0.01983540835233058,0.020237223519987774,0.35501404545950976,0.3008531639344066,0.3295,True,True,True,1.014325844170028,0.8595804683840189,-0.0009405237009680878,-0.40329246693178944
2012-07-13,385,64,65,2012-10-15,0.31,0.32,-0.3156723921543765,0.0,0.0003247889329050125,0.3033436792825606,0.02075423332196786,0.01900978202701222,0.00456861611711698,0.00489222205974818,0.31539111246725227,0.2716381464693255,0.5405,True,True,True,1.017390685378233,0.8762520853849209,0.002783121825051804,0.10359177239491549
2012-10-15,450,63,61,2013-01-15,0.32,0.3,-0.27429236836085935,0.0,0.0003247889329050125,0.2984762809969342,0.022526163641959043,0.018259979237311305,0.010324220426997238,0.010405826681682578,0.3189879911911399,0.22303831214767006,0.40165,True,True,True,0.9968374724723122,0.6969947254614689,0.002026377668732593,-0.21731478914782656
2013-01-15,511,61,61,2013-04-15,0.3,0.32,-0.3325192267813534,0.0,0.0003247889329050125,0.29170342212157613,0.020928754046811222,0.01576319497467743,0.010030202500812574,0.009453578270624874,0.2935618229856819,0.18938431227103447,0.59735,True,True,True,0.9785394099522731,0.6312810409034483,-0.00020135000541710024,0.22013362660484373
2013-04-15,572,62,63,2013-07-15,0.32,0.37,-0.32560141255856956,0.0,0.0003247889329050125,0.28909636331194927,0.030770355501701374,0.02894509163697289,0.024632126003795662,0.024968590584184852,0.30920132361523744,0.20024627964771963,0.7088,True,True,True,0.966254136297617,0.6257696238991238,0.0022992124762770683,0.5010689835461014
2013-07-15,635,63,65,2013-10-15,0.37,0.39,0.37091900694859287,0.0,0.0003247889329050125,0.28172860417513074,0.024169041427744502,0.016716867770475957,0.010081683335850633,0.009614317668065947,0.34544659734325694,0.2059730939967911,0.58135,True,True,True,0.9336394522790729,0.5566840378291651,-0.0004415315451384849,0.1857068958464512
2013-10-15,700,63,63,2014-01-15,0.39,0.4,0.7480079967340711,0.0,0.0003247889329050125,0.2720418478808488,0.023738717794037578,0.014971288758147246,0.005330335389880536,0.004969546337539488,0.35276006753058586,0.20440959528217073,0.54205,True,True,True,0.9045129936681688,0.5241271673901814,-0.0016940276404129317,0.09187196472188223
2014-01-15,763,62,62,2014-04-15,0.4,0.46,0.8502237532921119,0.0,0.0003247889329050125,0.27641035814480935,0.03751681040145888,0.03559563417299204,0.030190296616815354,0.029813846921163817,0.36475461168555284,0.19328323202777475,0.71355,True,True,True,0.911886529213882,0.4832080800694369,-0.0009514830840767763,0.5044570484916615
2014-04-15,825,63,62,2014-07-15,0.46,0.48,1.224949454594423,0.0,0.0003247889329050125,0.2507573945465469,0.02628856996241799,0.017875061220947737,0.009206046344213958,0.009714287161115387,0.37946817983305964,0.22280503051517592,0.5709,True,True,True,0.8249308257240426,0.48435876198951283,0.003451972416461002,0.16842903301920792
2014-07-15,887,64,65,2014-10-15,0.48,0.44,1.0799614534105815,0.0,0.0003247889329050125,0.22474030063809897,0.029934083580240363,0.024727256861347177,0.019651243604482033,0.019655515608194646,0.3563599880299229,0.21792061489531528,0.33735,True,True,True,0.7424166417290061,0.45400128103190684,-0.0014531516479915352,-0.3886092777955868
2014-10-15,952,64,63,2015-01-15,0.44,0.49,0.7543603023219153,0.0,0.0003247889329050125,0.2266454904630357,0.03192716941359881,0.02935821574502997,0.02499244271919107,0.025046510424748425,0.32092259624680636,0.2098921643385665,0.7024,True,True,True,0.7293695369245599,0.4770276462240148,3.4351276404276376e-05,0.4734525052328857
2015-01-15,1015,62,61,2015-04-15,0.49,0.57,0.771592339555013,0.0,0.0003247889329050125,0.2042743030524341,0.04742094733895503,0.04898424933254262,0.04017754317386801,0.04043199050598251,0.32341851027090374,0.22054755668546033,0.79755,False,True,True,0.6600377760630689,0.45009705446012316,-0.0007246660157879115,0.7387428498643961
2015-04-15,1076,63,63,2015-07-15,0.57,0.49,0.7799657468117724,0.0,0.0003247889329050125,0.2014236104144361,0.04961100689487434,0.04867340031599895,0.04036836215697709,0.03937573547090989,0.38001566091784866,0.27364649398685864,0.20635,False,True,True,0.6666941419611381,0.48008156839799765,0.0012924987964109125,-0.7524230071390205
2015-07-15,1139,64,65,2015-10-15,0.49,0.69,0.335471647126722,0.0,0.0003247889329050125,0.21298746227918225,0.13930424843861144,0.15129324123012639,0.10032960222213733,0.09988288754414962,0.34879780427548873,1.407159601388008,0.9454,False,False,True,0.7118322536234464,0.5145502310285702,-0.0013453151923973339,1.6055471711545513
2015-10-15,1204,64,63,2016-01-15,0.69,0.68,0.8426789365735391,0.0,0.0003247889329050125,0.21743308452217064,0.03235796414564335,0.0286001435912987,0.004217730350346394,0.004696811892159369,0.4911893330625721,0.3980382196412916,0.47505,True,True,True,0.711868598641409,0.5768669849873792,-0.0022674482598653567,-0.06863531548960686
2016-01-15,1267,63,62,2016-04-15,0.68,0.93,1.4468712679434295,0.0,0.0009481995596740592,0.21845270889300414,0.1656081991610765,0.17255175669694212,0.12435828337797278,0.1248551765225438,0.4984316490538469,0.5131524464168767,0.92675,False,False,True,0.7329877191968336,0.6242187108173443,0.0018874018294918748,1.4288840362714836
2016-04-15,1329,63,63,2016-07-15,0.93,1.32,1.082680133401331,0.0,0.0009481995596740592,0.1922417478782419,0.2836209946059811,0.277761028230136,0.19541014802358148,0.19319931745955166,1.6452910213691165,1.5841706214267548,0.96525,False,False,False,0.6291320879524029,0.6320918720817265,-0.0008820387603902802,1.8167449772389936
2016-07-15,1392,64,65,2016-10-17,1.32,1.64,2.2952248263970167,0.0,0.0009481995596740592,0.1914174028622326,0.19956166293056907,0.1914748547272047,0.16059367130730295,0.15900610300648255,0.8304091128808244,0.8635574119570368,0.88705,False,True,True,0.6290978127885033,0.6542101605735128,-0.0008995019807621629,1.129031647314205
2016-10-17,1457,63,62,2017-01-17,1.64,2.53,2.363458808342147,0.0,0.0009481995596740592,0.172374281259869,0.7120360583905422,0.7004924143712108,0.4441228479109878,0.4452166035144399,8.275601150780002,7.597141861525836,0.9907,False,False,False,0.5619796686166184,0.5950563363374736,0.0010696976695270255,2.5095092967581634
2017-01-17,1519,62,62,2017-04-17,2.53,2.48,2.954905155988104,0.0,0.0015700594892876208,0.22159105589129138,0.12529011237700893,0.1333315397757855,0.029938426053019773,0.025395795448449165,1.8593328945853251,1.8897158599152117,0.45055,True,True,True,0.7349141875831325,0.7469232647886213,0.0039038941130591365,-0.09716458078699797
2017-04-17,1581,62,63,2017-07-17,2.48,4.11,2.3747615190562423,0.0,0.0021903764171431876,0.1797986693006627,1.3412910512061276,1.2444951269792397,0.8098496429357138,0.8109803654539034,17.315333291224373,12.196618163846736,0.99395,False,False,False,0.5885863312457378,0.753259719411438,0.004153513761521177,2.797429446338263
2017-07-17,1644,63,65,2017-10-17,4.11,4.94,2.2756243497250055,0.0,0.0028091579814969203,0.22975392758055002,0.48481199741550596,0.4724247880969158,0.41311752100453614,0.40701344689832597,3.09147722036545,3.3656576991318587,0.8071,False,True,True,0.7521842385317397,0.8188948173070215,0.0009160481729750813,0.7883788826490773
2017-10-17,1709,64,62,2018-01-17,4.94,5.62,2.209103547302623,0.0,0.0028091579814969203,0.207858829913347,0.398807715848846,0.4251441883424625,0.3363104130555903,0.33070123521040085,3.352293679724515,4.215917610848463,0.7497,True,True,True,0.6786019594584037,0.8534246175806603,0.0014937598965221177,0.6069368079136427
2018-01-17,1771,62,62,2018-04-17,5.62,5.94,1.601620370533748,0.0,0.003426411764027983,0.207334721610229,0.28684738171432655,0.2943892836960803,0.1525729363921866,0.1557872299479599,3.871301850472584,3.7041905828314317,0.61285,True,True,True,0.6888437456356911,0.6591086446319273,0.0026430831344532724,0.2505661246773192
2018-04-17,1833,63,63,2018-07-17,5.94,6.34,2.2921334690278985,0.0,0.0040421452903959265,0.23205463251137404,0.34589466806598723,0.33917060202659755,0.19907009994706915,0.1800491813485432,4.501526635260791,4.203848690329632,0.62155,True,True,True,0.757832766878921,0.7077186347356283,0.0003130976609193592,0.263418528312245
2018-07-17,1896,64,65,2018-10-17,6.34,6.08,1.3694800467412074,0.0,0.004656366030791222,0.1964488238921507,0.29881740017459035,0.30202414801991273,0.14138176030918848,0.1438246539764716,4.100844588708384,3.892188721557302,0.39605,True,True,True,0.6468209130454864,0.6139098929901107,0.003590460665359174,-0.23685781151530363
2018-10-17,1961,64,62,2019-01-17,6.08,3.79,0.8976276571439441,0.0,0.005269081400479054,0.22120764763347864,1.7251596131879223,1.7689262989880703,1.1606443984337411,1.1519720100641186,13.882874552127582,17.945598466567183,0.01865,False,False,False,0.7358076328306628,0.6268008572842249,0.005146183695309503,-2.1604486255198116
2019-01-17,2023,62,62,2019-04-17,3.79,4.68,-0.9180400486348974,0.0,0.005880298760336456,0.24665170726770658,0.4994412384812008,0.5037367925448605,0.4284812731207115,0.4358138817699251,3.159792101383322,3.2870618689399183,0.80965,False,True,True,0.8337182325549662,0.8672986461582898,0.008717006268753824,0.8313414666630636
2019-04-17,2085,63,62,2019-07-17,4.68,4.24,-0.6142132235967623,0.0,0.005880298760336456,0.21461632337809433,0.3117106304229701,0.35818146227115266,0.2301834867193282,0.23284263437229358,3.2731283058011096,4.156454325769085,0.29525,True,True,True,0.6993863901284423,0.8881312661899754,0.004351917401422378,-0.48745192257218245
2019-07-17,2147,63,65,2019-10-17,4.24,4.86,-1.0662781394613035,0.0,0.005880298760336456,0.22531979896940857,0.35940795473385845,0.3797816235429179,0.30042678899076547,0.29342502703961637,3.1836626553675584,3.800293594822995,0.739,True,True,True,0.7508638338131034,0.8962956591563667,0.004515665570393734,0.579597844954274
