"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2026","5,895.93","5,911.36","5,926.18","5,880.74","111.28M","-0.26%"
"07/15/2026","5,911.36","5,890.32","5,962.58","5,889.61","176.48M","0.35%"
"07/14/2026","5,890.99","5,965.41","5,965.41","5,868.99","126.45M","-1.28%"
"07/13/2026","5,967.43","6,041.20","6,041.20","5,950.53","143.19M","-0.39%"
"07/09/2026","5,990.88","6,001.26","6,018.06","5,945.95","148.55M","-0.18%"
"07/08/2026","6,001.93","6,091.96","6,091.96","5,938.79","240.26M","-1.51%"
"07/07/2026","6,093.98","6,089.31","6,102.38","6,060.73","157.17M","0.05%"
"07/06/2026","6,090.65","6,059.14","6,090.65","6,051.58","172.27M","1.67%"
"07/02/2026","5,990.59","6,006.04","6,023.13","5,990.41","120.70M","-0.32%"
"07/01/2026","6,010.07","5,956.92","6,028.46","5,952.36","198.44M","0.91%"
"06/30/2026","5,955.58","5,993.35","6,026.93","5,935.70","161.57M","-0.63%"
"06/29/2026","5,993.35","6,021.71","6,022.01","5,987.02","93.83M","-0.52%"
"06/25/2026","6,024.59","6,112.71","6,154.17","6,009.52","176.08M","-1.43%"
"06/24/2026","6,112.04","6,104.98","6,139.48","6,092.40","221.50M","0.12%"
"06/23/2026","6,104.98","6,183.47","6,186.32","6,084.28","169.32M","-1.27%"
"06/22/2026","6,183.47","6,163.50","6,206.65","6,154.23","170.00M","-1.37%"
"06/18/2026","6,269.51","6,115.97","6,269.52","6,112.07","384.78M","2.51%"
"06/17/2026","6,115.97","6,054.98","6,116.20","6,050.49","293.38M","1.01%"
"06/16/2026","6,054.98","5,958.32","6,133.66","5,958.30","366.69M","5.60%"
"06/11/2026","5,733.88","5,756.50","5,756.50","5,701.92","205.82M","-0.42%"
"06/10/2026","5,757.93","5,785.24","5,790.74","5,747.76","256.69M","-0.47%"
"06/09/2026","5,785.24","5,738.38","5,807.01","5,738.38","223.38M","0.88%"
"06/08/2026","5,734.81","5,764.92","5,764.92","5,673.92","173.30M","0.29%"
"06/04/2026","5,718.46","5,689.98","5,737.24","5,678.13","260.68M","0.56%"
"06/03/2026","5,686.41","5,733.01","5,746.63","5,654.79","206.16M","-0.80%"
"06/02/2026","5,732.30","5,775.62","5,792.85","5,718.96","258.89M","-0.74%"
"06/01/2026","5,774.90","5,751.78","5,833.92","5,750.90","418.07M","0.30%"
"05/25/2026","5,757.48","5,699.95","5,844.37","5,699.59","545.51M","1.71%"
"05/21/2026","5,660.69","5,631.19","5,686.00","5,631.19","207.58M","0.60%"
"05/20/2026","5,626.91","5,664.04","5,702.79","5,624.02","287.88M","-0.62%"
"05/19/2026","5,661.90","5,612.43","5,696.30","5,612.18","234.99M","0.93%"
"05/18/2026","5,609.58","5,705.21","5,705.21","5,582.10","172.61M","-2.19%"
"05/14/2026","5,735.38","5,759.17","5,777.70","5,725.91","173.50M","-0.41%"
