"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2026","10,021.04","9,975.72","10,030.25","9,966.82","320.01M","0.45%"
"09/07/2026","9,975.72","9,977.36","9,993.45","9,941.56","350.13M","-0.02%"
"09/04/2026","9,977.36","9,927.39","9,980.96","9,927.39","264.70M","0.50%"
"09/03/2026","9,927.39","9,906.40","9,954.53","9,906.40","386.08M","0.21%"
"09/02/2026","9,906.40","9,974.41","9,974.41","9,866.98","305.88M","-0.68%"
"09/01/2026","9,974.41","10,007.44","10,007.44","9,948.18","406.32M","-0.33%"
"08/31/2026","10,007.44","10,044.52","10,058.56","9,973.98","348.25M","-0.37%"
"08/27/2026","10,044.52","10,035.86","10,082.91","10,024.33","459.65M","0.09%"
"08/26/2026","10,035.86","10,070.02","10,075.76","10,010.39","306.57M","-0.34%"
"08/25/2026","10,070.02","10,048.29","10,080.57","10,019.71","246.77M","0.22%"
"08/24/2026","10,048.29","10,004.43","10,049.82","10,004.43","225.04M","0.44%"
"08/21/2026","10,004.43","10,075.66","10,075.66","9,989.00","183.16M","-0.71%"
"08/20/2026","10,075.66","10,006.17","10,075.66","9,986.43","237.04M","0.69%"
"08/19/2026","10,006.17","10,098.28","10,098.28","9,993.86","219.14M","-0.91%"
"08/18/2026","10,098.28","10,076.60","10,098.28","10,021.42","259.62M","0.22%"
"08/17/2026","10,076.60","10,047.21","10,109.07","10,047.21","262.55M","0.29%"
"08/14/2026","10,047.21","10,044.83","10,062.70","10,009.70","171.93M","0.02%"
"08/13/2026","10,044.83","10,012.93","10,057.42","9,992.51","258.95M","0.32%"
"08/12/2026","10,012.93","10,007.53","10,067.51","10,007.53","279.71M","0.05%"
"08/11/2026","10,007.53","10,084.52","10,084.52","9,984.82","298.69M","-0.76%"
"08/10/2026","10,084.52","10,094.67","10,102.29","10,046.98","286.69M","-0.10%"
"08/07/2026","10,094.67","10,120.61","10,134.91","10,062.49","156.73M","-0.26%"
"08/06/2026","10,120.61","10,111.34","10,135.16","10,070.54","257.57M","0.09%"
"08/05/2026","10,111.34","10,101.64","10,112.11","10,064.10","286.16M","0.10%"
"08/04/2026","10,101.64","9,940.83","10,101.64","9,934.51","256.95M","1.62%"
"08/03/2026","9,940.83","9,914.62","9,946.66","9,894.27","193.57M","0.26%"
"07/31/2026","9,914.62","9,878.82","9,914.62","9,854.35","230.56M","0.36%"
"07/30/2026","9,878.82","9,839.56","9,878.82","9,810.19","167.10M","0.40%"
"07/29/2026","9,839.56","9,834.88","9,853.14","9,816.31","153.06M","0.05%"
"07/28/2026","9,834.88","9,845.11","9,853.22","9,822.54","137.45M","-0.10%"
"07/27/2026","9,845.11","9,828.14","9,915.18","9,828.14","210.20M","0.17%"
"07/24/2026","9,828.14","9,840.64","9,859.25","9,826.85","152.31M","-0.13%"
"07/23/2026","9,840.64","9,771.47","9,857.48","9,771.47","154.75M","0.71%"
