"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2026","53,931.92","53,989.55","54,152.72","53,829.96","479.15M","-0.11%"
"07/21/2026","53,989.55","53,126.01","54,064.76","53,186.02","360.46M","1.63%"
"07/20/2026","53,126.01","52,560.10","53,290.46","52,589.61","391.15M","1.08%"
"07/19/2026","52,560.10","52,928.06","52,993.63","52,472.31","408.56M","-0.70%"
"07/16/2026","52,928.06","52,558.39","52,997.74","52,650.63","363.06M","0.70%"
"07/15/2026","52,558.39","52,299.31","52,695.74","52,296.81","288.71M","0.50%"
"07/14/2026","52,299.31","52,608.28","52,626.07","52,138.38","367.60M","-0.59%"
"07/13/2026","52,608.28","52,256.18","52,661.80","52,264.25","361.27M","0.67%"
"07/12/2026","52,256.18","52,311.51","52,519.29","52,253.71","364.83M","-0.11%"
"07/09/2026","52,311.51","52,028.37","52,359.99","51,917.12","328.10M","0.54%"
"07/08/2026","52,028.37","53,006.11","53,001.37","51,820.41","497.44M","-1.84%"
"07/07/2026","53,006.11","52,502.74","53,214.45","52,393.71","697.77M","0.96%"
"07/06/2026","52,502.74","51,130.89","52,502.74","51,132.38","429.34M","2.68%"
"07/05/2026","51,130.89","50,532.70","51,171.73","50,721.83","333.43M","1.18%"
"07/01/2026","50,532.70","50,487.96","50,677.68","50,389.69","344.75M","0.09%"
"06/30/2026","50,487.96","49,825.58","50,703.24","49,829.32","259.72M","1.33%"
"06/29/2026","49,825.58","50,344.37","50,407.72","49,670.74","186.11M","-1.03%"
"06/28/2026","50,344.37","51,443.07","51,493.13","50,149.59","222.53M","-2.14%"
"06/25/2026","51,443.07","51,710.90","51,912.16","51,211.31","404.83M","-0.52%"
"06/24/2026","51,710.90","51,769.74","51,895.76","51,497.91","256.18M","-0.11%"
"06/23/2026","51,769.74","52,585.72","52,674.70","51,769.74","433.38M","-1.55%"
"06/22/2026","52,585.72","52,679.45","52,789.86","52,469.70","349.27M","-0.18%"
"06/21/2026","52,679.45","52,621.84","52,859.35","52,619.29","328.63M","0.11%"
"06/17/2026","52,621.84","52,047.15","52,621.84","52,094.25","360.94M","1.10%"
"06/16/2026","52,047.15","52,306.66","52,283.54","51,931.05","359.49M","-0.50%"
"06/15/2026","52,306.66","51,994.63","52,419.22","52,024.70","546.61M","0.60%"
"06/14/2026","51,994.63","50,818.84","52,201.58","51,765.01","395.86M","2.31%"
"06/11/2026","50,818.84","51,256.65","51,215.58","50,686.22","308.96M","-0.85%"
"06/10/2026","51,256.65","52,374.80","52,437.19","51,229.60","452.60M","-2.13%"
"06/09/2026","52,374.80","51,882.81","52,533.78","51,963.83","336.70M","0.95%"
"06/08/2026","51,882.81","52,164.60","52,403.03","51,674.25","708.24M","-0.54%"
"06/07/2026","52,164.60","52,652.53","52,584.69","52,057.03","521.92M","-0.93%"
"06/04/2026","52,652.53","52,564.42","52,699.90","52,422.01","508.81M","0.17%"
"06/03/2026","52,564.42","52,927.02","53,085.78","52,363.48","437.44M","-0.69%"
"06/02/2026","52,927.02","52,853.94","53,188.43","52,830.68","499.35M","0.14%"
"06/01/2026","52,853.94","52,658.75","53,201.62","52,587.57","463.75M","0.37%"
"05/25/2026","52,658.75","52,861.47","53,144.48","52,584.26","386.02M","-0.38%"
"05/24/2026","52,861.47","52,090.96","53,022.77","52,278.18","365.87M","1.48%"
"05/21/2026","52,090.96","51,936.75","52,211.81","51,801.44","368.54M","0.30%"
"05/20/2026","51,936.75","52,774.98","53,029.31","51,936.75","435.38M","-1.59%"
"05/19/2026","52,774.98","52,007.00","52,888.51","52,035.25","478.59M","1.48%"
"05/18/2026","52,007.00","52,364.34","52,585.58","51,885.56","564.22M","-0.68%"
"05/17/2026","52,364.34","53,154.84","53,158.90","52,341.76","681.94M","-1.49%"
"05/14/2026","53,154.84","53,416.17","53,542.98","52,949.72","746.78M","-0.49%"
"05/13/2026","53,416.17","54,058.75","54,259.19","53,192.62","432.25M","-1.19%"
"05/12/2026","54,058.75","54,475.49","54,723.06","53,821.92","471.52M","-0.77%"
"05/11/2026","54,475.49","54,628.68","54,977.01","54,449.23","647.56M","-0.28%"
"05/10/2026","54,628.68","53,605.08","54,628.68","53,870.61","675.82M","1.91%"
"05/06/2026","53,605.08","52,557.63","54,044.67","52,767.97","738.67M","1.99%"
"05/05/2026","52,557.63","51,973.50","52,595.35","51,367.47","496.94M","1.12%"
"05/04/2026","51,973.50","52,312.70","52,704.76","51,818.87","692.00M","-0.65%"
"05/03/2026","52,312.70","51,760.97","52,393.85","51,818.92","700.54M","1.07%"
"04/30/2026","51,760.97","52,383.13","52,538.84","51,748.64","637.54M","-1.19%"
"04/29/2026","52,383.13","52,230.61","52,431.85","52,096.15","420.47M","0.29%"
"04/28/2026","52,230.61","52,719.12","52,896.87","52,213.64","402.73M","-0.93%"
"04/27/2026","52,719.12","52,421.14","52,865.76","52,353.93","341.83M","0.57%"
"04/26/2026","52,421.14","52,375.39","52,632.40","52,327.40","699.41M","0.09%"
"04/23/2026","52,375.39","51,962.39","52,556.52","52,010.73","888.72M","0.79%"
"04/22/2026","51,962.39","51,977.34","52,373.77","51,962.39","816.09M","-0.03%"
"04/21/2026","51,977.34","51,813.43","52,139.50","51,764.87","649.29M","0.32%"
"04/20/2026","51,813.43","52,372.64","52,180.01","51,305.11","415.88M","-1.07%"
"04/19/2026","52,372.64","51,437.78","52,718.45","52,024.36","564.77M","1.82%"
"04/16/2026","51,437.78","50,733.14","51,437.78","50,826.35","767.94M","1.39%"
