"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2026","7,389.89","7,878.94","7,903.21","7,357.31","114.56M","-11.63%"
"07/27/2026","8,362.38","8,416.34","8,416.34","8,079.12","86.55M","1.32%"
"07/24/2026","8,253.63","8,689.32","8,689.32","8,202.22","103.22M","-6.36%"
"07/23/2026","8,814.24","8,683.00","8,840.01","8,558.60","91.06M","4.27%"
"07/22/2026","8,453.22","8,814.05","8,961.31","8,444.83","84.56M","0.62%"
"07/21/2026","8,400.75","8,131.53","8,523.76","7,970.88","79.06M","3.94%"
"07/20/2026","8,082.54","8,211.99","8,479.31","8,024.02","92.81M","-4.43%"
"07/16/2026","8,456.83","8,658.31","8,691.19","8,352.32","95.33M","-7.29%"
"07/15/2026","9,121.82","8,825.79","9,327.50","8,825.79","95.04M","6.72%"
"07/14/2026","8,547.44","8,387.77","8,697.80","7,969.40","130.70M","1.31%"
"07/13/2026","8,437.24","9,282.17","9,430.08","8,410.62","112.28M","-10.10%"
"07/10/2026","9,385.25","9,536.54","9,699.33","9,324.82","90.76M","2.24%"
"07/09/2026","9,179.90","9,431.04","9,519.13","8,873.79","124.07M","1.10%"
"07/08/2026","9,079.92","9,328.59","9,827.42","9,019.71","126.27M","-5.47%"
"07/07/2026","9,605.61","9,973.20","10,029.86","9,249.04","112.05M","-5.28%"
"07/06/2026","10,141.57","10,335.04","10,530.76","9,843.75","88.59M","-0.64%"
"07/03/2026","10,206.48","9,684.81","10,275.82","9,212.41","109.76M","6.72%"
"07/02/2026","9,563.63","9,974.14","10,243.28","9,527.47","128.56M","-8.88%"
"07/01/2026","10,495.59","10,915.66","10,967.35","10,289.41","94.59M","-2.58%"
"06/30/2026","10,773.31","10,667.12","11,038.35","10,407.89","97.35M","1.30%"
"06/29/2026","10,635.29","10,629.89","10,824.24","10,307.79","110.94M","-1.01%"
"06/26/2026","10,744.26","11,278.75","11,348.39","10,375.84","129.56M","-6.15%"
"06/25/2026","11,447.90","11,047.34","11,609.05","11,037.30","106.78M","6.43%"
"06/24/2026","10,755.88","10,619.30","10,929.66","10,226.08","127.83M","3.38%"
"06/23/2026","10,403.74","11,588.43","11,714.90","10,398.69","135.14M","-10.58%"
"06/22/2026","11,634.41","11,343.32","11,809.63","11,283.10","91.03M","1.41%"
"06/19/2026","11,472.60","11,772.49","11,932.83","11,189.42","159.16M","0.26%"
"06/18/2026","11,443.12","11,131.68","11,503.68","11,131.68","107.95M","3.15%"
"06/17/2026","11,094.11","10,728.74","11,103.43","10,722.76","93.28M","1.97%"
"06/16/2026","10,879.82","10,840.64","10,924.33","10,614.23","115.95M","2.34%"
"06/15/2026","10,630.61","10,622.06","10,707.15","10,519.04","121.71M","5.50%"
"06/12/2026","10,076.49","10,299.11","10,510.45","10,035.68","147.86M","4.74%"
"06/11/2026","9,620.93","9,303.28","9,725.34","9,154.62","138.89M","0.31%"
"06/10/2026","9,591.06","9,848.24","9,966.57","9,356.96","117.91M","-5.31%"
"06/09/2026","10,129.12","9,553.63","10,165.07","9,439.82","137.84M","9.20%"
"06/08/2026","9,275.98","10,042.45","10,042.45","9,216.81","148.71M","-8.56%"
"06/05/2026","10,144.64","10,349.07","10,476.10","10,010.70","134.67M","-6.10%"
"06/04/2026","10,804.19","10,770.31","10,982.77","10,713.64","141.06M","-2.07%"
"06/02/2026","11,032.77","11,118.25","11,211.16","10,611.20","242.08M","0.66%"
"06/01/2026","10,960.52","10,513.39","11,057.97","10,513.39","247.26M","4.38%"
"05/29/2026","10,500.69","10,369.68","10,501.48","10,251.51","267.49M","4.03%"
"05/28/2026","10,093.77","10,041.48","10,191.87","9,646.82","148.49M","-0.41%"
"05/27/2026","10,135.70","10,106.80","10,475.05","10,076.21","131.71M","3.26%"
"05/26/2026","9,815.47","9,819.44","9,921.95","9,744.70","116.90M","2.91%"
"05/22/2026","9,537.87","9,592.73","9,608.52","9,449.74","99.51M","-0.01%"
"05/21/2026","9,538.42","9,109.68","9,548.87","9,105.15","135.33M","9.01%"
"05/20/2026","8,750.02","8,867.25","8,871.26","8,543.59","126.10M","-0.50%"
"05/19/2026","8,793.73","8,956.89","9,002.31","8,627.73","127.22M","-3.34%"
"05/18/2026","9,097.86","8,959.50","9,276.56","8,616.70","131.36M","0.88%"
"05/15/2026","9,018.37","9,599.57","9,740.32","8,871.03","199.95M","-6.59%"
"05/14/2026","9,654.17","9,505.39","9,688.22","9,478.01","176.80M","1.82%"
"05/13/2026","9,482.07","8,981.79","9,500.22","8,862.27","165.30M","3.27%"
"05/12/2026","9,181.39","9,575.76","9,636.35","8,913.60","195.20M","-2.28%"
"05/11/2026","9,395.53","9,305.34","9,513.60","9,240.82","146.92M","5.54%"
"05/08/2026","8,902.70","8,694.43","8,923.07","8,662.39","125.98M","0.08%"
"05/07/2026","8,895.86","8,895.62","8,946.01","8,582.52","174.38M","1.91%"
"05/06/2026","8,728.76","8,297.66","8,787.98","8,297.66","190.23M","8.04%"
"05/04/2026","8,079.17","7,857.99","8,080.56","7,799.71","131.08M","6.05%"
"04/30/2026","7,618.60","7,800.54","7,824.08","7,617.73","118.06M","-1.45%"
"04/29/2026","7,730.80","7,633.86","7,757.24","7,616.13","102.72M","0.76%"
"04/28/2026","7,672.69","7,686.66","7,767.04","7,644.45","119.54M","0.37%"
"04/27/2026","7,644.23","7,522.32","7,704.18","7,522.32","114.53M","2.49%"
"04/24/2026","7,458.74","7,517.52","7,541.93","7,369.59","108.02M","-0.54%"
"04/23/2026","7,499.21","7,492.69","7,612.18","7,285.89","161.83M","1.21%"
"04/22/2026","7,409.52","7,397.35","7,421.68","7,300.09","110.04M","0.16%"
"04/21/2026","7,397.81","7,297.37","7,398.92","7,297.37","97.78M","2.88%"
"04/20/2026","7,190.75","7,182.97","7,271.98","7,137.13","79.02M","0.49%"
"04/17/2026","7,156.03","7,209.93","7,218.72","7,121.33","84.94M","-0.73%"
"04/16/2026","7,208.82","7,108.79","7,218.79","7,078.64","95.15M","2.35%"
"04/15/2026","7,043.30","7,128.81","7,178.73","7,012.41","103.52M","2.10%"
