"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2026","6,045.02","6,078.11","6,090.38","6,045.02","","-0.54%"
"07/27/2026","6,078.11","5,993.37","6,078.11","5,993.37","","1.41%"
"07/23/2026","5,993.37","6,012.21","6,023.48","5,974.73","","-0.33%"
"07/22/2026","6,013.04","6,048.22","6,053.16","6,013.04","","-0.58%"
"07/21/2026","6,048.22","6,040.55","6,058.83","6,017.25","","0.13%"
"07/20/2026","6,040.55","6,085.65","6,085.65","5,972.95","","-0.65%"
"07/13/2026","6,079.81","6,079.81","6,079.81","6,079.81","","-0.01%"
"07/09/2026","6,080.31","6,130.94","6,130.94","6,045.22","","-0.83%"
"07/08/2026","6,130.94","6,184.15","6,184.15","6,097.93","","-0.86%"
"07/07/2026","6,184.15","6,176.66","6,184.15","6,152.49","","0.12%"
"07/06/2026","6,176.66","6,154.08","6,184.21","6,148.86","","0.36%"
"07/02/2026","6,154.75","6,218.56","6,218.56","6,154.75","","-1.03%"
"07/01/2026","6,218.56","6,140.01","6,218.56","6,140.01","","1.28%"
"06/30/2026","6,140.01","6,197.34","6,217.93","6,140.01","","-0.93%"
"06/29/2026","6,197.34","6,196.19","6,241.66","6,181.56","","-0.08%"
"06/25/2026","6,202.31","6,235.02","6,248.46","6,202.31","","-0.43%"
"06/24/2026","6,228.86","6,298.58","6,310.63","6,228.86","","-1.11%"
"06/23/2026","6,298.58","6,305.08","6,337.32","6,284.43","","-0.12%"
"06/22/2026","6,306.46","6,356.53","6,363.93","6,306.46","","-0.76%"
"06/18/2026","6,354.79","6,396.39","6,415.62","6,354.79","","-0.64%"
"06/17/2026","6,395.69","6,384.22","6,409.84","6,378.21","","0.08%"
"06/16/2026","6,390.54","6,384.88","6,408.21","6,376.30","","0.19%"
"06/15/2026","6,378.57","6,139.02","6,388.18","6,139.02","","3.90%"
"06/11/2026","6,139.02","6,170.32","6,170.32","6,133.27","","-0.51%"
"06/10/2026","6,170.32","6,147.72","6,170.32","6,123.67","","0.37%"
"06/09/2026","6,147.72","6,043.25","6,198.36","6,043.25","","1.73%"
"06/08/2026","6,043.25","6,203.78","6,203.78","6,038.07","","-2.62%"
"06/04/2026","6,206.16","6,260.69","6,277.29","6,206.16","","-0.77%"
"06/03/2026","6,254.51","6,263.04","6,263.04","6,227.26","","-0.14%"
"06/02/2026","6,263.04","6,280.84","6,328.16","6,263.04","","-0.28%"
"06/01/2026","6,280.84","6,393.55","6,393.55","6,277.06","","-1.76%"
"05/25/2026","6,393.55","6,219.08","6,440.17","6,219.08","","2.81%"
"05/21/2026","6,219.08","6,205.91","6,250.44","6,205.91","","0.21%"
"05/20/2026","6,205.91","6,248.99","6,255.03","6,205.91","","-0.69%"
"05/19/2026","6,248.99","6,228.11","6,258.16","6,226.67","","0.25%"
"05/18/2026","6,233.24","6,289.18","6,289.18","6,215.31","","-0.81%"
"05/14/2026","6,284.00","6,269.69","6,310.78","6,269.54","","0.23%"
"05/13/2026","6,269.69","6,307.23","6,319.06","6,267.48","","-0.60%"
"05/12/2026","6,307.23","6,384.94","6,399.50","6,307.23","","-1.14%"
"05/11/2026","6,379.68","6,470.35","6,470.35","6,379.68","","-1.48%"
"05/07/2026","6,475.68","6,435.65","6,475.68","6,414.39","","0.62%"
"05/06/2026","6,435.65","6,342.07","6,435.65","6,337.59","","1.48%"
"05/05/2026","6,342.07","6,363.53","6,363.53","6,329.39","","-0.34%"
"05/04/2026","6,363.53","6,363.53","6,363.53","6,363.53","","1.05%"
"04/30/2026","6,297.10","6,370.93","6,373.66","6,291.26","","-1.16%"
"04/29/2026","6,370.93","6,375.67","6,386.29","6,362.25","","-0.07%"
"04/28/2026","6,375.67","6,395.14","6,417.32","6,364.64","","-0.30%"
"04/27/2026","6,395.14","6,431.03","6,449.01","6,395.14","","-0.56%"
"04/23/2026","6,431.03","6,458.42","6,477.34","6,431.03","","-0.51%"
"04/22/2026","6,463.74","6,480.50","6,488.07","6,458.42","","-0.26%"
"04/21/2026","6,480.50","6,490.31","6,527.51","6,463.17","","-0.23%"
"04/20/2026","6,495.66","6,506.97","6,514.37","6,477.52","","-0.17%"
"04/16/2026","6,506.97","6,525.27","6,544.62","6,492.30","","-0.29%"
"04/15/2026","6,525.80","6,490.76","6,561.70","6,490.76","","0.54%"
"04/14/2026","6,490.76","6,447.37","6,502.74","6,447.37","","0.67%"
"04/13/2026","6,447.37","6,447.82","6,495.32","6,428.12","","-0.01%"
"04/09/2026","6,448.17","6,456.05","6,456.05","6,398.66","","-0.12%"
"04/08/2026","6,456.05","6,218.27","6,500.48","6,218.27","","3.82%"
"04/07/2026","6,218.27","6,270.98","6,299.65","6,218.27","","-0.81%"
"04/06/2026","6,269.26","6,187.58","6,281.87","6,168.65","","1.31%"
"04/02/2026","6,188.43","6,185.43","6,188.43","6,116.93","","0.05%"
"04/01/2026","6,185.43","6,143.78","6,270.06","6,143.78","","0.58%"
