"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","21.760","21.500","21.880","21.500","3.93M","1.40%"
"07/02/2026","21.460","21.060","21.640","21.000","6.61M","1.71%"
"07/01/2026","21.100","20.680","21.180","20.680","5.52M","2.03%"
"06/30/2026","20.680","20.980","21.020","20.420","3.90M","-0.29%"
"06/29/2026","20.740","20.800","21.000","20.720","2.16M","-1.14%"
"06/26/2026","20.980","20.580","21.000","20.120","5.25M","1.94%"
"06/25/2026","20.580","21.420","21.600","20.580","5.55M","-3.83%"
"06/24/2026","21.400","21.480","21.840","21.400","3.29M","-0.56%"
"06/23/2026","21.520","21.800","21.840","21.460","4.93M","-1.47%"
"06/22/2026","21.840","21.500","21.860","21.500","2.05M","2.06%"
"06/19/2026","21.400","21.960","22.100","21.400","4.54M","-2.46%"
"06/18/2026","21.940","21.740","22.300","21.740","6.88M","1.20%"
"06/17/2026","21.680","21.240","21.680","21.100","4.34M","2.26%"
"06/16/2026","21.200","21.200","21.920","21.120","10.70M","1.34%"
"06/12/2026","20.920","19.320","20.920","19.280","11.61M","10.69%"
"06/11/2026","18.900","19.000","19.160","18.700","4.27M","-1.46%"
"06/10/2026","19.180","18.820","19.220","18.680","4.32M","2.02%"
"06/09/2026","18.800","18.980","19.280","18.800","5.53M","0.00%"
"06/08/2026","18.800","19.000","19.180","18.760","3.18M","-2.59%"
"06/05/2026","19.300","19.220","19.540","19.220","2.50M","0.52%"
"06/04/2026","19.200","19.440","19.720","19.200","2.42M","-1.54%"
"06/03/2026","19.500","19.500","19.540","19.040","2.40M","0.00%"
"06/02/2026","19.500","19.600","20.020","19.500","2.71M","-1.12%"
"06/01/2026","19.720","19.600","20.400","19.600","12.64M","-3.62%"
"05/25/2026","20.460","20.200","20.460","20.200","7.18M","4.82%"
"05/22/2026","19.520","19.700","19.980","18.900","3.36M","-1.81%"
"05/21/2026","19.880","19.980","20.320","19.820","4.91M","1.22%"
"05/20/2026","19.640","19.780","19.860","19.500","2.96M","-0.81%"
"05/19/2026","19.800","19.160","20.080","19.160","3.98M","4.32%"
"05/18/2026","18.980","19.200","19.580","18.700","3.34M","-3.16%"
"05/15/2026","19.600","19.740","19.940","19.560","1.51M","-0.71%"
"05/14/2026","19.740","19.920","20.260","19.740","2.22M","-0.70%"
"05/13/2026","19.880","19.980","20.200","19.780","2.55M","-0.40%"
"05/12/2026","19.960","20.460","20.480","19.960","3.99M","-2.44%"
"05/11/2026","20.460","20.600","20.640","20.220","3.77M","-0.78%"
"05/08/2026","20.620","20.580","20.760","20.400","4.64M","0.10%"
"05/07/2026","20.600","20.660","21.000","20.440","14.22M","0.39%"
"05/06/2026","20.520","20.200","20.820","20.100","15.28M","2.50%"
"05/05/2026","20.020","20.020","20.880","19.820","6.95M","-3.56%"
"05/04/2026","20.760","20.920","21.200","20.600","6.89M","-0.38%"
"05/01/2026","20.840","21.500","21.600","20.840","6.28M","-4.93%"
"04/30/2026","21.920","22.960","22.960","21.920","5.03M","-4.94%"
"04/29/2026","23.060","22.800","23.200","22.700","2.03M","1.14%"
"04/28/2026","22.800","22.720","22.980","22.700","2.82M","0.35%"
"04/27/2026","22.720","22.540","23.000","22.320","3.11M","0.80%"
"04/24/2026","22.540","22.280","22.540","21.700","2.87M","1.99%"
"04/23/2026","22.100","22.500","22.600","21.900","2.33M","-1.78%"
"04/22/2026","22.500","23.220","23.360","22.460","2.33M","-2.60%"
"04/21/2026","23.100","23.520","23.720","22.960","2.47M","-1.70%"
"04/20/2026","23.500","23.660","23.680","23.460","3.45M","-0.84%"
"04/17/2026","23.700","23.600","23.860","23.300","4.13M","0.68%"
"04/16/2026","23.540","23.200","23.720","23.180","5.44M","1.99%"
"04/15/2026","23.080","23.020","23.160","22.860","7.09M","1.23%"
"04/14/2026","22.800","22.700","23.100","22.700","5.10M","0.88%"
"04/13/2026","22.600","22.640","22.680","22.020","4.50M","-0.53%"
"04/10/2026","22.720","23.040","23.200","22.700","2.89M","-1.22%"
"04/09/2026","23.000","22.800","23.300","22.300","5.21M","0.09%"
"04/08/2026","22.980","22.020","23.300","22.000","9.64M","10.48%"
"04/07/2026","20.800","21.140","21.360","20.800","1.99M","-1.79%"
"04/06/2026","21.180","20.480","21.500","20.480","2.44M","2.32%"
"04/03/2026","20.700","20.520","20.800","20.460","1.41M","0.98%"
"04/02/2026","20.500","20.680","20.680","20.200","3.06M","-1.44%"
"04/01/2026","20.800","20.880","21.700","20.420","6.44M","0.97%"
"03/31/2026","20.600","20.200","20.600","20.020","3.27M","1.98%"
"03/30/2026","20.200","20.600","20.960","20.020","2.71M","-1.46%"
"03/27/2026","20.500","21.100","21.200","20.400","3.11M","-2.57%"
"03/26/2026","21.040","21.900","21.900","20.860","5.62M","-3.93%"
"03/25/2026","21.900","20.400","21.900","20.300","5.09M","8.52%"
"03/24/2026","20.180","20.000","20.700","19.000","6.42M","2.44%"
"03/23/2026","19.700","20.320","20.500","19.700","9.10M","-4.92%"
"03/18/2026","20.720","19.900","21.700","19.880","9.33M","4.65%"
"03/17/2026","19.800","18.300","19.900","18.280","11.28M","3.02%"
"03/16/2026","19.220","19.600","19.960","19.220","9.07M","-4.95%"
"03/13/2026","20.220","20.220","20.220","20.220","1.18M","-4.98%"
"03/12/2026","21.280","21.280","21.980","21.280","10.28M","-5.00%"
"03/11/2026","22.400","23.000","23.800","22.020","7.29M","-3.28%"
"03/10/2026","23.160","20.820","24.000","20.820","21.62M","5.75%"
"03/09/2026","21.900","21.900","21.900","21.900","517.37K","-4.95%"
"03/06/2026","23.040","23.040","23.040","23.040","2.21M","-4.95%"
"03/05/2026","24.240","24.240","24.240","24.240","938.99K","-4.94%"
"03/04/2026","25.500","25.500","25.500","25.500","","0.00%"
"02/27/2026","25.500","26.500","26.500","25.500","4.89M","-3.77%"
"02/26/2026","26.500","26.480","26.500","26.160","1.84M","0.00%"
"02/25/2026","26.500","26.320","26.500","26.300","1.78M","1.15%"
"02/24/2026","26.200","26.580","26.680","26.000","4.37M","-1.43%"
"02/23/2026","26.580","26.400","26.860","26.380","2.75M","0.76%"
"02/20/2026","26.380","26.600","26.680","26.340","4.43M","-0.83%"
"02/19/2026","26.600","27.380","27.400","26.040","10.18M","-2.92%"
"02/18/2026","27.400","26.300","27.440","26.260","3.59M","4.18%"
"02/17/2026","26.300","26.120","26.300","25.740","2.37M","0.77%"
"02/16/2026","26.100","26.100","26.220","25.820","2.38M","0.23%"
"02/13/2026","26.040","26.520","27.960","26.040","14.12M","-2.40%"
"02/12/2026","26.680","26.060","26.680","25.840","3.56M","2.46%"
"02/11/2026","26.040","26.180","26.540","26.040","3.54M","-0.69%"
"02/10/2026","26.220","26.060","26.220","25.860","3.46M","0.46%"
"02/09/2026","26.100","26.080","26.180","25.380","3.99M","0.15%"
"02/06/2026","26.060","26.000","26.140","25.820","3.08M","-0.31%"
"02/05/2026","26.140","26.160","26.240","25.660","8.77M","-0.15%"
"02/04/2026","26.180","25.220","26.480","25.220","9.09M","3.48%"
"02/03/2026","25.300","24.800","25.380","24.700","6.80M","2.02%"
"02/02/2026","24.800","24.340","24.800","24.160","2.57M","1.89%"
"01/30/2026","24.340","24.500","24.520","24.220","6.10M","-0.98%"
"01/29/2026","24.580","24.240","24.580","23.980","5.40M","1.49%"
"01/28/2026","24.220","23.920","24.380","23.820","5.40M","0.92%"
"01/27/2026","24.000","23.100","24.000","22.960","7.20M","3.90%"
"01/26/2026","23.100","22.800","23.100","22.380","10.88M","1.32%"
"01/23/2026","22.800","23.200","23.200","22.700","8.77M","-1.72%"
