"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2026","3.20","3.17","3.21","3.17","91.44K","0.63%"
"07/23/2026","3.18","3.21","3.23","3.18","195.43K","-0.93%"
"07/22/2026","3.21","3.26","3.29","3.19","402.42K","-1.53%"
"07/21/2026","3.26","3.25","3.29","3.25","93.73K","0.31%"
"07/20/2026","3.25","3.29","3.29","3.24","211.73K","-1.22%"
"07/17/2026","3.29","3.36","3.36","3.29","667.50K","-2.08%"
"07/16/2026","3.36","3.39","3.41","3.36","45.19K","-0.88%"
"07/15/2026","3.39","3.40","3.42","3.39","128.27K","-0.59%"
"07/14/2026","3.41","3.40","3.42","3.39","53.57K","0.00%"
"07/13/2026","3.41","3.46","3.46","3.39","390.72K","-1.45%"
"07/10/2026","3.46","3.46","3.50","3.44","106.00K","0.58%"
"07/09/2026","3.44","3.45","3.47","3.43","106.14K","-0.29%"
"07/08/2026","3.45","3.46","3.50","3.43","1.34M","-0.29%"
"07/07/2026","3.46","3.50","3.55","3.44","259.69K","-1.42%"
"07/06/2026","3.51","3.48","3.51","3.48","83.63K","0.57%"
"07/03/2026","3.49","3.51","3.51","3.48","493.82K","-0.29%"
"07/02/2026","3.50","3.49","3.50","3.47","121.73K","0.57%"
"07/01/2026","3.48","3.52","3.53","3.48","209.17K","-1.14%"
"06/30/2026","3.52","3.56","3.56","3.50","341.96K","-1.12%"
"06/29/2026","3.56","3.56","3.57","3.55","70.57K","0.00%"
"06/26/2026","3.56","3.59","3.60","3.56","76.23K","-0.84%"
"06/25/2026","3.59","3.60","3.63","3.58","348.63K","0.00%"
"06/24/2026","3.59","3.62","3.62","3.59","172.34K","-0.83%"
"06/23/2026","3.62","3.63","3.65","3.58","322.18K","0.00%"
"06/22/2026","3.62","3.65","3.70","3.62","1.21M","-0.55%"
"06/19/2026","3.64","3.71","3.71","3.61","467.61K","-1.89%"
"06/18/2026","3.71","3.65","3.74","3.64","717.37K","2.20%"
"06/17/2026","3.63","3.58","3.66","3.58","309.94K","0.55%"
"06/16/2026","3.61","3.59","3.69","3.59","2.31M","1.40%"
"06/12/2026","3.56","3.60","3.60","3.53","782.35K","-0.56%"
"06/11/2026","3.58","3.57","3.62","3.55","417.71K","0.28%"
"06/10/2026","3.57","3.55","3.58","3.54","569.55K","-0.28%"
"06/09/2026","3.58","3.53","3.64","3.53","275.75K","1.42%"
"06/08/2026","3.53","3.54","3.58","3.52","355.05K","-1.67%"
"06/05/2026","3.59","3.59","3.61","3.56","123.86K","-0.28%"
"06/04/2026","3.60","3.61","3.62","3.55","808.55K","-0.28%"
"06/03/2026","3.61","3.65","3.67","3.57","121.17K","-0.82%"
"06/02/2026","3.64","3.60","3.67","3.54","664.20K","1.11%"
"06/01/2026","3.60","3.41","3.69","3.41","736.56K","5.88%"
"05/25/2026","3.40","3.50","3.56","3.40","626.18K","-2.58%"
"05/22/2026","3.49","3.49","3.50","3.48","43.16K","0.00%"
"05/21/2026","3.49","3.49","3.53","3.48","60.61K","0.00%"
"05/20/2026","3.49","3.47","3.50","3.45","156.59K","0.29%"
"05/19/2026","3.48","3.48","3.51","3.48","126.83K","0.29%"
"05/18/2026","3.47","3.53","3.53","3.46","111.93K","-2.25%"
"05/15/2026","3.55","3.57","3.59","3.46","430.53K","-0.56%"
