"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","8.22","7.89","8.23","7.88","13.29M","4.31%"
"07/02/2026","7.88","7.88","7.92","7.81","11.10M","0.00%"
"07/01/2026","7.88","7.93","8.01","7.87","10.46M","-0.38%"
"06/30/2026","7.91","7.92","8.00","7.90","11.24M","0.00%"
"06/29/2026","7.91","7.98","8.02","7.88","11.31M","-0.88%"
"06/26/2026","7.98","7.98","8.13","7.88","11.16M","-0.99%"
"06/25/2026","8.06","8.22","8.32","8.06","11.84M","-1.23%"
"06/24/2026","8.16","8.03","8.23","8.00","12.79M","1.75%"
"06/23/2026","8.02","8.04","8.10","7.80","11.68M","-0.37%"
"06/22/2026","8.05","8.13","8.20","8.01","12.80M","-1.23%"
"06/19/2026","8.15","8.24","8.33","8.12","12.23M","-1.09%"
"06/18/2026","8.24","8.13","8.51","8.13","14.34M","1.35%"
"06/17/2026","8.13","8.20","8.28","8.08","11.29M","-0.25%"
"06/16/2026","8.15","7.63","8.30","7.63","21.20M","8.52%"
"06/12/2026","7.51","7.31","7.58","7.31","16.33M","3.59%"
"06/11/2026","7.25","7.26","7.30","7.16","12.01M","-0.82%"
"06/10/2026","7.31","7.32","7.32","7.23","11.10M","-0.14%"
"06/09/2026","7.32","7.31","7.41","7.26","12.54M","1.24%"
"06/08/2026","7.23","7.29","7.32","7.16","12.74M","-1.77%"
"06/05/2026","7.36","7.41","7.47","7.34","12.83M","-0.41%"
"06/04/2026","7.39","7.38","7.50","7.32","13.59M","0.27%"
"06/03/2026","7.37","7.62","7.72","7.30","13.12M","-3.41%"
"06/02/2026","7.63","7.31","7.82","7.31","16.12M","4.52%"
"06/01/2026","7.30","7.33","7.37","7.12","13.62M","-0.41%"
"05/25/2026","7.33","7.33","7.43","7.25","13.81M","1.81%"
"05/22/2026","7.20","7.11","7.33","7.03","13.36M","1.41%"
"05/21/2026","7.10","7.25","7.30","7.06","14.38M","-2.07%"
"05/20/2026","7.25","7.10","7.28","6.99","13.80M","2.40%"
"05/19/2026","7.08","7.00","7.17","7.00","14.53M","3.36%"
"05/18/2026","6.85","7.05","7.05","6.84","13.01M","-2.97%"
"05/15/2026","7.06","7.19","7.21","7.00","13.15M","-1.67%"
"05/14/2026","7.18","7.12","7.27","7.08","13.42M","1.13%"
"05/13/2026","7.10","7.28","7.37","7.08","13.06M","-2.61%"
"05/12/2026","7.29","7.30","7.33","7.15","13.49M","-0.14%"
"05/11/2026","7.30","7.34","7.44","7.30","13.28M","-0.68%"
"05/08/2026","7.35","7.40","7.44","7.20","13.49M","-0.81%"
"05/07/2026","7.41","7.58","7.65","7.41","11.72M","-1.46%"
"05/06/2026","7.52","7.37","7.56","7.37","14.38M","2.45%"
"05/05/2026","7.34","7.10","7.45","7.10","15.03M","-0.68%"
"05/04/2026","7.39","7.52","7.59","7.39","13.79M","-1.60%"
"05/01/2026","7.51","7.46","7.61","7.42","13.23M","-0.27%"
"04/30/2026","7.53","7.70","7.70","7.42","12.46M","-2.21%"
"04/29/2026","7.70","7.54","7.90","7.45","18.52M","1.58%"
"04/28/2026","7.58","7.85","7.95","7.58","10.25M","-4.89%"
"04/27/2026","7.97","7.33","7.99","7.33","19.44M","8.73%"
"04/24/2026","7.33","7.28","7.40","7.15","14.44M","1.10%"
"04/23/2026","7.25","7.31","7.31","7.17","13.95M","-0.55%"
"04/22/2026","7.29","7.38","7.40","7.25","17.91M","-1.35%"
"04/21/2026","7.39","7.18","7.44","7.17","40.57M","3.36%"
"04/20/2026","7.15","7.37","7.38","7.15","14.41M","-2.99%"
"04/17/2026","7.37","7.39","7.46","7.32","13.71M","-0.27%"
"04/16/2026","7.39","7.39","7.44","7.31","13.51M","0.54%"
"04/15/2026","7.35","7.23","7.48","7.23","19.23M","2.08%"
"04/14/2026","7.20","7.00","7.24","7.00","16.63M","3.75%"
"04/13/2026","6.94","7.18","7.20","6.94","14.31M","-3.34%"
"04/10/2026","7.18","7.24","7.28","7.16","14.69M","-0.14%"
"04/09/2026","7.19","7.26","7.26","7.10","15.23M","-0.55%"
"04/08/2026","7.23","7.39","7.39","7.16","14.46M","2.70%"
"04/07/2026","7.04","7.16","7.23","7.00","12.45M","-1.68%"
"04/06/2026","7.16","7.16","7.29","6.96","13.86M","0.70%"
"04/03/2026","7.11","7.14","7.23","7.05","13.85M","-0.14%"
"04/02/2026","7.12","6.99","7.25","6.79","14.72M","1.86%"
"04/01/2026","6.99","7.00","7.09","6.92","13.46M","1.30%"
"03/31/2026","6.90","6.84","6.99","6.75","14.14M","0.88%"
"03/30/2026","6.84","6.99","7.06","6.84","6.42M","-2.15%"
"03/27/2026","6.99","6.96","7.09","6.94","12.85M","0.58%"
"03/26/2026","6.95","7.27","7.27","6.88","12.51M","-3.61%"
"03/25/2026","7.21","7.14","7.33","7.00","12.35M","0.84%"
"03/24/2026","7.15","7.26","7.32","6.91","13.23M","0.14%"
"03/23/2026","7.14","7.40","7.40","7.14","627.59K","-4.93%"
"03/18/2026","7.51","7.90","8.31","7.51","36.95M","-4.94%"
"03/17/2026","7.90","7.61","7.93","7.54","12.76M","4.77%"
"03/16/2026","7.54","7.93","7.98","7.54","12.92M","-4.92%"
"03/13/2026","7.93","8.25","8.25","7.92","12.39M","-3.76%"
"03/12/2026","8.24","8.06","8.24","7.71","12.19M","1.85%"
"03/11/2026","8.09","8.25","8.28","8.01","12.15M","-0.25%"
"03/10/2026","8.11","8.05","8.38","7.95","12.41M","0.75%"
"03/09/2026","8.05","8.40","8.40","7.98","12.62M","-4.17%"
"03/06/2026","8.40","8.42","8.54","8.24","12.10M","0.24%"
"03/05/2026","8.38","8.25","8.59","8.25","11.39M","-3.34%"
"03/04/2026","8.67","8.67","8.67","8.67","455.77K","-4.93%"
