"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2026","1.11","1.11","1.12","1.11","374.01K","0.91%"
"07/09/2026","1.10","1.09","1.12","1.08","790.83K","0.92%"
"07/08/2026","1.09","1.12","1.12","1.09","980.63K","-2.68%"
"07/07/2026","1.12","1.13","1.14","1.12","877.28K","-1.75%"
"07/06/2026","1.14","1.13","1.15","1.13","1.90M","0.88%"
"07/03/2026","1.13","1.12","1.13","1.12","656.63K","1.80%"
"07/02/2026","1.11","1.14","1.15","1.11","1.02M","-2.63%"
"07/01/2026","1.14","1.12","1.14","1.12","1.75M","1.79%"
"06/30/2026","1.12","1.15","1.15","1.11","1.08M","-1.75%"
"06/29/2026","1.14","1.15","1.15","1.13","1.55M","-0.87%"
"06/26/2026","1.15","1.15","1.16","1.13","6.60M","0.00%"
"06/25/2026","1.15","1.18","1.19","1.14","5.78M","-1.71%"
"06/24/2026","1.17","1.16","1.18","1.16","2.57M","0.86%"
"06/23/2026","1.16","1.17","1.19","1.16","4.89M","-0.85%"
"06/22/2026","1.17","1.15","1.17","1.15","3.69M","1.74%"
"06/19/2026","1.15","1.15","1.17","1.14","7.16M","-0.86%"
"06/18/2026","1.16","1.11","1.18","1.11","18.70M","4.50%"
"06/17/2026","1.11","1.11","1.11","1.09","6.15M","0.91%"
"06/16/2026","1.10","1.11","1.15","1.10","15.39M","0.00%"
"06/12/2026","1.10","1.05","1.10","1.05","20.08M","6.80%"
"06/11/2026","1.03","1.03","1.05","1.03","1.80M","0.00%"
"06/10/2026","1.03","1.03","1.04","1.03","2.09M","-1.90%"
"06/09/2026","1.05","1.05","1.06","1.03","4.20M","1.94%"
"06/08/2026","1.03","1.04","1.05","1.02","1.65M","-2.83%"
"06/05/2026","1.06","1.04","1.06","1.03","1.37M","0.95%"
"06/04/2026","1.05","1.05","1.06","1.04","273.76K","0.96%"
"06/03/2026","1.04","1.06","1.06","1.03","1.66M","-0.95%"
"06/02/2026","1.05","1.07","1.09","1.05","4.05M","-0.94%"
"06/01/2026","1.06","1.06","1.08","1.04","4.17M","0.00%"
"05/25/2026","1.06","1.07","1.09","1.06","3.24M","0.95%"
"05/22/2026","1.05","1.04","1.05","1.02","1.59M","2.94%"
"05/21/2026","1.02","1.03","1.04","1.02","1.44M","0.00%"
"05/20/2026","1.02","1.04","1.04","1.02","2.34M","-1.92%"
"05/19/2026","1.04","1.02","1.05","1.02","2.59M","2.97%"
"05/18/2026","1.01","1.02","1.03","1.00","3.98M","-2.88%"
"05/15/2026","1.04","1.03","1.04","1.02","1.93M","0.97%"
"05/14/2026","1.03","1.06","1.06","1.03","4.75M","-1.90%"
"05/13/2026","1.05","1.06","1.08","1.04","2.62M","-1.87%"
"05/12/2026","1.07","1.11","1.11","1.06","3.06M","-3.60%"
