"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","7.720","7.660","7.730","7.610","2.39M","1.31%"
"07/02/2026","7.620","7.590","7.650","7.590","3.15M","0.40%"
"07/01/2026","7.590","7.430","7.590","7.430","3.88M","1.88%"
"06/30/2026","7.450","7.470","7.590","7.450","8.05M","-0.67%"
"06/29/2026","7.500","7.550","7.550","7.460","1.78M","-1.06%"
"06/26/2026","7.580","7.480","7.640","7.390","3.30M","1.34%"
"06/25/2026","7.480","7.650","7.730","7.370","12.00M","-1.97%"
"06/24/2026","7.630","7.680","7.780","7.630","4.68M","-1.04%"
"06/23/2026","7.710","7.750","7.760","7.680","3.50M","-0.39%"
"06/22/2026","7.740","7.790","7.830","7.730","3.33M","-0.26%"
"06/19/2026","7.760","7.920","7.920","7.760","10.10M","-2.76%"
"06/18/2026","7.980","7.800","7.980","7.800","8.86M","2.57%"
"06/17/2026","7.780","7.760","7.810","7.660","11.37M","0.26%"
"06/16/2026","7.760","7.950","7.980","7.710","9.12M","-0.64%"
"06/12/2026","7.810","7.350","7.810","7.300","9.62M","7.58%"
"06/11/2026","7.260","7.280","7.320","7.240","2.41M","-0.82%"
"06/10/2026","7.320","7.350","7.370","7.280","3.68M","-0.68%"
"06/09/2026","7.370","7.390","7.440","7.350","3.71M","-0.14%"
"06/08/2026","7.380","7.260","7.380","7.200","4.19M","1.10%"
"06/05/2026","7.300","7.270","7.390","7.270","2.73M","0.41%"
"06/04/2026","7.270","7.260","7.370","7.220","4.15M","0.83%"
"06/03/2026","7.210","7.400","7.410","7.200","4.23M","-2.44%"
"06/02/2026","7.390","7.480","7.480","7.350","3.34M","-1.20%"
"06/01/2026","7.480","7.400","7.560","7.320","11.76M","1.08%"
"05/25/2026","7.400","7.420","7.650","7.400","11.21M","1.09%"
"05/22/2026","7.320","7.420","7.420","7.320","2.41M","0.00%"
"05/21/2026","7.320","7.360","7.450","7.320","3.99M","-0.27%"
"05/20/2026","7.340","7.370","7.410","7.320","5.75M","-0.54%"
