"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2026","12.300","12.040","12.340","12.040","1.56M","2.16%"
"08/06/2026","12.040","12.140","12.180","11.900","3.02M","-0.50%"
"08/05/2026","12.100","12.160","12.280","12.100","2.45M","-0.82%"
"08/04/2026","12.200","12.140","12.440","12.100","3.94M","0.49%"
"08/03/2026","12.140","12.160","12.200","12.040","1.33M","-0.16%"
"07/31/2026","12.160","12.100","12.220","11.900","2.00M","-0.33%"
"07/30/2026","12.200","12.120","12.220","12.120","2.20M","0.66%"
"07/29/2026","12.120","12.080","12.220","12.080","1.91M","0.00%"
"07/28/2026","12.120","12.200","12.300","12.120","1.08M","-0.66%"
"07/27/2026","12.200","12.040","12.280","12.040","1.86M","1.50%"
"07/24/2026","12.020","12.020","12.300","11.960","1.64M","-0.66%"
"07/23/2026","12.100","12.400","12.520","12.000","5.14M","-2.10%"
"07/22/2026","12.360","12.280","12.480","12.280","1.95M","0.82%"
"07/21/2026","12.260","12.240","12.360","12.160","1.16M","0.16%"
"07/20/2026","12.240","12.200","12.360","12.160","808.33K","0.33%"
"07/17/2026","12.200","12.240","12.380","12.120","1.78M","-0.33%"
"07/16/2026","12.240","12.240","12.320","12.200","920.47K","-0.16%"
"07/15/2026","12.260","12.120","12.300","12.120","1.74M","1.32%"
"07/14/2026","12.100","12.220","12.220","12.040","1.97M","-1.14%"
"07/13/2026","12.240","12.240","12.340","11.800","2.27M","0.00%"
"07/10/2026","12.240","12.240","12.360","12.200","1.81M","0.00%"
"07/09/2026","12.240","12.160","12.340","11.860","5.09M","0.16%"
"07/08/2026","12.220","12.640","12.700","12.160","6.11M","-4.23%"
"07/07/2026","12.760","12.460","12.800","12.440","3.84M","2.24%"
"07/06/2026","12.480","11.840","12.500","11.840","6.06M","3.65%"
"07/03/2026","12.040","11.760","12.460","11.760","2.89M","1.52%"
"07/02/2026","11.860","11.800","12.060","11.760","3.87M","0.51%"
"07/01/2026","11.800","11.400","11.880","11.400","5.98M","3.51%"
"06/30/2026","11.400","11.580","11.640","11.400","6.00M","-1.21%"
"06/29/2026","11.540","11.480","11.600","11.440","3.82M","0.52%"
"06/26/2026","11.480","11.320","11.620","11.300","2.29M","0.70%"
"06/25/2026","11.400","11.460","11.600","11.380","1.22M","-0.87%"
"06/24/2026","11.500","11.540","11.600","11.480","1.70M","0.00%"
"06/23/2026","11.500","11.400","11.560","11.360","2.34M","0.88%"
"06/22/2026","11.400","11.500","11.540","11.180","5.36M","-0.87%"
"06/19/2026","11.500","11.660","11.660","11.420","3.09M","-1.71%"
"06/18/2026","11.700","11.560","11.720","11.520","2.94M","0.52%"
"06/17/2026","11.640","11.700","11.700","11.640","1.93M","-0.51%"
"06/16/2026","11.700","11.900","11.900","11.660","3.05M","0.00%"
"06/12/2026","11.700","11.800","11.800","11.660","4.94M","-0.85%"
"06/11/2026","11.800","11.700","11.820","11.680","2.70M","1.03%"
"06/10/2026","11.680","11.780","11.780","11.680","2.80M","-0.68%"
"06/09/2026","11.760","11.800","11.840","11.700","2.76M","-0.34%"
"06/08/2026","11.800","11.700","11.800","11.520","3.45M","0.68%"
"06/05/2026","11.720","11.560","11.740","11.560","1.22M","-0.17%"
"06/04/2026","11.740","11.460","11.800","11.420","3.39M","2.44%"
"06/03/2026","11.460","11.460","11.500","11.380","3.75M","0.00%"
"06/02/2026","11.460","11.480","11.480","11.380","2.51M","-0.17%"
"06/01/2026","11.480","11.220","11.500","11.220","4.74M","2.50%"
"05/25/2026","11.200","11.220","11.500","11.200","3.56M","-0.71%"
"05/22/2026","11.280","11.100","11.280","11.080","2.58M","1.26%"
"05/21/2026","11.140","11.080","11.160","11.080","1.35M","0.18%"
"05/20/2026","11.120","11.180","11.300","11.040","1.24M","-0.54%"
"05/19/2026","11.180","11.300","11.560","11.180","1.43M","-1.06%"
