"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2026","19.66","19.48","19.68","19.30","2.53M","0.82%"
"07/08/2026","19.50","19.60","19.66","19.24","3.35M","-1.12%"
"07/07/2026","19.72","19.72","19.72","19.46","2.24M","0.10%"
"07/06/2026","19.70","19.66","19.76","19.54","1.18M","0.20%"
"07/03/2026","19.66","19.34","19.66","19.34","1.87M","1.65%"
"07/02/2026","19.34","19.32","19.46","19.24","1.94M","0.00%"
"07/01/2026","19.34","19.24","19.42","19.06","3.19M","0.73%"
"06/30/2026","19.20","19.42","19.42","18.74","5.98M","-0.93%"
"06/29/2026","19.38","19.16","19.38","19.08","2.14M","0.94%"
"06/26/2026","19.20","19.44","19.44","19.04","3.27M","-1.03%"
"06/25/2026","19.40","19.60","19.66","19.14","1.98M","-0.92%"
"06/24/2026","19.58","19.52","19.70","19.36","3.84M","0.20%"
"06/23/2026","19.54","19.56","19.62","19.38","2.23M","-0.20%"
"06/22/2026","19.58","19.60","19.78","19.44","2.17M","-0.10%"
"06/19/2026","19.60","19.96","19.98","19.60","11.02M","-2.00%"
"06/18/2026","20.00","19.30","20.00","19.24","9.74M","3.31%"
"06/17/2026","19.36","19.26","19.36","19.10","6.49M","0.94%"
"06/16/2026","19.18","19.10","19.32","19.00","5.41M","1.16%"
"06/12/2026","18.96","18.74","18.96","18.44","7.32M","1.50%"
"06/11/2026","18.68","18.20","18.68","18.16","4.17M","2.64%"
"06/10/2026","18.20","18.52","18.52","18.20","2.09M","-1.83%"
"06/09/2026","18.54","18.26","18.60","18.26","2.81M","2.32%"
"06/08/2026","18.12","18.50","18.52","18.12","2.37M","-3.10%"
"06/05/2026","18.70","18.62","18.94","18.54","3.68M","0.32%"
"06/04/2026","18.64","18.36","18.66","18.28","3.11M","1.30%"
"06/03/2026","18.40","18.40","18.40","18.14","2.55M","-0.33%"
"06/02/2026","18.46","18.16","18.46","18.00","5.08M","2.44%"
"06/01/2026","18.02","18.00","18.52","17.92","10.33M","-0.11%"
"05/25/2026","18.04","18.54","18.74","18.04","19.24M","-2.38%"
"05/22/2026","18.48","18.38","18.48","18.30","2.66M","0.87%"
"05/21/2026","18.32","18.52","18.58","18.28","2.49M","-0.65%"
