"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2026","11.080","11.120","11.120","11.020","7.14M","-0.36%"
"07/23/2026","11.120","11.240","11.260","11.120","7.78M","-0.89%"
"07/22/2026","11.220","11.200","11.260","11.100","9.12M","0.72%"
"07/21/2026","11.140","11.100","11.260","11.100","11.30M","0.91%"
"07/20/2026","11.040","11.160","11.160","10.860","16.40M","-1.08%"
"07/17/2026","11.160","11.480","11.500","11.100","19.70M","-3.46%"
"07/16/2026","11.560","11.560","11.660","11.480","15.04M","0.17%"
"07/15/2026","11.540","11.520","11.760","11.460","20.08M","0.35%"
"07/14/2026","11.500","11.560","11.580","11.340","16.47M","-0.86%"
"07/13/2026","11.600","11.740","11.760","11.600","18.48M","-2.19%"
"07/10/2026","11.860","11.940","12.000","11.820","18.22M","0.00%"
"07/09/2026","11.860","11.820","11.980","11.760","14.84M","-0.67%"
"07/08/2026","11.940","11.960","12.000","11.660","23.32M","-1.00%"
"07/07/2026","12.060","12.120","12.140","12.000","12.78M","-0.50%"
"07/06/2026","12.120","12.140","12.220","12.080","9.60M","0.00%"
"07/03/2026","12.120","12.040","12.160","11.980","17.71M","1.51%"
"07/02/2026","11.940","12.060","12.180","11.940","12.45M","-0.83%"
"07/01/2026","12.040","12.000","12.220","11.960","14.03M","1.01%"
"06/30/2026","11.920","12.200","12.260","11.920","21.15M","-1.81%"
"06/29/2026","12.140","12.240","12.260","12.060","12.07M","-0.49%"
"06/26/2026","12.200","12.200","12.460","12.000","23.26M","0.00%"
"06/25/2026","12.200","12.600","12.760","12.140","30.53M","-2.87%"
"06/24/2026","12.560","12.620","12.700","12.460","21.93M","-0.32%"
"06/23/2026","12.600","12.880","12.920","12.480","28.16M","-2.33%"
"06/22/2026","12.900","12.940","13.020","12.820","14.81M","-0.46%"
"06/19/2026","12.960","13.040","13.060","12.780","46.02M","-0.46%"
"06/18/2026","13.020","12.840","13.100","12.740","68.44M","2.36%"
"06/17/2026","12.720","12.340","12.760","12.200","50.35M","3.41%"
"06/16/2026","12.300","12.180","12.340","12.040","64.96M","5.13%"
"06/12/2026","11.700","11.300","11.700","11.120","50.50M","8.33%"
"06/11/2026","10.800","11.000","11.060","10.800","31.78M","-2.35%"
"06/10/2026","11.060","11.180","11.220","11.060","20.05M","-1.43%"
"06/09/2026","11.220","11.400","11.460","11.200","16.72M","-0.18%"
"06/08/2026","11.240","11.180","11.300","11.080","11.74M","-0.88%"
"06/05/2026","11.340","11.300","11.520","11.280","8.50M","0.18%"
"06/04/2026","11.320","11.260","11.380","11.060","21.63M","1.07%"
"06/03/2026","11.200","11.460","11.560","11.160","20.31M","-2.44%"
"06/02/2026","11.480","11.620","11.680","11.420","12.10M","-0.69%"
"06/01/2026","11.560","11.800","11.840","11.560","39.51M","-1.87%"
"05/25/2026","11.780","11.700","11.980","11.700","47.97M","2.61%"
"05/22/2026","11.480","11.320","11.480","11.240","15.25M","1.59%"
"05/21/2026","11.300","11.360","11.400","11.260","27.95M","1.07%"
"05/20/2026","11.180","11.360","11.380","11.140","18.57M","-1.06%"
"05/19/2026","11.300","11.380","11.600","11.300","27.97M","0.53%"
"05/18/2026","11.240","11.600","11.600","11.080","28.54M","-3.60%"
"05/15/2026","11.660","11.780","11.820","11.560","15.78M","-1.02%"
"05/14/2026","11.780","11.960","12.000","11.760","15.15M","-0.51%"
"05/13/2026","11.840","11.880","12.120","11.720","33.61M","-0.34%"
"05/12/2026","11.880","12.240","12.240","11.840","24.18M","-2.14%"
"05/11/2026","12.140","12.360","12.440","12.140","16.11M","-1.78%"
"05/08/2026","12.360","12.380","12.420","12.260","14.93M","-0.48%"
"05/07/2026","12.420","12.540","12.660","12.420","36.69M","-0.48%"
"05/06/2026","12.480","12.080","12.540","12.060","36.94M","4.35%"
"05/05/2026","11.960","11.700","11.960","11.660","17.13M","-0.33%"
"05/04/2026","12.000","12.020","12.200","11.960","17.30M","1.69%"
"05/01/2026","11.800","11.800","11.960","11.660","24.50M","0.00%"
"04/30/2026","11.800","12.340","12.360","11.800","32.84M","-4.38%"
"04/29/2026","12.340","12.520","12.540","12.300","24.85M","-1.44%"
"04/28/2026","12.520","12.560","12.620","12.420","14.03M","0.16%"
"04/27/2026","12.500","12.420","12.640","12.420","22.79M","0.81%"
"04/24/2026","12.400","12.380","12.500","12.240","27.95M","0.16%"
"04/23/2026","12.380","12.420","12.560","12.240","20.78M","-0.16%"
"04/22/2026","12.400","12.700","12.780","12.340","29.90M","-2.21%"
"04/21/2026","12.680","12.680","12.820","12.580","30.37M","0.32%"
"04/20/2026","12.640","12.700","12.780","12.580","29.59M","-1.56%"
"04/17/2026","12.840","12.700","12.840","12.600","32.05M","1.10%"
"04/16/2026","12.700","12.560","12.840","12.500","57.37M","2.58%"
"04/15/2026","12.380","12.300","12.480","12.120","59.49M","3.17%"
"04/14/2026","12.000","11.900","12.080","11.820","31.49M","2.56%"
"04/13/2026","11.700","11.760","11.780","11.540","32.30M","-1.68%"
"04/10/2026","11.900","12.000","12.120","11.860","38.03M","0.00%"
"04/09/2026","11.900","12.140","12.240","11.840","41.51M","-3.88%"
"04/08/2026","12.380","12.300","12.460","11.940","97.36M","12.96%"
"04/07/2026","10.960","11.360","11.460","10.940","35.30M","-3.86%"
"04/06/2026","11.400","11.400","11.560","11.200","30.40M","-2.98%"
"04/03/2026","11.750","11.750","11.750","11.750","4.64M","-4.86%"
"04/02/2026","12.350","12.150","12.400","12.050","40.19M","0.00%"
"04/01/2026","12.350","12.200","12.400","12.150","50.17M","5.56%"
"03/31/2026","11.700","11.900","11.950","11.400","33.02M","-0.43%"
"03/30/2026","11.750","12.200","12.250","11.750","34.40M","-2.89%"
"03/27/2026","12.100","12.150","12.400","11.900","30.09M","-0.41%"
"03/26/2026","12.150","12.650","12.650","12.150","61.61M","-4.71%"
"03/25/2026","12.750","12.300","12.750","12.150","55.31M","7.59%"
"03/24/2026","11.850","11.850","12.200","11.650","62.34M","3.95%"
"03/23/2026","11.400","11.600","11.650","11.400","27.89M","-4.60%"
"03/18/2026","11.950","11.550","12.350","11.550","86.93M","4.37%"
"03/17/2026","11.450","10.150","11.550","10.150","69.42M","7.51%"
"03/16/2026","10.650","11.000","11.000","10.650","43.55M","-4.91%"
"03/13/2026","11.200","11.000","11.750","11.000","70.81M","-3.03%"
"03/12/2026","11.550","11.650","11.850","11.550","26.38M","-4.94%"
"03/11/2026","12.150","12.900","13.050","12.150","64.53M","-4.71%"
"03/10/2026","12.750","12.650","13.250","12.650","192.76M","-4.14%"
"03/09/2026","13.300","13.300","13.300","13.300","3.65M","-4.66%"
"03/06/2026","13.950","13.950","13.950","13.950","13.15M","-4.78%"
"03/05/2026","14.650","14.650","14.650","14.650","9.35M","-4.87%"
"03/04/2026","15.400","15.400","15.400","15.400","6.02M","-4.94%"
"02/27/2026","16.200","16.950","17.050","16.200","32.03M","-4.14%"
"02/26/2026","16.900","17.050","17.100","16.850","13.94M","-1.17%"
"02/25/2026","17.100","17.100","17.100","16.950","13.54M","0.00%"
"02/24/2026","17.100","17.000","17.250","16.850","36.85M","0.29%"
"02/23/2026","17.050","16.450","17.050","16.400","32.47M","3.65%"
"02/20/2026","16.450","16.350","16.550","16.200","17.39M","0.00%"
"02/19/2026","16.450","16.850","16.900","16.250","21.46M","-2.66%"
"02/18/2026","16.900","16.350","16.900","16.300","19.48M","3.36%"
"02/17/2026","16.350","16.250","16.350","16.050","11.71M","0.31%"
"02/16/2026","16.300","16.500","16.500","16.200","10.66M","-1.21%"
"02/13/2026","16.500","16.900","16.950","16.300","27.49M","1.23%"
"02/12/2026","16.300","16.400","16.400","16.200","4.86M","-0.61%"
"02/11/2026","16.400","16.400","16.450","16.200","16.73M","-0.61%"
"02/10/2026","16.500","16.300","16.550","16.100","29.04M","0.61%"
"02/09/2026","16.400","16.100","16.400","16.050","22.33M","2.82%"
"02/06/2026","15.950","15.900","16.100","15.900","14.18M","-0.31%"
"02/05/2026","16.000","15.800","16.100","15.800","21.35M","0.63%"
"02/04/2026","15.900","15.750","15.900","15.600","28.50M","0.63%"
"02/03/2026","15.800","15.600","15.950","15.550","22.01M","1.28%"
"02/02/2026","15.600","15.050","15.600","15.000","20.19M","4.00%"
"01/30/2026","15.000","15.250","15.250","15.000","17.70M","-1.96%"
"01/29/2026","15.300","15.400","15.400","15.150","15.09M","-0.65%"
"01/28/2026","15.400","15.000","15.400","15.000","25.76M","2.33%"
"01/27/2026","15.050","14.800","15.050","14.800","15.44M","1.35%"
"01/26/2026","14.850","14.900","14.950","14.550","15.78M","-1.00%"
"01/23/2026","15.000","15.000","15.050","14.900","9.59M","0.00%"
"01/22/2026","15.000","14.700","15.050","14.700","24.10M","2.39%"
"01/21/2026","14.650","14.650","14.750","14.600","9.24M","-0.34%"
"01/20/2026","14.700","14.550","14.700","14.550","9.86M","0.68%"
"01/19/2026","14.600","14.450","14.700","14.450","8.79M","1.04%"
"01/16/2026","14.450","14.300","14.500","14.300","10.00M","1.05%"
"01/15/2026","14.300","14.450","14.550","14.150","13.08M","-1.04%"
"01/14/2026","14.450","14.600","14.700","14.300","11.60M","-1.37%"
"01/13/2026","14.650","14.550","14.650","14.450","12.23M","0.34%"
"01/12/2026","14.600","14.400","14.600","14.200","12.41M","1.39%"
"01/09/2026","14.400","14.650","14.650","14.400","11.58M","-1.71%"
"01/08/2026","14.650","14.700","14.850","14.550","15.96M","-1.01%"
"01/07/2026","14.800","14.450","14.800","14.350","22.20M","2.07%"
"01/06/2026","14.500","14.250","14.500","14.250","20.95M","2.11%"
"01/05/2026","14.200","14.100","14.200","13.950","13.62M","0.00%"
"01/02/2026","14.200","14.050","14.200","14.000","5.92M","1.07%"
"12/31/2025","14.050","13.900","14.100","13.900","7.36M","1.08%"
"12/30/2025","13.900","14.200","14.200","13.750","14.08M","-2.80%"
"12/29/2025","14.300","14.250","14.300","14.100","6.81M","0.00%"
"12/26/2025","14.300","14.200","14.300","14.200","1.70M","0.70%"
"12/25/2025","14.200","14.350","14.400","14.200","3.11M","-1.39%"
"12/24/2025","14.400","14.300","14.450","14.250","6.42M","0.70%"
"12/23/2025","14.300","14.250","14.350","14.150","7.81M","0.35%"
"12/22/2025","14.250","13.900","14.250","13.850","9.79M","2.89%"
"12/19/2025","13.850","14.100","14.150","13.850","21.23M","-1.77%"
"12/18/2025","14.100","14.150","14.250","14.100","5.55M","-0.70%"
"12/17/2025","14.200","14.350","14.400","14.200","8.71M","-1.39%"
"12/16/2025","14.400","14.250","14.450","14.150","20.36M","1.41%"
"12/15/2025","14.200","14.200","14.300","14.000","11.95M","0.00%"
"12/12/2025","14.200","14.200","14.300","14.100","7.41M","0.00%"
"12/11/2025","14.200","14.150","14.250","14.000","13.53M","0.35%"
"12/10/2025","14.150","14.000","14.200","13.950","14.00M","0.71%"
"12/09/2025","14.050","13.850","14.050","13.750","12.67M","1.44%"
"12/08/2025","13.850","14.050","14.050","13.800","12.33M","-1.42%"
"12/05/2025","14.050","13.650","14.050","13.650","15.84M","2.93%"
"12/04/2025","13.650","13.550","13.900","13.500","14.04M","0.74%"
"12/03/2025","13.550","13.350","13.550","13.300","11.58M","1.88%"
"11/28/2025","13.300","13.250","13.350","13.150","9.08M","0.76%"
"11/27/2025","13.200","13.250","13.400","13.200","6.53M","-0.38%"
"11/26/2025","13.250","13.250","13.350","13.150","8.38M","0.00%"
"11/25/2025","13.250","13.400","13.600","13.250","10.04M","-1.12%"
"11/24/2025","13.400","13.400","13.450","13.050","21.89M","0.00%"
"11/21/2025","13.400","13.400","13.400","13.150","9.85M","-1.11%"
"11/20/2025","13.550","13.300","13.600","13.250","9.74M","2.65%"
"11/19/2025","13.200","13.350","13.450","13.100","17.14M","-1.12%"
"11/18/2025","13.350","13.400","13.450","13.300","12.15M","-1.11%"
"11/17/2025","13.500","13.750","13.750","13.400","15.53M","-2.17%"
"11/14/2025","13.800","13.750","13.800","13.550","10.10M","0.00%"
"11/13/2025","13.800","13.800","13.900","13.650","9.97M","0.00%"
"11/12/2025","13.800","13.900","14.000","13.750","8.22M","-0.72%"
"11/11/2025","13.900","13.450","13.900","13.350","18.90M","3.73%"
"11/10/2025","13.400","13.650","13.750","13.400","20.23M","-1.47%"
"11/07/2025","13.600","13.950","14.000","13.500","29.38M","-1.45%"
"11/06/2025","13.800","13.700","13.950","13.700","11.44M","0.73%"
"11/05/2025","13.700","13.950","13.950","13.600","14.59M","-2.14%"
"11/04/2025","14.000","13.900","14.050","13.750","11.83M","0.36%"
"11/03/2025","13.950","14.200","14.250","13.850","14.87M","-1.76%"
"10/31/2025","14.200","14.500","14.600","14.200","14.31M","-2.74%"
"10/30/2025","14.600","14.650","14.750","14.450","15.69M","-0.68%"
"10/29/2025","14.700","14.650","14.750","14.500","16.30M","0.34%"
"10/28/2025","14.650","14.450","14.800","14.450","26.08M","1.74%"
"10/27/2025","14.400","14.450","14.550","14.400","12.00M","-0.35%"
"10/24/2025","14.450","14.100","14.450","14.050","14.24M","2.85%"
"10/23/2025","14.050","13.850","14.100","13.850","19.02M","1.44%"
"10/22/2025","13.850","13.900","13.950","13.750","8.85M","0.00%"
"10/21/2025","13.850","13.950","14.000","13.850","7.04M","0.00%"
"10/20/2025","13.850","13.750","14.000","13.700","8.42M","1.09%"
"10/17/2025","13.700","13.900","13.900","13.700","13.14M","-1.44%"
"10/16/2025","13.900","14.000","14.050","13.850","8.64M","-0.71%"
"10/15/2025","14.000","13.900","14.050","13.800","24.58M","0.72%"
"10/14/2025","13.900","13.500","13.900","13.450","21.90M","2.96%"
"10/13/2025","13.500","13.500","13.600","13.400","10.52M","-0.74%"
"10/10/2025","13.600","13.550","13.650","13.500","6.67M","0.37%"
"10/09/2025","13.550","13.650","13.650","13.500","13.22M","-0.73%"
"10/08/2025","13.650","13.550","13.650","13.450","10.23M","0.37%"
"10/07/2025","13.600","13.550","13.650","13.550","4.94M","0.00%"
"10/06/2025","13.600","13.650","13.750","13.550","6.73M","0.00%"
"10/03/2025","13.600","13.650","13.650","13.450","6.88M","-0.37%"
"10/02/2025","13.650","13.450","13.750","13.400","18.13M","1.87%"
"10/01/2025","13.400","13.100","13.450","13.050","13.08M","2.68%"
"09/30/2025","13.050","13.300","13.400","13.050","27.70M","-1.88%"
"09/29/2025","13.300","13.350","13.450","13.200","12.62M","0.00%"
"09/26/2025","13.300","13.400","13.500","13.100","23.10M","-0.75%"
"09/25/2025","13.400","13.600","13.650","13.250","24.20M","-1.47%"
"09/24/2025","13.600","13.900","13.900","13.400","33.84M","-2.51%"
"09/23/2025","13.950","14.150","14.200","13.800","13.54M","-1.41%"
"09/22/2025","14.150","14.200","14.250","14.050","7.06M","0.71%"
"09/19/2025","14.050","13.900","14.100","13.900","24.38M","1.08%"
"09/18/2025","13.900","13.900","14.150","13.900","24.88M","1.09%"
"09/17/2025","13.750","13.950","13.950","13.650","25.08M","-1.08%"
"09/16/2025","13.900","14.150","14.300","13.850","26.07M","-1.77%"
"09/15/2025","14.150","14.350","14.550","14.150","14.97M","-2.08%"
"09/12/2025","14.450","14.250","14.450","14.200","7.70M","1.76%"
