"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","14.260","13.980","14.400","13.980","2.82M","2.44%"
"07/02/2026","13.920","14.120","14.200","13.880","2.92M","-2.25%"
"07/01/2026","14.240","13.840","14.400","13.840","2.78M","3.04%"
"06/30/2026","13.820","13.920","14.000","13.720","3.81M","-0.58%"
"06/29/2026","13.900","13.940","14.080","13.900","1.97M","-1.42%"
"06/26/2026","14.100","14.000","14.380","13.820","5.71M","0.71%"
"06/25/2026","14.000","14.380","14.440","13.960","7.93M","-1.41%"
"06/24/2026","14.200","14.500","14.560","14.200","5.86M","-1.93%"
"06/23/2026","14.480","15.160","15.160","14.440","5.68M","-3.85%"
"06/22/2026","15.060","15.060","15.200","14.940","1.79M","0.80%"
"06/19/2026","14.940","15.200","15.240","14.720","6.21M","-1.71%"
"06/18/2026","15.200","14.900","15.200","14.840","8.30M","2.56%"
"06/17/2026","14.820","14.720","14.900","14.640","6.59M","0.82%"
"06/16/2026","14.700","14.500","15.000","14.420","8.56M","3.96%"
"06/12/2026","14.140","13.400","14.300","13.340","5.97M","7.94%"
"06/11/2026","13.100","13.540","13.540","13.100","3.95M","-3.39%"
"06/10/2026","13.560","13.800","13.900","13.540","1.69M","-1.88%"
"06/09/2026","13.820","13.800","13.900","13.660","2.53M","1.47%"
"06/08/2026","13.620","13.720","13.800","13.500","3.67M","-2.44%"
"06/05/2026","13.960","13.620","14.020","13.620","1.96M","2.80%"
"06/04/2026","13.580","13.520","14.020","13.480","2.66M","1.04%"
"06/03/2026","13.440","13.620","13.660","13.440","2.02M","-1.75%"
"06/02/2026","13.680","13.800","13.860","13.540","4.25M","-0.29%"
"06/01/2026","13.720","14.380","14.480","13.720","4.76M","-4.99%"
"05/25/2026","14.440","14.220","14.560","14.140","9.80M","4.18%"
"05/22/2026","13.860","13.860","14.200","13.700","1.05M","0.00%"
"05/21/2026","13.860","13.840","13.980","13.740","1.49M","1.46%"
"05/20/2026","13.660","14.100","14.200","13.620","3.25M","-3.12%"
"05/19/2026","14.100","13.980","14.100","13.860","2.01M","2.77%"
"05/18/2026","13.720","13.880","14.060","13.440","3.60M","-1.44%"
"05/15/2026","13.920","14.060","14.100","13.860","2.21M","-1.28%"
"05/14/2026","14.100","14.200","14.240","13.840","3.02M","-0.14%"
"05/13/2026","14.120","14.200","14.360","13.640","7.06M","-0.14%"
"05/12/2026","14.140","14.800","14.860","14.140","5.37M","-4.97%"
"05/11/2026","14.880","15.180","15.200","14.720","3.26M","-2.11%"
"05/08/2026","15.200","15.100","15.200","15.000","1.55M","-0.26%"
"05/07/2026","15.240","15.300","15.460","14.980","3.04M","0.53%"
"05/06/2026","15.160","14.640","15.160","14.640","5.23M","4.55%"
"05/05/2026","14.500","14.280","14.580","13.820","1.98M","0.14%"
"05/04/2026","14.480","14.920","15.200","14.480","1.81M","-1.76%"
"05/01/2026","14.740","14.580","14.960","14.300","1.53M","1.10%"
"04/30/2026","14.580","15.040","15.100","14.320","4.97M","-2.93%"
"04/29/2026","15.020","15.120","15.340","15.000","3.09M","-0.66%"
"04/28/2026","15.120","15.300","15.480","15.100","2.14M","-1.05%"
"04/27/2026","15.280","15.300","15.560","15.280","2.81M","-0.13%"
"04/24/2026","15.300","15.200","15.340","15.040","1.65M","0.66%"
"04/23/2026","15.200","15.200","15.340","15.040","3.41M","0.00%"
"04/22/2026","15.200","15.500","15.600","15.200","3.62M","-1.30%"
"04/21/2026","15.400","15.220","15.620","15.220","3.01M","1.32%"
"04/20/2026","15.200","15.500","15.600","15.100","2.86M","-2.56%"
"04/17/2026","15.600","15.540","15.660","15.340","2.41M","1.04%"
"04/16/2026","15.440","15.460","15.580","15.360","4.76M","1.45%"
"04/15/2026","15.220","15.200","15.540","15.180","8.79M","1.47%"
"04/14/2026","15.000","14.600","15.000","14.600","4.31M","3.59%"
"04/13/2026","14.480","14.120","14.540","13.900","4.41M","0.98%"
"04/10/2026","14.340","14.320","14.540","14.300","1.11M","0.28%"
"04/09/2026","14.300","14.480","14.660","14.200","4.90M","-3.12%"
"04/08/2026","14.760","15.140","15.180","14.420","10.82M","11.31%"
"04/07/2026","13.260","13.500","13.500","12.920","3.13M","-1.04%"
"04/06/2026","13.400","13.020","13.500","12.900","3.93M","-0.74%"
"04/03/2026","13.500","13.500","13.500","13.500","1.37M","-4.93%"
"04/02/2026","14.200","13.950","14.350","13.800","7.29M","0.00%"
"04/01/2026","14.200","14.100","14.300","13.950","8.34M","5.19%"
"03/31/2026","13.500","13.500","13.850","13.000","6.04M","0.37%"
"03/30/2026","13.450","13.950","14.150","13.450","5.73M","-2.18%"
"03/27/2026","13.750","13.900","14.250","13.650","3.08M","0.00%"
"03/26/2026","13.750","14.300","14.300","13.700","5.99M","-4.51%"
"03/25/2026","14.400","14.050","14.650","13.950","11.18M","3.60%"
"03/24/2026","13.900","14.200","14.500","13.500","9.62M","1.46%"
"03/23/2026","13.700","13.950","13.950","13.700","6.63M","-4.86%"
"03/18/2026","14.400","13.600","14.500","13.600","11.00M","6.27%"
"03/17/2026","13.550","12.050","13.600","12.050","14.01M","7.11%"
"03/16/2026","12.650","13.000","13.150","12.650","3.07M","-4.89%"
"03/13/2026","13.300","13.250","13.750","13.250","12.14M","-4.32%"
"03/12/2026","13.900","14.150","14.500","13.900","7.34M","-4.79%"
"03/11/2026","14.600","15.800","15.900","14.600","10.13M","-4.89%"
"03/10/2026","15.350","15.100","16.650","15.100","30.50M","-3.15%"
"03/09/2026","15.850","15.850","15.850","15.850","142.87K","-4.80%"
"03/06/2026","16.650","16.650","16.650","16.650","2.03M","-4.86%"
"03/05/2026","17.500","17.500","17.500","17.500","5.25M","-4.89%"
"03/04/2026","18.400","18.400","18.400","18.400","3.71M","-4.91%"
"02/27/2026","19.350","20.000","20.700","19.350","4.33M","-3.25%"
"02/26/2026","20.000","19.600","20.100","19.150","3.87M","2.04%"
"02/25/2026","19.600","19.450","19.700","19.450","1.94M","0.77%"
"02/24/2026","19.450","19.400","19.800","19.050","6.69M","0.26%"
"02/23/2026","19.400","18.950","19.450","18.800","3.24M","2.92%"
"02/20/2026","18.850","18.950","19.100","18.650","2.51M","-0.53%"
"02/19/2026","18.950","19.450","19.700","18.850","2.14M","-2.82%"
"02/18/2026","19.500","18.900","19.500","18.900","4.02M","3.17%"
"02/17/2026","18.900","18.950","18.950","18.500","1.99M","-0.26%"
"02/16/2026","18.950","19.200","19.250","18.850","2.01M","-1.30%"
"02/13/2026","19.200","19.200","19.450","18.650","10.34M","3.50%"
"02/11/2026","18.550","18.700","18.700","18.400","2.00M","-1.07%"
"02/10/2026","18.750","18.750","18.750","18.300","3.13M","-0.27%"
"02/09/2026","18.800","18.600","18.900","18.600","5.10M","1.35%"
"02/06/2026","18.550","18.450","18.600","18.250","3.91M","0.27%"
"02/05/2026","18.500","18.000","18.500","17.950","5.97M","2.78%"
"02/04/2026","18.000","18.650","18.650","18.000","5.06M","-3.49%"
"02/03/2026","18.650","18.100","18.850","18.100","8.64M","3.61%"
"02/02/2026","18.000","17.200","18.250","17.000","5.65M","4.65%"
"01/30/2026","17.200","17.300","17.300","17.000","4.00M","-0.58%"
"01/29/2026","17.300","17.700","17.750","17.150","3.97M","-1.70%"
"01/28/2026","17.600","17.300","17.900","17.300","4.26M","1.73%"
"01/27/2026","17.300","17.000","17.300","17.000","2.27M","1.47%"
"01/26/2026","17.050","17.150","17.150","16.600","3.12M","-0.58%"
"01/23/2026","17.150","17.150","17.350","17.050","3.69M","0.88%"
"01/22/2026","17.000","16.600","17.300","16.600","6.59M","2.72%"
"01/21/2026","16.550","16.450","16.600","16.300","2.83M","0.91%"
"01/20/2026","16.400","16.350","16.500","16.250","2.00M","0.61%"
"01/19/2026","16.300","16.250","16.500","16.250","2.77M","0.00%"
"01/16/2026","16.300","16.050","16.450","16.050","2.18M","1.87%"
"01/15/2026","16.000","16.300","16.300","15.900","3.35M","-1.54%"
"01/14/2026","16.250","16.400","16.550","15.850","4.09M","-0.91%"
"01/13/2026","16.400","16.400","16.550","16.250","2.63M","0.00%"
"01/12/2026","16.400","16.100","16.400","15.850","3.76M","1.55%"
"01/09/2026","16.150","16.250","16.300","16.050","1.63M","-0.62%"
"01/08/2026","16.250","16.350","16.400","16.150","3.98M","-1.22%"
"01/07/2026","16.450","15.900","16.450","15.850","5.16M","2.81%"
"01/06/2026","16.000","15.650","16.100","15.650","8.67M","2.24%"
"01/05/2026","15.650","15.450","15.650","15.250","5.12M","0.32%"
"01/02/2026","15.600","15.150","15.600","15.100","1.31M","2.97%"
"12/31/2025","15.150","14.950","15.350","14.950","1.01M","1.68%"
"12/30/2025","14.900","15.450","15.450","14.750","1.94M","-3.56%"
"12/29/2025","15.450","15.250","15.450","15.250","916.79K","0.98%"
"12/26/2025","15.300","15.400","15.450","15.300","616.67K","-0.65%"
"12/25/2025","15.400","15.500","15.550","15.400","320.72K","-0.65%"
"12/24/2025","15.500","15.500","15.550","15.400","1.01M","-0.32%"
"12/23/2025","15.550","15.500","15.600","15.400","1.24M","0.00%"
"12/22/2025","15.550","15.500","15.550","15.300","1.41M","0.65%"
"12/19/2025","15.450","15.150","15.450","15.050","3.65M","1.64%"
"12/18/2025","15.200","15.400","15.400","15.100","1.37M","-0.98%"
"12/17/2025","15.350","15.200","15.400","15.200","2.36M","0.66%"
"12/16/2025","15.250","15.400","15.550","15.150","2.30M","-1.29%"
"12/15/2025","15.450","15.550","15.550","15.250","2.51M","-0.64%"
"12/12/2025","15.550","15.350","15.550","15.350","829.36K","0.97%"
"12/11/2025","15.400","15.300","15.650","15.300","2.58M","0.65%"
"12/10/2025","15.300","15.600","15.600","15.250","3.65M","-1.29%"
"12/09/2025","15.500","15.500","15.550","15.350","2.20M","0.32%"
"12/08/2025","15.450","15.600","15.600","15.300","2.57M","-0.96%"
"12/05/2025","15.600","15.000","15.700","15.000","4.43M","4.70%"
"12/04/2025","14.900","14.750","15.100","14.750","6.36M","1.02%"
"12/03/2025","14.750","14.700","15.000","14.550","2.87M","0.34%"
"11/28/2025","14.700","14.400","14.750","14.400","4.26M","2.08%"
"11/27/2025","14.400","14.550","14.600","14.350","1.36M","-1.03%"
"11/26/2025","14.550","14.550","14.600","14.300","1.58M","0.69%"
"11/25/2025","14.450","14.400","14.750","14.400","1.34M","0.70%"
"11/24/2025","14.350","14.450","14.700","14.250","2.42M","-0.35%"
"11/21/2025","14.400","14.750","14.750","14.350","1.72M","-2.37%"
"11/20/2025","14.750","14.650","14.900","14.600","1.55M","0.68%"
"11/19/2025","14.650","14.500","14.700","14.450","2.64M","0.34%"
"11/18/2025","14.600","14.700","14.750","14.550","2.65M","-2.01%"
"11/17/2025","14.900","14.950","14.950","14.350","2.27M","-0.33%"
"11/14/2025","14.950","15.050","15.050","14.700","2.33M","-1.32%"
"11/13/2025","15.150","15.300","15.350","15.150","2.13M","-0.33%"
