"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2026","31.000","30.600","31.000","30.200","1.22M","1.24%"
"08/26/2026","30.620","30.500","30.640","30.140","915.78K","0.39%"
"08/25/2026","30.500","30.660","30.800","30.300","1.67M","-0.46%"
"08/24/2026","30.640","30.900","30.900","30.460","937.16K","-0.71%"
"08/21/2026","30.860","30.800","31.040","30.400","672.04K","0.19%"
"08/20/2026","30.800","31.000","31.040","30.560","1.01M","-0.32%"
"08/19/2026","30.900","31.420","31.540","30.660","1.30M","-3.01%"
"08/18/2026","31.860","31.300","31.860","31.000","694.02K","1.79%"
"08/17/2026","31.300","31.800","31.940","30.980","821.11K","-1.70%"
"08/14/2026","31.840","31.460","31.960","31.260","1.51M","1.21%"
"08/13/2026","31.460","31.220","31.680","31.020","1.37M","0.83%"
"08/12/2026","31.200","31.220","31.600","31.040","1.23M","-0.06%"
"08/11/2026","31.220","31.980","31.980","31.160","1.21M","-2.44%"
"08/10/2026","32.000","31.640","32.000","31.400","959.33K","-0.19%"
"08/07/2026","32.060","31.200","32.100","31.200","1.03M","1.78%"
"08/06/2026","31.500","32.000","32.360","31.120","2.29M","-1.62%"
"08/05/2026","32.020","31.940","32.020","31.700","2.76M","0.25%"
"08/04/2026","31.940","31.200","32.040","30.780","3.67M","2.37%"
"08/03/2026","31.200","30.220","31.280","30.220","1.53M","3.31%"
"07/31/2026","30.200","30.300","30.680","30.100","3.42M","-0.66%"
"07/30/2026","30.400","29.560","30.400","29.340","3.16M","1.67%"
"07/29/2026","29.900","29.640","30.080","29.240","2.12M","0.95%"
"07/28/2026","29.620","30.380","30.800","29.300","2.27M","-2.50%"
"07/27/2026","30.380","30.500","30.900","30.320","1.42M","0.53%"
"07/24/2026","30.220","29.760","30.220","29.760","1.06M","0.13%"
"07/23/2026","30.180","29.460","30.260","29.460","2.04M","3.00%"
"07/22/2026","29.300","29.820","29.820","29.140","1.28M","-1.68%"
"07/21/2026","29.800","29.580","29.980","29.560","910.39K","-0.33%"
"07/20/2026","29.900","29.300","29.900","28.620","1.14M","2.05%"
"07/17/2026","29.300","30.080","30.080","28.820","3.12M","-2.66%"
"07/16/2026","30.100","29.940","30.100","29.620","1.28M","0.53%"
"07/15/2026","29.940","29.920","30.400","29.620","1.36M","0.34%"
"07/14/2026","29.840","30.400","30.500","29.840","2.03M","-2.67%"
"07/13/2026","30.660","31.200","31.200","30.120","4.60M","-2.11%"
"07/10/2026","31.320","30.900","31.980","30.900","2.29M","1.36%"
"07/09/2026","30.900","30.920","31.460","30.660","2.01M","-0.32%"
"07/08/2026","31.000","30.200","31.000","30.200","3.64M","0.06%"
"07/07/2026","30.980","31.000","31.260","30.620","1.89M","-0.06%"
"07/06/2026","31.000","30.640","31.000","30.420","1.18M","1.17%"
"07/03/2026","30.640","30.200","30.740","30.200","2.43M","1.46%"
"07/02/2026","30.200","30.000","30.460","29.820","1.34M","0.60%"
"07/01/2026","30.020","29.300","30.760","29.300","1.57M","1.56%"
